Year,Geography,Economic family type,Value
2013,New Brunswick,Couples,65900.0
2014,New Brunswick,Couples,70200.0
2015,New Brunswick,Couples,72800.0
2016,New Brunswick,Couples,73200.0
2017,New Brunswick,Couples,71500.0
2018,New Brunswick,Couples,72500.0
2019,New Brunswick,Couples,73800.0
2010,New Brunswick,Couples with children,85200.0
2011,New Brunswick,Couples with children,85000.0
2012,New Brunswick,Couples with children,87100.0
2013,New Brunswick,Couples with children,89300.0
2014,New Brunswick,Couples with children,84500.0
2015,New Brunswick,Couples with children,90000.0
2016,New Brunswick,Couples with children,90700.0
2017,New Brunswick,Couples with children,94800.0
2018,New Brunswick,Couples with children,93700.0
2019,New Brunswick,Couples with children,90900.0
2010,New Brunswick,Couples with other relatives,101700.0
2011,New Brunswick,Couples with other relatives,95500.0
2012,New Brunswick,Couples with other relatives,117200.0
2013,New Brunswick,Couples with other relatives,97800.0
2014,New Brunswick,Couples with other relatives,105600.0
2015,New Brunswick,Couples with other relatives,93900.0
2016,New Brunswick,Couples with other relatives,101500.0
2017,New Brunswick,Couples with other relatives,110100.0
2018,New Brunswick,Couples with other relatives,113000.0
2019,New Brunswick,Couples with other relatives,115400.0
2010,New Brunswick,Lone-parent families,44400.0
2011,New Brunswick,Lone-parent families,41500.0
2012,New Brunswick,Lone-parent families,36400.0
2013,New Brunswick,Lone-parent families,35500.0
2014,New Brunswick,Lone-parent families,40700.0
2015,New Brunswick,Lone-parent families,47200.0
2016,New Brunswick,Lone-parent families,45400.0
2017,New Brunswick,Lone-parent families,45100.0
2018,New Brunswick,Lone-parent families,48200.0
2019,New Brunswick,Lone-parent families,52000.0
2010,New Brunswick,Male lone-parent families,
2011,New Brunswick,Male lone-parent families,
2012,New Brunswick,Male lone-parent families,
2013,New Brunswick,Male lone-parent families,
2014,New Brunswick,Male lone-parent families,
2015,New Brunswick,Male lone-parent families,
2016,New Brunswick,Male lone-parent families,
2017,New Brunswick,Male lone-parent families,
2018,New Brunswick,Male lone-parent families,45900.0
2019,New Brunswick,Male lone-parent families,
2010,New Brunswick,Female lone-parent families,43000.0
2011,New Brunswick,Female lone-parent families,42000.0
2012,New Brunswick,Female lone-parent families,35500.0
2013,New Brunswick,Female lone-parent families,33600.0
2014,New Brunswick,Female lone-parent families,36100.0
2015,New Brunswick,Female lone-parent families,41600.0
2016,New Brunswick,Female lone-parent families,45100.0
2017,New Brunswick,Female lone-parent families,40700.0
2018,New Brunswick,Female lone-parent families,48200.0
2019,New Brunswick,Female lone-parent families,47400.0
2010,New Brunswick,Other non-elderly families,66800.0
2011,New Brunswick,Other non-elderly families,62100.0
2012,New Brunswick,Other non-elderly families,58800.0
2013,New Brunswick,Other non-elderly families,64000.0
2014,New Brunswick,Other non-elderly families,63600.0
2015,New Brunswick,Other non-elderly families,52000.0
2016,New Brunswick,Other non-elderly families,66900.0
2017,New Brunswick,Other non-elderly families,64400.0
2018,New Brunswick,Other non-elderly families,62800.0
2019,New Brunswick,Other non-elderly families,68000.0
2010,New Brunswick,Persons not in an economic family,25800.0
2011,New Brunswick,Persons not in an economic family,25600.0
2012,New Brunswick,Persons not in an economic family,26200.0
2013,New Brunswick,Persons not in an economic family,27700.0
2014,New Brunswick,Persons not in an economic family,28000.0
2015,New Brunswick,Persons not in an economic family,26000.0
2016,New Brunswick,Persons not in an economic family,26600.0
2017,New Brunswick,Persons not in an economic family,28800.0
2018,New Brunswick,Persons not in an economic family,27400.0
2019,New Brunswick,Persons not in an economic family,29000.0
2010,New Brunswick,Elderly persons not in an economic family,24400.0
2011,New Brunswick,Elderly persons not in an economic family,24000.0
2012,New Brunswick,Elderly persons not in an economic family,23500.0
2013,New Brunswick,Elderly persons not in an economic family,25500.0
2014,New Brunswick,Elderly persons not in an economic family,24300.0
2015,New Brunswick,Elderly persons not in an economic family,26000.0
2016,New Brunswick,Elderly persons not in an economic family,25200.0
2017,New Brunswick,Elderly persons not in an economic family,25900.0
2018,New Brunswick,Elderly persons not in an economic family,25900.0
2019,New Brunswick,Elderly persons not in an economic family,26700.0
2010,New Brunswick,Elderly males not in an economic family,28800.0
2011,New Brunswick,Elderly males not in an economic family,24000.0
2012,New Brunswick,Elderly males not in an economic family,21500.0
2013,New Brunswick,Elderly males not in an economic family,27100.0
2014,New Brunswick,Elderly males not in an economic family,25100.0
2015,New Brunswick,Elderly males not in an economic family,28800.0
2016,New Brunswick,Elderly males not in an economic family,26500.0
2017,New Brunswick,Elderly males not in an economic family,28000.0
2018,New Brunswick,Elderly males not in an economic family,25900.0
2019,New Brunswick,Elderly males not in an economic family,26400.0
2010,New Brunswick,Elderly females not in an economic family,22900.0
2011,New Brunswick,Elderly females not in an economic family,23900.0
2012,New Brunswick,Elderly females not in an economic family,23900.0
2013,New Brunswick,Elderly females not in an economic family,24700.0
2014,New Brunswick,Elderly females not in an economic family,23900.0
2015,New Brunswick,Elderly females not in an economic family,23800.0
2016,New Brunswick,Elderly females not in an economic family,24800.0
2017,New Brunswick,Elderly females not in an economic family,25400.0
2018,New Brunswick,Elderly females not in an economic family,25600.0
2019,New Brunswick,Elderly females not in an economic family,27000.0
2010,New Brunswick,Non-elderly persons not in an economic family,27000.0
2011,New Brunswick,Non-elderly persons not in an economic family,27400.0
2012,New Brunswick,Non-elderly persons not in an economic family,29400.0
2013,New Brunswick,Non-elderly persons not in an economic family,28500.0
2014,New Brunswick,Non-elderly persons not in an economic family,30300.0
2015,New Brunswick,Non-elderly persons not in an economic family,26100.0
2016,New Brunswick,Non-elderly persons not in an economic family,26900.0
2017,New Brunswick,Non-elderly persons not in an economic family,30100.0
2018,New Brunswick,Non-elderly persons not in an economic family,28400.0
2019,New Brunswick,Non-elderly persons not in an economic family,31100.0
2010,New Brunswick,Non-elderly males not in an economic family,28900.0
2011,New Brunswick,Non-elderly males not in an economic family,31100.0
2012,New Brunswick,Non-elderly males not in an economic family,30400.0
2013,New Brunswick,Non-elderly males not in an economic family,30000.0
2014,New Brunswick,Non-elderly males not in an economic family,35400.0
2015,New Brunswick,Non-elderly males not in an economic family,26900.0
2016,New Brunswick,Non-elderly males not in an economic family,28900.0
2017,New Brunswick,Non-elderly males not in an economic family,32500.0
2018,New Brunswick,Non-elderly males not in an economic family,28700.0
2019,New Brunswick,Non-elderly males not in an economic family,31700.0
2010,New Brunswick,Non-elderly females not in an economic family,25100.0
2011,New Brunswick,Non-elderly females not in an economic family,23400.0
2012,New Brunswick,Non-elderly females not in an economic family,23800.0
2013,New Brunswick,Non-elderly females not in an economic family,24400.0
2014,New Brunswick,Non-elderly females not in an economic family,27200.0
2015,New Brunswick,Non-elderly females not in an economic family,26000.0
2016,New Brunswick,Non-elderly females not in an economic family,25500.0
2017,New Brunswick,Non-elderly females not in an economic family,28200.0
2018,New Brunswick,Non-elderly females not in an economic family,28200.0
2019,New Brunswick,Non-elderly females not in an economic family,30200.0
2010,Quebec,Economic families and persons not in an economic family,50100.0
2011,Quebec,Economic families and persons not in an economic family,50200.0
2012,Quebec,Economic families and persons not in an economic family,51600.0
2013,Quebec,Economic families and persons not in an economic family,52100.0
2014,Quebec,Economic families and persons not in an economic family,51700.0
2015,Quebec,Economic families and persons not in an economic family,51800.0
2016,Quebec,Economic families and persons not in an economic family,52500.0
2017,Quebec,Economic families and persons not in an economic family,53700.0
2018,Quebec,Economic families and persons not in an economic family,54200.0
2019,Quebec,Economic families and persons not in an economic family,55600.0
2010,Quebec,Economic families,68200.0
2011,Quebec,Economic families,68800.0
2012,Quebec,Economic families,71500.0
2013,Quebec,Economic families,72000.0
2014,Quebec,Economic families,72800.0
2015,Quebec,Economic families,73500.0
2016,Quebec,Economic families,74500.0
2017,Quebec,Economic families,76000.0
2018,Quebec,Economic families,77300.0
2019,Quebec,Economic families,79600.0
2010,Quebec,Elderly families,46700.0
2011,Quebec,Elderly families,45900.0
2012,Quebec,Elderly families,51300.0
2013,Quebec,Elderly families,51300.0
2014,Quebec,Elderly families,50800.0
2015,Quebec,Elderly families,53800.0
2016,Quebec,Elderly families,55600.0
2017,Quebec,Elderly families,55000.0
2018,Quebec,Elderly families,56800.0
2019,Quebec,Elderly families,56000.0
2010,Quebec,Elderly couples,45900.0
2011,Quebec,Elderly couples,45400.0
2012,Quebec,Elderly couples,50500.0
2013,Quebec,Elderly couples,51100.0
2014,Quebec,Elderly couples,50500.0
2015,Quebec,Elderly couples,53100.0
2016,Quebec,Elderly couples,55500.0
2017,Quebec,Elderly couples,53700.0
2018,Quebec,Elderly couples,55500.0
2019,Quebec,Elderly couples,55300.0
2010,Quebec,Other elderly families,53600.0
2011,Quebec,Other elderly families,49000.0
2012,Quebec,Other elderly families,57100.0
2013,Quebec,Other elderly families,54900.0
2014,Quebec,Other elderly families,53900.0
2015,Quebec,Other elderly families,60600.0
2016,Quebec,Other elderly families,56700.0
2017,Quebec,Other elderly families,59700.0
2018,Quebec,Other elderly families,62700.0
2019,Quebec,Other elderly families,57600.0
2010,Quebec,Non-elderly families,73700.0
2011,Quebec,Non-elderly families,74900.0
2012,Quebec,Non-elderly families,77400.0
2013,Quebec,Non-elderly families,77600.0
2014,Quebec,Non-elderly families,80300.0
2015,Quebec,Non-elderly families,79300.0
2016,Quebec,Non-elderly families,80700.0
2017,Quebec,Non-elderly families,83000.0
2018,Quebec,Non-elderly families,84600.0
2019,Quebec,Non-elderly families,87800.0
2010,Quebec,Couples,66500.0
2011,Quebec,Couples,65400.0
2012,Quebec,Couples,69000.0
2013,Quebec,Couples,71400.0
2014,Quebec,Couples,71400.0
2015,Quebec,Couples,71000.0
2016,Quebec,Couples,74100.0
2017,Quebec,Couples,71800.0
2018,Quebec,Couples,74400.0
2019,Quebec,Couples,75900.0
2010,Quebec,Couples with children,85100.0
2011,Quebec,Couples with children,89200.0
2012,Quebec,Couples with children,83900.0
2013,Quebec,Couples with children,85400.0
2014,Quebec,Couples with children,90200.0
2015,Quebec,Couples with children,91600.0
2016,Quebec,Couples with children,94600.0
2017,Quebec,Couples with children,95200.0
2018,Quebec,Couples with children,95500.0
2019,Quebec,Couples with children,100400.0
2010,Quebec,Couples with other relatives,105900.0
2011,Quebec,Couples with other relatives,103800.0
2012,Quebec,Couples with other relatives,108000.0
2013,Quebec,Couples with other relatives,109500.0
2014,Quebec,Couples with other relatives,107800.0
2015,Quebec,Couples with other relatives,102500.0
2016,Quebec,Couples with other relatives,112600.0
2017,Quebec,Couples with other relatives,120800.0
2018,Quebec,Couples with other relatives,121100.0
2019,Quebec,Couples with other relatives,120100.0
2010,Quebec,Lone-parent families,46500.0
2011,Quebec,Lone-parent families,46700.0
2012,Quebec,Lone-parent families,49300.0
2013,Quebec,Lone-parent families,53500.0
2014,Quebec,Lone-parent families,46300.0
2015,Quebec,Lone-parent families,51200.0
2016,Quebec,Lone-parent families,51800.0
2017,Quebec,Lone-parent families,54500.0
2018,Quebec,Lone-parent families,53400.0
2019,Quebec,Lone-parent families,61500.0
2010,Quebec,Male lone-parent families,59200.0
2011,Quebec,Male lone-parent families,60700.0
2012,Quebec,Male lone-parent families,60900.0
2013,Quebec,Male lone-parent families,54800.0
2014,Quebec,Male lone-parent families,65400.0
2015,Quebec,Male lone-parent families,65800.0
2016,Quebec,Male lone-parent families,61400.0
2017,Quebec,Male lone-parent families,58600.0
2018,Quebec,Male lone-parent families,64100.0
2019,Quebec,Male lone-parent families,67600.0
2010,Quebec,Female lone-parent families,44400.0
2011,Quebec,Female lone-parent families,46300.0
2012,Quebec,Female lone-parent families,47500.0
2013,Quebec,Female lone-parent families,53500.0
2014,Quebec,Female lone-parent families,42900.0
2015,Quebec,Female lone-parent families,48500.0
2016,Quebec,Female lone-parent families,50700.0
2017,Quebec,Female lone-parent families,52900.0
2018,Quebec,Female lone-parent families,51700.0
2019,Quebec,Female lone-parent families,57500.0
2010,Quebec,Other non-elderly families,63000.0
2011,Quebec,Other non-elderly families,62500.0
2012,Quebec,Other non-elderly families,70000.0
2013,Quebec,Other non-elderly families,65700.0
2014,Quebec,Other non-elderly families,62500.0
2015,Quebec,Other non-elderly families,69200.0
2016,Quebec,Other non-elderly families,64000.0
2017,Quebec,Other non-elderly families,68200.0
2018,Quebec,Other non-elderly families,69000.0
2019,Quebec,Other non-elderly families,76400.0
2010,Quebec,Persons not in an economic family,28000.0
2011,Quebec,Persons not in an economic family,28000.0
2012,Quebec,Persons not in an economic family,29200.0
2013,Quebec,Persons not in an economic family,28500.0
2014,Quebec,Persons not in an economic family,29500.0
2015,Quebec,Persons not in an economic family,28500.0
2016,Quebec,Persons not in an economic family,28900.0
2017,Quebec,Persons not in an economic family,29400.0
2018,Quebec,Persons not in an economic family,29300.0
2019,Quebec,Persons not in an economic family,29100.0
2010,Quebec,Elderly persons not in an economic family,24500.0
2011,Quebec,Elderly persons not in an economic family,23700.0
2012,Quebec,Elderly persons not in an economic family,26300.0
2013,Quebec,Elderly persons not in an economic family,26500.0
2014,Quebec,Elderly persons not in an economic family,26300.0
2015,Quebec,Elderly persons not in an economic family,26400.0
2016,Quebec,Elderly persons not in an economic family,25200.0
2017,Quebec,Elderly persons not in an economic family,24800.0
2018,Quebec,Elderly persons not in an economic family,25700.0
2019,Quebec,Elderly persons not in an economic family,25700.0
2010,Quebec,Elderly males not in an economic family,25200.0
2011,Quebec,Elderly males not in an economic family,28700.0
2012,Quebec,Elderly males not in an economic family,28800.0
2013,Quebec,Elderly males not in an economic family,27600.0
2014,Quebec,Elderly males not in an economic family,25900.0
2015,Quebec,Elderly males not in an economic family,26300.0
2016,Quebec,Elderly males not in an economic family,25200.0
2017,Quebec,Elderly males not in an economic family,27100.0
2018,Quebec,Elderly males not in an economic family,26700.0
2019,Quebec,Elderly males not in an economic family,27400.0
2010,Quebec,Elderly females not in an economic family,24000.0
2011,Quebec,Elderly females not in an economic family,22600.0
2012,Quebec,Elderly females not in an economic family,25800.0
2013,Quebec,Elderly females not in an economic family,25700.0
2014,Quebec,Elderly females not in an economic family,26300.0
2015,Quebec,Elderly females not in an economic family,26500.0
2016,Quebec,Elderly females not in an economic family,25100.0
2017,Quebec,Elderly females not in an economic family,23800.0
2018,Quebec,Elderly females not in an economic family,25500.0
2019,Quebec,Elderly females not in an economic family,24900.0
2010,Quebec,Non-elderly persons not in an economic family,30100.0
2011,Quebec,Non-elderly persons not in an economic family,30900.0
2012,Quebec,Non-elderly persons not in an economic family,30600.0
2013,Quebec,Non-elderly persons not in an economic family,30800.0
2014,Quebec,Non-elderly persons not in an economic family,31500.0
2015,Quebec,Non-elderly persons not in an economic family,30300.0
2016,Quebec,Non-elderly persons not in an economic family,31300.0
2017,Quebec,Non-elderly persons not in an economic family,32200.0
2018,Quebec,Non-elderly persons not in an economic family,31900.0
2019,Quebec,Non-elderly persons not in an economic family,32000.0
2010,Quebec,Non-elderly males not in an economic family,29900.0
2011,Quebec,Non-elderly males not in an economic family,30900.0
2012,Quebec,Non-elderly males not in an economic family,32400.0
2013,Quebec,Non-elderly males not in an economic family,30400.0
2014,Quebec,Non-elderly males not in an economic family,32500.0
2015,Quebec,Non-elderly males not in an economic family,32700.0
2016,Quebec,Non-elderly males not in an economic family,32800.0
2017,Quebec,Non-elderly males not in an economic family,33300.0
2018,Quebec,Non-elderly males not in an economic family,33700.0
2019,Quebec,Non-elderly males not in an economic family,31500.0
2010,Quebec,Non-elderly females not in an economic family,30700.0
2011,Quebec,Non-elderly females not in an economic family,30900.0
2012,Quebec,Non-elderly females not in an economic family,29200.0
2013,Quebec,Non-elderly females not in an economic family,30800.0
2014,Quebec,Non-elderly females not in an economic family,27000.0
2015,Quebec,Non-elderly females not in an economic family,27700.0
2016,Quebec,Non-elderly females not in an economic family,30000.0
2017,Quebec,Non-elderly females not in an economic family,30200.0
2018,Quebec,Non-elderly females not in an economic family,29900.0
2019,Quebec,Non-elderly females not in an economic family,32600.0
2010,Ontario,Economic families and persons not in an economic family,61800.0
2011,Ontario,Economic families and persons not in an economic family,61100.0
2012,Ontario,Economic families and persons not in an economic family,61500.0
2013,Ontario,Economic families and persons not in an economic family,61100.0
2014,Ontario,Economic families and persons not in an economic family,63100.0
2015,Ontario,Economic families and persons not in an economic family,63400.0
2016,Ontario,Economic families and persons not in an economic family,62900.0
2017,Ontario,Economic families and persons not in an economic family,65400.0
2018,Ontario,Economic families and persons not in an economic family,67400.0
2019,Ontario,Economic families and persons not in an economic family,66600.0
2010,Ontario,Economic families,81300.0
2011,Ontario,Economic families,80800.0
2012,Ontario,Economic families,82500.0
2013,Ontario,Economic families,81700.0
2014,Ontario,Economic families,84900.0
2015,Ontario,Economic families,85700.0
2016,Ontario,Economic families,85600.0
2017,Ontario,Economic families,87400.0
2018,Ontario,Economic families,90900.0
2019,Ontario,Economic families,89900.0
2010,Ontario,Elderly families,58400.0
2011,Ontario,Elderly families,61300.0
2012,Ontario,Elderly families,63600.0
2013,Ontario,Elderly families,62200.0
2014,Ontario,Elderly families,66100.0
2015,Ontario,Elderly families,68100.0
2016,Ontario,Elderly families,62600.0
2017,Ontario,Elderly families,67200.0
2018,Ontario,Elderly families,70100.0
2019,Ontario,Elderly families,68000.0
2010,Ontario,Elderly couples,57700.0
2011,Ontario,Elderly couples,58200.0
2012,Ontario,Elderly couples,63600.0
2013,Ontario,Elderly couples,62600.0
2014,Ontario,Elderly couples,65400.0
2015,Ontario,Elderly couples,66700.0
2016,Ontario,Elderly couples,59800.0
2017,Ontario,Elderly couples,66400.0
2018,Ontario,Elderly couples,69100.0
2019,Ontario,Elderly couples,66700.0
2010,Ontario,Other elderly families,62100.0
2011,Ontario,Other elderly families,69000.0
2012,Ontario,Other elderly families,62800.0
2013,Ontario,Other elderly families,59600.0
2014,Ontario,Other elderly families,72200.0
2015,Ontario,Other elderly families,74700.0
2016,Ontario,Other elderly families,76800.0
2017,Ontario,Other elderly families,73400.0
2018,Ontario,Other elderly families,75900.0
2019,Ontario,Other elderly families,74000.0
2010,Ontario,Non-elderly families,87400.0
2011,Ontario,Non-elderly families,87300.0
2012,Ontario,Non-elderly families,89000.0
2013,Ontario,Non-elderly families,87300.0
2014,Ontario,Non-elderly families,90300.0
2015,Ontario,Non-elderly families,90700.0
2016,Ontario,Non-elderly families,92500.0
2017,Ontario,Non-elderly families,93000.0
2018,Ontario,Non-elderly families,96300.0
2019,Ontario,Non-elderly families,97300.0
2010,Ontario,Couples,79300.0
2011,Ontario,Couples,78000.0
2012,Ontario,Couples,82800.0
2013,Ontario,Couples,82900.0
2014,Ontario,Couples,83500.0
2015,Ontario,Couples,80500.0
2016,Ontario,Couples,86200.0
2017,Ontario,Couples,87900.0
2018,Ontario,Couples,88300.0
2019,Ontario,Couples,83700.0
2010,Ontario,Couples with children,96000.0
2011,Ontario,Couples with children,98000.0
2012,Ontario,Couples with children,97500.0
2013,Ontario,Couples with children,93800.0
2014,Ontario,Couples with children,101600.0
2015,Ontario,Couples with children,103000.0
2016,Ontario,Couples with children,101300.0
2017,Ontario,Couples with children,101000.0
2018,Ontario,Couples with children,105300.0
2019,Ontario,Couples with children,110400.0
2010,Ontario,Couples with other relatives,124000.0
2011,Ontario,Couples with other relatives,129500.0
2012,Ontario,Couples with other relatives,126100.0
2013,Ontario,Couples with other relatives,128000.0
2014,Ontario,Couples with other relatives,112600.0
2015,Ontario,Couples with other relatives,131700.0
2016,Ontario,Couples with other relatives,123800.0
2017,Ontario,Couples with other relatives,126500.0
2018,Ontario,Couples with other relatives,130700.0
2019,Ontario,Couples with other relatives,137900.0
2010,Ontario,Lone-parent families,46400.0
2011,Ontario,Lone-parent families,46900.0
2012,Ontario,Lone-parent families,45500.0
2013,Ontario,Lone-parent families,40700.0
2014,Ontario,Lone-parent families,47100.0
2015,Ontario,Lone-parent families,46200.0
2016,Ontario,Lone-parent families,41600.0
2017,Ontario,Lone-parent families,51200.0
2018,Ontario,Lone-parent families,51700.0
2019,Ontario,Lone-parent families,53700.0
2010,Ontario,Male lone-parent families,51400.0
2011,Ontario,Male lone-parent families,48700.0
2012,Ontario,Male lone-parent families,59600.0
2013,Ontario,Male lone-parent families,61600.0
2014,Ontario,Male lone-parent families,63100.0
2015,Ontario,Male lone-parent families,54300.0
2016,Ontario,Male lone-parent families,53400.0
2017,Ontario,Male lone-parent families,67600.0
2018,Ontario,Male lone-parent families,57400.0
2019,Ontario,Male lone-parent families,72200.0
2010,Ontario,Female lone-parent families,45000.0
2011,Ontario,Female lone-parent families,45400.0
2012,Ontario,Female lone-parent families,40900.0
2013,Ontario,Female lone-parent families,37200.0
2014,Ontario,Female lone-parent families,44400.0
2015,Ontario,Female lone-parent families,43800.0
2016,Ontario,Female lone-parent families,40100.0
2017,Ontario,Female lone-parent families,48900.0
2018,Ontario,Female lone-parent families,49900.0
2019,Ontario,Female lone-parent families,48600.0
2010,Ontario,Other non-elderly families,70300.0
2011,Ontario,Other non-elderly families,69800.0
2012,Ontario,Other non-elderly families,76200.0
2013,Ontario,Other non-elderly families,70100.0
2014,Ontario,Other non-elderly families,76800.0
2015,Ontario,Other non-elderly families,72600.0
2016,Ontario,Other non-elderly families,74800.0
2017,Ontario,Other non-elderly families,76200.0
2018,Ontario,Other non-elderly families,80100.0
2019,Ontario,Other non-elderly families,77800.0
2010,Ontario,Persons not in an economic family,32300.0
2011,Ontario,Persons not in an economic family,29000.0
2012,Ontario,Persons not in an economic family,29800.0
2013,Ontario,Persons not in an economic family,31900.0
2014,Ontario,Persons not in an economic family,31800.0
2015,Ontario,Persons not in an economic family,30700.0
2016,Ontario,Persons not in an economic family,31000.0
2017,Ontario,Persons not in an economic family,32000.0
2018,Ontario,Persons not in an economic family,31700.0
2019,Ontario,Persons not in an economic family,34200.0
2010,Ontario,Elderly persons not in an economic family,31300.0
2011,Ontario,Elderly persons not in an economic family,29000.0
2012,Ontario,Elderly persons not in an economic family,28800.0
2013,Ontario,Elderly persons not in an economic family,31700.0
2014,Ontario,Elderly persons not in an economic family,33000.0
2015,Ontario,Elderly persons not in an economic family,31000.0
2016,Ontario,Elderly persons not in an economic family,31400.0
2017,Ontario,Elderly persons not in an economic family,30900.0
2018,Ontario,Elderly persons not in an economic family,32400.0
2019,Ontario,Elderly persons not in an economic family,33500.0
2010,Ontario,Elderly males not in an economic family,39300.0
2011,Ontario,Elderly males not in an economic family,36100.0
2012,Ontario,Elderly males not in an economic family,30900.0
2013,Ontario,Elderly males not in an economic family,34300.0
2014,Ontario,Elderly males not in an economic family,35400.0
2015,Ontario,Elderly males not in an economic family,33700.0
2016,Ontario,Elderly males not in an economic family,33000.0
2017,Ontario,Elderly males not in an economic family,32200.0
2018,Ontario,Elderly males not in an economic family,34000.0
2019,Ontario,Elderly males not in an economic family,37000.0
2010,Ontario,Elderly females not in an economic family,28700.0
2011,Ontario,Elderly females not in an economic family,27700.0
2012,Ontario,Elderly females not in an economic family,28300.0
2013,Ontario,Elderly females not in an economic family,29900.0
2014,Ontario,Elderly females not in an economic family,31500.0
2015,Ontario,Elderly females not in an economic family,29300.0
2016,Ontario,Elderly females not in an economic family,30300.0
2017,Ontario,Elderly females not in an economic family,30400.0
2018,Ontario,Elderly females not in an economic family,31600.0
2019,Ontario,Elderly females not in an economic family,31800.0
2010,Ontario,Non-elderly persons not in an economic family,33000.0
2011,Ontario,Non-elderly persons not in an economic family,28600.0
2012,Ontario,Non-elderly persons not in an economic family,30200.0
2013,Ontario,Non-elderly persons not in an economic family,32300.0
2014,Ontario,Non-elderly persons not in an economic family,31200.0
2015,Ontario,Non-elderly persons not in an economic family,30600.0
2016,Ontario,Non-elderly persons not in an economic family,30800.0
2017,Ontario,Non-elderly persons not in an economic family,32100.0
2018,Ontario,Non-elderly persons not in an economic family,31300.0
2019,Ontario,Non-elderly persons not in an economic family,34500.0
2010,Ontario,Non-elderly males not in an economic family,35100.0
2011,Ontario,Non-elderly males not in an economic family,35300.0
2012,Ontario,Non-elderly males not in an economic family,32100.0
2013,Ontario,Non-elderly males not in an economic family,34700.0
2014,Ontario,Non-elderly males not in an economic family,30200.0
2015,Ontario,Non-elderly males not in an economic family,36800.0
2016,Ontario,Non-elderly males not in an economic family,33900.0
2017,Ontario,Non-elderly males not in an economic family,33400.0
2018,Ontario,Non-elderly males not in an economic family,31200.0
2019,Ontario,Non-elderly males not in an economic family,39800.0
2010,Ontario,Non-elderly females not in an economic family,28500.0
2011,Ontario,Non-elderly females not in an economic family,23600.0
2012,Ontario,Non-elderly females not in an economic family,25900.0
2013,Ontario,Non-elderly females not in an economic family,30100.0
2014,Ontario,Non-elderly females not in an economic family,31800.0
2015,Ontario,Non-elderly females not in an economic family,27000.0
2016,Ontario,Non-elderly females not in an economic family,27700.0
2017,Ontario,Non-elderly females not in an economic family,32000.0
2018,Ontario,Non-elderly females not in an economic family,31300.0
2019,Ontario,Non-elderly females not in an economic family,31400.0
2010,Prairie provinces,Economic families and persons not in an economic family,64800.0
2011,Prairie provinces,Economic families and persons not in an economic family,64600.0
2012,Prairie provinces,Economic families and persons not in an economic family,68500.0
2013,Prairie provinces,Economic families and persons not in an economic family,70300.0
2014,Prairie provinces,Economic families and persons not in an economic family,71400.0
2015,Prairie provinces,Economic families and persons not in an economic family,70700.0
2016,Prairie provinces,Economic families and persons not in an economic family,69300.0
2017,Prairie provinces,Economic families and persons not in an economic family,69200.0
2018,Prairie provinces,Economic families and persons not in an economic family,69400.0
2019,Prairie provinces,Economic families and persons not in an economic family,68700.0
2010,Prairie provinces,Economic families,87600.0
2011,Prairie provinces,Economic families,89000.0
2012,Prairie provinces,Economic families,94000.0
2013,Prairie provinces,Economic families,94400.0
2014,Prairie provinces,Economic families,94700.0
2015,Prairie provinces,Economic families,95400.0
2016,Prairie provinces,Economic families,92700.0
2017,Prairie provinces,Economic families,94800.0
2018,Prairie provinces,Economic families,93800.0
2019,Prairie provinces,Economic families,91200.0
2010,Prairie provinces,Elderly families,57400.0
2011,Prairie provinces,Elderly families,59900.0
2012,Prairie provinces,Elderly families,65100.0
2013,Prairie provinces,Elderly families,64000.0
2014,Prairie provinces,Elderly families,66300.0
2015,Prairie provinces,Elderly families,67200.0
2016,Prairie provinces,Elderly families,68000.0
2017,Prairie provinces,Elderly families,68800.0
2018,Prairie provinces,Elderly families,67100.0
2019,Prairie provinces,Elderly families,69100.0
2010,Prairie provinces,Elderly couples,57300.0
2011,Prairie provinces,Elderly couples,59800.0
2012,Prairie provinces,Elderly couples,63700.0
2013,Prairie provinces,Elderly couples,61400.0
2014,Prairie provinces,Elderly couples,65600.0
2015,Prairie provinces,Elderly couples,64700.0
2016,Prairie provinces,Elderly couples,67000.0
2017,Prairie provinces,Elderly couples,65900.0
2018,Prairie provinces,Elderly couples,66400.0
2019,Prairie provinces,Elderly couples,68200.0
2010,Prairie provinces,Other elderly families,58400.0
2011,Prairie provinces,Other elderly families,61900.0
2012,Prairie provinces,Other elderly families,69100.0
2013,Prairie provinces,Other elderly families,78400.0
2014,Prairie provinces,Other elderly families,70200.0
2015,Prairie provinces,Other elderly families,77100.0
2016,Prairie provinces,Other elderly families,72500.0
2017,Prairie provinces,Other elderly families,89200.0
2018,Prairie provinces,Other elderly families,72600.0
2019,Prairie provinces,Other elderly families,73800.0
2010,Prairie provinces,Non-elderly families,93800.0
2011,Prairie provinces,Non-elderly families,94900.0
2012,Prairie provinces,Non-elderly families,99300.0
2013,Prairie provinces,Non-elderly families,100300.0
2014,Prairie provinces,Non-elderly families,100500.0
2015,Prairie provinces,Non-elderly families,101400.0
2016,Prairie provinces,Non-elderly families,97500.0
2017,Prairie provinces,Non-elderly families,101200.0
2018,Prairie provinces,Non-elderly families,101300.0
2019,Prairie provinces,Non-elderly families,100200.0
2010,Prairie provinces,Couples,88200.0
2011,Prairie provinces,Couples,89900.0
2012,Prairie provinces,Couples,93900.0
2013,Prairie provinces,Couples,92000.0
