Year,Géographie,Âge au décès,Sexe,Principales causes de décès,Value
2015,Canada,15 à 24 ans,Hommes,Maladies du coeur,1.1
2016,Canada,15 à 24 ans,Hommes,Maladies du coeur,1.1
2017,Canada,15 à 24 ans,Hommes,Maladies du coeur,1.2
2018,Canada,15 à 24 ans,Hommes,Maladies du coeur,1.0
2019,Canada,15 à 24 ans,Hommes,Maladies du coeur,1.3
2015,Canada,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.0
2016,Canada,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.2
2017,Canada,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.3
2018,Canada,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.4
2019,Canada,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.2
2015,Canada,15 à 24 ans,Hommes,Grippe et pneumopathie,0.5
2016,Canada,15 à 24 ans,Hommes,Grippe et pneumopathie,0.3
2017,Canada,15 à 24 ans,Hommes,Grippe et pneumopathie,0.2
2018,Canada,15 à 24 ans,Hommes,Grippe et pneumopathie,0.3
2019,Canada,15 à 24 ans,Hommes,Grippe et pneumopathie,0.3
2015,Canada,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,Canada,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2017,Canada,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,Canada,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2019,Canada,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.1
2016,Canada,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2018,Canada,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2019,Canada,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2015,Canada,15 à 24 ans,Hommes,Accidents (blessures involontaires),21.6
2016,Canada,15 à 24 ans,Hommes,Accidents (blessures involontaires),22.2
2017,Canada,15 à 24 ans,Hommes,Accidents (blessures involontaires),25.1
2018,Canada,15 à 24 ans,Hommes,Accidents (blessures involontaires),19.7
2019,Canada,15 à 24 ans,Hommes,Accidents (blessures involontaires),18.9
2015,Canada,15 à 24 ans,Hommes,Lésions auto-infligées,15.8
2016,Canada,15 à 24 ans,Hommes,Lésions auto-infligées,14.8
2017,Canada,15 à 24 ans,Hommes,Lésions auto-infligées,16.5
2018,Canada,15 à 24 ans,Hommes,Lésions auto-infligées,16.5
2019,Canada,15 à 24 ans,Hommes,Lésions auto-infligées,15.2
2015,Canada,15 à 24 ans,Femmes,Tumeurs malignes,2.5
2016,Canada,15 à 24 ans,Femmes,Tumeurs malignes,2.1
2017,Canada,15 à 24 ans,Femmes,Tumeurs malignes,2.3
2018,Canada,15 à 24 ans,Femmes,Tumeurs malignes,2.3
2019,Canada,15 à 24 ans,Femmes,Tumeurs malignes,2.8
2015,Canada,15 à 24 ans,Femmes,Diabète sucré,0.1
2016,Canada,15 à 24 ans,Femmes,Diabète sucré,0.2
2017,Canada,15 à 24 ans,Femmes,Diabète sucré,0.3
2018,Canada,15 à 24 ans,Femmes,Diabète sucré,0.4
2019,Canada,15 à 24 ans,Femmes,Diabète sucré,0.1
2015,Canada,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2016,Canada,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2017,Canada,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2018,Canada,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2019,Canada,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2015,Canada,15 à 24 ans,Femmes,Maladies du coeur,0.8
2016,Canada,15 à 24 ans,Femmes,Maladies du coeur,0.8
2017,Canada,15 à 24 ans,Femmes,Maladies du coeur,0.7
2018,Canada,15 à 24 ans,Femmes,Maladies du coeur,0.7
2019,Canada,15 à 24 ans,Femmes,Maladies du coeur,0.8
2015,Canada,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.3
2016,Canada,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.1
2017,Canada,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.2
2018,Canada,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.2
2019,Canada,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.2
2015,Canada,15 à 24 ans,Femmes,Grippe et pneumopathie,0.1
2016,Canada,15 à 24 ans,Femmes,Grippe et pneumopathie,0.3
2017,Canada,15 à 24 ans,Femmes,Grippe et pneumopathie,0.2
2018,Canada,15 à 24 ans,Femmes,Grippe et pneumopathie,0.2
2019,Canada,15 à 24 ans,Femmes,Grippe et pneumopathie,0.2
2015,Canada,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,Canada,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2017,Canada,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2018,Canada,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2019,Canada,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.1
2016,Canada,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.1
2018,Canada,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.2
2019,Canada,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.1
2015,Canada,15 à 24 ans,Femmes,Accidents (blessures involontaires),9.0
2016,Canada,15 à 24 ans,Femmes,Accidents (blessures involontaires),9.3
2017,Canada,15 à 24 ans,Femmes,Accidents (blessures involontaires),10.1
2018,Canada,15 à 24 ans,Femmes,Accidents (blessures involontaires),8.8
2019,Canada,15 à 24 ans,Femmes,Accidents (blessures involontaires),8.2
2015,Canada,15 à 24 ans,Femmes,Lésions auto-infligées,6.7
2016,Canada,15 à 24 ans,Femmes,Lésions auto-infligées,6.4
2017,Canada,15 à 24 ans,Femmes,Lésions auto-infligées,7.4
2018,Canada,15 à 24 ans,Femmes,Lésions auto-infligées,6.9
2019,Canada,15 à 24 ans,Femmes,Lésions auto-infligées,6.6
2015,Canada,25 à 34 ans,Les deux sexes,Tumeurs malignes,8.2
2016,Canada,25 à 34 ans,Les deux sexes,Tumeurs malignes,6.9
2017,Canada,25 à 34 ans,Les deux sexes,Tumeurs malignes,7.2
2018,Canada,25 à 34 ans,Les deux sexes,Tumeurs malignes,7.1
2019,Canada,25 à 34 ans,Les deux sexes,Tumeurs malignes,6.9
2015,Canada,25 à 34 ans,Les deux sexes,Diabète sucré,1.0
2016,Canada,25 à 34 ans,Les deux sexes,Diabète sucré,0.8
2017,Canada,25 à 34 ans,Les deux sexes,Diabète sucré,0.9
2018,Canada,25 à 34 ans,Les deux sexes,Diabète sucré,0.9
2019,Canada,25 à 34 ans,Les deux sexes,Diabète sucré,0.8
2015,Canada,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,Canada,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2017,Canada,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,Canada,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2019,Canada,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,Canada,25 à 34 ans,Les deux sexes,Maladies du coeur,3.0
2016,Canada,25 à 34 ans,Les deux sexes,Maladies du coeur,3.1
2017,Canada,25 à 34 ans,Les deux sexes,Maladies du coeur,3.1
2018,Canada,25 à 34 ans,Les deux sexes,Maladies du coeur,2.8
2019,Canada,25 à 34 ans,Les deux sexes,Maladies du coeur,2.4
2015,Canada,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.7
2016,Canada,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.7
2017,Canada,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.6
2018,Canada,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.4
2019,Canada,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.8
2015,Canada,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.4
2016,Canada,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.6
2017,Canada,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.4
2018,Canada,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.5
2019,Canada,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.6
2015,Canada,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,Canada,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2017,Canada,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,Canada,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2019,Canada,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,Canada,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.7
2016,Canada,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.8
2017,Canada,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,1.0
2018,Canada,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,1.0
2019,Canada,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,1.0
2015,Canada,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),18.9
2016,Canada,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),24.8
2017,Canada,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),30.3
2018,Canada,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),24.6
2019,Canada,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),21.5
2015,Canada,25 à 34 ans,Les deux sexes,Lésions auto-infligées,13.6
2016,Canada,25 à 34 ans,Les deux sexes,Lésions auto-infligées,11.9
2017,Canada,25 à 34 ans,Les deux sexes,Lésions auto-infligées,13.3
2018,Canada,25 à 34 ans,Les deux sexes,Lésions auto-infligées,11.3
2019,Canada,25 à 34 ans,Les deux sexes,Lésions auto-infligées,12.9
2015,Canada,25 à 34 ans,Hommes,Tumeurs malignes,7.4
2016,Canada,25 à 34 ans,Hommes,Tumeurs malignes,6.3
2017,Canada,25 à 34 ans,Hommes,Tumeurs malignes,7.3
2018,Canada,25 à 34 ans,Hommes,Tumeurs malignes,6.4
2019,Canada,25 à 34 ans,Hommes,Tumeurs malignes,7.4
2015,Canada,25 à 34 ans,Hommes,Diabète sucré,1.4
2016,Canada,25 à 34 ans,Hommes,Diabète sucré,1.0
2017,Canada,25 à 34 ans,Hommes,Diabète sucré,1.1
2018,Canada,25 à 34 ans,Hommes,Diabète sucré,1.0
2019,Canada,25 à 34 ans,Hommes,Diabète sucré,1.1
2015,Canada,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2016,Canada,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2017,Canada,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2018,Canada,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2019,Canada,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2015,Canada,25 à 34 ans,Hommes,Maladies du coeur,3.9
2016,Canada,25 à 34 ans,Hommes,Maladies du coeur,4.2
2017,Canada,25 à 34 ans,Hommes,Maladies du coeur,4.0
2018,Canada,25 à 34 ans,Hommes,Maladies du coeur,3.6
2019,Canada,25 à 34 ans,Hommes,Maladies du coeur,3.0
2015,Canada,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.8
2016,Canada,25 à 34 ans,Hommes,Maladies cérébrovasculaires,1.0
2017,Canada,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.7
2018,Canada,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.4
2019,Canada,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.8
2015,Canada,25 à 34 ans,Hommes,Grippe et pneumopathie,0.4
2016,Canada,25 à 34 ans,Hommes,Grippe et pneumopathie,0.7
2017,Canada,25 à 34 ans,Hommes,Grippe et pneumopathie,0.5
2018,Canada,25 à 34 ans,Hommes,Grippe et pneumopathie,0.4
2019,Canada,25 à 34 ans,Hommes,Grippe et pneumopathie,0.5
2015,Canada,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,Canada,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2017,Canada,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,Canada,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2019,Canada,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,Canada,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,1.1
2016,Canada,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,0.8
2017,Canada,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,1.1
2018,Canada,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,0.8
2019,Canada,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,1.1
2015,Canada,25 à 34 ans,Hommes,Accidents (blessures involontaires),29.8
2016,Canada,25 à 34 ans,Hommes,Accidents (blessures involontaires),38.2
2017,Canada,25 à 34 ans,Hommes,Accidents (blessures involontaires),47.6
2018,Canada,25 à 34 ans,Hommes,Accidents (blessures involontaires),36.5
2019,Canada,25 à 34 ans,Hommes,Accidents (blessures involontaires),30.9
2015,Canada,25 à 34 ans,Hommes,Lésions auto-infligées,19.9
2016,Canada,25 à 34 ans,Hommes,Lésions auto-infligées,17.5
2017,Canada,25 à 34 ans,Hommes,Lésions auto-infligées,20.4
2018,Canada,25 à 34 ans,Hommes,Lésions auto-infligées,16.6
2019,Canada,25 à 34 ans,Hommes,Lésions auto-infligées,19.4
2015,Canada,25 à 34 ans,Femmes,Tumeurs malignes,9.0
2016,Canada,25 à 34 ans,Femmes,Tumeurs malignes,7.4
2017,Canada,25 à 34 ans,Femmes,Tumeurs malignes,7.1
2018,Canada,25 à 34 ans,Femmes,Tumeurs malignes,7.9
2019,Canada,25 à 34 ans,Femmes,Tumeurs malignes,6.4
2015,Canada,25 à 34 ans,Femmes,Diabète sucré,0.7
2016,Canada,25 à 34 ans,Femmes,Diabète sucré,0.5
2017,Canada,25 à 34 ans,Femmes,Diabète sucré,0.7
2018,Canada,25 à 34 ans,Femmes,Diabète sucré,0.8
2019,Canada,25 à 34 ans,Femmes,Diabète sucré,0.6
2015,Canada,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2016,Canada,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2017,Canada,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2018,Canada,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2019,Canada,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2015,Canada,25 à 34 ans,Femmes,Maladies du coeur,2.1
2016,Canada,25 à 34 ans,Femmes,Maladies du coeur,2.0
2017,Canada,25 à 34 ans,Femmes,Maladies du coeur,2.2
2018,Canada,25 à 34 ans,Femmes,Maladies du coeur,1.9
2019,Canada,25 à 34 ans,Femmes,Maladies du coeur,1.8
2015,Canada,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.6
2016,Canada,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.5
2017,Canada,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.5
2018,Canada,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.4
2019,Canada,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.9
2015,Canada,25 à 34 ans,Femmes,Grippe et pneumopathie,0.3
2016,Canada,25 à 34 ans,Femmes,Grippe et pneumopathie,0.4
2017,Canada,25 à 34 ans,Femmes,Grippe et pneumopathie,0.4
2018,Canada,25 à 34 ans,Femmes,Grippe et pneumopathie,0.6
2019,Canada,25 à 34 ans,Femmes,Grippe et pneumopathie,0.6
2015,Canada,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,Canada,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2017,Canada,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2018,Canada,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2019,Canada,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,Canada,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,0.4
2016,Canada,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,0.8
2017,Canada,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,1.0
2018,Canada,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,1.2
2019,Canada,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,0.9
2015,Canada,25 à 34 ans,Femmes,Accidents (blessures involontaires),8.0
2016,Canada,25 à 34 ans,Femmes,Accidents (blessures involontaires),11.3
2017,Canada,25 à 34 ans,Femmes,Accidents (blessures involontaires),12.9
2018,Canada,25 à 34 ans,Femmes,Accidents (blessures involontaires),12.2
2019,Canada,25 à 34 ans,Femmes,Accidents (blessures involontaires),11.7
2015,Canada,25 à 34 ans,Femmes,Lésions auto-infligées,7.3
2016,Canada,25 à 34 ans,Femmes,Lésions auto-infligées,6.3
2017,Canada,25 à 34 ans,Femmes,Lésions auto-infligées,6.1
2018,Canada,25 à 34 ans,Femmes,Lésions auto-infligées,5.7
2019,Canada,25 à 34 ans,Femmes,Lésions auto-infligées,6.1
2015,Canada,35 à 44 ans,Les deux sexes,Tumeurs malignes,23.6
2016,Canada,35 à 44 ans,Les deux sexes,Tumeurs malignes,24.3
2017,Canada,35 à 44 ans,Les deux sexes,Tumeurs malignes,22.9
2018,Canada,35 à 44 ans,Les deux sexes,Tumeurs malignes,21.4
2019,Canada,35 à 44 ans,Les deux sexes,Tumeurs malignes,21.9
2015,Canada,35 à 44 ans,Les deux sexes,Diabète sucré,2.2
2016,Canada,35 à 44 ans,Les deux sexes,Diabète sucré,1.9
2017,Canada,35 à 44 ans,Les deux sexes,Diabète sucré,1.9
2018,Canada,35 à 44 ans,Les deux sexes,Diabète sucré,2.1
2019,Canada,35 à 44 ans,Les deux sexes,Diabète sucré,2.3
2015,Canada,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,Canada,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2017,Canada,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,Canada,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2019,Canada,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,Canada,35 à 44 ans,Les deux sexes,Maladies du coeur,9.7
2016,Canada,35 à 44 ans,Les deux sexes,Maladies du coeur,9.6
2017,Canada,35 à 44 ans,Les deux sexes,Maladies du coeur,9.5
2018,Canada,35 à 44 ans,Les deux sexes,Maladies du coeur,8.4
2019,Canada,35 à 44 ans,Les deux sexes,Maladies du coeur,8.8
2015,Canada,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.2
2016,Canada,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.2
2017,Canada,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.0
2018,Canada,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.2
2019,Canada,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,1.9
2015,Canada,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.2
2016,Canada,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.5
2017,Canada,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,0.8
2018,Canada,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.2
2019,Canada,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.4
2015,Canada,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.6
2016,Canada,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.4
2017,Canada,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2018,Canada,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.5
2019,Canada,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,Canada,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.4
2016,Canada,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.0
2017,Canada,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.4
2018,Canada,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.8
2019,Canada,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.1
2015,Canada,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),18.8
2016,Canada,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),21.5
2017,Canada,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),28.6
2018,Canada,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),23.4
2019,Canada,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),22.2
2015,Canada,35 à 44 ans,Les deux sexes,Lésions auto-infligées,14.2
2016,Canada,35 à 44 ans,Les deux sexes,Lésions auto-infligées,13.5
2017,Canada,35 à 44 ans,Les deux sexes,Lésions auto-infligées,13.2
2018,Canada,35 à 44 ans,Les deux sexes,Lésions auto-infligées,12.0
2019,Canada,35 à 44 ans,Les deux sexes,Lésions auto-infligées,12.7
2015,Canada,35 à 44 ans,Hommes,Tumeurs malignes,19.7
2016,Canada,35 à 44 ans,Hommes,Tumeurs malignes,20.3
2017,Canada,35 à 44 ans,Hommes,Tumeurs malignes,19.2
2018,Canada,35 à 44 ans,Hommes,Tumeurs malignes,18.4
2019,Canada,35 à 44 ans,Hommes,Tumeurs malignes,18.8
2015,Canada,35 à 44 ans,Hommes,Diabète sucré,3.1
2016,Canada,35 à 44 ans,Hommes,Diabète sucré,2.3
2017,Canada,35 à 44 ans,Hommes,Diabète sucré,2.4
2018,Canada,35 à 44 ans,Hommes,Diabète sucré,2.4
2019,Canada,35 à 44 ans,Hommes,Diabète sucré,2.9
2015,Canada,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2016,Canada,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2017,Canada,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2018,Canada,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2019,Canada,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2015,Canada,35 à 44 ans,Hommes,Maladies du coeur,14.1
2016,Canada,35 à 44 ans,Hommes,Maladies du coeur,13.7
2017,Canada,35 à 44 ans,Hommes,Maladies du coeur,14.0
2018,Canada,35 à 44 ans,Hommes,Maladies du coeur,12.0
2019,Canada,35 à 44 ans,Hommes,Maladies du coeur,13.0
2015,Canada,35 à 44 ans,Hommes,Maladies cérébrovasculaires,2.5
2016,Canada,35 à 44 ans,Hommes,Maladies cérébrovasculaires,1.9
2017,Canada,35 à 44 ans,Hommes,Maladies cérébrovasculaires,2.3
2018,Canada,35 à 44 ans,Hommes,Maladies cérébrovasculaires,2.7
2019,Canada,35 à 44 ans,Hommes,Maladies cérébrovasculaires,2.1
2015,Canada,35 à 44 ans,Hommes,Grippe et pneumopathie,1.4
2016,Canada,35 à 44 ans,Hommes,Grippe et pneumopathie,1.5
2017,Canada,35 à 44 ans,Hommes,Grippe et pneumopathie,0.9
2018,Canada,35 à 44 ans,Hommes,Grippe et pneumopathie,1.4
2019,Canada,35 à 44 ans,Hommes,Grippe et pneumopathie,1.8
2015,Canada,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2016,Canada,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2017,Canada,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2018,Canada,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.6
2019,Canada,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,4.1
2016,Canada,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,3.3
2017,Canada,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,3.7
2018,Canada,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,4.1
2019,Canada,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,3.9
2015,Canada,35 à 44 ans,Hommes,Accidents (blessures involontaires),28.8
2016,Canada,35 à 44 ans,Hommes,Accidents (blessures involontaires),32.4
2017,Canada,35 à 44 ans,Hommes,Accidents (blessures involontaires),44.7
2018,Canada,35 à 44 ans,Hommes,Accidents (blessures involontaires),35.7
2019,Canada,35 à 44 ans,Hommes,Accidents (blessures involontaires),33.5
2015,Canada,35 à 44 ans,Hommes,Lésions auto-infligées,20.9
2016,Canada,35 à 44 ans,Hommes,Lésions auto-infligées,20.8
2017,Canada,35 à 44 ans,Hommes,Lésions auto-infligées,20.4
2018,Canada,35 à 44 ans,Hommes,Lésions auto-infligées,18.4
2019,Canada,35 à 44 ans,Hommes,Lésions auto-infligées,19.9
2015,Canada,35 à 44 ans,Femmes,Tumeurs malignes,27.4
2016,Canada,35 à 44 ans,Femmes,Tumeurs malignes,28.3
2017,Canada,35 à 44 ans,Femmes,Tumeurs malignes,26.6
2018,Canada,35 à 44 ans,Femmes,Tumeurs malignes,24.3
2019,Canada,35 à 44 ans,Femmes,Tumeurs malignes,25.0
2015,Canada,35 à 44 ans,Femmes,Diabète sucré,1.3
2016,Canada,35 à 44 ans,Femmes,Diabète sucré,1.5
2017,Canada,35 à 44 ans,Femmes,Diabète sucré,1.4
2018,Canada,35 à 44 ans,Femmes,Diabète sucré,1.7
2019,Canada,35 à 44 ans,Femmes,Diabète sucré,1.7
2015,Canada,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2016,Canada,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2017,Canada,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2018,Canada,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2019,Canada,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2015,Canada,35 à 44 ans,Femmes,Maladies du coeur,5.3
2016,Canada,35 à 44 ans,Femmes,Maladies du coeur,5.5
2017,Canada,35 à 44 ans,Femmes,Maladies du coeur,5.0
2018,Canada,35 à 44 ans,Femmes,Maladies du coeur,5.0
2019,Canada,35 à 44 ans,Femmes,Maladies du coeur,4.6
2015,Canada,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.9
2016,Canada,35 à 44 ans,Femmes,Maladies cérébrovasculaires,2.5
2017,Canada,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.6
2018,Canada,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.7
2019,Canada,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.8
2015,Canada,35 à 44 ans,Femmes,Grippe et pneumopathie,1.0
