Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2016,Northwest Territories,Potable water assets,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Potable water assets,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Potable water assets,All rural municipalities,61,20.0
2016,Northwest Territories,Potable water assets,"Rural municipalities, population less than 5000",61,20.0
2016,Northwest Territories,Potable water assets,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Stormwater assets,All municipalities,61,0.0
2016,Northwest Territories,Stormwater assets,All urban municipalities,61,0.0
2016,Northwest Territories,Stormwater assets,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Stormwater assets,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Stormwater assets,All rural municipalities,61,0.0
2016,Northwest Territories,Stormwater assets,"Rural municipalities, population less than 5000",61,0.0
2016,Northwest Territories,Stormwater assets,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Wastewater assets,All municipalities,61,16.67
2016,Northwest Territories,Wastewater assets,All urban municipalities,61,0.0
2016,Northwest Territories,Wastewater assets,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Wastewater assets,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Wastewater assets,All rural municipalities,61,20.0
2016,Northwest Territories,Wastewater assets,"Rural municipalities, population less than 5000",61,20.0
2016,Northwest Territories,Wastewater assets,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Solid waste assets,All municipalities,61,16.67
2016,Northwest Territories,Solid waste assets,All urban municipalities,61,0.0
2016,Northwest Territories,Solid waste assets,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Solid waste assets,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Solid waste assets,All rural municipalities,61,20.0
2016,Northwest Territories,Solid waste assets,"Rural municipalities, population less than 5000",61,20.0
2016,Northwest Territories,Solid waste assets,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Roads,All municipalities,61,16.67
2016,Northwest Territories,Roads,All urban municipalities,61,0.0
2016,Northwest Territories,Roads,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Roads,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Roads,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Roads,All rural municipalities,61,20.0
2016,Northwest Territories,Roads,"Rural municipalities, population less than 5000",61,20.0
2016,Northwest Territories,Roads,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Bridges and tunnels,All municipalities,61,25.0
2016,Northwest Territories,Bridges and tunnels,All urban municipalities,61,0.0
2016,Northwest Territories,Bridges and tunnels,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,Bridges and tunnels,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Bridges and tunnels,All rural municipalities,61,33.33
2016,Northwest Territories,Bridges and tunnels,"Rural municipalities, population less than 5000",61,33.33
2016,Northwest Territories,Bridges and tunnels,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,Social and affordable housing,All municipalities,61,
2016,Northwest Territories,Social and affordable housing,All urban municipalities,61,
2016,Northwest Territories,Social and affordable housing,"Urban municipalities, population less than 5000",61,
2016,Northwest Territories,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",61,
2016,Northwest Territories,Social and affordable housing,"Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,Social and affordable housing,All rural municipalities,61,
2016,Northwest Territories,Social and affordable housing,"Rural municipalities, population less than 5000",61,
2016,Northwest Territories,Social and affordable housing,"Rural municipalities, population greater than 5000",61,
2016,Northwest Territories,"Culture, recreation and sports facilities",All municipalities,61,16.67
2016,Northwest Territories,"Culture, recreation and sports facilities",All urban municipalities,61,0.0
2016,Northwest Territories,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",61,
2016,Northwest Territories,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",61,0.0
2016,Northwest Territories,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",61,
2016,Northwest Territories,"Culture, recreation and sports facilities",All rural municipalities,61,20.0
2016,Northwest Territories,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",61,20.0
2016,Northwest Territories,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",61,
2016,Nunavut,Public transit assets,All municipalities,62,
2016,Nunavut,Public transit assets,All urban municipalities,62,
2016,Nunavut,Public transit assets,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Public transit assets,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Public transit assets,All rural municipalities,62,
2016,Nunavut,Public transit assets,"Rural municipalities, population less than 5000",62,
2016,Nunavut,Public transit assets,"Rural municipalities, population greater than 5000",62,
2016,Nunavut,Potable water assets,All municipalities,62,37.5
2016,Nunavut,Potable water assets,All urban municipalities,62,
2016,Nunavut,Potable water assets,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Potable water assets,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Potable water assets,All rural municipalities,62,37.5
2016,Nunavut,Potable water assets,"Rural municipalities, population less than 5000",62,28.57
2016,Nunavut,Potable water assets,"Rural municipalities, population greater than 5000",62,100.0
2016,Nunavut,Stormwater assets,All municipalities,62,0.0
2016,Nunavut,Stormwater assets,All urban municipalities,62,
2016,Nunavut,Stormwater assets,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Stormwater assets,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Stormwater assets,All rural municipalities,62,0.0
2016,Nunavut,Stormwater assets,"Rural municipalities, population less than 5000",62,0.0
2016,Nunavut,Stormwater assets,"Rural municipalities, population greater than 5000",62,
2016,Nunavut,Wastewater assets,All municipalities,62,40.0
2016,Nunavut,Wastewater assets,All urban municipalities,62,
2016,Nunavut,Wastewater assets,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Wastewater assets,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Wastewater assets,All rural municipalities,62,40.0
2016,Nunavut,Wastewater assets,"Rural municipalities, population less than 5000",62,44.44
2016,Nunavut,Wastewater assets,"Rural municipalities, population greater than 5000",62,0.0
2016,Nunavut,Solid waste assets,All municipalities,62,33.33
2016,Nunavut,Solid waste assets,All urban municipalities,62,
2016,Nunavut,Solid waste assets,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Solid waste assets,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Solid waste assets,All rural municipalities,62,33.33
2016,Nunavut,Solid waste assets,"Rural municipalities, population less than 5000",62,36.36
2016,Nunavut,Solid waste assets,"Rural municipalities, population greater than 5000",62,0.0
2016,Nunavut,Roads,All municipalities,62,41.67
2016,Nunavut,Roads,All urban municipalities,62,
2016,Nunavut,Roads,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Roads,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Roads,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Roads,All rural municipalities,62,41.67
2016,Nunavut,Roads,"Rural municipalities, population less than 5000",62,36.36
2016,Nunavut,Roads,"Rural municipalities, population greater than 5000",62,100.0
2016,Nunavut,Bridges and tunnels,All municipalities,62,0.0
2016,Nunavut,Bridges and tunnels,All urban municipalities,62,
2016,Nunavut,Bridges and tunnels,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Bridges and tunnels,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Bridges and tunnels,All rural municipalities,62,0.0
2016,Nunavut,Bridges and tunnels,"Rural municipalities, population less than 5000",62,0.0
2016,Nunavut,Bridges and tunnels,"Rural municipalities, population greater than 5000",62,0.0
2016,Nunavut,Social and affordable housing,All municipalities,62,0.0
2016,Nunavut,Social and affordable housing,All urban municipalities,62,
2016,Nunavut,Social and affordable housing,"Urban municipalities, population less than 5000",62,
2016,Nunavut,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,Social and affordable housing,"Urban municipalities, population greater than 30,000",62,
2016,Nunavut,Social and affordable housing,All rural municipalities,62,0.0
2016,Nunavut,Social and affordable housing,"Rural municipalities, population less than 5000",62,0.0
2016,Nunavut,Social and affordable housing,"Rural municipalities, population greater than 5000",62,
2016,Nunavut,"Culture, recreation and sports facilities",All municipalities,62,33.33
2016,Nunavut,"Culture, recreation and sports facilities",All urban municipalities,62,
2016,Nunavut,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",62,
2016,Nunavut,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",62,
2016,Nunavut,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",62,
2016,Nunavut,"Culture, recreation and sports facilities",All rural municipalities,62,33.33
2016,Nunavut,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",62,36.36
2016,Nunavut,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",62,0.0
2018,Canada,Public transit assets,All municipalities,11124,27.55
2018,Canada,Public transit assets,All urban municipalities,11124,28.94
2018,Canada,Public transit assets,"Urban municipalities, population less than 5000",11124,
2018,Canada,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",11124,
2018,Canada,Public transit assets,"Urban municipalities, population greater than 30,000",11124,
2018,Canada,Public transit assets,All rural municipalities,11124,25.89
2018,Canada,Public transit assets,"Rural municipalities, population less than 5000",11124,22.73
2018,Canada,Public transit assets,"Rural municipalities, population greater than 5000",11124,37.21
2018,Canada,Potable water assets,All municipalities,11124,42.47
2018,Canada,Potable water assets,All urban municipalities,11124,55.5
2018,Canada,Potable water assets,"Urban municipalities, population less than 5000",11124,50.76
2018,Canada,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",11124,63.74
2018,Canada,Potable water assets,"Urban municipalities, population greater than 30,000",11124,52.46
2018,Canada,Potable water assets,All rural municipalities,11124,37.79
2018,Canada,Potable water assets,"Rural municipalities, population less than 5000",11124,36.31
2018,Canada,Potable water assets,"Rural municipalities, population greater than 5000",11124,49.01
2018,Canada,Stormwater assets,All municipalities,11124,50.18
2018,Canada,Stormwater assets,All urban municipalities,11124,61.77
2018,Canada,Stormwater assets,"Urban municipalities, population less than 5000",11124,52.21
2018,Canada,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",11124,71.33
2018,Canada,Stormwater assets,"Urban municipalities, population greater than 30,000",11124,69.06
2018,Canada,Stormwater assets,All rural municipalities,11124,45.37
2018,Canada,Stormwater assets,"Rural municipalities, population less than 5000",11124,43.42
2018,Canada,Stormwater assets,"Rural municipalities, population greater than 5000",11124,56.47
2018,Canada,Wastewater assets,All municipalities,11124,43.9
2018,Canada,Wastewater assets,All urban municipalities,11124,55.84
2018,Canada,Wastewater assets,"Urban municipalities, population less than 5000",11124,49.39
2018,Canada,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",11124,65.59
2018,Canada,Wastewater assets,"Urban municipalities, population greater than 30,000",11124,55.12
2018,Canada,Wastewater assets,All rural municipalities,11124,39.78
2018,Canada,Wastewater assets,"Rural municipalities, population less than 5000",11124,38.21
2018,Canada,Wastewater assets,"Rural municipalities, population greater than 5000",11124,52.4
2018,Canada,Solid waste assets,All municipalities,11124,30.16
2018,Canada,Solid waste assets,All urban municipalities,11124,37.08
2018,Canada,Solid waste assets,"Urban municipalities, population less than 5000",11124,34.52
2018,Canada,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",11124,39.52
2018,Canada,Solid waste assets,"Urban municipalities, population greater than 30,000",11124,40.23
2018,Canada,Solid waste assets,All rural municipalities,11124,27.72
2018,Canada,Solid waste assets,"Rural municipalities, population less than 5000",11124,27.35
2018,Canada,Solid waste assets,"Rural municipalities, population greater than 5000",11124,31.18
2018,Canada,Roads,All municipalities,11124,41.81
2018,Canada,Roads,All urban municipalities,11124,49.17
2018,Canada,Roads,"Urban municipalities, population less than 5000",11124,39.33
2018,Canada,Roads,"Urban municipalities, population greater than 5000 to 30,000",11124,59.65
2018,Canada,Roads,"Urban municipalities, population greater than 30,000",11124,56.83
2018,Canada,Roads,All rural municipalities,11124,39.73
2018,Canada,Roads,"Rural municipalities, population less than 5000",11124,38.56
2018,Canada,Roads,"Rural municipalities, population greater than 5000",11124,50.17
2018,Canada,Bridges and tunnels,All municipalities,11124,39.54
2018,Canada,Bridges and tunnels,All urban municipalities,11124,38.01
2018,Canada,Bridges and tunnels,"Urban municipalities, population less than 5000",11124,
2018,Canada,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",11124,
2018,Canada,Bridges and tunnels,"Urban municipalities, population greater than 30,000",11124,
2018,Canada,Bridges and tunnels,All rural municipalities,11124,40.05
2018,Canada,Bridges and tunnels,"Rural municipalities, population less than 5000",11124,38.66
2018,Canada,Bridges and tunnels,"Rural municipalities, population greater than 5000",11124,46.41
2018,Canada,Social and affordable housing,All municipalities,11124,
2018,Canada,Social and affordable housing,All urban municipalities,11124,
2018,Canada,Social and affordable housing,"Urban municipalities, population less than 5000",11124,
2018,Canada,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",11124,
2018,Canada,Social and affordable housing,"Urban municipalities, population greater than 30,000",11124,
2018,Canada,Social and affordable housing,All rural municipalities,11124,
2018,Canada,Social and affordable housing,"Rural municipalities, population less than 5000",11124,
2018,Canada,Social and affordable housing,"Rural municipalities, population greater than 5000",11124,
2018,Canada,"Culture, recreation and sports facilities",All municipalities,11124,35.07
2018,Canada,"Culture, recreation and sports facilities",All urban municipalities,11124,40.46
2018,Canada,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",11124,36.59
2018,Canada,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",11124,44.09
2018,Canada,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",11124,44.29
2018,Canada,"Culture, recreation and sports facilities",All rural municipalities,11124,33.27
2018,Canada,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",11124,32.16
2018,Canada,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",11124,41.61
2018,Newfoundland and Labrador,Public transit assets,All municipalities,10,100.0
2018,Newfoundland and Labrador,Public transit assets,All urban municipalities,10,100.0
2018,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population less than 5000",10,
2018,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",10,100.0
2018,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Public transit assets,All rural municipalities,10,
2018,Newfoundland and Labrador,Public transit assets,"Rural municipalities, population less than 5000",10,
2018,Newfoundland and Labrador,Public transit assets,"Rural municipalities, population greater than 5000",10,
2018,Newfoundland and Labrador,Potable water assets,All municipalities,10,36.97
2018,Newfoundland and Labrador,Potable water assets,All urban municipalities,10,54.05
2018,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population less than 5000",10,36.36
2018,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",10,73.33
2018,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Potable water assets,All rural municipalities,10,34.55
2018,Newfoundland and Labrador,Potable water assets,"Rural municipalities, population less than 5000",10,34.16
2018,Newfoundland and Labrador,Potable water assets,"Rural municipalities, population greater than 5000",10,33.33
2018,Newfoundland and Labrador,Stormwater assets,All municipalities,10,50.6
2018,Newfoundland and Labrador,Stormwater assets,All urban municipalities,10,67.65
2018,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population less than 5000",10,57.89
2018,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",10,73.33
2018,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Stormwater assets,All rural municipalities,10,46.27
2018,Newfoundland and Labrador,Stormwater assets,"Rural municipalities, population less than 5000",10,45.8
2018,Newfoundland and Labrador,Stormwater assets,"Rural municipalities, population greater than 5000",10,66.67
2018,Newfoundland and Labrador,Wastewater assets,All municipalities,10,36.4
2018,Newfoundland and Labrador,Wastewater assets,All urban municipalities,10,54.05
2018,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population less than 5000",10,36.36
2018,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",10,73.33
2018,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Wastewater assets,All rural municipalities,10,33.76
2018,Newfoundland and Labrador,Wastewater assets,"Rural municipalities, population less than 5000",10,33.33
2018,Newfoundland and Labrador,Wastewater assets,"Rural municipalities, population greater than 5000",10,66.67
2018,Newfoundland and Labrador,Solid waste assets,All municipalities,10,34.68
2018,Newfoundland and Labrador,Solid waste assets,All urban municipalities,10,54.17
2018,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population less than 5000",10,54.55
2018,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",10,50.0
2018,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Solid waste assets,All rural municipalities,10,31.54
2018,Newfoundland and Labrador,Solid waste assets,"Rural municipalities, population less than 5000",10,29.93
2018,Newfoundland and Labrador,Solid waste assets,"Rural municipalities, population greater than 5000",10,100.0
2018,Newfoundland and Labrador,Roads,All municipalities,10,40.44
2018,Newfoundland and Labrador,Roads,All urban municipalities,10,52.5
2018,Newfoundland and Labrador,Roads,"Urban municipalities, population less than 5000",10,45.83
2018,Newfoundland and Labrador,Roads,"Urban municipalities, population greater than 5000 to 30,000",10,66.67
2018,Newfoundland and Labrador,Roads,"Urban municipalities, population greater than 30,000",10,0.0
2018,Newfoundland and Labrador,Roads,All rural municipalities,10,38.71
2018,Newfoundland and Labrador,Roads,"Rural municipalities, population less than 5000",10,38.55
2018,Newfoundland and Labrador,Roads,"Rural municipalities, population greater than 5000",10,66.67
2018,Newfoundland and Labrador,Bridges and tunnels,All municipalities,10,40.96
2018,Newfoundland and Labrador,Bridges and tunnels,All urban municipalities,10,48.0
2018,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population less than 5000",10,35.71
2018,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",10,60.0
2018,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,Bridges and tunnels,All rural municipalities,10,37.93
2018,Newfoundland and Labrador,Bridges and tunnels,"Rural municipalities, population less than 5000",10,36.84
2018,Newfoundland and Labrador,Bridges and tunnels,"Rural municipalities, population greater than 5000",10,100.0
2018,Newfoundland and Labrador,Social and affordable housing,All municipalities,10,
2018,Newfoundland and Labrador,Social and affordable housing,All urban municipalities,10,
2018,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population less than 5000",10,
2018,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",10,
2018,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population greater than 30,000",10,
2018,Newfoundland and Labrador,Social and affordable housing,All rural municipalities,10,
2018,Newfoundland and Labrador,Social and affordable housing,"Rural municipalities, population less than 5000",10,
2018,Newfoundland and Labrador,Social and affordable housing,"Rural municipalities, population greater than 5000",10,
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities",All municipalities,10,27.33
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities",All urban municipalities,10,43.59
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",10,33.33
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",10,61.54
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",10,100.0
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities",All rural municipalities,10,24.9
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",10,24.03
2018,Newfoundland and Labrador,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",10,66.67
2018,Prince Edward Island,Public transit assets,All municipalities,11,40.0
2018,Prince Edward Island,Public transit assets,All urban municipalities,11,66.67
2018,Prince Edward Island,Public transit assets,"Urban municipalities, population less than 5000",11,
2018,Prince Edward Island,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,Public transit assets,"Urban municipalities, population greater than 30,000",11,0.0
2018,Prince Edward Island,Public transit assets,All rural municipalities,11,0.0
2018,Prince Edward Island,Public transit assets,"Rural municipalities, population less than 5000",11,
2018,Prince Edward Island,Public transit assets,"Rural municipalities, population greater than 5000",11,0.0
2018,Prince Edward Island,Potable water assets,All municipalities,11,45.0
2018,Prince Edward Island,Potable water assets,All urban municipalities,11,44.44
2018,Prince Edward Island,Potable water assets,"Urban municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,Potable water assets,"Urban municipalities, population greater than 30,000",11,100.0
2018,Prince Edward Island,Potable water assets,All rural municipalities,11,45.16
2018,Prince Edward Island,Potable water assets,"Rural municipalities, population less than 5000",11,37.93
2018,Prince Edward Island,Potable water assets,"Rural municipalities, population greater than 5000",11,100.0
2018,Prince Edward Island,Stormwater assets,All municipalities,11,50.0
2018,Prince Edward Island,Stormwater assets,All urban municipalities,11,37.5
2018,Prince Edward Island,Stormwater assets,"Urban municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,Stormwater assets,"Urban municipalities, population greater than 30,000",11,100.0
2018,Prince Edward Island,Stormwater assets,All rural municipalities,11,54.55
2018,Prince Edward Island,Stormwater assets,"Rural municipalities, population less than 5000",11,54.55
2018,Prince Edward Island,Stormwater assets,"Rural municipalities, population greater than 5000",11,
2018,Prince Edward Island,Wastewater assets,All municipalities,11,35.8
2018,Prince Edward Island,Wastewater assets,All urban municipalities,11,21.43
2018,Prince Edward Island,Wastewater assets,"Urban municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,Wastewater assets,"Urban municipalities, population greater than 30,000",11,0.0
2018,Prince Edward Island,Wastewater assets,All rural municipalities,11,38.81
2018,Prince Edward Island,Wastewater assets,"Rural municipalities, population less than 5000",11,36.92
2018,Prince Edward Island,Wastewater assets,"Rural municipalities, population greater than 5000",11,100.0
2018,Prince Edward Island,Solid waste assets,All municipalities,11,0.0
2018,Prince Edward Island,Solid waste assets,All urban municipalities,11,
2018,Prince Edward Island,Solid waste assets,"Urban municipalities, population less than 5000",11,
2018,Prince Edward Island,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",11,
2018,Prince Edward Island,Solid waste assets,"Urban municipalities, population greater than 30,000",11,
2018,Prince Edward Island,Solid waste assets,All rural municipalities,11,0.0
2018,Prince Edward Island,Solid waste assets,"Rural municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Solid waste assets,"Rural municipalities, population greater than 5000",11,
2018,Prince Edward Island,Roads,All municipalities,11,6.82
2018,Prince Edward Island,Roads,All urban municipalities,11,37.5
2018,Prince Edward Island,Roads,"Urban municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Roads,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,Roads,"Urban municipalities, population greater than 30,000",11,100.0
2018,Prince Edward Island,Roads,All rural municipalities,11,0.0
2018,Prince Edward Island,Roads,"Rural municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Roads,"Rural municipalities, population greater than 5000",11,
2018,Prince Edward Island,Bridges and tunnels,All municipalities,11,0.0
2018,Prince Edward Island,Bridges and tunnels,All urban municipalities,11,
2018,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population less than 5000",11,
2018,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",11,
2018,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population greater than 30,000",11,
2018,Prince Edward Island,Bridges and tunnels,All rural municipalities,11,0.0
2018,Prince Edward Island,Bridges and tunnels,"Rural municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,Bridges and tunnels,"Rural municipalities, population greater than 5000",11,
2018,Prince Edward Island,Social and affordable housing,All municipalities,11,
2018,Prince Edward Island,Social and affordable housing,All urban municipalities,11,
2018,Prince Edward Island,Social and affordable housing,"Urban municipalities, population less than 5000",11,
2018,Prince Edward Island,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",11,
2018,Prince Edward Island,Social and affordable housing,"Urban municipalities, population greater than 30,000",11,
2018,Prince Edward Island,Social and affordable housing,All rural municipalities,11,
2018,Prince Edward Island,Social and affordable housing,"Rural municipalities, population less than 5000",11,
2018,Prince Edward Island,Social and affordable housing,"Rural municipalities, population greater than 5000",11,
2018,Prince Edward Island,"Culture, recreation and sports facilities",All municipalities,11,38.37
2018,Prince Edward Island,"Culture, recreation and sports facilities",All urban municipalities,11,28.57
2018,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",11,0.0
2018,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",11,100.0
2018,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",11,100.0
2018,Prince Edward Island,"Culture, recreation and sports facilities",All rural municipalities,11,38.89
2018,Prince Edward Island,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",11,37.14
2018,Prince Edward Island,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",11,100.0
2018,Nova Scotia,Public transit assets,All municipalities,12,42.86
2018,Nova Scotia,Public transit assets,All urban municipalities,12,50.0
2018,Nova Scotia,Public transit assets,"Urban municipalities, population less than 5000",12,
2018,Nova Scotia,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",12,66.67
2018,Nova Scotia,Public transit assets,"Urban municipalities, population greater than 30,000",12,0.0
2018,Nova Scotia,Public transit assets,All rural municipalities,12,50.0
2018,Nova Scotia,Public transit assets,"Rural municipalities, population less than 5000",12,
2018,Nova Scotia,Public transit assets,"Rural municipalities, population greater than 5000",12,50.0
2018,Nova Scotia,Potable water assets,All municipalities,12,58.49
2018,Nova Scotia,Potable water assets,All urban municipalities,12,46.43
2018,Nova Scotia,Potable water assets,"Urban municipalities, population less than 5000",12,52.38
2018,Nova Scotia,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",12,33.33
2018,Nova Scotia,Potable water assets,"Urban municipalities, population greater than 30,000",12,0.0
