Year,Units,Geography,Fuel type,Demand characteristics,Value
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19515.0
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19526.0
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19879.0
2015,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2016,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2017,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2018,Terajoules,Nova Scotia,Total coal,Energy use - final demand,454.0
2019,Terajoules,Nova Scotia,Total coal,Energy use - final demand,478.0
2015,Terajoules,Nova Scotia,Total coal,Total industrial,
2016,Terajoules,Nova Scotia,Total coal,Total industrial,
2017,Terajoules,Nova Scotia,Total coal,Total industrial,
2018,Terajoules,Nova Scotia,Total coal,Total industrial,454.0
2019,Terajoules,Nova Scotia,Total coal,Total industrial,478.0
2015,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2016,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2017,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2018,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,10744.0
2019,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,10847.0
2015,Terajoules,Nova Scotia,Natural gas,Total industrial,
2016,Terajoules,Nova Scotia,Natural gas,Total industrial,
2017,Terajoules,Nova Scotia,Natural gas,Total industrial,
2018,Terajoules,Nova Scotia,Natural gas,Total industrial,2918.0
2019,Terajoules,Nova Scotia,Natural gas,Total industrial,2582.0
2015,Terajoules,Nova Scotia,Natural gas,Total transportation,
2016,Terajoules,Nova Scotia,Natural gas,Total transportation,
2017,Terajoules,Nova Scotia,Natural gas,Total transportation,
2018,Terajoules,Nova Scotia,Natural gas,Total transportation,329.0
2019,Terajoules,Nova Scotia,Natural gas,Total transportation,357.0
2015,Terajoules,Nova Scotia,Natural gas,Residential,250.0
2016,Terajoules,Nova Scotia,Natural gas,Residential,238.0
2017,Terajoules,Nova Scotia,Natural gas,Residential,259.0
2018,Terajoules,Nova Scotia,Natural gas,Residential,304.0
2019,Terajoules,Nova Scotia,Natural gas,Residential,333.0
2015,Terajoules,Nova Scotia,Natural gas,Public administration,1767.0
2016,Terajoules,Nova Scotia,Natural gas,Public administration,2143.0
2017,Terajoules,Nova Scotia,Natural gas,Public administration,2705.0
2018,Terajoules,Nova Scotia,Natural gas,Public administration,2879.0
2019,Terajoules,Nova Scotia,Natural gas,Public administration,3032.0
2015,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,2647.0
2016,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,3211.0
2017,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4378.0
2018,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4313.0
2019,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4543.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2367.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2337.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2436.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2856.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2753.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,484.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,677.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,649.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,2563.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,2514.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,46.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,40.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,32.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,6.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,5.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,39.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,33.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,32.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,6.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,5.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,561.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,494.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,457.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,87.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,71.0
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1243.0
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1093.0
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1024.0
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,195.0
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,159.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,36073.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,36987.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,37885.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,38896.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,38140.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8005.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,
2017,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8988.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8977.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,7895.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,232.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,241.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,251.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,262.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,263.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Residential,15831.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Residential,15867.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Residential,16414.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Residential,16920.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Residential,17069.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Public administration,393.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Public administration,438.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Public administration,368.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Public administration,358.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Public administration,367.0
2015,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,11613.0
2016,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12517.0
2017,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,11864.0
2018,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12380.0
2019,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12547.0
2015,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2016,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2017,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2018,Terajoules,Nova Scotia,Steam,Energy use - final demand,0.0
2019,Terajoules,Nova Scotia,Steam,Energy use - final demand,0.0
2015,Terajoules,Nova Scotia,Steam,Total industrial,
2016,Terajoules,Nova Scotia,Steam,Total industrial,
2017,Terajoules,Nova Scotia,Steam,Total industrial,
2018,Terajoules,Nova Scotia,Steam,Total industrial,0.0
2019,Terajoules,Nova Scotia,Steam,Total industrial,0.0
2015,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0.0
2016,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0.0
2017,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0.0
2018,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0.0
2019,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0.0
2015,Terajoules,Nova Scotia,Coke,Energy use - final demand,0.0
2016,Terajoules,Nova Scotia,Coke,Energy use - final demand,0.0
2017,Terajoules,Nova Scotia,Coke,Energy use - final demand,0.0
2018,Terajoules,Nova Scotia,Coke,Energy use - final demand,0.0
2019,Terajoules,Nova Scotia,Coke,Energy use - final demand,0.0
2015,Terajoules,Nova Scotia,Coke,Total industrial,0.0
2016,Terajoules,Nova Scotia,Coke,Total industrial,0.0
2017,Terajoules,Nova Scotia,Coke,Total industrial,0.0
2018,Terajoules,Nova Scotia,Coke,Total industrial,0.0
2019,Terajoules,Nova Scotia,Coke,Total industrial,0.0
2015,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0.0
2016,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0.0
2017,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0.0
2018,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0.0
2019,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0.0
2015,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0.0
2016,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0.0
2017,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0.0
2018,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0.0
2019,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,101046.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,95574.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,99047.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,102819.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,100708.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5591.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5759.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,6350.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,6149.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5788.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,67706.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,67278.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,69245.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,71832.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,70457.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,1414.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,
2017,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,2012.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,2073.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,1692.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Residential,17028.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Residential,13825.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Residential,14385.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Residential,15956.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Residential,16095.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,5055.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4968.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4806.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4170.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4044.0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,4251.0
2016,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2348.0
2017,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2249.0
2018,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2639.0
2019,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2632.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,144221.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,146107.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,140350.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,144574.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,143776.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,37777.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,36070.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,40133.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,42282.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,44472.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,54341.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,60494.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,53631.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,52794.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,51339.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1883.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,2189.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1936.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1786.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1724.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Residential,29993.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Residential,28166.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Residential,27954.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Residential,28667.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Residential,27264.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,4619.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,4250.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3724.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3705.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3518.0
2015,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15796.0
2016,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,14930.0
2017,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,14003.0
2018,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15622.0
2019,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15460.0
2015,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2016,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2017,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2018,Terajoules,New Brunswick,Total coal,Energy use - final demand,0.0
2019,Terajoules,New Brunswick,Total coal,Energy use - final demand,0.0
2015,Terajoules,New Brunswick,Total coal,Total industrial,
2016,Terajoules,New Brunswick,Total coal,Total industrial,
2017,Terajoules,New Brunswick,Total coal,Total industrial,
2018,Terajoules,New Brunswick,Total coal,Total industrial,0.0
2019,Terajoules,New Brunswick,Total coal,Total industrial,0.0
2015,Terajoules,New Brunswick,Natural gas,Energy use - final demand,17074.0
2016,Terajoules,New Brunswick,Natural gas,Energy use - final demand,16866.0
2017,Terajoules,New Brunswick,Natural gas,Energy use - final demand,17051.0
2018,Terajoules,New Brunswick,Natural gas,Energy use - final demand,20012.0
2019,Terajoules,New Brunswick,Natural gas,Energy use - final demand,22386.0
2015,Terajoules,New Brunswick,Natural gas,Total industrial,13568.0
2016,Terajoules,New Brunswick,Natural gas,Total industrial,
2017,Terajoules,New Brunswick,Natural gas,Total industrial,
2018,Terajoules,New Brunswick,Natural gas,Total industrial,16304.0
2019,Terajoules,New Brunswick,Natural gas,Total industrial,18523.0
2015,Terajoules,New Brunswick,Natural gas,Total transportation,2.0
2016,Terajoules,New Brunswick,Natural gas,Total transportation,
2017,Terajoules,New Brunswick,Natural gas,Total transportation,
2018,Terajoules,New Brunswick,Natural gas,Total transportation,213.0
2019,Terajoules,New Brunswick,Natural gas,Total transportation,298.0
2015,Terajoules,New Brunswick,Natural gas,Agriculture,0.0
2016,Terajoules,New Brunswick,Natural gas,Agriculture,0.0
2017,Terajoules,New Brunswick,Natural gas,Agriculture,
2015,Terajoules,New Brunswick,Natural gas,Residential,630.0
2016,Terajoules,New Brunswick,Natural gas,Residential,611.0
2017,Terajoules,New Brunswick,Natural gas,Residential,593.0
2018,Terajoules,New Brunswick,Natural gas,Residential,616.0
2019,Terajoules,New Brunswick,Natural gas,Residential,612.0
2015,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2874.0
2016,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2733.0
2017,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2544.0
2018,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2878.0
2019,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2952.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2576.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2568.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,1359.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,1872.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2605.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,965.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,1080.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,1109.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,999.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,972.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,18.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,15.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,13.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,10.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,18.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,38.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,30.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,28.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,20.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,37.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,364.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,301.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,261.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,177.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,330.0
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1377.0
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1134.0
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,979.0
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,949.0
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1247.0
2015,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,18356.65364
2016,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,19939.56243
2017,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,16540.46599
2018,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,16993.1493
2019,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,18450.12234
2015,Terajoules,New Brunswick,Hydroelectricity,Total industrial,
2016,Terajoules,New Brunswick,Hydroelectricity,Total industrial,
2017,Terajoules,New Brunswick,Hydroelectricity,Total industrial,6004.312
2018,Terajoules,New Brunswick,Hydroelectricity,Total industrial,5724.591546
2019,Terajoules,New Brunswick,Hydroelectricity,Total industrial,6430.126105
2015,Terajoules,New Brunswick,Hydroelectricity,Agriculture,97.89405813
2016,Terajoules,New Brunswick,Hydroelectricity,Agriculture,113.2359895
2017,Terajoules,New Brunswick,Hydroelectricity,Agriculture,92.55525784
2018,Terajoules,New Brunswick,Hydroelectricity,Agriculture,94.75988157
2019,Terajoules,New Brunswick,Hydroelectricity,Agriculture,106.5271139
2015,Terajoules,New Brunswick,Hydroelectricity,Residential,8032.245413
2016,Terajoules,New Brunswick,Hydroelectricity,Residential,8438.379364
2017,Terajoules,New Brunswick,Hydroelectricity,Residential,6793.219361
2018,Terajoules,New Brunswick,Hydroelectricity,Residential,7207.908681
2019,Terajoules,New Brunswick,Hydroelectricity,Residential,7700.602105
2015,Terajoules,New Brunswick,Hydroelectricity,Public administration,
2016,Terajoules,New Brunswick,Hydroelectricity,Public administration,
2017,Terajoules,New Brunswick,Hydroelectricity,Public administration,457.391256
2018,Terajoules,New Brunswick,Hydroelectricity,Public administration,368.0925363
2019,Terajoules,New Brunswick,Hydroelectricity,Public administration,401.8127979
2015,Terajoules,New Brunswick,Hydroelectricity,Commercial and other institutional,3648.26112
2016,Terajoules,New Brunswick,Hydroelectricity,Commercial and other institutional,3876.347876
2017,Terajoules,New Brunswick,Hydroelectricity,Commercial and other institutional,3192.988113
2018,Terajoules,New Brunswick,Hydroelectricity,Commercial and other institutional,3597.796659
2019,Terajoules,New Brunswick,Hydroelectricity,Commercial and other institutional,3810.306663
2015,Terajoules,New Brunswick,Nuclear,Energy use - final demand,30022.34636
2016,Terajoules,New Brunswick,Nuclear,Energy use - final demand,27780.43757
2017,Terajoules,New Brunswick,Nuclear,Energy use - final demand,32604.53401
2018,Terajoules,New Brunswick,Nuclear,Energy use - final demand,32680.8507
2019,Terajoules,New Brunswick,Nuclear,Energy use - final demand,30910.87766
2015,Terajoules,New Brunswick,Nuclear,Total industrial,
2016,Terajoules,New Brunswick,Nuclear,Total industrial,
2017,Terajoules,New Brunswick,Nuclear,Total industrial,11835.688
2018,Terajoules,New Brunswick,Nuclear,Total industrial,11009.40845
2019,Terajoules,New Brunswick,Nuclear,Total industrial,10772.87389
2015,Terajoules,New Brunswick,Nuclear,Agriculture,160.1059419
2016,Terajoules,New Brunswick,Nuclear,Agriculture,157.7640105
2017,Terajoules,New Brunswick,Nuclear,Agriculture,182.4447422
2018,Terajoules,New Brunswick,Nuclear,Agriculture,182.2401184
2019,Terajoules,New Brunswick,Nuclear,Agriculture,178.4728861
2015,Terajoules,New Brunswick,Nuclear,Residential,13136.75459
2016,Terajoules,New Brunswick,Nuclear,Residential,11756.62064
2017,Terajoules,New Brunswick,Nuclear,Residential,13390.78064
2018,Terajoules,New Brunswick,Nuclear,Residential,13862.09132
2019,Terajoules,New Brunswick,Nuclear,Residential,12901.39789
2015,Terajoules,New Brunswick,Nuclear,Public administration,
2016,Terajoules,New Brunswick,Nuclear,Public administration,
2017,Terajoules,New Brunswick,Nuclear,Public administration,901.608744
2018,Terajoules,New Brunswick,Nuclear,Public administration,707.9074637
2019,Terajoules,New Brunswick,Nuclear,Public administration,673.1872021
2015,Terajoules,New Brunswick,Nuclear,Commercial and other institutional,5966.73888
2016,Terajoules,New Brunswick,Nuclear,Commercial and other institutional,5400.652124
2017,Terajoules,New Brunswick,Nuclear,Commercial and other institutional,6294.011887
2018,Terajoules,New Brunswick,Nuclear,Commercial and other institutional,6919.203341
2019,Terajoules,New Brunswick,Nuclear,Commercial and other institutional,6383.693337
2015,Terajoules,New Brunswick,Steam,Energy use - final demand,
2016,Terajoules,New Brunswick,Steam,Energy use - final demand,
2017,Terajoules,New Brunswick,Steam,Energy use - final demand,
2018,Terajoules,New Brunswick,Steam,Energy use - final demand,3275.0
2019,Terajoules,New Brunswick,Steam,Energy use - final demand,3275.0
2015,Terajoules,New Brunswick,Steam,Total industrial,
2016,Terajoules,New Brunswick,Steam,Total industrial,
2017,Terajoules,New Brunswick,Steam,Total industrial,
2018,Terajoules,New Brunswick,Steam,Total industrial,3275.0
2019,Terajoules,New Brunswick,Steam,Total industrial,3275.0
2015,Terajoules,New Brunswick,Coke,Energy use - final demand,
2016,Terajoules,New Brunswick,Coke,Energy use - final demand,
2017,Terajoules,New Brunswick,Coke,Energy use - final demand,
2018,Terajoules,New Brunswick,Coke,Energy use - final demand,0.0
2019,Terajoules,New Brunswick,Coke,Energy use - final demand,0.0
2015,Terajoules,New Brunswick,Coke,Total industrial,
2016,Terajoules,New Brunswick,Coke,Total industrial,0.0
2017,Terajoules,New Brunswick,Coke,Total industrial,0.0
2018,Terajoules,New Brunswick,Coke,Total industrial,0.0
2019,Terajoules,New Brunswick,Coke,Total industrial,0.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Energy use - final demand,75388.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Energy use - final demand,78550.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Energy use - final demand,70024.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Energy use - final demand,69740.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Energy use - final demand,66150.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Total industrial,6233.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Total industrial,4783.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Total industrial,4709.0
2018,Terajoules,New Brunswick,Total refined petroleum products,Total industrial,4969.0
2019,Terajoules,New Brunswick,Total refined petroleum products,Total industrial,4497.0
2015,Terajoules,New Brunswick,Total refined petroleum products,Total transportation,54322.0
2016,Terajoules,New Brunswick,Total refined petroleum products,Total transportation,60225.0
2017,Terajoules,New Brunswick,Total refined petroleum products,Total transportation,53409.0
