Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2020,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.89
2015,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.94
2016,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.92
2017,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,1.0
2018,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,1.02
2019,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.95
2020,Canada,Part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.89
2015,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.91
2016,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.87
2017,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.93
2018,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,1.0
2019,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.86
2020,Canada,Part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.82
2015,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.79
2016,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.72
2017,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.67
2018,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.85
2019,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.79
2020,Canada,Part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.76
2015,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.7
2016,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.77
2017,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.83
2018,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.83
2019,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.8
2020,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 years and over,0.84
2015,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.9
2016,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.98
2017,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.96
2018,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.94
2019,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,1.0
2020,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.96
2015,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.77
2016,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.78
2017,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.87
2018,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.86
2019,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.84
2020,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.86
2015,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.6
2016,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.69
2017,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.67
2018,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.7
2019,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.71
2020,Newfoundland and Labrador,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.72
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.81
2016,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.83
2017,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.83
2018,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.95
2019,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.94
2020,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 years and over,0.97
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.83
2016,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.9
2017,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.92
2018,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,1.05
2019,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.83
2020,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.97
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,0.82
2016,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,0.62
2017,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,0.62
2018,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,0.93
2019,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,0.89
2020,Newfoundland and Labrador,Both full- and part-time employees,Management occupations [0],55 years and over,
2015,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.83
2016,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.85
2017,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.9
2018,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.9
2019,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.92
2020,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.82
2015,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.08
2016,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.76
2018,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.15
2019,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.22
2020,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.6
2015,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.87
2016,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.87
2017,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.94
2018,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.85
2019,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.88
2020,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.83
2015,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.8
2016,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.9
2017,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.82
2018,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.96
2019,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.88
2020,Newfoundland and Labrador,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.67
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.93
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.86
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.96
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.97
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.97
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.97
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.97
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.89
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.95
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,1.01
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,1.04
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.99
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,1.27
2016,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,0.97
2017,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,0.79
2018,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,1.02
2019,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,0.96
2020,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 years and over,0.99
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,1.31
2016,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,0.96
2017,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,0.92
2018,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,1.13
2019,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,0.88
2020,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],25 to 54 years,1.09
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,
2016,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,
2017,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,
2018,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,0.52
2019,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,0.75
2020,Newfoundland and Labrador,Both full- and part-time employees,Health occupations [3],55 years and over,0.58
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.54
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.54
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.6
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.64
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.65
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.76
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.06
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.58
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.58
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.7
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.71
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.78
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.83
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.54
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.64
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.63
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.44
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.49
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.63
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.78
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.93
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.85
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.88
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.9
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.98
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,0.85
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,0.8
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,1.08
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.1
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,0.77
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.03
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.25
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.85
2016,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.88
2017,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.94
2018,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.94
2019,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.98
2020,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 years and over,0.92
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,0.95
2016,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,1.0
2017,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,1.0
2018,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,1.0
2019,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,0.98
2020,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],15 to 24 years,1.0
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.77
2016,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.84
2017,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.86
2018,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.94
2019,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.85
2020,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],25 to 54 years,0.89
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.75
2016,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.81
2017,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.74
2018,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.7
2019,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.78
2020,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations [6],55 years and over,0.73
2015,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.76
2016,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.64
2017,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.74
2018,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.79
2019,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.83
2020,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.78
2015,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.75
2016,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.68
2017,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.76
2018,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.9
2019,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.81
2020,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.78
2015,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2016,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2017,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2018,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2019,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2020,Newfoundland and Labrador,Both full- and part-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.56
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.65
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.65
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.67
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.57
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.54
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.77
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.51
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2016,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2017,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2018,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2019,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2020,Newfoundland and Labrador,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.64
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.69
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.64
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.78
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.75
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.7
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.58
2016,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.68
2017,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.57
2018,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.75
2019,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.73
2020,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.64
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.64
