Year,Geography,Persons in low income,Value
2019,New Brunswick,All persons,9.4
2015,New Brunswick,Persons under 18 years,20.3
2016,New Brunswick,Persons under 18 years,16.5
2017,New Brunswick,Persons under 18 years,15.4
2018,New Brunswick,Persons under 18 years,11.5
2019,New Brunswick,Persons under 18 years,12.4
2015,New Brunswick,Persons 18 to 64 years,16.5
2016,New Brunswick,Persons 18 to 64 years,14.0
2017,New Brunswick,Persons 18 to 64 years,13.1
2018,New Brunswick,Persons 18 to 64 years,11.1
2019,New Brunswick,Persons 18 to 64 years,9.9
2015,New Brunswick,Persons 65 years and over,10.8
2016,New Brunswick,Persons 65 years and over,9.6
2017,New Brunswick,Persons 65 years and over,6.3
2018,New Brunswick,Persons 65 years and over,5.3
2019,New Brunswick,Persons 65 years and over,5.6
2015,New Brunswick,Males,15.9
2016,New Brunswick,Males,12.1
2017,New Brunswick,Males,11.2
2018,New Brunswick,Males,9.7
2019,New Brunswick,Males,7.8
2015,New Brunswick,"Males, under 18 years",21.8
2016,New Brunswick,"Males, under 18 years",17.2
2017,New Brunswick,"Males, under 18 years",14.9
2018,New Brunswick,"Males, under 18 years",11.1
2019,New Brunswick,"Males, under 18 years",9.7
2015,New Brunswick,"Males, 18 to 64 years",16.1
2016,New Brunswick,"Males, 18 to 64 years",12.1
2017,New Brunswick,"Males, 18 to 64 years",12.0
2018,New Brunswick,"Males, 18 to 64 years",10.9
2019,New Brunswick,"Males, 18 to 64 years",8.8
2015,New Brunswick,"Males, 65 years and over",8.5
2016,New Brunswick,"Males, 65 years and over",7.0
2017,New Brunswick,"Males, 65 years and over",5.1
2018,New Brunswick,"Males, 65 years and over",4.4
2019,New Brunswick,"Males, 65 years and over",3.2
2015,New Brunswick,Females,16.3
2016,New Brunswick,Females,14.9
2017,New Brunswick,Females,13.0
2018,New Brunswick,Females,10.3
2019,New Brunswick,Females,11.0
2015,New Brunswick,"Females, under 18 years",18.5
2016,New Brunswick,"Females, under 18 years",15.7
2017,New Brunswick,"Females, under 18 years",15.8
2018,New Brunswick,"Females, under 18 years",12.1
2019,New Brunswick,"Females, under 18 years",15.2
2015,New Brunswick,"Females, 18 to 64 years",16.8
2016,New Brunswick,"Females, 18 to 64 years",15.8
2017,New Brunswick,"Females, 18 to 64 years",14.1
2018,New Brunswick,"Females, 18 to 64 years",11.3
2019,New Brunswick,"Females, 18 to 64 years",10.9
2015,New Brunswick,"Females, 65 years and over",12.7
2016,New Brunswick,"Females, 65 years and over",11.8
2017,New Brunswick,"Females, 65 years and over",7.4
2018,New Brunswick,"Females, 65 years and over",6.1
2019,New Brunswick,"Females, 65 years and over",7.8
2015,New Brunswick,Persons in economic families,12.3
2016,New Brunswick,Persons in economic families,9.6
2017,New Brunswick,Persons in economic families,9.2
2018,New Brunswick,Persons in economic families,6.4
2019,New Brunswick,Persons in economic families,6.6
2015,New Brunswick,Males in economic families,12.0
2016,New Brunswick,Males in economic families,8.3
2017,New Brunswick,Males in economic families,8.2
2018,New Brunswick,Males in economic families,5.6
2019,New Brunswick,Males in economic families,5.3
2015,New Brunswick,Females in economic families,12.7
2016,New Brunswick,Females in economic families,10.8
2017,New Brunswick,Females in economic families,10.2
2018,New Brunswick,Females in economic families,7.3
2019,New Brunswick,Females in economic families,7.8
2015,New Brunswick,Elderly persons in economic families,6.0
2016,New Brunswick,Elderly persons in economic families,3.9
2017,New Brunswick,Elderly persons in economic families,3.3
2018,New Brunswick,Elderly persons in economic families,2.1
2019,New Brunswick,Elderly persons in economic families,
2015,New Brunswick,Persons under 18 years in economic families,20.3
2016,New Brunswick,Persons under 18 years in economic families,16.5
2017,New Brunswick,Persons under 18 years in economic families,15.0
2018,New Brunswick,Persons under 18 years in economic families,11.3
2019,New Brunswick,Persons under 18 years in economic families,11.5
2015,New Brunswick,Persons under 18 years in couple families with children,14.2
2016,New Brunswick,Persons under 18 years in couple families with children,11.6
2017,New Brunswick,Persons under 18 years in couple families with children,6.9
2018,New Brunswick,Persons under 18 years in couple families with children,5.3
2019,New Brunswick,Persons under 18 years in couple families with children,
2015,New Brunswick,Persons under 18 years in female lone-parent families,48.2
2016,New Brunswick,Persons under 18 years in female lone-parent families,42.0
2017,New Brunswick,Persons under 18 years in female lone-parent families,52.7
2018,New Brunswick,Persons under 18 years in female lone-parent families,35.9
2019,New Brunswick,Persons under 18 years in female lone-parent families,32.0
2015,New Brunswick,Persons 18 to 64 years in economic families,11.3
2016,New Brunswick,Persons 18 to 64 years in economic families,8.8
2017,New Brunswick,Persons 18 to 64 years in economic families,8.9
2018,New Brunswick,Persons 18 to 64 years in economic families,6.0
2019,New Brunswick,Persons 18 to 64 years in economic families,6.4
2015,New Brunswick,Persons not in an economic family,36.6
2016,New Brunswick,Persons not in an economic family,35.2
2017,New Brunswick,Persons not in an economic family,28.1
2018,New Brunswick,Persons not in an economic family,29.2
2019,New Brunswick,Persons not in an economic family,24.8
2015,New Brunswick,Males not in an economic family,37.8
2016,New Brunswick,Males not in an economic family,34.2
2017,New Brunswick,Males not in an economic family,28.5
2018,New Brunswick,Males not in an economic family,32.7
2019,New Brunswick,Males not in an economic family,22.0
2015,New Brunswick,Females not in an economic family,35.5
2016,New Brunswick,Females not in an economic family,36.1
2017,New Brunswick,Females not in an economic family,27.8
2018,New Brunswick,Females not in an economic family,25.9
2019,New Brunswick,Females not in an economic family,27.3
2015,New Brunswick,Elderly persons not in an economic family,25.3
2016,New Brunswick,Elderly persons not in an economic family,25.1
2017,New Brunswick,Elderly persons not in an economic family,14.7
2018,New Brunswick,Elderly persons not in an economic family,14.3
2019,New Brunswick,Elderly persons not in an economic family,16.1
2015,New Brunswick,Non-elderly persons not in an economic family,41.5
2016,New Brunswick,Non-elderly persons not in an economic family,40.3
2017,New Brunswick,Non-elderly persons not in an economic family,35.3
2018,New Brunswick,Non-elderly persons not in an economic family,37.2
2019,New Brunswick,Non-elderly persons not in an economic family,30.6
2015,New Brunswick,Non-elderly males not in an economic family,41.6
2016,New Brunswick,Non-elderly males not in an economic family,38.5
2017,New Brunswick,Non-elderly males not in an economic family,33.3
2018,New Brunswick,Non-elderly males not in an economic family,37.8
2019,New Brunswick,Non-elderly males not in an economic family,26.4
2015,New Brunswick,Non-elderly females not in an economic family,41.4
2016,New Brunswick,Non-elderly females not in an economic family,42.6
2017,New Brunswick,Non-elderly females not in an economic family,37.7
2018,New Brunswick,Non-elderly females not in an economic family,36.4
2019,New Brunswick,Non-elderly females not in an economic family,36.1
2015,Quebec,All persons,13.7
2016,Quebec,All persons,10.9
2017,Quebec,All persons,10.8
2018,Quebec,All persons,9.7
2019,Quebec,All persons,8.7
2015,Quebec,Persons under 18 years,14.1
2016,Quebec,Persons under 18 years,10.7
2017,Quebec,Persons under 18 years,10.1
2018,Quebec,Persons under 18 years,7.6
2019,Quebec,Persons under 18 years,6.2
2015,Quebec,Persons 18 to 64 years,15.6
2016,Quebec,Persons 18 to 64 years,12.1
2017,Quebec,Persons 18 to 64 years,12.4
2018,Quebec,Persons 18 to 64 years,11.7
2019,Quebec,Persons 18 to 64 years,10.6
2015,Quebec,Persons 65 years and over,6.8
2016,Quebec,Persons 65 years and over,7.2
2017,Quebec,Persons 65 years and over,5.9
2018,Quebec,Persons 65 years and over,5.4
2019,Quebec,Persons 65 years and over,5.0
2015,Quebec,Males,13.7
2016,Quebec,Males,11.0
2017,Quebec,Males,10.7
2018,Quebec,Males,9.6
2019,Quebec,Males,9.2
2015,Quebec,"Males, under 18 years",15.1
2016,Quebec,"Males, under 18 years",10.0
2017,Quebec,"Males, under 18 years",10.1
2018,Quebec,"Males, under 18 years",7.9
2019,Quebec,"Males, under 18 years",7.2
2015,Quebec,"Males, 18 to 64 years",15.1
2016,Quebec,"Males, 18 to 64 years",12.4
2017,Quebec,"Males, 18 to 64 years",12.5
2018,Quebec,"Males, 18 to 64 years",11.6
2019,Quebec,"Males, 18 to 64 years",11.2
2015,Quebec,"Males, 65 years and over",5.9
2016,Quebec,"Males, 65 years and over",6.7
2017,Quebec,"Males, 65 years and over",4.8
2018,Quebec,"Males, 65 years and over",4.4
2019,Quebec,"Males, 65 years and over",4.5
2015,Quebec,Females,13.8
2016,Quebec,Females,10.9
2017,Quebec,Females,10.8
2018,Quebec,Females,9.9
2019,Quebec,Females,8.1
2015,Quebec,"Females, under 18 years",13.0
2016,Quebec,"Females, under 18 years",11.4
2017,Quebec,"Females, under 18 years",10.1
2018,Quebec,"Females, under 18 years",7.3
2019,Quebec,"Females, under 18 years",5.3
2015,Quebec,"Females, 18 to 64 years",16.0
2016,Quebec,"Females, 18 to 64 years",11.7
2017,Quebec,"Females, 18 to 64 years",12.2
2018,Quebec,"Females, 18 to 64 years",11.8
2019,Quebec,"Females, 18 to 64 years",9.9
2015,Quebec,"Females, 65 years and over",7.5
2016,Quebec,"Females, 65 years and over",7.6
2017,Quebec,"Females, 65 years and over",6.9
2018,Quebec,"Females, 65 years and over",6.2
2019,Quebec,"Females, 65 years and over",5.5
2015,Quebec,Persons in economic families,10.0
2016,Quebec,Persons in economic families,7.2
2017,Quebec,Persons in economic families,7.5
2018,Quebec,Persons in economic families,6.2
2019,Quebec,Persons in economic families,5.2
2015,Quebec,Males in economic families,10.0
2016,Quebec,Males in economic families,6.7
2017,Quebec,Males in economic families,7.5
2018,Quebec,Males in economic families,6.0
2019,Quebec,Males in economic families,5.4
2015,Quebec,Females in economic families,10.0
2016,Quebec,Females in economic families,7.7
2017,Quebec,Females in economic families,7.6
2018,Quebec,Females in economic families,6.4
2019,Quebec,Females in economic families,5.0
2015,Quebec,Elderly persons in economic families,2.7
2016,Quebec,Elderly persons in economic families,3.1
2017,Quebec,Elderly persons in economic families,3.2
2018,Quebec,Elderly persons in economic families,2.0
2019,Quebec,Elderly persons in economic families,
2015,Quebec,Persons under 18 years in economic families,14.1
2016,Quebec,Persons under 18 years in economic families,10.4
2017,Quebec,Persons under 18 years in economic families,10.1
2018,Quebec,Persons under 18 years in economic families,7.5
2019,Quebec,Persons under 18 years in economic families,6.2
2015,Quebec,Persons under 18 years in couple families with children,11.5
2016,Quebec,Persons under 18 years in couple families with children,7.5
2017,Quebec,Persons under 18 years in couple families with children,7.9
2018,Quebec,Persons under 18 years in couple families with children,6.4
2019,Quebec,Persons under 18 years in couple families with children,4.7
2015,Quebec,Persons under 18 years in female lone-parent families,31.8
2016,Quebec,Persons under 18 years in female lone-parent families,30.2
2017,Quebec,Persons under 18 years in female lone-parent families,27.0
2018,Quebec,Persons under 18 years in female lone-parent families,18.5
2019,Quebec,Persons under 18 years in female lone-parent families,20.6
2015,Quebec,Persons 18 to 64 years in economic families,10.2
2016,Quebec,Persons 18 to 64 years in economic families,7.0
2017,Quebec,Persons 18 to 64 years in economic families,7.7
2018,Quebec,Persons 18 to 64 years in economic families,6.8
2019,Quebec,Persons 18 to 64 years in economic families,5.7
2015,Quebec,Persons not in an economic family,30.6
2016,Quebec,Persons not in an economic family,27.6
2017,Quebec,Persons not in an economic family,25.0
2018,Quebec,Persons not in an economic family,25.4
2019,Quebec,Persons not in an economic family,24.2
2015,Quebec,Males not in an economic family,30.0
2016,Quebec,Males not in an economic family,29.8
2017,Quebec,Males not in an economic family,25.4
2018,Quebec,Males not in an economic family,25.6
2019,Quebec,Males not in an economic family,26.7
2015,Quebec,Females not in an economic family,31.2
2016,Quebec,Females not in an economic family,25.3
2017,Quebec,Females not in an economic family,24.6
2018,Quebec,Females not in an economic family,25.2
2019,Quebec,Females not in an economic family,21.7
2015,Quebec,Elderly persons not in an economic family,15.7
2016,Quebec,Elderly persons not in an economic family,16.6
2017,Quebec,Elderly persons not in an economic family,11.4
2018,Quebec,Elderly persons not in an economic family,12.6
2019,Quebec,Elderly persons not in an economic family,11.0
2015,Quebec,Non-elderly persons not in an economic family,37.0
2016,Quebec,Non-elderly persons not in an economic family,32.2
2017,Quebec,Non-elderly persons not in an economic family,31.8
2018,Quebec,Non-elderly persons not in an economic family,31.5
2019,Quebec,Non-elderly persons not in an economic family,31.5
2015,Quebec,Non-elderly males not in an economic family,33.8
2016,Quebec,Non-elderly males not in an economic family,32.3
2017,Quebec,Non-elderly males not in an economic family,30.4
2018,Quebec,Non-elderly males not in an economic family,29.2
2019,Quebec,Non-elderly males not in an economic family,32.7
2015,Quebec,Non-elderly females not in an economic family,41.0
2016,Quebec,Non-elderly females not in an economic family,32.0
2017,Quebec,Non-elderly females not in an economic family,33.5
2018,Quebec,Non-elderly females not in an economic family,34.9
2019,Quebec,Non-elderly females not in an economic family,29.9
2015,Ontario,All persons,15.1
2016,Ontario,All persons,13.6
2017,Ontario,All persons,12.2
2018,Ontario,All persons,11.6
2019,Ontario,All persons,10.9
2015,Ontario,Persons under 18 years,18.2
2016,Ontario,Persons under 18 years,15.4
2017,Ontario,Persons under 18 years,12.3
2018,Ontario,Persons under 18 years,12.5
2019,Ontario,Persons under 18 years,12.1
2015,Ontario,Persons 18 to 64 years,16.4
2016,Ontario,Persons 18 to 64 years,14.9
2017,Ontario,Persons 18 to 64 years,13.9
2018,Ontario,Persons 18 to 64 years,13.0
2019,Ontario,Persons 18 to 64 years,11.9
2015,Ontario,Persons 65 years and over,6.0
2016,Ontario,Persons 65 years and over,6.5
2017,Ontario,Persons 65 years and over,5.4
2018,Ontario,Persons 65 years and over,5.4
2019,Ontario,Persons 65 years and over,5.6
2015,Ontario,Males,14.8
2016,Ontario,Males,12.5
2017,Ontario,Males,12.1
2018,Ontario,Males,11.9
2019,Ontario,Males,10.1
2015,Ontario,"Males, under 18 years",18.0
2016,Ontario,"Males, under 18 years",13.1
2017,Ontario,"Males, under 18 years",11.8
2018,Ontario,"Males, under 18 years",13.0
2019,Ontario,"Males, under 18 years",11.2
2015,Ontario,"Males, 18 to 64 years",16.1
2016,Ontario,"Males, 18 to 64 years",13.9
2017,Ontario,"Males, 18 to 64 years",13.8
2018,Ontario,"Males, 18 to 64 years",13.1
2019,Ontario,"Males, 18 to 64 years",11.0
2015,Ontario,"Males, 65 years and over",4.6
2016,Ontario,"Males, 65 years and over",5.9
2017,Ontario,"Males, 65 years and over",5.1
2018,Ontario,"Males, 65 years and over",5.3
2019,Ontario,"Males, 65 years and over",4.8
2015,Ontario,Females,15.5
2016,Ontario,Females,14.7
2017,Ontario,Females,12.2
2018,Ontario,Females,11.4
2019,Ontario,Females,11.7
2015,Ontario,"Females, under 18 years",18.5
2016,Ontario,"Females, under 18 years",17.8
2017,Ontario,"Females, under 18 years",12.8
2018,Ontario,"Females, under 18 years",12.0
2019,Ontario,"Females, under 18 years",13.0
2015,Ontario,"Females, 18 to 64 years",16.8
2016,Ontario,"Females, 18 to 64 years",15.9
2017,Ontario,"Females, 18 to 64 years",13.9
2018,Ontario,"Females, 18 to 64 years",12.9
2019,Ontario,"Females, 18 to 64 years",12.9
2015,Ontario,"Females, 65 years and over",7.1
2016,Ontario,"Females, 65 years and over",7.0
2017,Ontario,"Females, 65 years and over",5.6
2018,Ontario,"Females, 65 years and over",5.5
2019,Ontario,"Females, 65 years and over",6.3
2015,Ontario,Persons in economic families,12.0
2016,Ontario,Persons in economic families,10.6
2017,Ontario,Persons in economic families,9.1
2018,Ontario,Persons in economic families,8.4
2019,Ontario,Persons in economic families,8.3
2015,Ontario,Males in economic families,11.6
2016,Ontario,Males in economic families,9.5
2017,Ontario,Males in economic families,8.5
2018,Ontario,Males in economic families,7.9
2019,Ontario,Males in economic families,7.6
2015,Ontario,Females in economic families,12.4
2016,Ontario,Females in economic families,11.6
2017,Ontario,Females in economic families,9.6
2018,Ontario,Females in economic families,8.9
2019,Ontario,Females in economic families,9.0
2015,Ontario,Elderly persons in economic families,3.0
2016,Ontario,Elderly persons in economic families,3.8
2017,Ontario,Elderly persons in economic families,2.8
2018,Ontario,Elderly persons in economic families,2.7
2019,Ontario,Elderly persons in economic families,3.3
2015,Ontario,Persons under 18 years in economic families,18.2
2016,Ontario,Persons under 18 years in economic families,15.4
2017,Ontario,Persons under 18 years in economic families,12.2
2018,Ontario,Persons under 18 years in economic families,12.3
2019,Ontario,Persons under 18 years in economic families,12.1
2015,Ontario,Persons under 18 years in couple families with children,15.4
2016,Ontario,Persons under 18 years in couple families with children,11.5
2017,Ontario,Persons under 18 years in couple families with children,9.4
2018,Ontario,Persons under 18 years in couple families with children,8.6
2019,Ontario,Persons under 18 years in couple families with children,9.0
2015,Ontario,Persons under 18 years in female lone-parent families,40.6
2016,Ontario,Persons under 18 years in female lone-parent families,42.8
2017,Ontario,Persons under 18 years in female lone-parent families,33.5
2018,Ontario,Persons under 18 years in female lone-parent families,35.7
2019,Ontario,Persons under 18 years in female lone-parent families,33.8
2015,Ontario,Persons 18 to 64 years in economic families,11.7
2016,Ontario,Persons 18 to 64 years in economic families,10.3
2017,Ontario,Persons 18 to 64 years in economic families,9.4
2018,Ontario,Persons 18 to 64 years in economic families,8.4
2019,Ontario,Persons 18 to 64 years in economic families,8.2
2015,Ontario,Persons not in an economic family,34.5
2016,Ontario,Persons not in an economic family,32.6
2017,Ontario,Persons not in an economic family,31.1
2018,Ontario,Persons not in an economic family,31.1
2019,Ontario,Persons not in an economic family,26.4
2015,Ontario,Males not in an economic family,34.8
2016,Ontario,Males not in an economic family,32.2
2017,Ontario,Males not in an economic family,34.4
2018,Ontario,Males not in an economic family,35.7
2019,Ontario,Males not in an economic family,25.6
2015,Ontario,Females not in an economic family,34.2
2016,Ontario,Females not in an economic family,33.0
2017,Ontario,Females not in an economic family,28.1
2018,Ontario,Females not in an economic family,26.6
2019,Ontario,Females not in an economic family,27.1
2015,Ontario,Elderly persons not in an economic family,15.1
2016,Ontario,Elderly persons not in an economic family,14.9
2017,Ontario,Elderly persons not in an economic family,13.1
2018,Ontario,Elderly persons not in an economic family,12.8
2019,Ontario,Elderly persons not in an economic family,12.0
2015,Ontario,Non-elderly persons not in an economic family,42.0
2016,Ontario,Non-elderly persons not in an economic family,39.6
2017,Ontario,Non-elderly persons not in an economic family,38.7
2018,Ontario,Non-elderly persons not in an economic family,39.5
2019,Ontario,Non-elderly persons not in an economic family,33.3
2015,Ontario,Non-elderly males not in an economic family,39.1
2016,Ontario,Non-elderly males not in an economic family,35.9
2017,Ontario,Non-elderly males not in an economic family,38.9
2018,Ontario,Non-elderly males not in an economic family,40.7
2019,Ontario,Non-elderly males not in an economic family,29.4
2015,Ontario,Non-elderly females not in an economic family,45.3
2016,Ontario,Non-elderly females not in an economic family,44.1
2017,Ontario,Non-elderly females not in an economic family,38.4
2018,Ontario,Non-elderly females not in an economic family,38.0
2019,Ontario,Non-elderly females not in an economic family,37.9
2015,Manitoba,All persons,14.0
2016,Manitoba,All persons,12.3
2017,Manitoba,All persons,11.0
2018,Manitoba,All persons,10.9
2019,Manitoba,All persons,11.4
2015,Manitoba,Persons under 18 years,19.2
2016,Manitoba,Persons under 18 years,15.6
2017,Manitoba,Persons under 18 years,12.7
2018,Manitoba,Persons under 18 years,13.1
2019,Manitoba,Persons under 18 years,14.4
2015,Manitoba,Persons 18 to 64 years,14.1
2016,Manitoba,Persons 18 to 64 years,13.0
2017,Manitoba,Persons 18 to 64 years,11.9
2018,Manitoba,Persons 18 to 64 years,11.4
2019,Manitoba,Persons 18 to 64 years,11.8
2015,Manitoba,Persons 65 years and over,5.9
2016,Manitoba,Persons 65 years and over,4.9
2017,Manitoba,Persons 65 years and over,5.4
2018,Manitoba,Persons 65 years and over,5.8
2019,Manitoba,Persons 65 years and over,5.4
2015,Manitoba,Males,14.4
2016,Manitoba,Males,12.4
2017,Manitoba,Males,10.7
2018,Manitoba,Males,11.0
2019,Manitoba,Males,11.8
2015,Manitoba,"Males, under 18 years",22.8
2016,Manitoba,"Males, under 18 years",16.7
2017,Manitoba,"Males, under 18 years",11.5
2018,Manitoba,"Males, under 18 years",13.9
2019,Manitoba,"Males, under 18 years",15.7
2015,Manitoba,"Males, 18 to 64 years",13.8
2016,Manitoba,"Males, 18 to 64 years",12.8
2017,Manitoba,"Males, 18 to 64 years",11.7
2018,Manitoba,"Males, 18 to 64 years",11.4
2019,Manitoba,"Males, 18 to 64 years",12.0
2015,Manitoba,"Males, 65 years and over",3.8
2016,Manitoba,"Males, 65 years and over",3.9
2017,Manitoba,"Males, 65 years and over",4.6
2018,Manitoba,"Males, 65 years and over",4.9
2019,Manitoba,"Males, 65 years and over",5.2
2015,Manitoba,Females,13.5
2016,Manitoba,Females,12.2
2017,Manitoba,Females,11.4
2018,Manitoba,Females,10.7
2019,Manitoba,Females,10.9
2015,Manitoba,"Females, under 18 years",15.4
2016,Manitoba,"Females, under 18 years",14.3
2017,Manitoba,"Females, under 18 years",13.8
2018,Manitoba,"Females, under 18 years",12.2
2019,Manitoba,"Females, under 18 years",13.1
2015,Manitoba,"Females, 18 to 64 years",14.3
2016,Manitoba,"Females, 18 to 64 years",13.2
2017,Manitoba,"Females, 18 to 64 years",12.0
2018,Manitoba,"Females, 18 to 64 years",11.3
2019,Manitoba,"Females, 18 to 64 years",11.7
2015,Manitoba,"Females, 65 years and over",7.7
2016,Manitoba,"Females, 65 years and over",5.7
2017,Manitoba,"Females, 65 years and over",6.1
2018,Manitoba,"Females, 65 years and over",6.6
2019,Manitoba,"Females, 65 years and over",5.5
2015,Manitoba,Persons in economic families,11.7
2016,Manitoba,Persons in economic families,10.0
2017,Manitoba,Persons in economic families,8.3
2018,Manitoba,Persons in economic families,8.0
2019,Manitoba,Persons in economic families,8.5
2015,Manitoba,Males in economic families,12.1
2016,Manitoba,Males in economic families,9.8
2017,Manitoba,Males in economic families,7.4
2018,Manitoba,Males in economic families,7.7
2019,Manitoba,Males in economic families,8.5
2015,Manitoba,Females in economic families,11.2
2016,Manitoba,Females in economic families,10.3
2017,Manitoba,Females in economic families,9.1
2018,Manitoba,Females in economic families,8.2
2019,Manitoba,Females in economic families,8.6
2015,Manitoba,Elderly persons in economic families,2.0
2016,Manitoba,Elderly persons in economic families,
2017,Manitoba,Elderly persons in economic families,2.8
2018,Manitoba,Elderly persons in economic families,2.9
2019,Manitoba,Elderly persons in economic families,
2015,Manitoba,Persons under 18 years in economic families,19.1
2016,Manitoba,Persons under 18 years in economic families,15.6
2017,Manitoba,Persons under 18 years in economic families,12.7
2018,Manitoba,Persons under 18 years in economic families,12.8
2019,Manitoba,Persons under 18 years in economic families,14.4
2015,Manitoba,Persons under 18 years in couple families with children,14.0
2016,Manitoba,Persons under 18 years in couple families with children,12.2
2017,Manitoba,Persons under 18 years in couple families with children,9.8
2018,Manitoba,Persons under 18 years in couple families with children,9.5
2019,Manitoba,Persons under 18 years in couple families with children,12.4
2015,Manitoba,Persons under 18 years in female lone-parent families,47.7
2016,Manitoba,Persons under 18 years in female lone-parent families,45.8
2017,Manitoba,Persons under 18 years in female lone-parent families,36.1
2018,Manitoba,Persons under 18 years in female lone-parent families,35.2
2019,Manitoba,Persons under 18 years in female lone-parent families,37.9
2015,Manitoba,Persons 18 to 64 years in economic families,10.5
2016,Manitoba,Persons 18 to 64 years in economic families,9.2
2017,Manitoba,Persons 18 to 64 years in economic families,7.6
2018,Manitoba,Persons 18 to 64 years in economic families,7.1
2019,Manitoba,Persons 18 to 64 years in economic families,7.5
2015,Manitoba,Persons not in an economic family,27.3
2016,Manitoba,Persons not in an economic family,25.6
2017,Manitoba,Persons not in an economic family,27.0
2018,Manitoba,Persons not in an economic family,27.5
2019,Manitoba,Persons not in an economic family,27.7
2015,Manitoba,Males not in an economic family,27.5
2016,Manitoba,Males not in an economic family,27.7
2017,Manitoba,Males not in an economic family,28.8
2018,Manitoba,Males not in an economic family,29.8
2019,Manitoba,Males not in an economic family,30.8
2015,Manitoba,Females not in an economic family,27.1
2016,Manitoba,Females not in an economic family,23.3
2017,Manitoba,Females not in an economic family,25.1
2018,Manitoba,Females not in an economic family,25.2
2019,Manitoba,Females not in an economic family,24.6
2015,Manitoba,Elderly persons not in an economic family,15.7
2016,Manitoba,Elderly persons not in an economic family,10.5
2017,Manitoba,Elderly persons not in an economic family,11.5
2018,Manitoba,Elderly persons not in an economic family,13.2
2019,Manitoba,Elderly persons not in an economic family,14.1
2015,Manitoba,Non-elderly persons not in an economic family,32.1
2016,Manitoba,Non-elderly persons not in an economic family,33.2
2017,Manitoba,Non-elderly persons not in an economic family,34.2
2018,Manitoba,Non-elderly persons not in an economic family,33.8
2019,Manitoba,Non-elderly persons not in an economic family,33.7
2015,Manitoba,Non-elderly males not in an economic family,30.8
2016,Manitoba,Non-elderly males not in an economic family,33.2
2017,Manitoba,Non-elderly males not in an economic family,33.9
2018,Manitoba,Non-elderly males not in an economic family,33.1
2019,Manitoba,Non-elderly males not in an economic family,33.5
2015,Manitoba,Non-elderly females not in an economic family,33.9
2016,Manitoba,Non-elderly females not in an economic family,33.1
2017,Manitoba,Non-elderly females not in an economic family,34.7
2018,Manitoba,Non-elderly females not in an economic family,34.8
2019,Manitoba,Non-elderly females not in an economic family,33.9
2015,Saskatchewan,All persons,12.7
2016,Saskatchewan,All persons,11.5
2017,Saskatchewan,All persons,12.2
2018,Saskatchewan,All persons,11.2
2019,Saskatchewan,All persons,12.4
2015,Saskatchewan,Persons under 18 years,17.1
2016,Saskatchewan,Persons under 18 years,12.4
2017,Saskatchewan,Persons under 18 years,14.5
2018,Saskatchewan,Persons under 18 years,11.6
2019,Saskatchewan,Persons under 18 years,12.6
2015,Saskatchewan,Persons 18 to 64 years,12.8
2016,Saskatchewan,Persons 18 to 64 years,12.2
2017,Saskatchewan,Persons 18 to 64 years,13.1
2018,Saskatchewan,Persons 18 to 64 years,12.7
2019,Saskatchewan,Persons 18 to 64 years,14.0
2015,Saskatchewan,Persons 65 years and over,6.2
2016,Saskatchewan,Persons 65 years and over,7.0
2017,Saskatchewan,Persons 65 years and over,5.4
2018,Saskatchewan,Persons 65 years and over,4.6
2019,Saskatchewan,Persons 65 years and over,5.9
2015,Saskatchewan,Males,11.3
2016,Saskatchewan,Males,10.6
2017,Saskatchewan,Males,11.9
2018,Saskatchewan,Males,11.0
2019,Saskatchewan,Males,13.0
2015,Saskatchewan,"Males, under 18 years",15.7
2016,Saskatchewan,"Males, under 18 years",11.5
2017,Saskatchewan,"Males, under 18 years",14.3
2018,Saskatchewan,"Males, under 18 years",10.8
2019,Saskatchewan,"Males, under 18 years",12.9
2015,Saskatchewan,"Males, 18 to 64 years",11.2
2016,Saskatchewan,"Males, 18 to 64 years",11.3
2017,Saskatchewan,"Males, 18 to 64 years",12.7
2018,Saskatchewan,"Males, 18 to 64 years",12.8
2019,Saskatchewan,"Males, 18 to 64 years",14.5
2015,Saskatchewan,"Males, 65 years and over",4.4
2016,Saskatchewan,"Males, 65 years and over",6.2
2017,Saskatchewan,"Males, 65 years and over",4.7
2018,Saskatchewan,"Males, 65 years and over",3.2
2019,Saskatchewan,"Males, 65 years and over",6.4
2015,Saskatchewan,Females,14.2
2016,Saskatchewan,Females,12.3
2017,Saskatchewan,Females,12.5
2018,Saskatchewan,Females,11.5
2019,Saskatchewan,Females,11.8
2015,Saskatchewan,"Females, under 18 years",18.4
2016,Saskatchewan,"Females, under 18 years",13.4
2017,Saskatchewan,"Females, under 18 years",14.7
2018,Saskatchewan,"Females, under 18 years",12.3
2019,Saskatchewan,"Females, under 18 years",12.3
2015,Saskatchewan,"Females, 18 to 64 years",14.4
2016,Saskatchewan,"Females, 18 to 64 years",13.2
2017,Saskatchewan,"Females, 18 to 64 years",13.5
2018,Saskatchewan,"Females, 18 to 64 years",12.7
2019,Saskatchewan,"Females, 18 to 64 years",13.4
2015,Saskatchewan,"Females, 65 years and over",7.7
2016,Saskatchewan,"Females, 65 years and over",7.6
2017,Saskatchewan,"Females, 65 years and over",6.0
2018,Saskatchewan,"Females, 65 years and over",5.9
2019,Saskatchewan,"Females, 65 years and over",5.5
