Year,Units,Geography,Type of event,GeoCode,Value
2019,Number,Yellowknife Northwest Territories,EMS responses to suspected opioid-related overdoses,,
2020,Number,Yellowknife Northwest Territories,EMS responses to suspected opioid-related overdoses,,6.0
2021,Number,Yellowknife Northwest Territories,EMS responses to suspected opioid-related overdoses,,
2018,"Rate per 100,000 population",British Columbia,Apparent stimulant toxicity deaths,59,21.2
2018,Number,British Columbia,Apparent stimulant toxicity deaths,59,1063.0
2019,"Rate per 100,000 population",British Columbia,Apparent stimulant toxicity deaths,59,9.5
2019,Number,British Columbia,Apparent stimulant toxicity deaths,59,482.0
2020,"Rate per 100,000 population",British Columbia,Apparent stimulant toxicity deaths,59,15.9
2020,Number,British Columbia,Apparent stimulant toxicity deaths,59,822.0
2021,"Rate per 100,000 population",British Columbia,Apparent stimulant toxicity deaths,59,10.9
2021,Number,British Columbia,Apparent stimulant toxicity deaths,59,565.0
2018,"Rate per 100,000 population",Saskatchewan,Apparent stimulant toxicity deaths,47,7.2
2018,Number,Saskatchewan,Apparent stimulant toxicity deaths,47,84.0
2019,"Rate per 100,000 population",Saskatchewan,Apparent stimulant toxicity deaths,47,8.1
2019,Number,Saskatchewan,Apparent stimulant toxicity deaths,47,95.0
2020,"Rate per 100,000 population",Saskatchewan,Apparent stimulant toxicity deaths,47,15.6
2020,Number,Saskatchewan,Apparent stimulant toxicity deaths,47,184.0
2021,"Rate per 100,000 population",Saskatchewan,Apparent stimulant toxicity deaths,47,22.7
2021,Number,Saskatchewan,Apparent stimulant toxicity deaths,47,268.0
2018,"Rate per 100,000 population",Manitoba,Apparent stimulant toxicity deaths,46,
2018,Number,Manitoba,Apparent stimulant toxicity deaths,46,
2019,"Rate per 100,000 population",Manitoba,Apparent stimulant toxicity deaths,46,5.9
2019,Number,Manitoba,Apparent stimulant toxicity deaths,46,81.0
2020,"Rate per 100,000 population",Manitoba,Apparent stimulant toxicity deaths,46,18.0
2020,Number,Manitoba,Apparent stimulant toxicity deaths,46,249.0
2021,"Rate per 100,000 population",Manitoba,Apparent stimulant toxicity deaths,46,19.4
2021,Number,Manitoba,Apparent stimulant toxicity deaths,46,270.0
2018,"Rate per 100,000 population",Ontario,Apparent stimulant toxicity deaths,35,6.4
2018,Number,Ontario,Apparent stimulant toxicity deaths,35,916.0
2019,"Rate per 100,000 population",Ontario,Apparent stimulant toxicity deaths,35,7.0
2019,Number,Ontario,Apparent stimulant toxicity deaths,35,1025.0
2020,"Rate per 100,000 population",Ontario,Apparent stimulant toxicity deaths,35,11.7
2020,Number,Ontario,Apparent stimulant toxicity deaths,35,1722.0
2021,"Rate per 100,000 population",Ontario,Apparent stimulant toxicity deaths,35,14.0
2021,Number,Ontario,Apparent stimulant toxicity deaths,35,2067.0
2018,"Rate per 100,000 population",Quebec,Apparent stimulant toxicity deaths,24,1.9
2018,Number,Quebec,Apparent stimulant toxicity deaths,24,163.0
2019,"Rate per 100,000 population",Quebec,Apparent stimulant toxicity deaths,24,1.6
2019,Number,Quebec,Apparent stimulant toxicity deaths,24,139.0
2020,"Rate per 100,000 population",Quebec,Apparent stimulant toxicity deaths,24,2.2
2020,Number,Quebec,Apparent stimulant toxicity deaths,24,192.0
2021,"Rate per 100,000 population",Quebec,Apparent stimulant toxicity deaths,24,
2021,Number,Quebec,Apparent stimulant toxicity deaths,24,
2018,"Rate per 100,000 population",Nova Scotia,Apparent stimulant toxicity deaths,12,2.6
2018,Number,Nova Scotia,Apparent stimulant toxicity deaths,12,25.0
2019,"Rate per 100,000 population",Nova Scotia,Apparent stimulant toxicity deaths,12,3.0
2019,Number,Nova Scotia,Apparent stimulant toxicity deaths,12,29.0
2020,"Rate per 100,000 population",Nova Scotia,Apparent stimulant toxicity deaths,12,3.6
2020,Number,Nova Scotia,Apparent stimulant toxicity deaths,12,35.0
2021,"Rate per 100,000 population",Nova Scotia,Apparent stimulant toxicity deaths,12,3.4
2021,Number,Nova Scotia,Apparent stimulant toxicity deaths,12,34.0
2018,"Rate per 100,000 population",Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,
2018,Number,Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,
2019,"Rate per 100,000 population",Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,
2019,Number,Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,
2020,"Rate per 100,000 population",Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,1.9
2020,Number,Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,10.0
2021,"Rate per 100,000 population",Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,3.1
2021,Number,Newfoundland and Labrador,Apparent stimulant toxicity deaths,10,16.0
2018,"Rate per 100,000 population",Yukon,Apparent stimulant toxicity deaths,60,
2018,Number,Yukon,Apparent stimulant toxicity deaths,60,
2019,"Rate per 100,000 population",Yukon,Apparent stimulant toxicity deaths,60,
2019,Number,Yukon,Apparent stimulant toxicity deaths,60,
2020,"Rate per 100,000 population",Yukon,Apparent stimulant toxicity deaths,60,
2020,Number,Yukon,Apparent stimulant toxicity deaths,60,
2021,"Rate per 100,000 population",Yukon,Apparent stimulant toxicity deaths,60,13.9
2021,Number,Yukon,Apparent stimulant toxicity deaths,60,6.0
2018,"Rate per 100,000 population",Northwest Territories,Apparent stimulant toxicity deaths,61,
2018,Number,Northwest Territories,Apparent stimulant toxicity deaths,61,
2019,"Rate per 100,000 population",Northwest Territories,Apparent stimulant toxicity deaths,61,
2019,Number,Northwest Territories,Apparent stimulant toxicity deaths,61,
2020,"Rate per 100,000 population",Northwest Territories,Apparent stimulant toxicity deaths,61,6.6
2020,Number,Northwest Territories,Apparent stimulant toxicity deaths,61,3.0
2021,"Rate per 100,000 population",Northwest Territories,Apparent stimulant toxicity deaths,61,6.6
2021,Number,Northwest Territories,Apparent stimulant toxicity deaths,61,3.0
2016,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,6.8
2016,Number,Canada,Stimulant-related poisoning hospitalizations,,1885.0
2017,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,7.9
2017,Number,Canada,Stimulant-related poisoning hospitalizations,,2235.0
2018,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,8.3
2018,Number,Canada,Stimulant-related poisoning hospitalizations,,2373.0
2019,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,7.5
2019,Number,Canada,Stimulant-related poisoning hospitalizations,,2179.0
2020,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,8.5
2020,Number,Canada,Stimulant-related poisoning hospitalizations,,2516.0
2021,"Rate per 100,000 population",Canada,Stimulant-related poisoning hospitalizations,,8.2
2021,Number,Canada,Stimulant-related poisoning hospitalizations,,2422.0
2016,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,9.9
2016,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,480.0
2017,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,11.8
2017,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,583.0
2018,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,10.9
2018,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,548.0
2019,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,10.3
2019,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,524.0
2020,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,11.7
2020,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,606.0
2021,"Rate per 100,000 population",British Columbia,Stimulant-related poisoning hospitalizations,59,12.7
2021,Number,British Columbia,Stimulant-related poisoning hospitalizations,59,663.0
2016,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,8.8
2016,Number,Alberta,Stimulant-related poisoning hospitalizations,48,370.0
2017,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,9.5
2017,Number,Alberta,Stimulant-related poisoning hospitalizations,48,401.0
2018,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,9.3
2018,Number,Alberta,Stimulant-related poisoning hospitalizations,48,399.0
2019,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,7.4
2019,Number,Alberta,Stimulant-related poisoning hospitalizations,48,321.0
2020,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,9.6
2020,Number,Alberta,Stimulant-related poisoning hospitalizations,48,425.0
2021,"Rate per 100,000 population",Alberta,Stimulant-related poisoning hospitalizations,48,9.0
2021,Number,Alberta,Stimulant-related poisoning hospitalizations,48,402.0
2016,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,10.6
2016,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,120.0
2017,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,9.4
2017,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,108.0
2018,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,10.8
2018,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,126.0
2019,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,13.6
2019,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,159.0
2020,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,12.1
2020,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,143.0
2021,"Rate per 100,000 population",Saskatchewan,Stimulant-related poisoning hospitalizations,47,13.7
2021,Number,Saskatchewan,Stimulant-related poisoning hospitalizations,47,162.0
2016,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,5.0
2016,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,66.0
2017,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,6.1
2017,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,82.0
2018,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,4.7
2018,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,64.0
2019,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,4.2
2019,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,58.0
2020,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,4.1
2020,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,56.0
2021,"Rate per 100,000 population",Manitoba,Stimulant-related poisoning hospitalizations,46,3.9
2021,Number,Manitoba,Stimulant-related poisoning hospitalizations,46,54.0
2016,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,5.2
2016,Number,Ontario,Stimulant-related poisoning hospitalizations,35,722.0
2017,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,6.5
2017,Number,Ontario,Stimulant-related poisoning hospitalizations,35,916.0
2018,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,7.7
2018,Number,Ontario,Stimulant-related poisoning hospitalizations,35,1107.0
2019,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,6.7
2019,Number,Ontario,Stimulant-related poisoning hospitalizations,35,975.0
2020,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,7.5
2020,Number,Ontario,Stimulant-related poisoning hospitalizations,35,1111.0
2021,"Rate per 100,000 population",Ontario,Stimulant-related poisoning hospitalizations,35,6.8
2021,Number,Ontario,Stimulant-related poisoning hospitalizations,35,1002.0
2016,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2016,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2017,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2017,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2018,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2018,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2019,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2019,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2020,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2020,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2021,"Rate per 100,000 population",Quebec,Stimulant-related poisoning hospitalizations,24,
2021,Number,Quebec,Stimulant-related poisoning hospitalizations,24,
2016,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,6.7
2016,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,51.0
2017,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,7.0
2017,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,54.0
2018,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,6.9
2018,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,53.0
2019,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,7.2
2019,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,56.0
2020,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,7.5
2020,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,59.0
2021,"Rate per 100,000 population",New Brunswick,Stimulant-related poisoning hospitalizations,13,7.6
2021,Number,New Brunswick,Stimulant-related poisoning hospitalizations,13,60.0
2016,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,3.4
2016,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,32.0
2017,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,3.9
2017,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,37.0
2018,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,2.8
2018,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,27.0
2019,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,3.3
2019,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,32.0
2020,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,4.7
2020,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,46.0
2021,"Rate per 100,000 population",Nova Scotia,Stimulant-related poisoning hospitalizations,12,3.4
2021,Number,Nova Scotia,Stimulant-related poisoning hospitalizations,12,34.0
2016,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,3.4
2016,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,5.0
2017,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,6.0
2017,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,9.0
2018,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,3.9
2018,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,6.0
2019,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,3.8
2019,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,6.0
2020,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,4.3
2020,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,7.0
2021,"Rate per 100,000 population",Prince Edward Island,Stimulant-related poisoning hospitalizations,11,
2021,Number,Prince Edward Island,Stimulant-related poisoning hospitalizations,11,
2016,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,5.3
2016,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,28.0
2017,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,6.2
2017,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,33.0
2018,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,5.9
2018,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,31.0
2019,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,6.9
2019,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,36.0
2020,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,8.2
2020,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,43.0
2021,"Rate per 100,000 population",Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,6.1
2021,Number,Newfoundland and Labrador,Stimulant-related poisoning hospitalizations,10,32.0
2016,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,9.2
2016,Number,Territories,Stimulant-related poisoning hospitalizations,,11.0
2017,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,9.8
2017,Number,Territories,Stimulant-related poisoning hospitalizations,,12.0
2018,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,9.7
2018,Number,Territories,Stimulant-related poisoning hospitalizations,,12.0
2019,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,9.6
2019,Number,Territories,Stimulant-related poisoning hospitalizations,,12.0
2020,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,15.8
2020,Number,Territories,Stimulant-related poisoning hospitalizations,,20.0
2021,"Rate per 100,000 population",Territories,Stimulant-related poisoning hospitalizations,,10.1
2021,Number,Territories,Stimulant-related poisoning hospitalizations,,13.0
