Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,"Total, sex of accused",203.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,206.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,225.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,189.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,206.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,211.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,205.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,210.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,186.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,204.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,224.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,124.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,206.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,144.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,87.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,127.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",225.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",195.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",173.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",183.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",187.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,269.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,188.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,169.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,186.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,190.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,187.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,201.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,176.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,194.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,239.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,127.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,196.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,162.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,51.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,135.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",155.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",176.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",147.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",171.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",132.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,178.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,191.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,190.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,176.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,153.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,145.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,164.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,107.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,152.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,179.0
2014/2015,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,52.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,115.0
2016/2017,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,134.0
2017/2018,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,184.0
2018/2019,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,89.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",120.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",132.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",131.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",106.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",120.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,119.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,132.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,130.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,107.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,123.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,156.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,143.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,140.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,107.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,150.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,0.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,0.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,0.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,0.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,111.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,40.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,93.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,121.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,83.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,76.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",134.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",137.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",130.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",130.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",147.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,130.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,140.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,134.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,128.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,141.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,174.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,141.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,114.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,160.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,190.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,67.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,91.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,131.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,95.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,141.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",109.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",130.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",141.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",98.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",125.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,113.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,126.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,134.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,101.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,138.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,114.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,167.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,178.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,83.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,157.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,43.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,83.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,87.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,65.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,57.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",111.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",127.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",117.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",91.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",95.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,113.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,123.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,116.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,92.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,101.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,161.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,115.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,130.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,83.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,91.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,27.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,195.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,93.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,111.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,72.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",127.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",130.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",139.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",138.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",102.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,113.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,132.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,109.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,139.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,115.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,181.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,146.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,168.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,155.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,106.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,16.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,33.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,258.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,46.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,71.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",140.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",135.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",128.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",72.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",99.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,129.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,142.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,143.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,74.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,103.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,220.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,95.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,105.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,7.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,160.0
2014/2015,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,79.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,99.0
2016/2017,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,46.0
2017/2018,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,51.0
2018/2019,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,22.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",73.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",92.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",106.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",112.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",85.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,73.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,99.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,100.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,112.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,105.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,102.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,79.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,107.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,121.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,71.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,0.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,0.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,0.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,0.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,0.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,58.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,56.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,139.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,69.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,41.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",92.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",71.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",92.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",81.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",87.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,85.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,70.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,85.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,83.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,87.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,153.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,145.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,94.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,72.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,90.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,69.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,23.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,162.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,64.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,76.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",73.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",105.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",94.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",121.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",101.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,71.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,107.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,84.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,126.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,122.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,156.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,78.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,122.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,123.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,96.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,69.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,136.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,158.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,23.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,27.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",82.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",113.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",151.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",144.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",94.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,80.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,112.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,146.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,146.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,118.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,106.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,117.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,184.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,144.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,85.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,36.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,120.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,129.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,89.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,43.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",99.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",109.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",133.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",119.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",86.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,111.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,113.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,136.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,93.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,124.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,57.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,70.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,110.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,186.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,44.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,126.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,96.0
2016/2017,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,61.0
2017/2018,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,354.0
2018/2019,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,29.0
2014/2015,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",39.0
