Year,Geography,Sex,Age group,Selected demographic characteristics,GeoCode,Value
2016,Prince Edward Island,Males,"Total, persons aged 15 years and over",First Nations (North American Indian),11,66.9
2016,Prince Edward Island,Males,"Total, persons aged 15 years and over",Inuk (Inuit),11,100.0
2016,Prince Edward Island,Males,"Total, persons aged 15 years and over",Non-Aboriginal identity,11,74.4
2016,Prince Edward Island,Males,15 to 24 years,"Total, all persons",11,64.9
2016,Prince Edward Island,Males,15 to 24 years,Non immigrants,11,64.5
2016,Prince Edward Island,Males,15 to 24 years,Immigrants,11,64.6
2016,Prince Edward Island,Males,15 to 24 years,Non-permanent residents,11,80.0
2016,Prince Edward Island,Males,15 to 24 years,Total visible minority population,11,66.7
2016,Prince Edward Island,Males,15 to 24 years,Not a visible minority,11,64.7
2016,Prince Edward Island,Males,15 to 24 years,Total Aboriginal identity,11,61.8
2016,Prince Edward Island,Males,15 to 24 years,First Nations (North American Indian),11,61.0
2016,Prince Edward Island,Males,15 to 24 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Males,15 to 24 years,Non-Aboriginal identity,11,65.0
2016,Prince Edward Island,Males,25 to 64 years,"Total, all persons",11,81.6
2016,Prince Edward Island,Males,25 to 64 years,Non immigrants,11,80.5
2016,Prince Edward Island,Males,25 to 64 years,Immigrants,11,93.6
2016,Prince Edward Island,Males,25 to 64 years,Non-permanent residents,11,90.1
2016,Prince Edward Island,Males,25 to 64 years,Total visible minority population,11,91.0
2016,Prince Edward Island,Males,25 to 64 years,Not a visible minority,11,81.1
2016,Prince Edward Island,Males,25 to 64 years,Total Aboriginal identity,11,76.1
2016,Prince Edward Island,Males,25 to 64 years,First Nations (North American Indian),11,70.9
2016,Prince Edward Island,Males,25 to 64 years,Inuk (Inuit),11,100.0
2016,Prince Edward Island,Males,25 to 64 years,Non-Aboriginal identity,11,81.7
2016,Prince Edward Island,Males,65 to 74 years,"Total, all persons",11,64.8
2016,Prince Edward Island,Males,65 to 74 years,Non immigrants,11,62.8
2016,Prince Edward Island,Males,65 to 74 years,Immigrants,11,89.7
2016,Prince Edward Island,Males,65 to 74 years,Non-permanent residents,11,0.0
2016,Prince Edward Island,Males,65 to 74 years,Total visible minority population,11,81.3
2016,Prince Edward Island,Males,65 to 74 years,Not a visible minority,11,64.6
2016,Prince Edward Island,Males,65 to 74 years,Total Aboriginal identity,11,50.0
2016,Prince Edward Island,Males,65 to 74 years,First Nations (North American Indian),11,42.9
2016,Prince Edward Island,Males,65 to 74 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Males,65 to 74 years,Non-Aboriginal identity,11,64.9
2016,Prince Edward Island,Males,75 years and over,"Total, all persons",11,49.9
2016,Prince Edward Island,Males,75 years and over,Non immigrants,11,47.6
2016,Prince Edward Island,Males,75 years and over,Immigrants,11,80.7
2016,Prince Edward Island,Males,75 years and over,Non-permanent residents,11,66.7
2016,Prince Edward Island,Males,75 years and over,Total visible minority population,11,60.0
2016,Prince Edward Island,Males,75 years and over,Not a visible minority,11,49.9
2016,Prince Edward Island,Males,75 years and over,Total Aboriginal identity,11,0.0
2016,Prince Edward Island,Males,75 years and over,First Nations (North American Indian),11,0.0
2016,Prince Edward Island,Males,75 years and over,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Males,75 years and over,Non-Aboriginal identity,11,49.9
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over","Total, all persons",11,82.4
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Non immigrants,11,81.9
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Immigrants,11,88.0
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Non-permanent residents,11,89.8
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Total visible minority population,11,84.6
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Not a visible minority,11,82.3
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Total Aboriginal identity,11,77.3
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",First Nations (North American Indian),11,76.8
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Inuk (Inuit),11,60.0
2016,Prince Edward Island,Females,"Total, persons aged 15 years and over",Non-Aboriginal identity,11,82.5
2016,Prince Edward Island,Females,15 to 24 years,"Total, all persons",11,67.8
2016,Prince Edward Island,Females,15 to 24 years,Non immigrants,11,68.1
2016,Prince Edward Island,Females,15 to 24 years,Immigrants,11,57.0
2016,Prince Edward Island,Females,15 to 24 years,Non-permanent residents,11,76.9
2016,Prince Edward Island,Females,15 to 24 years,Total visible minority population,11,64.0
2016,Prince Edward Island,Females,15 to 24 years,Not a visible minority,11,68.1
2016,Prince Edward Island,Females,15 to 24 years,Total Aboriginal identity,11,66.0
2016,Prince Edward Island,Females,15 to 24 years,First Nations (North American Indian),11,65.8
2016,Prince Edward Island,Females,15 to 24 years,Inuk (Inuit),11,100.0
2016,Prince Edward Island,Females,15 to 24 years,Non-Aboriginal identity,11,67.8
2016,Prince Edward Island,Females,25 to 64 years,"Total, all persons",11,90.2
2016,Prince Edward Island,Females,25 to 64 years,Non immigrants,11,90.0
2016,Prince Edward Island,Females,25 to 64 years,Immigrants,11,92.5
2016,Prince Edward Island,Females,25 to 64 years,Non-permanent residents,11,97.0
2016,Prince Edward Island,Females,25 to 64 years,Total visible minority population,11,91.1
2016,Prince Edward Island,Females,25 to 64 years,Not a visible minority,11,90.2
2016,Prince Edward Island,Females,25 to 64 years,Total Aboriginal identity,11,83.1
2016,Prince Edward Island,Females,25 to 64 years,First Nations (North American Indian),11,80.9
2016,Prince Edward Island,Females,25 to 64 years,Inuk (Inuit),11,66.7
2016,Prince Edward Island,Females,25 to 64 years,Non-Aboriginal identity,11,90.4
2016,Prince Edward Island,Females,65 to 74 years,"Total, all persons",11,74.9
2016,Prince Edward Island,Females,65 to 74 years,Non immigrants,11,73.7
2016,Prince Edward Island,Females,65 to 74 years,Immigrants,11,93.1
2016,Prince Edward Island,Females,65 to 74 years,Non-permanent residents,11,0.0
2016,Prince Edward Island,Females,65 to 74 years,Total visible minority population,11,86.7
2016,Prince Edward Island,Females,65 to 74 years,Not a visible minority,11,74.8
2016,Prince Edward Island,Females,65 to 74 years,Total Aboriginal identity,11,75.0
2016,Prince Edward Island,Females,65 to 74 years,First Nations (North American Indian),11,77.8
2016,Prince Edward Island,Females,65 to 74 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Females,65 to 74 years,Non-Aboriginal identity,11,74.9
2016,Prince Edward Island,Females,75 years and over,"Total, all persons",11,60.2
2016,Prince Edward Island,Females,75 years and over,Non immigrants,11,58.7
2016,Prince Edward Island,Females,75 years and over,Immigrants,11,80.5
2016,Prince Edward Island,Females,75 years and over,Non-permanent residents,11,0.0
2016,Prince Edward Island,Females,75 years and over,Total visible minority population,11,66.7
2016,Prince Edward Island,Females,75 years and over,Not a visible minority,11,60.3
2016,Prince Edward Island,Females,75 years and over,Total Aboriginal identity,11,0.0
2016,Prince Edward Island,Females,75 years and over,First Nations (North American Indian),11,0.0
2016,Prince Edward Island,Females,75 years and over,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Females,75 years and over,Non-Aboriginal identity,11,60.4
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over","Total, all persons",12,76.8
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Non immigrants,12,75.9
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Immigrants,12,87.5
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Non-permanent residents,12,92.6
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Total visible minority population,12,81.8
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Not a visible minority,12,76.5
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Total Aboriginal identity,12,70.7
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",First Nations (North American Indian),12,69.6
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Inuk (Inuit),12,79.5
2016,Nova Scotia,Both sexes,"Total, persons aged 15 years and over",Non-Aboriginal identity,12,77.2
2016,Nova Scotia,Both sexes,15 to 24 years,"Total, all persons",12,63.0
2016,Nova Scotia,Both sexes,15 to 24 years,Non immigrants,12,61.8
2016,Nova Scotia,Both sexes,15 to 24 years,Immigrants,12,67.8
2016,Nova Scotia,Both sexes,15 to 24 years,Non-permanent residents,12,87.9
2016,Nova Scotia,Both sexes,15 to 24 years,Total visible minority population,12,71.6
2016,Nova Scotia,Both sexes,15 to 24 years,Not a visible minority,12,62.0
2016,Nova Scotia,Both sexes,15 to 24 years,Total Aboriginal identity,12,56.4
2016,Nova Scotia,Both sexes,15 to 24 years,First Nations (North American Indian),12,53.2
2016,Nova Scotia,Both sexes,15 to 24 years,Inuk (Inuit),12,69.2
2016,Nova Scotia,Both sexes,15 to 24 years,Non-Aboriginal identity,12,63.6
2016,Nova Scotia,Both sexes,25 to 64 years,"Total, all persons",12,84.9
2016,Nova Scotia,Both sexes,25 to 64 years,Non immigrants,12,84.2
2016,Nova Scotia,Both sexes,25 to 64 years,Immigrants,12,92.1
2016,Nova Scotia,Both sexes,25 to 64 years,Non-permanent residents,12,96.7
2016,Nova Scotia,Both sexes,25 to 64 years,Total visible minority population,12,88.7
2016,Nova Scotia,Both sexes,25 to 64 years,Not a visible minority,12,84.6
2016,Nova Scotia,Both sexes,25 to 64 years,Total Aboriginal identity,12,79.2
2016,Nova Scotia,Both sexes,25 to 64 years,First Nations (North American Indian),12,77.8
2016,Nova Scotia,Both sexes,25 to 64 years,Inuk (Inuit),12,85.5
2016,Nova Scotia,Both sexes,25 to 64 years,Non-Aboriginal identity,12,85.2
2016,Nova Scotia,Both sexes,65 to 74 years,"Total, all persons",12,67.9
2016,Nova Scotia,Both sexes,65 to 74 years,Non immigrants,12,66.1
2016,Nova Scotia,Both sexes,65 to 74 years,Immigrants,12,87.3
2016,Nova Scotia,Both sexes,65 to 74 years,Non-permanent residents,12,80.0
2016,Nova Scotia,Both sexes,65 to 74 years,Total visible minority population,12,64.6
2016,Nova Scotia,Both sexes,65 to 74 years,Not a visible minority,12,68.0
2016,Nova Scotia,Both sexes,65 to 74 years,Total Aboriginal identity,12,55.1
2016,Nova Scotia,Both sexes,65 to 74 years,First Nations (North American Indian),12,58.7
2016,Nova Scotia,Both sexes,65 to 74 years,Inuk (Inuit),12,54.5
2016,Nova Scotia,Both sexes,65 to 74 years,Non-Aboriginal identity,12,68.3
2016,Nova Scotia,Both sexes,75 years and over,"Total, all persons",12,53.8
2016,Nova Scotia,Both sexes,75 years and over,Non immigrants,12,51.6
2016,Nova Scotia,Both sexes,75 years and over,Immigrants,12,77.2
2016,Nova Scotia,Both sexes,75 years and over,Non-permanent residents,12,60.0
2016,Nova Scotia,Both sexes,75 years and over,Total visible minority population,12,56.4
2016,Nova Scotia,Both sexes,75 years and over,Not a visible minority,12,53.8
2016,Nova Scotia,Both sexes,75 years and over,Total Aboriginal identity,12,36.9
2016,Nova Scotia,Both sexes,75 years and over,First Nations (North American Indian),12,40.7
2016,Nova Scotia,Both sexes,75 years and over,Inuk (Inuit),12,75.0
2016,Nova Scotia,Both sexes,75 years and over,Non-Aboriginal identity,12,54.2
2016,Nova Scotia,Males,"Total, persons aged 15 years and over","Total, all persons",12,73.9
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Non immigrants,12,72.6
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Immigrants,12,87.8
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Non-permanent residents,12,92.6
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Total visible minority population,12,81.1
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Not a visible minority,12,73.4
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Total Aboriginal identity,12,65.6
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",First Nations (North American Indian),12,64.7
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Inuk (Inuit),12,79.2
2016,Nova Scotia,Males,"Total, persons aged 15 years and over",Non-Aboriginal identity,12,74.4
2016,Nova Scotia,Males,15 to 24 years,"Total, all persons",12,61.5
2016,Nova Scotia,Males,15 to 24 years,Non immigrants,12,59.8
2016,Nova Scotia,Males,15 to 24 years,Immigrants,12,70.2
2016,Nova Scotia,Males,15 to 24 years,Non-permanent residents,12,88.2
2016,Nova Scotia,Males,15 to 24 years,Total visible minority population,12,72.6
2016,Nova Scotia,Males,15 to 24 years,Not a visible minority,12,60.1
2016,Nova Scotia,Males,15 to 24 years,Total Aboriginal identity,12,52.8
2016,Nova Scotia,Males,15 to 24 years,First Nations (North American Indian),12,49.7
2016,Nova Scotia,Males,15 to 24 years,Inuk (Inuit),12,61.5
2016,Nova Scotia,Males,15 to 24 years,Non-Aboriginal identity,12,62.2
2016,Nova Scotia,Males,25 to 64 years,"Total, all persons",12,81.1
2016,Nova Scotia,Males,25 to 64 years,Non immigrants,12,80.1
2016,Nova Scotia,Males,25 to 64 years,Immigrants,12,92.1
2016,Nova Scotia,Males,25 to 64 years,Non-permanent residents,12,96.3
2016,Nova Scotia,Males,25 to 64 years,Total visible minority population,12,87.5
2016,Nova Scotia,Males,25 to 64 years,Not a visible minority,12,80.7
2016,Nova Scotia,Males,25 to 64 years,Total Aboriginal identity,12,73.2
2016,Nova Scotia,Males,25 to 64 years,First Nations (North American Indian),12,72.1
2016,Nova Scotia,Males,25 to 64 years,Inuk (Inuit),12,87.9
2016,Nova Scotia,Males,25 to 64 years,Non-Aboriginal identity,12,81.6
2016,Nova Scotia,Males,65 to 74 years,"Total, all persons",12,65.9
2016,Nova Scotia,Males,65 to 74 years,Non immigrants,12,63.9
2016,Nova Scotia,Males,65 to 74 years,Immigrants,12,87.1
2016,Nova Scotia,Males,65 to 74 years,Non-permanent residents,12,77.8
2016,Nova Scotia,Males,65 to 74 years,Total visible minority population,12,63.9
2016,Nova Scotia,Males,65 to 74 years,Not a visible minority,12,66.0
2016,Nova Scotia,Males,65 to 74 years,Total Aboriginal identity,12,54.1
2016,Nova Scotia,Males,65 to 74 years,First Nations (North American Indian),12,57.4
2016,Nova Scotia,Males,65 to 74 years,Inuk (Inuit),12,66.7
2016,Nova Scotia,Males,65 to 74 years,Non-Aboriginal identity,12,66.3
2016,Nova Scotia,Males,75 years and over,"Total, all persons",12,51.9
2016,Nova Scotia,Males,75 years and over,Non immigrants,12,48.9
2016,Nova Scotia,Males,75 years and over,Immigrants,12,79.0
2016,Nova Scotia,Males,75 years and over,Non-permanent residents,12,75.0
2016,Nova Scotia,Males,75 years and over,Total visible minority population,12,57.4
2016,Nova Scotia,Males,75 years and over,Not a visible minority,12,51.7
2016,Nova Scotia,Males,75 years and over,Total Aboriginal identity,12,38.0
2016,Nova Scotia,Males,75 years and over,First Nations (North American Indian),12,39.0
2016,Nova Scotia,Males,75 years and over,Inuk (Inuit),12,66.7
2016,Nova Scotia,Males,75 years and over,Non-Aboriginal identity,12,52.2
2016,Nova Scotia,Females,"Total, persons aged 15 years and over","Total, all persons",12,79.6
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Non immigrants,12,78.9
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Immigrants,12,87.3
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Non-permanent residents,12,92.6
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Total visible minority population,12,82.3
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Not a visible minority,12,79.4
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Total Aboriginal identity,12,75.3
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",First Nations (North American Indian),12,74.0
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Inuk (Inuit),12,78.1
2016,Nova Scotia,Females,"Total, persons aged 15 years and over",Non-Aboriginal identity,12,79.8
2016,Nova Scotia,Females,15 to 24 years,"Total, all persons",12,64.6
2016,Nova Scotia,Females,15 to 24 years,Non immigrants,12,63.8
2016,Nova Scotia,Females,15 to 24 years,Immigrants,12,65.6
2016,Nova Scotia,Females,15 to 24 years,Non-permanent residents,12,86.9
2016,Nova Scotia,Females,15 to 24 years,Total visible minority population,12,70.5
2016,Nova Scotia,Females,15 to 24 years,Not a visible minority,12,63.9
2016,Nova Scotia,Females,15 to 24 years,Total Aboriginal identity,12,60.2
2016,Nova Scotia,Females,15 to 24 years,First Nations (North American Indian),12,56.7
2016,Nova Scotia,Females,15 to 24 years,Inuk (Inuit),12,71.4
2016,Nova Scotia,Females,15 to 24 years,Non-Aboriginal identity,12,65.0
2016,Nova Scotia,Females,25 to 64 years,"Total, all persons",12,88.3
2016,Nova Scotia,Females,25 to 64 years,Non immigrants,12,87.9
2016,Nova Scotia,Females,25 to 64 years,Immigrants,12,92.3
2016,Nova Scotia,Females,25 to 64 years,Non-permanent residents,12,97.3
2016,Nova Scotia,Females,25 to 64 years,Total visible minority population,12,89.8
2016,Nova Scotia,Females,25 to 64 years,Not a visible minority,12,88.2
2016,Nova Scotia,Females,25 to 64 years,Total Aboriginal identity,12,84.6
2016,Nova Scotia,Females,25 to 64 years,First Nations (North American Indian),12,82.9
2016,Nova Scotia,Females,25 to 64 years,Inuk (Inuit),12,83.7
2016,Nova Scotia,Females,25 to 64 years,Non-Aboriginal identity,12,88.5
2016,Nova Scotia,Females,65 to 74 years,"Total, all persons",12,69.7
2016,Nova Scotia,Females,65 to 74 years,Non immigrants,12,68.1
2016,Nova Scotia,Females,65 to 74 years,Immigrants,12,87.3
2016,Nova Scotia,Females,65 to 74 years,Non-permanent residents,12,83.3
2016,Nova Scotia,Females,65 to 74 years,Total visible minority population,12,65.2
2016,Nova Scotia,Females,65 to 74 years,Not a visible minority,12,69.8
2016,Nova Scotia,Females,65 to 74 years,Total Aboriginal identity,12,55.8
2016,Nova Scotia,Females,65 to 74 years,First Nations (North American Indian),12,59.0
2016,Nova Scotia,Females,65 to 74 years,Inuk (Inuit),12,60.0
2016,Nova Scotia,Females,65 to 74 years,Non-Aboriginal identity,12,70.1
2016,Nova Scotia,Females,75 years and over,"Total, all persons",12,55.3
2016,Nova Scotia,Females,75 years and over,Non immigrants,12,53.5
2016,Nova Scotia,Females,75 years and over,Immigrants,12,75.7
2016,Nova Scotia,Females,75 years and over,Non-permanent residents,12,50.0
2016,Nova Scotia,Females,75 years and over,Total visible minority population,12,55.4
2016,Nova Scotia,Females,75 years and over,Not a visible minority,12,55.4
2016,Nova Scotia,Females,75 years and over,Total Aboriginal identity,12,36.1
2016,Nova Scotia,Females,75 years and over,First Nations (North American Indian),12,41.2
2016,Nova Scotia,Females,75 years and over,Inuk (Inuit),12,100.0
2016,Nova Scotia,Females,75 years and over,Non-Aboriginal identity,12,55.8
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over","Total, all persons",13,75.3
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Non immigrants,13,74.7
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Immigrants,13,84.7
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Non-permanent residents,13,87.6
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Total visible minority population,13,82.3
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Not a visible minority,13,75.1
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Total Aboriginal identity,13,66.4
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",First Nations (North American Indian),13,66.1
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Inuk (Inuit),13,69.5
2016,New Brunswick,Both sexes,"Total, persons aged 15 years and over",Non-Aboriginal identity,13,75.6
2016,New Brunswick,Both sexes,15 to 24 years,"Total, all persons",13,63.6
2016,New Brunswick,Both sexes,15 to 24 years,Non immigrants,13,63.6
2016,New Brunswick,Both sexes,15 to 24 years,Immigrants,13,56.6
2016,New Brunswick,Both sexes,15 to 24 years,Non-permanent residents,13,79.6
2016,New Brunswick,Both sexes,15 to 24 years,Total visible minority population,13,63.1
2016,New Brunswick,Both sexes,15 to 24 years,Not a visible minority,13,63.6
2016,New Brunswick,Both sexes,15 to 24 years,Total Aboriginal identity,13,57.9
2016,New Brunswick,Both sexes,15 to 24 years,First Nations (North American Indian),13,57.2
2016,New Brunswick,Both sexes,15 to 24 years,Inuk (Inuit),13,65.0
2016,New Brunswick,Both sexes,15 to 24 years,Non-Aboriginal identity,13,63.9
2016,New Brunswick,Both sexes,25 to 64 years,"Total, all persons",13,84.2
2016,New Brunswick,Both sexes,25 to 64 years,Non immigrants,13,83.8
2016,New Brunswick,Both sexes,25 to 64 years,Immigrants,13,90.5
2016,New Brunswick,Both sexes,25 to 64 years,Non-permanent residents,13,91.1
2016,New Brunswick,Both sexes,25 to 64 years,Total visible minority population,13,90.4
2016,New Brunswick,Both sexes,25 to 64 years,Not a visible minority,13,84.0
2016,New Brunswick,Both sexes,25 to 64 years,Total Aboriginal identity,13,73.7
2016,New Brunswick,Both sexes,25 to 64 years,First Nations (North American Indian),13,72.8
2016,New Brunswick,Both sexes,25 to 64 years,Inuk (Inuit),13,70.6
2016,New Brunswick,Both sexes,25 to 64 years,Non-Aboriginal identity,13,84.6
2016,New Brunswick,Both sexes,65 to 74 years,"Total, all persons",13,62.7
2016,New Brunswick,Both sexes,65 to 74 years,Non immigrants,13,61.5
2016,New Brunswick,Both sexes,65 to 74 years,Immigrants,13,85.1
2016,New Brunswick,Both sexes,65 to 74 years,Non-permanent residents,13,81.8
2016,New Brunswick,Both sexes,65 to 74 years,Total visible minority population,13,76.1
2016,New Brunswick,Both sexes,65 to 74 years,Not a visible minority,13,62.6
2016,New Brunswick,Both sexes,65 to 74 years,Total Aboriginal identity,13,48.2
2016,New Brunswick,Both sexes,65 to 74 years,First Nations (North American Indian),13,49.1
2016,New Brunswick,Both sexes,65 to 74 years,Inuk (Inuit),13,80.0
2016,New Brunswick,Both sexes,65 to 74 years,Non-Aboriginal identity,13,63.1
2016,New Brunswick,Both sexes,75 years and over,"Total, all persons",13,45.8
2016,New Brunswick,Both sexes,75 years and over,Non immigrants,13,44.2
2016,New Brunswick,Both sexes,75 years and over,Immigrants,13,72.1
2016,New Brunswick,Both sexes,75 years and over,Non-permanent residents,13,50.0
2016,New Brunswick,Both sexes,75 years and over,Total visible minority population,13,56.3
2016,New Brunswick,Both sexes,75 years and over,Not a visible minority,13,45.7
2016,New Brunswick,Both sexes,75 years and over,Total Aboriginal identity,13,29.0
2016,New Brunswick,Both sexes,75 years and over,First Nations (North American Indian),13,34.4
2016,New Brunswick,Both sexes,75 years and over,Inuk (Inuit),13,0.0
2016,New Brunswick,Both sexes,75 years and over,Non-Aboriginal identity,13,46.1
2016,New Brunswick,Males,"Total, persons aged 15 years and over","Total, all persons",13,72.3
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Non immigrants,13,71.6
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Immigrants,13,84.1
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Non-permanent residents,13,87.3
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Total visible minority population,13,82.5
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Not a visible minority,13,72.0
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Total Aboriginal identity,13,62.4
2016,New Brunswick,Males,"Total, persons aged 15 years and over",First Nations (North American Indian),13,62.2
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Inuk (Inuit),13,76.9
2016,New Brunswick,Males,"Total, persons aged 15 years and over",Non-Aboriginal identity,13,72.7
2016,New Brunswick,Males,15 to 24 years,"Total, all persons",13,62.4
2016,New Brunswick,Males,15 to 24 years,Non immigrants,13,62.3
2016,New Brunswick,Males,15 to 24 years,Immigrants,13,54.0
2016,New Brunswick,Males,15 to 24 years,Non-permanent residents,13,82.1
2016,New Brunswick,Males,15 to 24 years,Total visible minority population,13,64.7
2016,New Brunswick,Males,15 to 24 years,Not a visible minority,13,62.3
2016,New Brunswick,Males,15 to 24 years,Total Aboriginal identity,13,55.5
2016,New Brunswick,Males,15 to 24 years,First Nations (North American Indian),13,54.8
2016,New Brunswick,Males,15 to 24 years,Inuk (Inuit),13,66.7
2016,New Brunswick,Males,15 to 24 years,Non-Aboriginal identity,13,62.8
2016,New Brunswick,Males,25 to 64 years,"Total, all persons",13,80.6
2016,New Brunswick,Males,25 to 64 years,Non immigrants,13,80.0
2016,New Brunswick,Males,25 to 64 years,Immigrants,13,89.6
2016,New Brunswick,Males,25 to 64 years,Non-permanent residents,13,90.4
2016,New Brunswick,Males,25 to 64 years,Total visible minority population,13,90.9
2016,New Brunswick,Males,25 to 64 years,Not a visible minority,13,80.2
2016,New Brunswick,Males,25 to 64 years,Total Aboriginal identity,13,69.4
2016,New Brunswick,Males,25 to 64 years,First Nations (North American Indian),13,68.0
2016,New Brunswick,Males,25 to 64 years,Inuk (Inuit),13,81.3
2016,New Brunswick,Males,25 to 64 years,Non-Aboriginal identity,13,81.0
2016,New Brunswick,Males,65 to 74 years,"Total, all persons",13,60.4
2016,New Brunswick,Males,65 to 74 years,Non immigrants,13,59.0
2016,New Brunswick,Males,65 to 74 years,Immigrants,13,86.4
2016,New Brunswick,Males,65 to 74 years,Non-permanent residents,13,60.0
2016,New Brunswick,Males,65 to 74 years,Total visible minority population,13,71.6
2016,New Brunswick,Males,65 to 74 years,Not a visible minority,13,60.3
2016,New Brunswick,Males,65 to 74 years,Total Aboriginal identity,13,42.2
2016,New Brunswick,Males,65 to 74 years,First Nations (North American Indian),13,45.1
2016,New Brunswick,Males,65 to 74 years,Inuk (Inuit),13,100.0
2016,New Brunswick,Males,65 to 74 years,Non-Aboriginal identity,13,60.9
2016,New Brunswick,Males,75 years and over,"Total, all persons",13,42.5
2016,New Brunswick,Males,75 years and over,Non immigrants,13,40.3
2016,New Brunswick,Males,75 years and over,Immigrants,13,75.8
2016,New Brunswick,Males,75 years and over,Non-permanent residents,13,0.0
2016,New Brunswick,Males,75 years and over,Total visible minority population,13,62.8
2016,New Brunswick,Males,75 years and over,Not a visible minority,13,42.2
2016,New Brunswick,Males,75 years and over,Total Aboriginal identity,13,27.4
2016,New Brunswick,Males,75 years and over,First Nations (North American Indian),13,37.8
2016,New Brunswick,Males,75 years and over,Inuk (Inuit),13,0.0
2016,New Brunswick,Males,75 years and over,Non-Aboriginal identity,13,42.8
2016,New Brunswick,Females,"Total, persons aged 15 years and over","Total, all persons",13,78.1
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Non immigrants,13,77.6
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Immigrants,13,85.3
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Non-permanent residents,13,87.4
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Total visible minority population,13,82.1
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Not a visible minority,13,78.0
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Total Aboriginal identity,13,70.5
2016,New Brunswick,Females,"Total, persons aged 15 years and over",First Nations (North American Indian),13,69.8
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Inuk (Inuit),13,62.5
2016,New Brunswick,Females,"Total, persons aged 15 years and over",Non-Aboriginal identity,13,78.4
2016,New Brunswick,Females,15 to 24 years,"Total, all persons",13,64.8
2016,New Brunswick,Females,15 to 24 years,Non immigrants,13,64.9
2016,New Brunswick,Females,15 to 24 years,Immigrants,13,59.6
2016,New Brunswick,Females,15 to 24 years,Non-permanent residents,13,76.9
2016,New Brunswick,Females,15 to 24 years,Total visible minority population,13,61.0
2016,New Brunswick,Females,15 to 24 years,Not a visible minority,13,65.0
2016,New Brunswick,Females,15 to 24 years,Total Aboriginal identity,13,60.1
