Year,Geography,GeoCode,Economic family type,Value
2019,Nova Scotia,,Couples with children,94000.0
2020,Nova Scotia,,Couples with children,97900.0
2015,Nova Scotia,,Couples with other relatives,111100.0
2016,Nova Scotia,,Couples with other relatives,110500.0
2017,Nova Scotia,,Couples with other relatives,104700.0
2018,Nova Scotia,,Couples with other relatives,107400.0
2019,Nova Scotia,,Couples with other relatives,118400.0
2020,Nova Scotia,,Couples with other relatives,128700.0
2015,Nova Scotia,,Lone-parent families,41400.0
2016,Nova Scotia,,Lone-parent families,45400.0
2017,Nova Scotia,,Lone-parent families,50600.0
2018,Nova Scotia,,Lone-parent families,50100.0
2019,Nova Scotia,,Lone-parent families,58500.0
2020,Nova Scotia,,Lone-parent families,55300.0
2015,Nova Scotia,,Male lone-parent families,
2016,Nova Scotia,,Male lone-parent families,
2017,Nova Scotia,,Male lone-parent families,69500.0
2018,Nova Scotia,,Male lone-parent families,55600.0
2019,Nova Scotia,,Male lone-parent families,
2020,Nova Scotia,,Male lone-parent families,62200.0
2015,Nova Scotia,,Female lone-parent families,41400.0
2016,Nova Scotia,,Female lone-parent families,43600.0
2017,Nova Scotia,,Female lone-parent families,48200.0
2018,Nova Scotia,,Female lone-parent families,46900.0
2019,Nova Scotia,,Female lone-parent families,57900.0
2020,Nova Scotia,,Female lone-parent families,52000.0
2015,Nova Scotia,,Other non-elderly families,65200.0
2016,Nova Scotia,,Other non-elderly families,65600.0
2017,Nova Scotia,,Other non-elderly families,63300.0
2018,Nova Scotia,,Other non-elderly families,63200.0
2019,Nova Scotia,,Other non-elderly families,71000.0
2020,Nova Scotia,,Other non-elderly families,74500.0
2015,Nova Scotia,,Persons not in an economic family,27000.0
2016,Nova Scotia,,Persons not in an economic family,28300.0
2017,Nova Scotia,,Persons not in an economic family,29300.0
2018,Nova Scotia,,Persons not in an economic family,29300.0
2019,Nova Scotia,,Persons not in an economic family,28600.0
2020,Nova Scotia,,Persons not in an economic family,30900.0
2015,Nova Scotia,,Elderly persons not in an economic family,25900.0
2016,Nova Scotia,,Elderly persons not in an economic family,28100.0
2017,Nova Scotia,,Elderly persons not in an economic family,29500.0
2018,Nova Scotia,,Elderly persons not in an economic family,26300.0
2019,Nova Scotia,,Elderly persons not in an economic family,27400.0
2020,Nova Scotia,,Elderly persons not in an economic family,29000.0
2015,Nova Scotia,,Elderly males not in an economic family,27800.0
2016,Nova Scotia,,Elderly males not in an economic family,29000.0
2017,Nova Scotia,,Elderly males not in an economic family,28400.0
2018,Nova Scotia,,Elderly males not in an economic family,27800.0
2019,Nova Scotia,,Elderly males not in an economic family,30900.0
2020,Nova Scotia,,Elderly males not in an economic family,30900.0
2015,Nova Scotia,,Elderly females not in an economic family,25400.0
2016,Nova Scotia,,Elderly females not in an economic family,27800.0
2017,Nova Scotia,,Elderly females not in an economic family,29800.0
2018,Nova Scotia,,Elderly females not in an economic family,26000.0
2019,Nova Scotia,,Elderly females not in an economic family,25500.0
2020,Nova Scotia,,Elderly females not in an economic family,27900.0
2015,Nova Scotia,,Non-elderly persons not in an economic family,28000.0
2016,Nova Scotia,,Non-elderly persons not in an economic family,28300.0
2017,Nova Scotia,,Non-elderly persons not in an economic family,29300.0
2018,Nova Scotia,,Non-elderly persons not in an economic family,30200.0
2019,Nova Scotia,,Non-elderly persons not in an economic family,29200.0
2020,Nova Scotia,,Non-elderly persons not in an economic family,31800.0
2015,Nova Scotia,,Non-elderly males not in an economic family,29400.0
2016,Nova Scotia,,Non-elderly males not in an economic family,26100.0
2017,Nova Scotia,,Non-elderly males not in an economic family,31700.0
2018,Nova Scotia,,Non-elderly males not in an economic family,32900.0
2019,Nova Scotia,,Non-elderly males not in an economic family,30800.0
2020,Nova Scotia,,Non-elderly males not in an economic family,33300.0
2015,Nova Scotia,,Non-elderly females not in an economic family,25600.0
2016,Nova Scotia,,Non-elderly females not in an economic family,31900.0
2017,Nova Scotia,,Non-elderly females not in an economic family,25000.0
2018,Nova Scotia,,Non-elderly females not in an economic family,28200.0
2019,Nova Scotia,,Non-elderly females not in an economic family,27900.0
2020,Nova Scotia,,Non-elderly females not in an economic family,29800.0
2015,New Brunswick,13,Economic families and persons not in an economic family,54300.0
2016,New Brunswick,13,Economic families and persons not in an economic family,53100.0
2017,New Brunswick,13,Economic families and persons not in an economic family,54200.0
2018,New Brunswick,13,Economic families and persons not in an economic family,54800.0
2019,New Brunswick,13,Economic families and persons not in an economic family,54800.0
2020,New Brunswick,13,Economic families and persons not in an economic family,56900.0
2015,New Brunswick,,Economic families,71900.0
2016,New Brunswick,,Economic families,70100.0
2017,New Brunswick,,Economic families,72500.0
2018,New Brunswick,,Economic families,73400.0
2019,New Brunswick,,Economic families,73200.0
2020,New Brunswick,,Economic families,78600.0
2015,New Brunswick,,Elderly families,54600.0
2016,New Brunswick,,Elderly families,54800.0
2017,New Brunswick,,Elderly families,55800.0
2018,New Brunswick,,Elderly families,58500.0
2019,New Brunswick,,Elderly families,58300.0
2020,New Brunswick,,Elderly families,63400.0
2015,New Brunswick,,Elderly couples,55400.0
2016,New Brunswick,,Elderly couples,54800.0
2017,New Brunswick,,Elderly couples,56400.0
2018,New Brunswick,,Elderly couples,58000.0
2019,New Brunswick,,Elderly couples,58300.0
2020,New Brunswick,,Elderly couples,62000.0
2015,New Brunswick,,Other elderly families,46500.0
2016,New Brunswick,,Other elderly families,49600.0
2017,New Brunswick,,Other elderly families,55400.0
2018,New Brunswick,,Other elderly families,65200.0
2019,New Brunswick,,Other elderly families,58100.0
2020,New Brunswick,,Other elderly families,73400.0
2015,New Brunswick,,Non-elderly families,79000.0
2016,New Brunswick,,Non-elderly families,78200.0
2017,New Brunswick,,Non-elderly families,79200.0
2018,New Brunswick,,Non-elderly families,79400.0
2019,New Brunswick,,Non-elderly families,78300.0
2020,New Brunswick,,Non-elderly families,86300.0
2015,New Brunswick,,Couples,72800.0
2016,New Brunswick,,Couples,73100.0
2017,New Brunswick,,Couples,71700.0
2018,New Brunswick,,Couples,72400.0
2019,New Brunswick,,Couples,73600.0
2020,New Brunswick,,Couples,74000.0
2015,New Brunswick,,Couples with children,91300.0
2016,New Brunswick,,Couples with children,91400.0
2017,New Brunswick,,Couples with children,94800.0
2018,New Brunswick,,Couples with children,94500.0
2019,New Brunswick,,Couples with children,91900.0
2020,New Brunswick,,Couples with children,104200.0
2015,New Brunswick,,Couples with other relatives,94600.0
2016,New Brunswick,,Couples with other relatives,102200.0
2017,New Brunswick,,Couples with other relatives,110500.0
2018,New Brunswick,,Couples with other relatives,113900.0
2019,New Brunswick,,Couples with other relatives,118100.0
2020,New Brunswick,,Couples with other relatives,124200.0
2015,New Brunswick,,Lone-parent families,47600.0
2016,New Brunswick,,Lone-parent families,45700.0
2017,New Brunswick,,Lone-parent families,45500.0
2018,New Brunswick,,Lone-parent families,48600.0
2019,New Brunswick,,Lone-parent families,50500.0
2020,New Brunswick,,Lone-parent families,55400.0
2015,New Brunswick,,Male lone-parent families,
2016,New Brunswick,,Male lone-parent families,
2017,New Brunswick,,Male lone-parent families,
2018,New Brunswick,,Male lone-parent families,49400.0
2019,New Brunswick,,Male lone-parent families,
2020,New Brunswick,,Male lone-parent families,
2015,New Brunswick,,Female lone-parent families,42300.0
2016,New Brunswick,,Female lone-parent families,45200.0
2017,New Brunswick,,Female lone-parent families,41000.0
2018,New Brunswick,,Female lone-parent families,48600.0
2019,New Brunswick,,Female lone-parent families,47800.0
2020,New Brunswick,,Female lone-parent families,56300.0
2015,New Brunswick,,Other non-elderly families,53100.0
2016,New Brunswick,,Other non-elderly families,67400.0
2017,New Brunswick,,Other non-elderly families,64900.0
2018,New Brunswick,,Other non-elderly families,64300.0
2019,New Brunswick,,Other non-elderly families,70200.0
2020,New Brunswick,,Other non-elderly families,66900.0
2015,New Brunswick,,Persons not in an economic family,26200.0
2016,New Brunswick,,Persons not in an economic family,26800.0
2017,New Brunswick,,Persons not in an economic family,28600.0
2018,New Brunswick,,Persons not in an economic family,27100.0
2019,New Brunswick,,Persons not in an economic family,28900.0
2020,New Brunswick,,Persons not in an economic family,30100.0
2015,New Brunswick,,Elderly persons not in an economic family,25900.0
2016,New Brunswick,,Elderly persons not in an economic family,25200.0
2017,New Brunswick,,Elderly persons not in an economic family,26000.0
2018,New Brunswick,,Elderly persons not in an economic family,25800.0
2019,New Brunswick,,Elderly persons not in an economic family,26300.0
2020,New Brunswick,,Elderly persons not in an economic family,27100.0
2015,New Brunswick,,Elderly males not in an economic family,29000.0
2016,New Brunswick,,Elderly males not in an economic family,26700.0
2017,New Brunswick,,Elderly males not in an economic family,28200.0
2018,New Brunswick,,Elderly males not in an economic family,25800.0
2019,New Brunswick,,Elderly males not in an economic family,26400.0
2020,New Brunswick,,Elderly males not in an economic family,29500.0
2015,New Brunswick,,Elderly females not in an economic family,24000.0
2016,New Brunswick,,Elderly females not in an economic family,24900.0
2017,New Brunswick,,Elderly females not in an economic family,25600.0
2018,New Brunswick,,Elderly females not in an economic family,25800.0
2019,New Brunswick,,Elderly females not in an economic family,26300.0
2020,New Brunswick,,Elderly females not in an economic family,25400.0
2015,New Brunswick,,Non-elderly persons not in an economic family,26300.0
2016,New Brunswick,,Non-elderly persons not in an economic family,27000.0
2017,New Brunswick,,Non-elderly persons not in an economic family,30200.0
2018,New Brunswick,,Non-elderly persons not in an economic family,28200.0
2019,New Brunswick,,Non-elderly persons not in an economic family,31300.0
2020,New Brunswick,,Non-elderly persons not in an economic family,32500.0
2015,New Brunswick,,Non-elderly males not in an economic family,27100.0
2016,New Brunswick,,Non-elderly males not in an economic family,29100.0
2017,New Brunswick,,Non-elderly males not in an economic family,32300.0
2018,New Brunswick,,Non-elderly males not in an economic family,28600.0
2019,New Brunswick,,Non-elderly males not in an economic family,31900.0
2020,New Brunswick,,Non-elderly males not in an economic family,34200.0
2015,New Brunswick,,Non-elderly females not in an economic family,25900.0
2016,New Brunswick,,Non-elderly females not in an economic family,25600.0
2017,New Brunswick,,Non-elderly females not in an economic family,28000.0
2018,New Brunswick,,Non-elderly females not in an economic family,27900.0
2019,New Brunswick,,Non-elderly females not in an economic family,30300.0
2020,New Brunswick,,Non-elderly females not in an economic family,30800.0
2015,Quebec,24,Economic families and persons not in an economic family,52300.0
2016,Quebec,24,Economic families and persons not in an economic family,52700.0
2017,Quebec,24,Economic families and persons not in an economic family,53800.0
2018,Quebec,24,Economic families and persons not in an economic family,53700.0
2019,Quebec,24,Economic families and persons not in an economic family,55400.0
2020,Quebec,24,Economic families and persons not in an economic family,59700.0
2015,Quebec,,Economic families,74700.0
2016,Quebec,,Economic families,75500.0
2017,Quebec,,Economic families,77300.0
2018,Quebec,,Economic families,78300.0
2019,Quebec,,Economic families,81200.0
2020,Quebec,,Economic families,85700.0
2015,Quebec,,Elderly families,54600.0
2016,Quebec,,Elderly families,56000.0
2017,Quebec,,Elderly families,55800.0
2018,Quebec,,Elderly families,56500.0
2019,Quebec,,Elderly families,56300.0
2020,Quebec,,Elderly families,61200.0
2015,Quebec,,Elderly couples,53500.0
2016,Quebec,,Elderly couples,56000.0
2017,Quebec,,Elderly couples,54400.0
2018,Quebec,,Elderly couples,55600.0
2019,Quebec,,Elderly couples,55400.0
2020,Quebec,,Elderly couples,59900.0
2015,Quebec,,Other elderly families,61100.0
2016,Quebec,,Other elderly families,57100.0
2017,Quebec,,Other elderly families,61900.0
2018,Quebec,,Other elderly families,63800.0
2019,Quebec,,Other elderly families,58000.0
2020,Quebec,,Other elderly families,68600.0
2015,Quebec,,Non-elderly families,80100.0
2016,Quebec,,Non-elderly families,81800.0
2017,Quebec,,Non-elderly families,84100.0
2018,Quebec,,Non-elderly families,85500.0
2019,Quebec,,Non-elderly families,88800.0
2020,Quebec,,Non-elderly families,94700.0
2015,Quebec,,Couples,71700.0
2016,Quebec,,Couples,75100.0
2017,Quebec,,Couples,72300.0
2018,Quebec,,Couples,74200.0
2019,Quebec,,Couples,75900.0
2020,Quebec,,Couples,82300.0
2015,Quebec,,Couples with children,93400.0
2016,Quebec,,Couples with children,95700.0
2017,Quebec,,Couples with children,96100.0
2018,Quebec,,Couples with children,96600.0
2019,Quebec,,Couples with children,101900.0
2020,Quebec,,Couples with children,105900.0
2015,Quebec,,Couples with other relatives,103200.0
2016,Quebec,,Couples with other relatives,113700.0
2017,Quebec,,Couples with other relatives,119500.0
2018,Quebec,,Couples with other relatives,121200.0
2019,Quebec,,Couples with other relatives,121000.0
2020,Quebec,,Couples with other relatives,130200.0
2015,Quebec,,Lone-parent families,51600.0
2016,Quebec,,Lone-parent families,53900.0
2017,Quebec,,Lone-parent families,55200.0
2018,Quebec,,Lone-parent families,53700.0
2019,Quebec,,Lone-parent families,66700.0
2020,Quebec,,Lone-parent families,65100.0
2015,Quebec,,Male lone-parent families,66300.0
2016,Quebec,,Male lone-parent families,61800.0
2017,Quebec,,Male lone-parent families,59000.0
2018,Quebec,,Male lone-parent families,64600.0
2019,Quebec,,Male lone-parent families,73400.0
2020,Quebec,,Male lone-parent families,68600.0
2015,Quebec,,Female lone-parent families,49900.0
2016,Quebec,,Female lone-parent families,51500.0
2017,Quebec,,Female lone-parent families,54200.0
2018,Quebec,,Female lone-parent families,52100.0
2019,Quebec,,Female lone-parent families,62000.0
2020,Quebec,,Female lone-parent families,64500.0
2015,Quebec,,Other non-elderly families,70300.0
2016,Quebec,,Other non-elderly families,64400.0
2017,Quebec,,Other non-elderly families,69400.0
2018,Quebec,,Other non-elderly families,69700.0
2019,Quebec,,Other non-elderly families,77000.0
2020,Quebec,,Other non-elderly families,83000.0
2015,Quebec,,Persons not in an economic family,29100.0
2016,Quebec,,Persons not in an economic family,29200.0
2017,Quebec,,Persons not in an economic family,29700.0
2018,Quebec,,Persons not in an economic family,29300.0
2019,Quebec,,Persons not in an economic family,29200.0
2020,Quebec,,Persons not in an economic family,32700.0
2015,Quebec,,Elderly persons not in an economic family,26600.0
2016,Quebec,,Elderly persons not in an economic family,25400.0
2017,Quebec,,Elderly persons not in an economic family,25000.0
2018,Quebec,,Elderly persons not in an economic family,25700.0
2019,Quebec,,Elderly persons not in an economic family,25700.0
2020,Quebec,,Elderly persons not in an economic family,28100.0
2015,Quebec,,Elderly males not in an economic family,26600.0
2016,Quebec,,Elderly males not in an economic family,25800.0
2017,Quebec,,Elderly males not in an economic family,27800.0
2018,Quebec,,Elderly males not in an economic family,26500.0
2019,Quebec,,Elderly males not in an economic family,26800.0
2020,Quebec,,Elderly males not in an economic family,29600.0
2015,Quebec,,Elderly females not in an economic family,26700.0
2016,Quebec,,Elderly females not in an economic family,25200.0
2017,Quebec,,Elderly females not in an economic family,24000.0
2018,Quebec,,Elderly females not in an economic family,25400.0
2019,Quebec,,Elderly females not in an economic family,24900.0
2020,Quebec,,Elderly females not in an economic family,27300.0
2015,Quebec,,Non-elderly persons not in an economic family,31200.0
2016,Quebec,,Non-elderly persons not in an economic family,31800.0
2017,Quebec,,Non-elderly persons not in an economic family,32500.0
2018,Quebec,,Non-elderly persons not in an economic family,32300.0
2019,Quebec,,Non-elderly persons not in an economic family,32200.0
2020,Quebec,,Non-elderly persons not in an economic family,35600.0
2015,Quebec,,Non-elderly males not in an economic family,32900.0
2016,Quebec,,Non-elderly males not in an economic family,33000.0
2017,Quebec,,Non-elderly males not in an economic family,33500.0
2018,Quebec,,Non-elderly males not in an economic family,33700.0
2019,Quebec,,Non-elderly males not in an economic family,32800.0
2020,Quebec,,Non-elderly males not in an economic family,37400.0
2015,Quebec,,Non-elderly females not in an economic family,28700.0
2016,Quebec,,Non-elderly females not in an economic family,30400.0
2017,Quebec,,Non-elderly females not in an economic family,30700.0
2018,Quebec,,Non-elderly females not in an economic family,30500.0
2019,Quebec,,Non-elderly females not in an economic family,31900.0
2020,Quebec,,Non-elderly females not in an economic family,33100.0
2015,Ontario,35,Economic families and persons not in an economic family,63200.0
2016,Ontario,35,Economic families and persons not in an economic family,62800.0
2017,Ontario,35,Economic families and persons not in an economic family,64500.0
2018,Ontario,35,Economic families and persons not in an economic family,66200.0
2019,Ontario,35,Economic families and persons not in an economic family,65100.0
2020,Ontario,35,Economic families and persons not in an economic family,70100.0
2015,Ontario,,Economic families,87200.0
2016,Ontario,,Economic families,86900.0
2017,Ontario,,Economic families,88400.0
2018,Ontario,,Economic families,92000.0
2019,Ontario,,Economic families,90600.0
2020,Ontario,,Economic families,96700.0
2015,Ontario,,Elderly families,69100.0
2016,Ontario,,Elderly families,63700.0
2017,Ontario,,Elderly families,67800.0
2018,Ontario,,Elderly families,70400.0
2019,Ontario,,Elderly families,67600.0
2020,Ontario,,Elderly families,71600.0
2015,Ontario,,Elderly couples,67600.0
2016,Ontario,,Elderly couples,60500.0
2017,Ontario,,Elderly couples,66900.0
2018,Ontario,,Elderly couples,69000.0
2019,Ontario,,Elderly couples,67000.0
2020,Ontario,,Elderly couples,69800.0
2015,Ontario,,Other elderly families,76300.0
2016,Ontario,,Other elderly families,78100.0
2017,Ontario,,Other elderly families,75100.0
2018,Ontario,,Other elderly families,78100.0
2019,Ontario,,Other elderly families,71300.0
2020,Ontario,,Other elderly families,80900.0
2015,Ontario,,Non-elderly families,91900.0
2016,Ontario,,Non-elderly families,93900.0
2017,Ontario,,Non-elderly families,93700.0
2018,Ontario,,Non-elderly families,97300.0
2019,Ontario,,Non-elderly families,98000.0
2020,Ontario,,Non-elderly families,103600.0
2015,Ontario,,Couples,81200.0
2016,Ontario,,Couples,87000.0
2017,Ontario,,Couples,88400.0
2018,Ontario,,Couples,88500.0
2019,Ontario,,Couples,83700.0
2020,Ontario,,Couples,90400.0
2015,Ontario,,Couples with children,103800.0
2016,Ontario,,Couples with children,102200.0
2017,Ontario,,Couples with children,102900.0
2018,Ontario,,Couples with children,106800.0
2019,Ontario,,Couples with children,109400.0
2020,Ontario,,Couples with children,113500.0
2015,Ontario,,Couples with other relatives,132700.0
2016,Ontario,,Couples with other relatives,125100.0
2017,Ontario,,Couples with other relatives,127400.0
2018,Ontario,,Couples with other relatives,130800.0
2019,Ontario,,Couples with other relatives,141200.0
2020,Ontario,,Couples with other relatives,140100.0
2015,Ontario,,Lone-parent families,47100.0
2016,Ontario,,Lone-parent families,42900.0
2017,Ontario,,Lone-parent families,51700.0
2018,Ontario,,Lone-parent families,53100.0
2019,Ontario,,Lone-parent families,59400.0
2020,Ontario,,Lone-parent families,59500.0
2015,Ontario,,Male lone-parent families,54300.0
2016,Ontario,,Male lone-parent families,53800.0
2017,Ontario,,Male lone-parent families,68100.0
2018,Ontario,,Male lone-parent families,57800.0
2019,Ontario,,Male lone-parent families,72700.0
2020,Ontario,,Male lone-parent families,65800.0
2015,Ontario,,Female lone-parent families,44800.0
2016,Ontario,,Female lone-parent families,40900.0
2017,Ontario,,Female lone-parent families,49400.0
2018,Ontario,,Female lone-parent families,51300.0
2019,Ontario,,Female lone-parent families,52800.0
2020,Ontario,,Female lone-parent families,58600.0
2015,Ontario,,Other non-elderly families,73200.0
2016,Ontario,,Other non-elderly families,76200.0
2017,Ontario,,Other non-elderly families,76600.0
2018,Ontario,,Other non-elderly families,81400.0
2019,Ontario,,Other non-elderly families,79700.0
2020,Ontario,,Other non-elderly families,92600.0
2015,Ontario,,Persons not in an economic family,31200.0
2016,Ontario,,Persons not in an economic family,31500.0
2017,Ontario,,Persons not in an economic family,32400.0
2018,Ontario,,Persons not in an economic family,32100.0
2019,Ontario,,Persons not in an economic family,34200.0
2020,Ontario,,Persons not in an economic family,35100.0
2015,Ontario,,Elderly persons not in an economic family,31500.0
2016,Ontario,,Elderly persons not in an economic family,31800.0
2017,Ontario,,Elderly persons not in an economic family,31200.0
2018,Ontario,,Elderly persons not in an economic family,32600.0
2019,Ontario,,Elderly persons not in an economic family,33100.0
2020,Ontario,,Elderly persons not in an economic family,33700.0
2015,Ontario,,Elderly males not in an economic family,34400.0
2016,Ontario,,Elderly males not in an economic family,33300.0
2017,Ontario,,Elderly males not in an economic family,32500.0
2018,Ontario,,Elderly males not in an economic family,34500.0
2019,Ontario,,Elderly males not in an economic family,37300.0
2020,Ontario,,Elderly males not in an economic family,36200.0
2015,Ontario,,Elderly females not in an economic family,29700.0
2016,Ontario,,Elderly females not in an economic family,30700.0
2017,Ontario,,Elderly females not in an economic family,30800.0
2018,Ontario,,Elderly females not in an economic family,31600.0
2019,Ontario,,Elderly females not in an economic family,31700.0
2020,Ontario,,Elderly females not in an economic family,32700.0
2015,Ontario,,Non-elderly persons not in an economic family,31100.0
2016,Ontario,,Non-elderly persons not in an economic family,31300.0
2017,Ontario,,Non-elderly persons not in an economic family,33100.0
2018,Ontario,,Non-elderly persons not in an economic family,32000.0
2019,Ontario,,Non-elderly persons not in an economic family,34600.0
2020,Ontario,,Non-elderly persons not in an economic family,35500.0
2015,Ontario,,Non-elderly males not in an economic family,37200.0
2016,Ontario,,Non-elderly males not in an economic family,34400.0
2017,Ontario,,Non-elderly males not in an economic family,34000.0
2018,Ontario,,Non-elderly males not in an economic family,31800.0
2019,Ontario,,Non-elderly males not in an economic family,39500.0
2020,Ontario,,Non-elderly males not in an economic family,37900.0
2015,Ontario,,Non-elderly females not in an economic family,27200.0
2016,Ontario,,Non-elderly females not in an economic family,27900.0
2017,Ontario,,Non-elderly females not in an economic family,32300.0
2018,Ontario,,Non-elderly females not in an economic family,32000.0
2019,Ontario,,Non-elderly females not in an economic family,30900.0
2020,Ontario,,Non-elderly females not in an economic family,32300.0
2015,Prairie provinces,,Economic families and persons not in an economic family,72500.0
2016,Prairie provinces,,Economic families and persons not in an economic family,70700.0
2017,Prairie provinces,,Economic families and persons not in an economic family,70400.0
2018,Prairie provinces,,Economic families and persons not in an economic family,71200.0
2019,Prairie provinces,,Economic families and persons not in an economic family,69700.0
2020,Prairie provinces,,Economic families and persons not in an economic family,72900.0
2015,Prairie provinces,,Economic families,97000.0
2016,Prairie provinces,,Economic families,94100.0
2017,Prairie provinces,,Economic families,96200.0
2018,Prairie provinces,,Economic families,95000.0
2019,Prairie provinces,,Economic families,93600.0
2020,Prairie provinces,,Economic families,97800.0
2015,Prairie provinces,,Elderly families,68500.0
2016,Prairie provinces,,Elderly families,69200.0
2017,Prairie provinces,,Elderly families,70700.0
2018,Prairie provinces,,Elderly families,68000.0
2019,Prairie provinces,,Elderly families,69200.0
2020,Prairie provinces,,Elderly families,74600.0
2015,Prairie provinces,,Elderly couples,67000.0
2016,Prairie provinces,,Elderly couples,67900.0
2017,Prairie provinces,,Elderly couples,67300.0
2018,Prairie provinces,,Elderly couples,67200.0
2019,Prairie provinces,,Elderly couples,68100.0
2020,Prairie provinces,,Elderly couples,71200.0
2015,Prairie provinces,,Other elderly families,77700.0
2016,Prairie provinces,,Other elderly families,78100.0
2017,Prairie provinces,,Other elderly families,89900.0
2018,Prairie provinces,,Other elderly families,76400.0
2019,Prairie provinces,,Other elderly families,74900.0
2020,Prairie provinces,,Other elderly families,91800.0
2015,Prairie provinces,,Non-elderly families,102900.0
2016,Prairie provinces,,Non-elderly families,99300.0
2017,Prairie provinces,,Non-elderly families,102700.0
2018,Prairie provinces,,Non-elderly families,102300.0
2019,Prairie provinces,,Non-elderly families,102200.0
2020,Prairie provinces,,Non-elderly families,104500.0
2015,Prairie provinces,,Couples,96800.0
2016,Prairie provinces,,Couples,87500.0
2017,Prairie provinces,,Couples,93000.0
2018,Prairie provinces,,Couples,93800.0
2019,Prairie provinces,,Couples,89400.0
2020,Prairie provinces,,Couples,93700.0
2015,Prairie provinces,,Couples with children,109200.0
2016,Prairie provinces,,Couples with children,106100.0
2017,Prairie provinces,,Couples with children,107900.0
2018,Prairie provinces,,Couples with children,110300.0
2019,Prairie provinces,,Couples with children,112000.0
2020,Prairie provinces,,Couples with children,114100.0
2015,Prairie provinces,,Couples with other relatives,143800.0
2016,Prairie provinces,,Couples with other relatives,141400.0
2017,Prairie provinces,,Couples with other relatives,140800.0
2018,Prairie provinces,,Couples with other relatives,133100.0
2019,Prairie provinces,,Couples with other relatives,151700.0
2020,Prairie provinces,,Couples with other relatives,144100.0
2015,Prairie provinces,,Lone-parent families,50600.0
2016,Prairie provinces,,Lone-parent families,61900.0
2017,Prairie provinces,,Lone-parent families,56100.0
2018,Prairie provinces,,Lone-parent families,58200.0
2019,Prairie provinces,,Lone-parent families,58300.0
2020,Prairie provinces,,Lone-parent families,63000.0
2015,Prairie provinces,,Male lone-parent families,77600.0
2016,Prairie provinces,,Male lone-parent families,80800.0
2017,Prairie provinces,,Male lone-parent families,77100.0
2018,Prairie provinces,,Male lone-parent families,71000.0
2019,Prairie provinces,,Male lone-parent families,78600.0
2020,Prairie provinces,,Male lone-parent families,82200.0
2015,Prairie provinces,,Female lone-parent families,45600.0
2016,Prairie provinces,,Female lone-parent families,55300.0
2017,Prairie provinces,,Female lone-parent families,51800.0
2018,Prairie provinces,,Female lone-parent families,56800.0
2019,Prairie provinces,,Female lone-parent families,54200.0
2020,Prairie provinces,,Female lone-parent families,59600.0
2015,Prairie provinces,,Other non-elderly families,88400.0
2016,Prairie provinces,,Other non-elderly families,90600.0
2017,Prairie provinces,,Other non-elderly families,91800.0
2018,Prairie provinces,,Other non-elderly families,87900.0
2019,Prairie provinces,,Other non-elderly families,81300.0
2020,Prairie provinces,,Other non-elderly families,82000.0
2015,Prairie provinces,,Persons not in an economic family,38700.0
2016,Prairie provinces,,Persons not in an economic family,35200.0
2017,Prairie provinces,,Persons not in an economic family,36200.0
2018,Prairie provinces,,Persons not in an economic family,36100.0
2019,Prairie provinces,,Persons not in an economic family,36300.0
2020,Prairie provinces,,Persons not in an economic family,36100.0
2015,Prairie provinces,,Elderly persons not in an economic family,32400.0
2016,Prairie provinces,,Elderly persons not in an economic family,28100.0
2017,Prairie provinces,,Elderly persons not in an economic family,31600.0
2018,Prairie provinces,,Elderly persons not in an economic family,31700.0
2019,Prairie provinces,,Elderly persons not in an economic family,30800.0
2020,Prairie provinces,,Elderly persons not in an economic family,32000.0
2015,Prairie provinces,,Elderly males not in an economic family,36900.0
2016,Prairie provinces,,Elderly males not in an economic family,27600.0
2017,Prairie provinces,,Elderly males not in an economic family,32000.0
2018,Prairie provinces,,Elderly males not in an economic family,34100.0
2019,Prairie provinces,,Elderly males not in an economic family,30800.0
2020,Prairie provinces,,Elderly males not in an economic family,32900.0
2015,Prairie provinces,,Elderly females not in an economic family,31100.0
2016,Prairie provinces,,Elderly females not in an economic family,28300.0
2017,Prairie provinces,,Elderly females not in an economic family,31400.0
2018,Prairie provinces,,Elderly females not in an economic family,30200.0
2019,Prairie provinces,,Elderly females not in an economic family,30800.0
2020,Prairie provinces,,Elderly females not in an economic family,30900.0
2015,Prairie provinces,,Non-elderly persons not in an economic family,41500.0
2016,Prairie provinces,,Non-elderly persons not in an economic family,39100.0
2017,Prairie provinces,,Non-elderly persons not in an economic family,38300.0
2018,Prairie provinces,,Non-elderly persons not in an economic family,37900.0
2019,Prairie provinces,,Non-elderly persons not in an economic family,38100.0
2020,Prairie provinces,,Non-elderly persons not in an economic family,37900.0
2015,Prairie provinces,,Non-elderly males not in an economic family,44700.0
2016,Prairie provinces,,Non-elderly males not in an economic family,42200.0
2017,Prairie provinces,,Non-elderly males not in an economic family,41000.0
2018,Prairie provinces,,Non-elderly males not in an economic family,40300.0
2019,Prairie provinces,,Non-elderly males not in an economic family,40100.0
2020,Prairie provinces,,Non-elderly males not in an economic family,40000.0
2015,Prairie provinces,,Non-elderly females not in an economic family,37500.0
2016,Prairie provinces,,Non-elderly females not in an economic family,35800.0
2017,Prairie provinces,,Non-elderly females not in an economic family,35200.0
2018,Prairie provinces,,Non-elderly females not in an economic family,35100.0
2019,Prairie provinces,,Non-elderly females not in an economic family,36100.0
2020,Prairie provinces,,Non-elderly females not in an economic family,36200.0
