Year,Geography,GeoCode,Economic family type,Household food security status,Value
2020,Newfoundland and Labrador,,Persons not in an economic family,"Food insecure, moderate",10.0
2018,Newfoundland and Labrador,,Persons not in an economic family,"Food insecure, severe",6.8
2019,Newfoundland and Labrador,,Persons not in an economic family,"Food insecure, severe",7.1
2020,Newfoundland and Labrador,,Persons not in an economic family,"Food insecure, severe",8.2
2018,Newfoundland and Labrador,,Elderly persons not in an economic family,Food secure,82.9
2019,Newfoundland and Labrador,,Elderly persons not in an economic family,Food secure,88.0
2020,Newfoundland and Labrador,,Elderly persons not in an economic family,Food secure,84.9
2018,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, marginal",4.8
2019,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, marginal",
2020,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, marginal",
2018,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate or severe",12.3
2019,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate or severe",6.0
2020,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate or severe",11.1
2018,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate",9.7
2019,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate",6.0
2020,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, moderate",5.5
2018,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, severe",
2019,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, severe",
2020,Newfoundland and Labrador,,Elderly persons not in an economic family,"Food insecure, severe",
2018,Newfoundland and Labrador,,Elderly males not in an economic family,Food secure,77.7
2019,Newfoundland and Labrador,,Elderly males not in an economic family,Food secure,91.9
2020,Newfoundland and Labrador,,Elderly males not in an economic family,Food secure,88.0
2018,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, marginal",
2019,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, marginal",
2020,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, marginal",
2018,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate or severe",14.3
2019,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate or severe",
2020,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate or severe",
2018,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate",
2019,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate",
2020,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, moderate",
2018,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, severe",
2019,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, severe",
2020,Newfoundland and Labrador,,Elderly males not in an economic family,"Food insecure, severe",
2018,Newfoundland and Labrador,,Elderly females not in an economic family,Food secure,86.0
2019,Newfoundland and Labrador,,Elderly females not in an economic family,Food secure,86.1
2020,Newfoundland and Labrador,,Elderly females not in an economic family,Food secure,83.2
2018,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, marginal",
2019,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, marginal",
2020,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, marginal",
2018,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate or severe",11.0
2019,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate or severe",7.1
2020,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate or severe",12.6
2018,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate",7.9
2019,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate",7.1
2020,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, moderate",
2018,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, severe",
2019,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, severe",
2020,Newfoundland and Labrador,,Elderly females not in an economic family,"Food insecure, severe",
2018,Newfoundland and Labrador,,Non-elderly persons not in an economic family,Food secure,73.9
2019,Newfoundland and Labrador,,Non-elderly persons not in an economic family,Food secure,68.3
2020,Newfoundland and Labrador,,Non-elderly persons not in an economic family,Food secure,71.8
2018,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, marginal",4.0
2019,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, marginal",7.6
2020,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, marginal",5.1
2018,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",22.1
2019,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",24.1
2020,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",23.1
2018,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate",13.0
2019,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate",13.3
2020,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, moderate",13.1
2018,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, severe",9.1
2019,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, severe",10.9
2020,Newfoundland and Labrador,,Non-elderly persons not in an economic family,"Food insecure, severe",10.0
2018,Newfoundland and Labrador,,Non-elderly males not in an economic family,Food secure,77.6
2019,Newfoundland and Labrador,,Non-elderly males not in an economic family,Food secure,70.4
2020,Newfoundland and Labrador,,Non-elderly males not in an economic family,Food secure,75.4
2018,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, marginal",
2019,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, marginal",
2020,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, marginal",
2018,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",19.0
2019,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",22.3
2020,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",17.4
2018,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate",11.8
2019,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate",15.4
2020,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, moderate",8.6
2018,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, severe",7.2
2019,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, severe",
2020,Newfoundland and Labrador,,Non-elderly males not in an economic family,"Food insecure, severe",8.7
2018,Newfoundland and Labrador,,Non-elderly females not in an economic family,Food secure,68.5
2019,Newfoundland and Labrador,,Non-elderly females not in an economic family,Food secure,65.6
2020,Newfoundland and Labrador,,Non-elderly females not in an economic family,Food secure,66.9
2018,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, marginal",
2019,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, marginal",
2020,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, marginal",
2018,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",26.5
2019,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",26.5
2020,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",31.1
2018,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate",14.7
2019,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate",10.6
2020,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, moderate",19.4
2018,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, severe",11.8
2019,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, severe",15.9
2020,Newfoundland and Labrador,,Non-elderly females not in an economic family,"Food insecure, severe",11.7
2018,Prince Edward Island,,All persons,Food secure,82.7
2019,Prince Edward Island,,All persons,Food secure,81.4
2020,Prince Edward Island,,All persons,Food secure,83.5
2018,Prince Edward Island,,All persons,"Food insecure, marginal",5.0
2019,Prince Edward Island,,All persons,"Food insecure, marginal",5.4
2020,Prince Edward Island,,All persons,"Food insecure, marginal",5.7
2018,Prince Edward Island,11,All persons,"Food insecure, moderate or severe",12.3
2019,Prince Edward Island,11,All persons,"Food insecure, moderate or severe",13.2
2020,Prince Edward Island,11,All persons,"Food insecure, moderate or severe",10.7
2018,Prince Edward Island,,All persons,"Food insecure, moderate",7.4
2019,Prince Edward Island,,All persons,"Food insecure, moderate",8.7
2020,Prince Edward Island,,All persons,"Food insecure, moderate",6.3
2018,Prince Edward Island,,All persons,"Food insecure, severe",4.9
2019,Prince Edward Island,,All persons,"Food insecure, severe",4.5
2020,Prince Edward Island,,All persons,"Food insecure, severe",4.4
2018,Prince Edward Island,,Persons in economic families,Food secure,83.6
2019,Prince Edward Island,,Persons in economic families,Food secure,81.0
2020,Prince Edward Island,,Persons in economic families,Food secure,83.8
2018,Prince Edward Island,,Persons in economic families,"Food insecure, marginal",4.7
2019,Prince Edward Island,,Persons in economic families,"Food insecure, marginal",5.5
2020,Prince Edward Island,,Persons in economic families,"Food insecure, marginal",5.8
2018,Prince Edward Island,,Persons in economic families,"Food insecure, moderate or severe",11.7
2019,Prince Edward Island,,Persons in economic families,"Food insecure, moderate or severe",13.4
2020,Prince Edward Island,,Persons in economic families,"Food insecure, moderate or severe",10.3
2018,Prince Edward Island,,Persons in economic families,"Food insecure, moderate",7.6
2019,Prince Edward Island,,Persons in economic families,"Food insecure, moderate",8.8
2020,Prince Edward Island,,Persons in economic families,"Food insecure, moderate",6.3
2018,Prince Edward Island,,Persons in economic families,"Food insecure, severe",4.1
2019,Prince Edward Island,,Persons in economic families,"Food insecure, severe",4.7
2020,Prince Edward Island,,Persons in economic families,"Food insecure, severe",4.1
2018,Prince Edward Island,,data.Persons in elderly families,Food secure,92.9
2019,Prince Edward Island,,data.Persons in elderly families,Food secure,92.0
2020,Prince Edward Island,,data.Persons in elderly families,Food secure,93.5
2018,Prince Edward Island,,data.Persons in elderly families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in elderly families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in elderly families,"Food insecure, marginal",3.2
2018,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate or severe",
2019,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate or severe",
2020,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in elderly families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in elderly families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in elderly families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in elderly families,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in elderly couples,Food secure,97.7
2019,Prince Edward Island,,data.Persons in elderly couples,Food secure,94.1
2020,Prince Edward Island,,data.Persons in elderly couples,Food secure,94.9
2018,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate or severe",
2019,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate or severe",
2020,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in elderly couples,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in other elderly families,Food secure,82.5
2019,Prince Edward Island,,data.Persons in other elderly families,Food secure,86.7
2020,Prince Edward Island,,data.Persons in other elderly families,Food secure,89.7
2018,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate or severe",
2019,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate or severe",
2020,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in other elderly families,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in non-elderly families,Food secure,81.7
2019,Prince Edward Island,,data.Persons in non-elderly families,Food secure,78.8
2020,Prince Edward Island,,data.Persons in non-elderly families,Food secure,81.7
2018,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, marginal",5.0
2019,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, marginal",6.2
2020,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, marginal",6.4
2018,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate or severe",13.3
2019,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate or severe",15.0
2020,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate or severe",11.9
2018,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate",8.8
2019,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate",9.8
2020,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, moderate",7.2
2018,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, severe",4.5
2019,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, severe",5.2
2020,Prince Edward Island,,data.Persons in non-elderly families,"Food insecure, severe",4.7
2018,Prince Edward Island,,data.Persons in couples,Food secure,87.1
2019,Prince Edward Island,,data.Persons in couples,Food secure,87.2
2020,Prince Edward Island,,data.Persons in couples,Food secure,92.3
2018,Prince Edward Island,,data.Persons in couples,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in couples,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in couples,"Food insecure, marginal",5.7
2018,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate or severe",11.1
2019,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate or severe",8.7
2020,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate",6.8
2019,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in couples,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in couples,"Food insecure, severe",4.3
2019,Prince Edward Island,,data.Persons in couples,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in couples,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in couple families with children,Food secure,83.1
2019,Prince Edward Island,,data.Persons in couple families with children,Food secure,82.6
2020,Prince Edward Island,,data.Persons in couple families with children,Food secure,78.3
2018,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, marginal",5.3
2019,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate or severe",11.6
2019,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate or severe",11.4
2020,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate or severe",14.5
2018,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate",7.3
2019,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate",7.8
2020,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, moderate",9.8
2018,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in couple families with children,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in couple families with other relatives,Food secure,92.8
2019,Prince Edward Island,,data.Persons in couple families with other relatives,Food secure,82.4
2020,Prince Edward Island,,data.Persons in couple families with other relatives,Food secure,91.3
2018,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",
2019,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",
2020,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in couple families with other relatives,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in lone-parent families,Food secure,48.6
2019,Prince Edward Island,,data.Persons in lone-parent families,Food secure,44.7
2020,Prince Edward Island,,data.Persons in lone-parent families,Food secure,63.1
2018,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate or severe",34.5
2019,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate or severe",43.1
2020,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate or severe",32.7
2018,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate",21.9
2019,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate",26.9
2020,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in lone-parent families,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in male lone-parent families,Food secure,
2019,Prince Edward Island,,data.Persons in male lone-parent families,Food secure,
2020,Prince Edward Island,,data.Persons in male lone-parent families,Food secure,85.2
2018,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",
2019,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",
2020,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",
2018,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in male lone-parent families,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in female lone-parent families,Food secure,47.3
2019,Prince Edward Island,,data.Persons in female lone-parent families,Food secure,49.2
2020,Prince Edward Island,,data.Persons in female lone-parent families,Food secure,58.4
2018,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",33.8
2019,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",40.2
2020,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",38.5
2018,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate",
2019,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in female lone-parent families,"Food insecure, severe",
2018,Prince Edward Island,,data.Persons in other non-elderly families,Food secure,73.7
2019,Prince Edward Island,,data.Persons in other non-elderly families,Food secure,72.8
2020,Prince Edward Island,,data.Persons in other non-elderly families,Food secure,78.2
2018,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, marginal",
2019,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, marginal",
2020,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, marginal",
2018,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",19.5
2019,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",21.0
2020,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",16.6
2018,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate",13.8
2019,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate",
2020,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, moderate",
2018,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, severe",
2019,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, severe",
2020,Prince Edward Island,,data.Persons in other non-elderly families,"Food insecure, severe",
2018,Prince Edward Island,,Persons not in an economic family,Food secure,78.4
2019,Prince Edward Island,,Persons not in an economic family,Food secure,83.0
2020,Prince Edward Island,,Persons not in an economic family,Food secure,82.0
2018,Prince Edward Island,,Persons not in an economic family,"Food insecure, marginal",6.1
2019,Prince Edward Island,,Persons not in an economic family,"Food insecure, marginal",
2020,Prince Edward Island,,Persons not in an economic family,"Food insecure, marginal",5.4
2018,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate or severe",15.5
2019,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate or severe",12.2
2020,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate or severe",12.6
2018,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate",6.4
2019,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate",8.3
2020,Prince Edward Island,,Persons not in an economic family,"Food insecure, moderate",6.5
2018,Prince Edward Island,,Persons not in an economic family,"Food insecure, severe",9.2
2019,Prince Edward Island,,Persons not in an economic family,"Food insecure, severe",
2020,Prince Edward Island,,Persons not in an economic family,"Food insecure, severe",6.1
2018,Prince Edward Island,,Elderly persons not in an economic family,Food secure,85.7
2019,Prince Edward Island,,Elderly persons not in an economic family,Food secure,91.2
2020,Prince Edward Island,,Elderly persons not in an economic family,Food secure,86.2
2018,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, marginal",6.9
2019,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, marginal",
2020,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, marginal",
2018,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate or severe",7.4
2019,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate or severe",
2020,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate or severe",10.3
2018,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate",
2019,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate",
2020,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, moderate",7.1
2018,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, severe",
2019,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, severe",
2020,Prince Edward Island,,Elderly persons not in an economic family,"Food insecure, severe",
2018,Prince Edward Island,,Elderly males not in an economic family,Food secure,81.0
2019,Prince Edward Island,,Elderly males not in an economic family,Food secure,96.0
2020,Prince Edward Island,,Elderly males not in an economic family,Food secure,80.6
2018,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, marginal",
2019,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, marginal",
2020,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, marginal",
2018,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate or severe",
2019,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate or severe",
2020,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate or severe",
2018,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate",
2019,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate",
2020,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, moderate",
2018,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, severe",
2019,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, severe",
2020,Prince Edward Island,,Elderly males not in an economic family,"Food insecure, severe",
2018,Prince Edward Island,,Elderly females not in an economic family,Food secure,88.0
2019,Prince Edward Island,,Elderly females not in an economic family,Food secure,89.1
2020,Prince Edward Island,,Elderly females not in an economic family,Food secure,89.1
2018,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, marginal",
2019,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, marginal",
2020,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, marginal",
2018,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate or severe",
2019,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate or severe",
2020,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate or severe",8.2
2018,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate",
2019,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate",
2020,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, moderate",
2018,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, severe",
2019,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, severe",
2020,Prince Edward Island,,Elderly females not in an economic family,"Food insecure, severe",
2018,Prince Edward Island,,Non-elderly persons not in an economic family,Food secure,74.3
2019,Prince Edward Island,,Non-elderly persons not in an economic family,Food secure,79.3
2020,Prince Edward Island,,Non-elderly persons not in an economic family,Food secure,79.9
2018,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, marginal",5.7
2019,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, marginal",
2020,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, marginal",6.3
2018,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",20.0
2019,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",14.4
2020,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",13.8
2018,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, moderate",8.5
2019,Prince Edward Island,,Non-elderly persons not in an economic family,"Food insecure, moderate",8.7
