Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2022 Q4,,,,,,Wages and salaries,207.7
2022 Q4,,,,,,Self-employment income,218.5
2022 Q4,,,,,,Net property income,112.6
2022 Q4,,,,,,Current transfers received - pension benefits,79.8
2022 Q4,,,,,,Current transfers received - others,203.1
2023 Q4,,,,,,Wages and salaries,206.8
2023 Q4,,,,,,Self-employment income,201.7
2023 Q4,,,,,,Net property income,100.2
2023 Q4,,,,,,Current transfers received - pension benefits,76.8
2023 Q4,,,,,,Current transfers received - others,200.1
2024 Q4,,,,,,Wages and salaries,194.8
2024 Q4,,,,,,Self-employment income,228.6
2024 Q4,,,,,,Net property income,104.4
2024 Q4,,,,,,Current transfers received - pension benefits,82.0
2024 Q4,,,,,,Current transfers received - others,194.2
