Year,Units,Geography,Core public infrastructure assets,Type of municipality by population size,Value
2016,Number,Quebec,Stormwater,"Rural municipalities, population 5,000 or more",23.0
2016,Number,Quebec,Wastewater,All municipalities,178.0
2016,Number,Quebec,Wastewater,All urban municipalities,66.0
2016,Number,Quebec,Wastewater,"Urban municipalities, population 1 to 4,999",17.0
2016,Number,Quebec,Wastewater,"Urban municipalities, population 5,000 to 29,999",29.0
2016,Number,Quebec,Wastewater,"Urban municipalities, population 30,000 or more",19.0
2016,Number,Quebec,Wastewater,All rural municipalities,112.0
2016,Number,Quebec,Wastewater,"Rural municipalities, population 1 to 4,999",96.0
2016,Number,Quebec,Wastewater,"Rural municipalities, population 5,000 or more",16.0
2016,Number,Saskatchewan,Potable water,All municipalities,16.0
2016,Number,Saskatchewan,Potable water,All urban municipalities,11.0
2016,Number,Saskatchewan,Potable water,"Urban municipalities, population 1 to 4,999",7.0
2016,Number,Saskatchewan,Potable water,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,Potable water,"Urban municipalities, population 30,000 or more",3.0
2016,Number,Saskatchewan,Potable water,All rural municipalities,6.0
2016,Number,Saskatchewan,Potable water,"Rural municipalities, population 1 to 4,999",6.0
2016,Number,Saskatchewan,Potable water,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,Solid waste,All municipalities,11.0
2016,Number,Saskatchewan,Solid waste,All urban municipalities,7.0
2016,Number,Saskatchewan,Solid waste,"Urban municipalities, population 1 to 4,999",4.0
2016,Number,Saskatchewan,Solid waste,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,Solid waste,"Urban municipalities, population 30,000 or more",2.0
2016,Number,Saskatchewan,Solid waste,All rural municipalities,4.0
2016,Number,Saskatchewan,Solid waste,"Rural municipalities, population 1 to 4,999",4.0
2016,Number,Saskatchewan,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,Stormwater,All municipalities,29.0
2016,Number,Saskatchewan,Stormwater,All urban municipalities,16.0
2016,Number,Saskatchewan,Stormwater,"Urban municipalities, population 1 to 4,999",9.0
2016,Number,Saskatchewan,Stormwater,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Saskatchewan,Stormwater,"Urban municipalities, population 30,000 or more",3.0
2016,Number,Saskatchewan,Stormwater,All rural municipalities,13.0
2016,Number,Saskatchewan,Stormwater,"Rural municipalities, population 1 to 4,999",12.0
2016,Number,Saskatchewan,Stormwater,"Rural municipalities, population 5,000 or more",1.0
2016,Number,Saskatchewan,Wastewater,All municipalities,25.0
2016,Number,Saskatchewan,Wastewater,All urban municipalities,18.0
2016,Number,Saskatchewan,Wastewater,"Urban municipalities, population 1 to 4,999",14.0
2016,Number,Saskatchewan,Wastewater,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,Wastewater,"Urban municipalities, population 30,000 or more",3.0
2016,Number,Saskatchewan,Wastewater,All rural municipalities,7.0
2016,Number,Saskatchewan,Wastewater,"Rural municipalities, population 1 to 4,999",6.0
2016,Number,Saskatchewan,Wastewater,"Rural municipalities, population 5,000 or more",1.0
2016,Number,Yukon,Potable water,All municipalities,1.0
2016,Number,Yukon,Potable water,All urban municipalities,0.0
2016,Number,Yukon,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Yukon,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Yukon,Potable water,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Yukon,Potable water,All rural municipalities,1.0
2016,Number,Yukon,Potable water,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Yukon,Potable water,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Yukon,Solid waste,All municipalities,1.0
2016,Number,Yukon,Solid waste,All urban municipalities,0.0
2016,Number,Yukon,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Yukon,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Yukon,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Yukon,Solid waste,All rural municipalities,1.0
2016,Number,Yukon,Solid waste,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Yukon,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Yukon,Stormwater,All municipalities,1.0
2016,Number,Yukon,Stormwater,All urban municipalities,0.0
2016,Number,Yukon,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Yukon,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Yukon,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Yukon,Stormwater,All rural municipalities,1.0
2016,Number,Yukon,Stormwater,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Yukon,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Yukon,Wastewater,All municipalities,1.0
2016,Number,Yukon,Wastewater,All urban municipalities,0.0
2016,Number,Yukon,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Yukon,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Yukon,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Yukon,Wastewater,All rural municipalities,1.0
2016,Number,Yukon,Wastewater,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Yukon,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Alberta,Potable water,All municipalities,109.0
2018,Number,Alberta,Potable water,All urban municipalities,66.0
2018,Number,Alberta,Potable water,"Urban municipalities, population 1 to 4,999",45.0
2018,Number,Alberta,Potable water,"Urban municipalities, population 5,000 to 29,999",19.0
2018,Number,Alberta,Potable water,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Alberta,Potable water,All rural municipalities,44.0
2018,Number,Alberta,Potable water,"Rural municipalities, population 1 to 4,999",34.0
2018,Number,Alberta,Potable water,"Rural municipalities, population 5,000 or more",10.0
2018,Number,Alberta,Solid waste,All municipalities,52.0
2018,Number,Alberta,Solid waste,All urban municipalities,34.0
2018,Number,Alberta,Solid waste,"Urban municipalities, population 1 to 4,999",22.0
2018,Number,Alberta,Solid waste,"Urban municipalities, population 5,000 to 29,999",8.0
2018,Number,Alberta,Solid waste,"Urban municipalities, population 30,000 or more",3.0
2018,Number,Alberta,Solid waste,All rural municipalities,18.0
2018,Number,Alberta,Solid waste,"Rural municipalities, population 1 to 4,999",11.0
2018,Number,Alberta,Solid waste,"Rural municipalities, population 5,000 or more",7.0
2018,Number,Alberta,Stormwater,All municipalities,115.0
2018,Number,Alberta,Stormwater,All urban municipalities,73.0
2018,Number,Alberta,Stormwater,"Urban municipalities, population 1 to 4,999",47.0
2018,Number,Alberta,Stormwater,"Urban municipalities, population 5,000 to 29,999",21.0
2018,Number,Alberta,Stormwater,"Urban municipalities, population 30,000 or more",4.0
2018,Number,Alberta,Stormwater,All rural municipalities,42.0
2018,Number,Alberta,Stormwater,"Rural municipalities, population 1 to 4,999",28.0
2018,Number,Alberta,Stormwater,"Rural municipalities, population 5,000 or more",14.0
2018,Number,Alberta,Wastewater,All municipalities,113.0
2018,Number,Alberta,Wastewater,All urban municipalities,66.0
2018,Number,Alberta,Wastewater,"Urban municipalities, population 1 to 4,999",44.0
2018,Number,Alberta,Wastewater,"Urban municipalities, population 5,000 to 29,999",20.0
2018,Number,Alberta,Wastewater,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Alberta,Wastewater,All rural municipalities,47.0
2018,Number,Alberta,Wastewater,"Rural municipalities, population 1 to 4,999",36.0
2018,Number,Alberta,Wastewater,"Rural municipalities, population 5,000 or more",11.0
2018,Number,British Columbia,Potable water,All municipalities,184.0
2018,Number,British Columbia,Potable water,All urban municipalities,106.0
2018,Number,British Columbia,Potable water,"Urban municipalities, population 1 to 4,999",48.0
2018,Number,British Columbia,Potable water,"Urban municipalities, population 5,000 to 29,999",39.0
2018,Number,British Columbia,Potable water,"Urban municipalities, population 30,000 or more",19.0
2018,Number,British Columbia,Potable water,All rural municipalities,77.0
2018,Number,British Columbia,Potable water,"Rural municipalities, population 1 to 4,999",67.0
2018,Number,British Columbia,Potable water,"Rural municipalities, population 5,000 or more",10.0
2018,Number,British Columbia,Solid waste,All municipalities,74.0
2018,Number,British Columbia,Solid waste,All urban municipalities,38.0
2018,Number,British Columbia,Solid waste,"Urban municipalities, population 1 to 4,999",13.0
2018,Number,British Columbia,Solid waste,"Urban municipalities, population 5,000 to 29,999",17.0
2018,Number,British Columbia,Solid waste,"Urban municipalities, population 30,000 or more",8.0
2018,Number,British Columbia,Solid waste,All rural municipalities,36.0
2018,Number,British Columbia,Solid waste,"Rural municipalities, population 1 to 4,999",31.0
2018,Number,British Columbia,Solid waste,"Rural municipalities, population 5,000 or more",4.0
2018,Number,British Columbia,Stormwater,All municipalities,196.0
2018,Number,British Columbia,Stormwater,All urban municipalities,117.0
2018,Number,British Columbia,Stormwater,"Urban municipalities, population 1 to 4,999",50.0
2018,Number,British Columbia,Stormwater,"Urban municipalities, population 5,000 to 29,999",46.0
2018,Number,British Columbia,Stormwater,"Urban municipalities, population 30,000 or more",21.0
2018,Number,British Columbia,Stormwater,All rural municipalities,79.0
2018,Number,British Columbia,Stormwater,"Rural municipalities, population 1 to 4,999",67.0
2018,Number,British Columbia,Stormwater,"Rural municipalities, population 5,000 or more",11.0
2018,Number,British Columbia,Wastewater,All municipalities,182.0
2018,Number,British Columbia,Wastewater,All urban municipalities,109.0
2018,Number,British Columbia,Wastewater,"Urban municipalities, population 1 to 4,999",52.0
2018,Number,British Columbia,Wastewater,"Urban municipalities, population 5,000 to 29,999",40.0
2018,Number,British Columbia,Wastewater,"Urban municipalities, population 30,000 or more",16.0
2018,Number,British Columbia,Wastewater,All rural municipalities,73.0
2018,Number,British Columbia,Wastewater,"Rural municipalities, population 1 to 4,999",64.0
2018,Number,British Columbia,Wastewater,"Rural municipalities, population 5,000 or more",9.0
2018,Number,Canada,Potable water,All municipalities,1267.0
2018,Number,Canada,Potable water,All urban municipalities,439.0
2018,Number,Canada,Potable water,"Urban municipalities, population 1 to 4,999",201.0
2018,Number,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",174.0
2018,Number,Canada,Potable water,"Urban municipalities, population 30,000 or more",64.0
2018,Number,Canada,Potable water,All rural municipalities,828.0
2018,Number,Canada,Potable water,"Rural municipalities, population 1 to 4,999",704.0
2018,Number,Canada,Potable water,"Rural municipalities, population 5,000 or more",124.0
2018,Number,Canada,Solid waste,All municipalities,599.0
2018,Number,Canada,Solid waste,All urban municipalities,188.0
2018,Number,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",87.0
2018,Number,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",66.0
2018,Number,Canada,Solid waste,"Urban municipalities, population 30,000 or more",35.0
2018,Number,Canada,Solid waste,All rural municipalities,410.0
2018,Number,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",358.0
2018,Number,Canada,Solid waste,"Rural municipalities, population 5,000 or more",53.0
2018,Number,Canada,Stormwater,All municipalities,1362.0
2018,Number,Canada,Stormwater,All urban municipalities,496.0
2018,Number,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",201.0
2018,Number,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",199.0
2018,Number,Canada,Stormwater,"Urban municipalities, population 30,000 or more",96.0
2018,Number,Canada,Stormwater,All rural municipalities,867.0
2018,Number,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",709.0
2018,Number,Canada,Stormwater,"Rural municipalities, population 5,000 or more",157.0
2018,Number,Canada,Wastewater,All municipalities,1381.0
2018,Number,Canada,Wastewater,All urban municipalities,454.0
2018,Number,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",201.0
2018,Number,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",183.0
2018,Number,Canada,Wastewater,"Urban municipalities, population 30,000 or more",70.0
2018,Number,Canada,Wastewater,All rural municipalities,928.0
2018,Number,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",796.0
2018,Number,Canada,Wastewater,"Rural municipalities, population 5,000 or more",131.0
2018,Number,Manitoba,Potable water,All municipalities,45.0
2018,Number,Manitoba,Potable water,All urban municipalities,14.0
2018,Number,Manitoba,Potable water,"Urban municipalities, population 1 to 4,999",6.0
2018,Number,Manitoba,Potable water,"Urban municipalities, population 5,000 to 29,999",6.0
2018,Number,Manitoba,Potable water,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Manitoba,Potable water,All rural municipalities,30.0
2018,Number,Manitoba,Potable water,"Rural municipalities, population 1 to 4,999",24.0
2018,Number,Manitoba,Potable water,"Rural municipalities, population 5,000 or more",6.0
2018,Number,Manitoba,Solid waste,All municipalities,56.0
2018,Number,Manitoba,Solid waste,All urban municipalities,16.0
2018,Number,Manitoba,Solid waste,"Urban municipalities, population 1 to 4,999",10.0
2018,Number,Manitoba,Solid waste,"Urban municipalities, population 5,000 to 29,999",4.0
2018,Number,Manitoba,Solid waste,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Manitoba,Solid waste,All rural municipalities,40.0
2018,Number,Manitoba,Solid waste,"Rural municipalities, population 1 to 4,999",36.0
2018,Number,Manitoba,Solid waste,"Rural municipalities, population 5,000 or more",4.0
2018,Number,Manitoba,Stormwater,All municipalities,46.0
2018,Number,Manitoba,Stormwater,All urban municipalities,17.0
2018,Number,Manitoba,Stormwater,"Urban municipalities, population 1 to 4,999",9.0
2018,Number,Manitoba,Stormwater,"Urban municipalities, population 5,000 to 29,999",6.0
2018,Number,Manitoba,Stormwater,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Manitoba,Stormwater,All rural municipalities,30.0
2018,Number,Manitoba,Stormwater,"Rural municipalities, population 1 to 4,999",24.0
2018,Number,Manitoba,Stormwater,"Rural municipalities, population 5,000 or more",6.0
2018,Number,Manitoba,Wastewater,All municipalities,62.0
2018,Number,Manitoba,Wastewater,All urban municipalities,17.0
2018,Number,Manitoba,Wastewater,"Urban municipalities, population 1 to 4,999",9.0
2018,Number,Manitoba,Wastewater,"Urban municipalities, population 5,000 to 29,999",6.0
2018,Number,Manitoba,Wastewater,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Manitoba,Wastewater,All rural municipalities,45.0
2018,Number,Manitoba,Wastewater,"Rural municipalities, population 1 to 4,999",36.0
2018,Number,Manitoba,Wastewater,"Rural municipalities, population 5,000 or more",9.0
2018,Number,New Brunswick,Potable water,All municipalities,96.0
2018,Number,New Brunswick,Potable water,All urban municipalities,24.0
2018,Number,New Brunswick,Potable water,"Urban municipalities, population 1 to 4,999",12.0
2018,Number,New Brunswick,Potable water,"Urban municipalities, population 5,000 to 29,999",11.0
2018,Number,New Brunswick,Potable water,"Urban municipalities, population 30,000 or more",1.0
2018,Number,New Brunswick,Potable water,All rural municipalities,72.0
2018,Number,New Brunswick,Potable water,"Rural municipalities, population 1 to 4,999",68.0
2018,Number,New Brunswick,Potable water,"Rural municipalities, population 5,000 or more",5.0
2018,Number,New Brunswick,Solid waste,All municipalities,34.0
2018,Number,New Brunswick,Solid waste,All urban municipalities,4.0
2018,Number,New Brunswick,Solid waste,"Urban municipalities, population 1 to 4,999",3.0
2018,Number,New Brunswick,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,New Brunswick,Solid waste,"Urban municipalities, population 30,000 or more",1.0
2018,Number,New Brunswick,Solid waste,All rural municipalities,31.0
2018,Number,New Brunswick,Solid waste,"Rural municipalities, population 1 to 4,999",31.0
2018,Number,New Brunswick,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,New Brunswick,Stormwater,All municipalities,130.0
2018,Number,New Brunswick,Stormwater,All urban municipalities,31.0
2018,Number,New Brunswick,Stormwater,"Urban municipalities, population 1 to 4,999",14.0
2018,Number,New Brunswick,Stormwater,"Urban municipalities, population 5,000 to 29,999",14.0
2018,Number,New Brunswick,Stormwater,"Urban municipalities, population 30,000 or more",2.0
2018,Number,New Brunswick,Stormwater,All rural municipalities,100.0
2018,Number,New Brunswick,Stormwater,"Rural municipalities, population 1 to 4,999",95.0
2018,Number,New Brunswick,Stormwater,"Rural municipalities, population 5,000 or more",5.0
2018,Number,New Brunswick,Wastewater,All municipalities,122.0
2018,Number,New Brunswick,Wastewater,All urban municipalities,25.0
2018,Number,New Brunswick,Wastewater,"Urban municipalities, population 1 to 4,999",12.0
2018,Number,New Brunswick,Wastewater,"Urban municipalities, population 5,000 to 29,999",12.0
2018,Number,New Brunswick,Wastewater,"Urban municipalities, population 30,000 or more",1.0
2018,Number,New Brunswick,Wastewater,All rural municipalities,96.0
2018,Number,New Brunswick,Wastewater,"Rural municipalities, population 1 to 4,999",92.0
2018,Number,New Brunswick,Wastewater,"Rural municipalities, population 5,000 or more",5.0
2018,Number,Newfoundland and Labrador,Potable water,All municipalities,105.0
2018,Number,Newfoundland and Labrador,Potable water,All urban municipalities,20.0
2018,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",8.0
2018,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",11.0
2018,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Newfoundland and Labrador,Potable water,All rural municipalities,85.0
2018,Number,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",83.0
2018,Number,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",1.0
2018,Number,Newfoundland and Labrador,Solid waste,All municipalities,60.0
2018,Number,Newfoundland and Labrador,Solid waste,All urban municipalities,13.0
2018,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",6.0
2018,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",6.0
2018,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Newfoundland and Labrador,Solid waste,All rural municipalities,47.0
2018,Number,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",44.0
2018,Number,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",2.0
2018,Number,Newfoundland and Labrador,Stormwater,All municipalities,85.0
2018,Number,Newfoundland and Labrador,Stormwater,All urban municipalities,23.0
2018,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",11.0
2018,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",11.0
2018,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Newfoundland and Labrador,Stormwater,All rural municipalities,62.0
2018,Number,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",60.0
2018,Number,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",2.0
2018,Number,Newfoundland and Labrador,Wastewater,All municipalities,99.0
2018,Number,Newfoundland and Labrador,Wastewater,All urban municipalities,20.0
2018,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 1 to 4,999",8.0
2018,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 5,000 to 29,999",11.0
2018,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Newfoundland and Labrador,Wastewater,All rural municipalities,79.0
2018,Number,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 1 to 4,999",77.0
2018,Number,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 5,000 or more",2.0
2018,Number,Northwest Territories,Potable water,All municipalities,5.0
2018,Number,Northwest Territories,Potable water,All urban municipalities,1.0
2018,Number,Northwest Territories,Potable water,"Urban municipalities, population 1 to 4,999",1.0
2018,Number,Northwest Territories,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Northwest Territories,Potable water,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Northwest Territories,Potable water,All rural municipalities,4.0
2018,Number,Northwest Territories,Potable water,"Rural municipalities, population 1 to 4,999",4.0
2018,Number,Northwest Territories,Potable water,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Northwest Territories,Solid waste,All municipalities,4.0
2018,Number,Northwest Territories,Solid waste,All urban municipalities,0.0
2018,Number,Northwest Territories,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Northwest Territories,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Northwest Territories,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Northwest Territories,Solid waste,All rural municipalities,4.0
2018,Number,Northwest Territories,Solid waste,"Rural municipalities, population 1 to 4,999",4.0
2018,Number,Northwest Territories,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Northwest Territories,Stormwater,All municipalities,1.0
2018,Number,Northwest Territories,Stormwater,All urban municipalities,1.0
2018,Number,Northwest Territories,Stormwater,"Urban municipalities, population 1 to 4,999",1.0
2018,Number,Northwest Territories,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Northwest Territories,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Northwest Territories,Stormwater,All rural municipalities,0.0
2018,Number,Northwest Territories,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Northwest Territories,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Northwest Territories,Wastewater,All municipalities,3.0
2018,Number,Northwest Territories,Wastewater,All urban municipalities,1.0
2018,Number,Northwest Territories,Wastewater,"Urban municipalities, population 1 to 4,999",1.0
2018,Number,Northwest Territories,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Northwest Territories,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Northwest Territories,Wastewater,All rural municipalities,2.0
2018,Number,Northwest Territories,Wastewater,"Rural municipalities, population 1 to 4,999",2.0
2018,Number,Northwest Territories,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Nova Scotia,Potable water,All municipalities,31.0
2018,Number,Nova Scotia,Potable water,All urban municipalities,13.0
2018,Number,Nova Scotia,Potable water,"Urban municipalities, population 1 to 4,999",11.0
2018,Number,Nova Scotia,Potable water,"Urban municipalities, population 5,000 to 29,999",2.0
2018,Number,Nova Scotia,Potable water,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nova Scotia,Potable water,All rural municipalities,18.0
2018,Number,Nova Scotia,Potable water,"Rural municipalities, population 1 to 4,999",13.0
2018,Number,Nova Scotia,Potable water,"Rural municipalities, population 5,000 or more",4.0
2018,Number,Nova Scotia,Solid waste,All municipalities,12.0
2018,Number,Nova Scotia,Solid waste,All urban municipalities,2.0
2018,Number,Nova Scotia,Solid waste,"Urban municipalities, population 1 to 4,999",2.0
2018,Number,Nova Scotia,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Nova Scotia,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nova Scotia,Solid waste,All rural municipalities,10.0
2018,Number,Nova Scotia,Solid waste,"Rural municipalities, population 1 to 4,999",7.0
2018,Number,Nova Scotia,Solid waste,"Rural municipalities, population 5,000 or more",3.0
2018,Number,Nova Scotia,Stormwater,All municipalities,42.0
2018,Number,Nova Scotia,Stormwater,All urban municipalities,17.0
2018,Number,Nova Scotia,Stormwater,"Urban municipalities, population 1 to 4,999",14.0
2018,Number,Nova Scotia,Stormwater,"Urban municipalities, population 5,000 to 29,999",3.0
2018,Number,Nova Scotia,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nova Scotia,Stormwater,All rural municipalities,25.0
2018,Number,Nova Scotia,Stormwater,"Rural municipalities, population 1 to 4,999",18.0
2018,Number,Nova Scotia,Stormwater,"Rural municipalities, population 5,000 or more",7.0
2018,Number,Nova Scotia,Wastewater,All municipalities,48.0
2018,Number,Nova Scotia,Wastewater,All urban municipalities,16.0
2018,Number,Nova Scotia,Wastewater,"Urban municipalities, population 1 to 4,999",14.0
2018,Number,Nova Scotia,Wastewater,"Urban municipalities, population 5,000 to 29,999",2.0
2018,Number,Nova Scotia,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nova Scotia,Wastewater,All rural municipalities,32.0
2018,Number,Nova Scotia,Wastewater,"Rural municipalities, population 1 to 4,999",22.0
2018,Number,Nova Scotia,Wastewater,"Rural municipalities, population 5,000 or more",10.0
2018,Number,Nunavut,Potable water,All municipalities,0.0
2018,Number,Nunavut,Potable water,All urban municipalities,0.0
2018,Number,Nunavut,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Nunavut,Potable water,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nunavut,Potable water,All rural municipalities,0.0
2018,Number,Nunavut,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Potable water,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Nunavut,Solid waste,All municipalities,0.0
2018,Number,Nunavut,Solid waste,All urban municipalities,0.0
2018,Number,Nunavut,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Nunavut,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nunavut,Solid waste,All rural municipalities,0.0
2018,Number,Nunavut,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Nunavut,Stormwater,All municipalities,0.0
2018,Number,Nunavut,Stormwater,All urban municipalities,0.0
2018,Number,Nunavut,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Nunavut,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nunavut,Stormwater,All rural municipalities,0.0
2018,Number,Nunavut,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Nunavut,Wastewater,All municipalities,0.0
2018,Number,Nunavut,Wastewater,All urban municipalities,0.0
2018,Number,Nunavut,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Nunavut,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Nunavut,Wastewater,All rural municipalities,0.0
2018,Number,Nunavut,Wastewater,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Nunavut,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Ontario,Potable water,All municipalities,125.0
2018,Number,Ontario,Potable water,All urban municipalities,40.0
2018,Number,Ontario,Potable water,"Urban municipalities, population 1 to 4,999",2.0
2018,Number,Ontario,Potable water,"Urban municipalities, population 5,000 to 29,999",22.0
2018,Number,Ontario,Potable water,"Urban municipalities, population 30,000 or more",15.0
2018,Number,Ontario,Potable water,All rural municipalities,85.0
2018,Number,Ontario,Potable water,"Rural municipalities, population 1 to 4,999",33.0
2018,Number,Ontario,Potable water,"Rural municipalities, population 5,000 or more",52.0
2018,Number,Ontario,Solid waste,All municipalities,101.0
2018,Number,Ontario,Solid waste,All urban municipalities,22.0
2018,Number,Ontario,Solid waste,"Urban municipalities, population 1 to 4,999",1.0
2018,Number,Ontario,Solid waste,"Urban municipalities, population 5,000 to 29,999",9.0
2018,Number,Ontario,Solid waste,"Urban municipalities, population 30,000 or more",12.0
2018,Number,Ontario,Solid waste,All rural municipalities,78.0
2018,Number,Ontario,Solid waste,"Rural municipalities, population 1 to 4,999",54.0
