Year,Geography,Age group,Sex,Household income,Highest level of education,Series,GeoCode,Value
2019,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,74.2
2019,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,79.9
2019,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,80.3
2019,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,79.5
2019,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,61.3
2019,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,60.1
2019,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,62.5
2019,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,57.4
2019,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,56.7
2019,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,58.1
2019,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,59.1
2019,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,54.3
2019,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,64.1
2019,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,60.8
2019,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,60.0
2019,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,61.6
2019,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,68.9
2019,Quebec,65 years and over,Males,,,Aged 18 years and older,24,71.7
2019,Quebec,65 years and over,Females,,,Aged 18 years and older,24,66.6
2019,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,70.0
2019,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,68.2
2019,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,71.7
2019,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,63.4
2019,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,59.9
2019,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,66.9
2019,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,69.1
2019,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,66.9
2019,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,71.2
2019,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,73.0
2019,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,72.8
2019,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,73.2
2019,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,77.2
2019,Ontario,65 years and over,Males,,,Aged 18 years and older,35,77.2
2019,Ontario,65 years and over,Females,,,Aged 18 years and older,35,77.2
2019,Manitoba,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,46,73.8
2019,Manitoba,"Total, 18 years and over",Males,,,Aged 18 years and older,46,72.0
2019,Manitoba,"Total, 18 years and over",Females,,,Aged 18 years and older,46,75.6
2019,Manitoba,18 to 34 years,Both sexes,,,Aged 18 years and older,46,69.0
2019,Manitoba,18 to 34 years,Males,,,Aged 18 years and older,46,66.9
2019,Manitoba,18 to 34 years,Females,,,Aged 18 years and older,46,71.3
2019,Manitoba,35 to 49 years,Both sexes,,,Aged 18 years and older,46,76.3
2019,Manitoba,35 to 49 years,Males,,,Aged 18 years and older,46,72.8
2019,Manitoba,35 to 49 years,Females,,,Aged 18 years and older,46,79.5
2019,Manitoba,50 to 64 years,Both sexes,,,Aged 18 years and older,46,74.0
2019,Manitoba,50 to 64 years,Males,,,Aged 18 years and older,46,74.2
2019,Manitoba,50 to 64 years,Females,,,Aged 18 years and older,46,73.8
2019,Manitoba,65 years and over,Both sexes,,,Aged 18 years and older,46,78.3
2019,Manitoba,65 years and over,Males,,,Aged 18 years and older,46,77.3
2019,Manitoba,65 years and over,Females,,,Aged 18 years and older,46,79.2
2019,Saskatchewan,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,47,74.7
2019,Saskatchewan,"Total, 18 years and over",Males,,,Aged 18 years and older,47,74.8
2019,Saskatchewan,"Total, 18 years and over",Females,,,Aged 18 years and older,47,74.5
2019,Saskatchewan,18 to 34 years,Both sexes,,,Aged 18 years and older,47,70.2
2019,Saskatchewan,18 to 34 years,Males,,,Aged 18 years and older,47,71.9
2019,Saskatchewan,18 to 34 years,Females,,,Aged 18 years and older,47,68.5
2019,Saskatchewan,35 to 49 years,Both sexes,,,Aged 18 years and older,47,75.7
2019,Saskatchewan,35 to 49 years,Males,,,Aged 18 years and older,47,78.5
2019,Saskatchewan,35 to 49 years,Females,,,Aged 18 years and older,47,72.8
2019,Saskatchewan,50 to 64 years,Both sexes,,,Aged 18 years and older,47,74.3
2019,Saskatchewan,50 to 64 years,Males,,,Aged 18 years and older,47,69.2
2019,Saskatchewan,50 to 64 years,Females,,,Aged 18 years and older,47,79.2
2019,Saskatchewan,65 years and over,Both sexes,,,Aged 18 years and older,47,80.8
2019,Saskatchewan,65 years and over,Males,,,Aged 18 years and older,47,82.4
2019,Saskatchewan,65 years and over,Females,,,Aged 18 years and older,47,79.4
2019,Alberta,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,48,68.2
2019,Alberta,"Total, 18 years and over",Males,,,Aged 18 years and older,48,68.1
2019,Alberta,"Total, 18 years and over",Females,,,Aged 18 years and older,48,68.4
2019,Alberta,18 to 34 years,Both sexes,,,Aged 18 years and older,48,62.4
2019,Alberta,18 to 34 years,Males,,,Aged 18 years and older,48,60.5
2019,Alberta,18 to 34 years,Females,,,Aged 18 years and older,48,64.3
2019,Alberta,35 to 49 years,Both sexes,,,Aged 18 years and older,48,68.3
2019,Alberta,35 to 49 years,Males,,,Aged 18 years and older,48,68.2
2019,Alberta,35 to 49 years,Females,,,Aged 18 years and older,48,68.3
2019,Alberta,50 to 64 years,Both sexes,,,Aged 18 years and older,48,70.7
2019,Alberta,50 to 64 years,Males,,,Aged 18 years and older,48,71.9
2019,Alberta,50 to 64 years,Females,,,Aged 18 years and older,48,69.6
2019,Alberta,65 years and over,Both sexes,,,Aged 18 years and older,48,75.9
2019,Alberta,65 years and over,Males,,,Aged 18 years and older,48,77.5
2019,Alberta,65 years and over,Females,,,Aged 18 years and older,48,74.4
2019,British Columbia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,59,70.2
2019,British Columbia,"Total, 18 years and over",Males,,,Aged 18 years and older,59,68.1
2019,British Columbia,"Total, 18 years and over",Females,,,Aged 18 years and older,59,72.1
2019,British Columbia,18 to 34 years,Both sexes,,,Aged 18 years and older,59,62.4
2019,British Columbia,18 to 34 years,Males,,,Aged 18 years and older,59,59.0
2019,British Columbia,18 to 34 years,Females,,,Aged 18 years and older,59,65.8
2019,British Columbia,35 to 49 years,Both sexes,,,Aged 18 years and older,59,69.8
2019,British Columbia,35 to 49 years,Males,,,Aged 18 years and older,59,65.8
2019,British Columbia,35 to 49 years,Females,,,Aged 18 years and older,59,73.7
2019,British Columbia,50 to 64 years,Both sexes,,,Aged 18 years and older,59,70.7
2019,British Columbia,50 to 64 years,Males,,,Aged 18 years and older,59,69.8
2019,British Columbia,50 to 64 years,Females,,,Aged 18 years and older,59,71.6
2019,British Columbia,65 years and over,Both sexes,,,Aged 18 years and older,59,80.1
2019,British Columbia,65 years and over,Males,,,Aged 18 years and older,59,81.6
2019,British Columbia,65 years and over,Females,,,Aged 18 years and older,59,78.8
2020,Canada,"Total, 18 years and over",Males,,,Aged 18 years and older,,67.5
2020,Canada,"Total, 18 years and over",Females,,,Aged 18 years and older,,70.5
2020,Canada,18 to 34 years,Both sexes,,,Aged 18 years and older,,63.1
2020,Canada,18 to 34 years,Males,,,Aged 18 years and older,,59.6
2020,Canada,18 to 34 years,Females,,,Aged 18 years and older,,66.6
2020,Canada,35 to 49 years,Both sexes,,,Aged 18 years and older,,68.2
2020,Canada,35 to 49 years,Males,,,Aged 18 years and older,,65.9
2020,Canada,35 to 49 years,Females,,,Aged 18 years and older,,70.5
2020,Canada,50 to 64 years,Both sexes,,,Aged 18 years and older,,70.8
2020,Canada,50 to 64 years,Males,,,Aged 18 years and older,,71.5
2020,Canada,50 to 64 years,Females,,,Aged 18 years and older,,70.2
2020,Canada,65 years and over,Both sexes,,,Aged 18 years and older,,75.8
2020,Canada,65 years and over,Males,,,Aged 18 years and older,,75.9
2020,Canada,65 years and over,Females,,,Aged 18 years and older,,75.7
2020,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,10,79.7
2020,Newfoundland and Labrador,"Total, 18 years and over",Males,,,Aged 18 years and older,10,77.6
2020,Newfoundland and Labrador,"Total, 18 years and over",Females,,,Aged 18 years and older,10,81.6
2020,Newfoundland and Labrador,18 to 34 years,Both sexes,,,Aged 18 years and older,10,81.7
2020,Newfoundland and Labrador,35 to 49 years,Both sexes,,,Aged 18 years and older,10,69.8
2020,Newfoundland and Labrador,35 to 49 years,Females,,,Aged 18 years and older,10,73.5
2020,Newfoundland and Labrador,50 to 64 years,Both sexes,,,Aged 18 years and older,10,78.2
2020,Newfoundland and Labrador,50 to 64 years,Males,,,Aged 18 years and older,10,79.7
2020,Newfoundland and Labrador,50 to 64 years,Females,,,Aged 18 years and older,10,76.8
2020,Newfoundland and Labrador,65 years and over,Both sexes,,,Aged 18 years and older,10,88.5
2020,Newfoundland and Labrador,65 years and over,Males,,,Aged 18 years and older,10,88.0
2020,Newfoundland and Labrador,65 years and over,Females,,,Aged 18 years and older,10,88.9
2020,Prince Edward Island,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,11,77.1
2020,Prince Edward Island,"Total, 18 years and over",Males,,,Aged 18 years and older,11,83.3
2020,Prince Edward Island,"Total, 18 years and over",Females,,,Aged 18 years and older,11,71.2
2020,Prince Edward Island,18 to 34 years,Both sexes,,,Aged 18 years and older,11,70.1
2020,Prince Edward Island,35 to 49 years,Both sexes,,,Aged 18 years and older,11,76.4
2020,Prince Edward Island,50 to 64 years,Both sexes,,,Aged 18 years and older,11,78.2
2020,Prince Edward Island,50 to 64 years,Females,,,Aged 18 years and older,11,68.3
2020,Prince Edward Island,65 years and over,Both sexes,,,Aged 18 years and older,11,84.9
2020,Prince Edward Island,65 years and over,Males,,,Aged 18 years and older,11,86.0
2020,Prince Edward Island,65 years and over,Females,,,Aged 18 years and older,11,84.0
2020,Nova Scotia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,12,76.8
2020,Nova Scotia,"Total, 18 years and over",Males,,,Aged 18 years and older,12,78.3
2020,Nova Scotia,"Total, 18 years and over",Females,,,Aged 18 years and older,12,75.5
2020,Nova Scotia,18 to 34 years,Both sexes,,,Aged 18 years and older,12,76.5
2020,Nova Scotia,18 to 34 years,Females,,,Aged 18 years and older,12,75.3
2020,Nova Scotia,35 to 49 years,Both sexes,,,Aged 18 years and older,12,75.1
2020,Nova Scotia,35 to 49 years,Males,,,Aged 18 years and older,12,77.4
2020,Nova Scotia,35 to 49 years,Females,,,Aged 18 years and older,12,73.2
2020,Nova Scotia,50 to 64 years,Both sexes,,,Aged 18 years and older,12,73.7
2020,Nova Scotia,50 to 64 years,Males,,,Aged 18 years and older,12,74.9
2020,Nova Scotia,50 to 64 years,Females,,,Aged 18 years and older,12,72.7
2020,Nova Scotia,65 years and over,Both sexes,,,Aged 18 years and older,12,82.2
2020,Nova Scotia,65 years and over,Males,,,Aged 18 years and older,12,83.6
2020,Nova Scotia,65 years and over,Females,,,Aged 18 years and older,12,81.1
2020,New Brunswick,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,13,71.8
2020,New Brunswick,"Total, 18 years and over",Males,,,Aged 18 years and older,13,69.7
2020,New Brunswick,"Total, 18 years and over",Females,,,Aged 18 years and older,13,73.7
2020,New Brunswick,18 to 34 years,Both sexes,,,Aged 18 years and older,13,64.1
2020,New Brunswick,18 to 34 years,Females,,,Aged 18 years and older,13,76.5
2020,New Brunswick,35 to 49 years,Both sexes,,,Aged 18 years and older,13,70.4
2020,New Brunswick,35 to 49 years,Males,,,Aged 18 years and older,13,74.0
2020,New Brunswick,35 to 49 years,Females,,,Aged 18 years and older,13,67.1
2020,New Brunswick,50 to 64 years,Both sexes,,,Aged 18 years and older,13,72.0
2020,New Brunswick,50 to 64 years,Males,,,Aged 18 years and older,13,72.0
2020,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,72.1
2020,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,80.3
2020,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,81.8
2020,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,79.0
2020,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,64.6
2020,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,63.1
2020,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,66.1
2020,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,62.0
2020,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,57.6
2020,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,66.8
2020,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,62.3
2020,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,60.7
2020,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,63.9
2020,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,65.1
2020,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,63.9
2020,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,66.3
2020,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,69.4
2020,Quebec,65 years and over,Males,,,Aged 18 years and older,24,71.8
2020,Quebec,65 years and over,Females,,,Aged 18 years and older,24,67.4
2020,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,70.4
2020,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,68.8
2020,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,72.0
2020,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,63.7
2020,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,59.9
2020,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,67.7
2020,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,70.0
2020,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,68.0
2020,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,71.9
2020,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,73.5
2020,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,74.8
2020,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,72.3
2020,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,76.9
2020,Ontario,65 years and over,Males,,,Aged 18 years and older,35,76.4
2020,Ontario,65 years and over,Females,,,Aged 18 years and older,35,77.3
2020,Manitoba,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,46,69.6
2020,Manitoba,"Total, 18 years and over",Males,,,Aged 18 years and older,46,68.9
2020,Manitoba,"Total, 18 years and over",Females,,,Aged 18 years and older,46,70.2
2020,Manitoba,18 to 34 years,Both sexes,,,Aged 18 years and older,46,69.3
2020,Manitoba,18 to 34 years,Males,,,Aged 18 years and older,46,72.4
2020,Manitoba,18 to 34 years,Females,,,Aged 18 years and older,46,66.3
2020,Manitoba,35 to 49 years,Both sexes,,,Aged 18 years and older,46,63.0
2020,Manitoba,35 to 49 years,Males,,,Aged 18 years and older,46,58.6
2020,Manitoba,35 to 49 years,Females,,,Aged 18 years and older,46,67.4
2020,Manitoba,50 to 64 years,Both sexes,,,Aged 18 years and older,46,72.5
2020,Manitoba,50 to 64 years,Males,,,Aged 18 years and older,46,72.7
2020,Manitoba,50 to 64 years,Females,,,Aged 18 years and older,46,72.2
2020,Manitoba,65 years and over,Both sexes,,,Aged 18 years and older,46,74.9
2020,Manitoba,65 years and over,Males,,,Aged 18 years and older,46,72.7
2020,Manitoba,65 years and over,Females,,,Aged 18 years and older,46,76.7
2020,Saskatchewan,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,47,73.9
2020,Saskatchewan,"Total, 18 years and over",Males,,,Aged 18 years and older,47,73.2
2020,Saskatchewan,"Total, 18 years and over",Females,,,Aged 18 years and older,47,74.7
2020,Saskatchewan,18 to 34 years,Both sexes,,,Aged 18 years and older,47,71.5
2020,Saskatchewan,18 to 34 years,Males,,,Aged 18 years and older,47,69.2
2020,Saskatchewan,18 to 34 years,Females,,,Aged 18 years and older,47,73.9
2020,Saskatchewan,35 to 49 years,Both sexes,,,Aged 18 years and older,47,70.2
2020,Saskatchewan,35 to 49 years,Males,,,Aged 18 years and older,47,68.2
2020,Saskatchewan,35 to 49 years,Females,,,Aged 18 years and older,47,72.3
2020,Saskatchewan,50 to 64 years,Both sexes,,,Aged 18 years and older,47,73.3
2020,Saskatchewan,50 to 64 years,Males,,,Aged 18 years and older,47,74.8
2020,Saskatchewan,50 to 64 years,Females,,,Aged 18 years and older,47,71.7
2020,Saskatchewan,65 years and over,Both sexes,,,Aged 18 years and older,47,83.0
2020,Saskatchewan,65 years and over,Males,,,Aged 18 years and older,47,84.2
2020,Saskatchewan,65 years and over,Females,,,Aged 18 years and older,47,82.0
2020,Alberta,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,48,68.0
2020,Alberta,"Total, 18 years and over",Males,,,Aged 18 years and older,48,65.5
2020,Alberta,"Total, 18 years and over",Females,,,Aged 18 years and older,48,70.5
2020,Alberta,18 to 34 years,Both sexes,,,Aged 18 years and older,48,61.5
2020,Alberta,18 to 34 years,Males,,,Aged 18 years and older,48,56.2
2020,Alberta,18 to 34 years,Females,,,Aged 18 years and older,48,66.8
2020,Alberta,35 to 49 years,Both sexes,,,Aged 18 years and older,48,70.6
2020,Alberta,35 to 49 years,Males,,,Aged 18 years and older,48,66.7
2020,Alberta,35 to 49 years,Females,,,Aged 18 years and older,48,74.5
2020,Alberta,50 to 64 years,Both sexes,,,Aged 18 years and older,48,69.5
2020,Alberta,50 to 64 years,Males,,,Aged 18 years and older,48,73.6
2020,Alberta,50 to 64 years,Females,,,Aged 18 years and older,48,65.6
2020,Alberta,65 years and over,Both sexes,,,Aged 18 years and older,48,73.4
2020,Alberta,65 years and over,Males,,,Aged 18 years and older,48,69.5
2020,Alberta,65 years and over,Females,,,Aged 18 years and older,48,76.8
2020,British Columbia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,59,68.8
2020,British Columbia,"Total, 18 years and over",Males,,,Aged 18 years and older,59,67.3
2020,British Columbia,"Total, 18 years and over",Females,,,Aged 18 years and older,59,70.3
2020,British Columbia,18 to 34 years,Both sexes,,,Aged 18 years and older,59,56.4
2020,British Columbia,18 to 34 years,Males,,,Aged 18 years and older,59,55.7
2020,British Columbia,18 to 34 years,Females,,,Aged 18 years and older,59,57.2
2020,British Columbia,35 to 49 years,Both sexes,,,Aged 18 years and older,59,69.9
2020,British Columbia,35 to 49 years,Males,,,Aged 18 years and older,59,66.4
2020,British Columbia,35 to 49 years,Females,,,Aged 18 years and older,59,73.4
2020,British Columbia,50 to 64 years,Both sexes,,,Aged 18 years and older,59,71.5
2020,British Columbia,50 to 64 years,Males,,,Aged 18 years and older,59,71.0
2020,British Columbia,50 to 64 years,Females,,,Aged 18 years and older,59,72.0
2020,British Columbia,65 years and over,Both sexes,,,Aged 18 years and older,59,80.6
2020,British Columbia,65 years and over,Males,,,Aged 18 years and older,59,80.7
2020,British Columbia,65 years and over,Females,,,Aged 18 years and older,59,80.5
2021,Canada,"Total, 18 years and over",Males,,,Aged 18 years and older,,67.9
2021,Canada,"Total, 18 years and over",Females,,,Aged 18 years and older,,68.8
2021,Canada,18 to 34 years,Both sexes,,,Aged 18 years and older,,64.3
2021,Canada,18 to 34 years,Males,,,Aged 18 years and older,,62.7
2021,Canada,18 to 34 years,Females,,,Aged 18 years and older,,65.9
2021,Canada,35 to 49 years,Both sexes,,,Aged 18 years and older,,67.3
2021,Canada,35 to 49 years,Males,,,Aged 18 years and older,,66.0
2021,Canada,35 to 49 years,Females,,,Aged 18 years and older,,68.6
2021,Canada,50 to 64 years,Both sexes,,,Aged 18 years and older,,68.6
2021,Canada,50 to 64 years,Males,,,Aged 18 years and older,,69.7
2021,Canada,50 to 64 years,Females,,,Aged 18 years and older,,67.6
2021,Canada,65 years and over,Both sexes,,,Aged 18 years and older,,74.6
2021,Canada,65 years and over,Males,,,Aged 18 years and older,,75.7
2021,Canada,65 years and over,Females,,,Aged 18 years and older,,73.7
2021,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,10,79.5
2021,Newfoundland and Labrador,"Total, 18 years and over",Males,,,Aged 18 years and older,10,80.5
2021,Newfoundland and Labrador,"Total, 18 years and over",Females,,,Aged 18 years and older,10,78.5
2021,Newfoundland and Labrador,18 to 34 years,Both sexes,,,Aged 18 years and older,10,72.4
2021,Newfoundland and Labrador,18 to 34 years,Males,,,Aged 18 years and older,10,70.5
2021,Newfoundland and Labrador,18 to 34 years,Females,,,Aged 18 years and older,10,74.5
2021,Newfoundland and Labrador,35 to 49 years,Both sexes,,,Aged 18 years and older,10,78.3
2021,Newfoundland and Labrador,35 to 49 years,Males,,,Aged 18 years and older,10,82.2
2021,Newfoundland and Labrador,35 to 49 years,Females,,,Aged 18 years and older,10,74.7
2021,Newfoundland and Labrador,50 to 64 years,Both sexes,,,Aged 18 years and older,10,77.8
2021,Newfoundland and Labrador,50 to 64 years,Males,,,Aged 18 years and older,10,79.5
2021,Newfoundland and Labrador,50 to 64 years,Females,,,Aged 18 years and older,10,76.3
2021,Newfoundland and Labrador,65 years and over,Both sexes,,,Aged 18 years and older,10,88.7
2021,Newfoundland and Labrador,65 years and over,Males,,,Aged 18 years and older,10,90.1
2021,Newfoundland and Labrador,65 years and over,Females,,,Aged 18 years and older,10,87.6
2021,Prince Edward Island,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,11,78.0
2021,Prince Edward Island,"Total, 18 years and over",Males,,,Aged 18 years and older,11,80.4
2021,Prince Edward Island,"Total, 18 years and over",Females,,,Aged 18 years and older,11,75.7
2021,Prince Edward Island,18 to 34 years,Both sexes,,,Aged 18 years and older,11,77.1
2021,Prince Edward Island,18 to 34 years,Males,,,Aged 18 years and older,11,77.5
2021,Prince Edward Island,18 to 34 years,Females,,,Aged 18 years and older,11,76.7
2021,Prince Edward Island,35 to 49 years,Both sexes,,,Aged 18 years and older,11,76.5
2021,Prince Edward Island,35 to 49 years,Males,,,Aged 18 years and older,11,82.2
2021,Prince Edward Island,35 to 49 years,Females,,,Aged 18 years and older,11,71.3
2021,Prince Edward Island,50 to 64 years,Both sexes,,,Aged 18 years and older,11,76.4
2021,Prince Edward Island,50 to 64 years,Males,,,Aged 18 years and older,11,80.2
2021,Prince Edward Island,50 to 64 years,Females,,,Aged 18 years and older,11,72.8
2021,Prince Edward Island,65 years and over,Both sexes,,,Aged 18 years and older,11,82.1
2021,Prince Edward Island,65 years and over,Males,,,Aged 18 years and older,11,82.9
2021,Prince Edward Island,65 years and over,Females,,,Aged 18 years and older,11,81.5
2021,Nova Scotia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,12,74.5
2021,Nova Scotia,"Total, 18 years and over",Males,,,Aged 18 years and older,12,74.8
2021,Nova Scotia,"Total, 18 years and over",Females,,,Aged 18 years and older,12,74.3
2021,Nova Scotia,18 to 34 years,Both sexes,,,Aged 18 years and older,12,72.2
2021,Nova Scotia,18 to 34 years,Males,,,Aged 18 years and older,12,71.2
2021,Nova Scotia,18 to 34 years,Females,,,Aged 18 years and older,12,73.1
2021,Nova Scotia,35 to 49 years,Both sexes,,,Aged 18 years and older,12,70.4
2021,Nova Scotia,35 to 49 years,Males,,,Aged 18 years and older,12,70.5
2021,Nova Scotia,35 to 49 years,Females,,,Aged 18 years and older,12,70.4
2021,Nova Scotia,50 to 64 years,Both sexes,,,Aged 18 years and older,12,72.9
2021,Nova Scotia,50 to 64 years,Males,,,Aged 18 years and older,12,74.0
2021,Nova Scotia,50 to 64 years,Females,,,Aged 18 years and older,12,71.9
2021,Nova Scotia,65 years and over,Both sexes,,,Aged 18 years and older,12,82.4
2021,Nova Scotia,65 years and over,Males,,,Aged 18 years and older,12,83.6
2021,Nova Scotia,65 years and over,Females,,,Aged 18 years and older,12,81.4
2021,New Brunswick,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,13,76.2
2021,New Brunswick,"Total, 18 years and over",Males,,,Aged 18 years and older,13,74.6
2021,New Brunswick,"Total, 18 years and over",Females,,,Aged 18 years and older,13,77.7
2021,New Brunswick,18 to 34 years,Both sexes,,,Aged 18 years and older,13,71.5
2021,New Brunswick,18 to 34 years,Males,,,Aged 18 years and older,13,67.1
2021,New Brunswick,18 to 34 years,Females,,,Aged 18 years and older,13,76.0
2021,New Brunswick,35 to 49 years,Both sexes,,,Aged 18 years and older,13,74.4
2021,New Brunswick,35 to 49 years,Males,,,Aged 18 years and older,13,71.1
2021,New Brunswick,35 to 49 years,Females,,,Aged 18 years and older,13,77.6
2021,New Brunswick,50 to 64 years,Both sexes,,,Aged 18 years and older,13,76.9
2021,New Brunswick,50 to 64 years,Males,,,Aged 18 years and older,13,76.0
2021,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,77.7
2021,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,81.3
2021,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,84.0
2021,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,79.2
2021,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,64.9
2021,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,64.4
2021,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,65.5
2021,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,62.0
2021,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,58.2
2021,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,66.0
2021,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,62.9
2021,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,63.1
2021,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,62.6
2021,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,65.0
2021,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,66.7
2021,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,63.3
2021,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,70.2
2021,Quebec,65 years and over,Males,,,Aged 18 years and older,24,70.6
2021,Quebec,65 years and over,Females,,,Aged 18 years and older,24,69.9
2021,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,68.4
2021,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,68.8
2021,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,68.0
2021,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,63.7
2021,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,63.8
2021,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,63.6
2021,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,68.4
2021,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,68.0
2021,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,68.7
2021,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,69.3
2021,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,70.2
2021,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,68.4
2021,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,74.0
2021,Ontario,65 years and over,Males,,,Aged 18 years and older,35,76.1
