Year,Geography,Type of intimate partner violence,Age group,Indigenous group,Visible minority,Immigrant status,Disability,Highest degree earned,Household income,Location of residence,Marital status,GeoCode,Value
2018,British Columbia,"Total, any type of intimate partner violence",,,Chinese,,,,,,,59,9.67
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,Visible minority population,,,,,,,59,7.86
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,Chinese,,,,,,,59,9.46
2018,Canada,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,,9.59
2018,Canada,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,,12.91
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,,9.47
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,,12.69
2018,Canada,"Total, physical or sexual intimate partner violence",,,,Immigrant,,,,,,,2.96
2018,Canada,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,,3.16
2018,Canada,Physical violence,,,,Immigrant,,,,,,,2.45
2018,Canada,Physical violence,,,,Non-immigrant,,,,,,,2.42
2018,Canada,Sexual violence,,,,Immigrant,,,,,,,0.85
2018,Canada,Sexual violence,,,,Non-immigrant,,,,,,,1.25
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,,15.63
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,,10.35
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,,14.92
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,,10.18
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,Immigrant,,,,,,,4.13
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,,3.24
2018,Atlantic provinces,Physical violence,,,,Non-immigrant,,,,,,,2.56
2018,Atlantic provinces,Sexual violence,,,,Non-immigrant,,,,,,,1.06
2018,Quebec,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,24,10.49
2018,Quebec,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,24,12.92
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,24,10.49
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,24,12.6
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,24,2.68
2018,Quebec,Physical violence,,,,Non-immigrant,,,,,,24,1.81
2018,Quebec,Sexual violence,,,,Non-immigrant,,,,,,24,1.22
2018,Ontario,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,35,9.64
2018,Ontario,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,35,12.43
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,35,9.5
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,35,12.19
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,Immigrant,,,,,,35,3.88
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,35,2.89
2018,Ontario,Physical violence,,,,Immigrant,,,,,,35,3.51
2018,Ontario,Physical violence,,,,Non-immigrant,,,,,,35,2.1
2018,Ontario,Sexual violence,,,,Non-immigrant,,,,,,35,1.3
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,,10.83
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,,13.99
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,,10.67
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,,13.76
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,Immigrant,,,,,,,3.2
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,,3.67
2018,Prairie provinces,Physical violence,,,,Immigrant,,,,,,,1.52
2018,Prairie provinces,Physical violence,,,,Non-immigrant,,,,,,,3.08
2018,Prairie provinces,Sexual violence,,,,Immigrant,,,,,,,1.71
2018,Prairie provinces,Sexual violence,,,,Non-immigrant,,,,,,,1.37
2018,British Columbia,"Total, any type of intimate partner violence",,,,Immigrant,,,,,,59,7.04
2018,British Columbia,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,59,14.27
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,Immigrant,,,,,,59,6.96
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,59,14.27
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,Immigrant,,,,,,59,1.47
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,59,3.98
2018,British Columbia,Physical violence,,,,Immigrant,,,,,,59,1.31
2018,British Columbia,Physical violence,,,,Non-immigrant,,,,,,59,3.38
2018,British Columbia,Sexual violence,,,,Non-immigrant,,,,,,59,1.05
2018,Territories,"Total, any type of intimate partner violence",,,,Non-immigrant,,,,,,,16.66
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,Non-immigrant,,,,,,,15.89
2018,Territories,"Total, physical or sexual intimate partner violence",,,,Non-immigrant,,,,,,,8.31
2018,Territories,Physical violence,,,,Non-immigrant,,,,,,,6.89
2018,Territories,Sexual violence,,,,Non-immigrant,,,,,,,3.18
2018,Canada,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,,16.27
2018,Canada,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,,9.55
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,,15.88
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,,9.47
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,,4.86
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,,2.02
2018,Canada,Physical violence,,,,,Person with disability,,,,,,3.53
2018,Canada,Physical violence,,,,,Person without disability,,,,,,1.73
2018,Canada,Sexual violence,,,,,Person with disability,,,,,,2.23
2018,Canada,Sexual violence,,,,,Person without disability,,,,,,0.5
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,,13.56
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,,8.58
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,,13.37
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,,8.36
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,,5.35
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,,1.81
2018,Atlantic provinces,Physical violence,,,,,Person with disability,,,,,,4.44
2018,Atlantic provinces,Physical violence,,,,,Person without disability,,,,,,1.35
2018,Atlantic provinces,Sexual violence,,,,,Person with disability,,,,,,1.85
2018,Atlantic provinces,Sexual violence,,,,,Person without disability,,,,,,0.61
2018,Quebec,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,24,16.41
2018,Quebec,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,24,10.61
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,24,15.75
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,24,10.53
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,24,5.39
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,24,0.95
2018,Quebec,Physical violence,,,,,Person with disability,,,,,24,3.23
2018,Quebec,Physical violence,,,,,Person without disability,,,,,24,0.84
2018,Quebec,Sexual violence,,,,,Person with disability,,,,,24,3.07
2018,Ontario,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,35,15.73
2018,Ontario,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,35,8.7
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,35,15.22
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,35,8.7
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,35,4.73
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,35,2.15
2018,Ontario,Physical violence,,,,,Person with disability,,,,,35,3.46
2018,Ontario,Physical violence,,,,,Person without disability,,,,,35,1.88
2018,Ontario,Sexual violence,,,,,Person with disability,,,,,35,2.05
2018,Ontario,Sexual violence,,,,,Person without disability,,,,,35,0.6
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,,17.24
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,,11.07
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,,17.05
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,,10.83
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,,4.67
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,,2.9
2018,Prairie provinces,Physical violence,,,,,Person with disability,,,,,,3.7
2018,Prairie provinces,Physical violence,,,,,Person without disability,,,,,,2.23
2018,Prairie provinces,Sexual violence,,,,,Person with disability,,,,,,2.19
2018,Prairie provinces,Sexual violence,,,,,Person without disability,,,,,,0.96
2018,British Columbia,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,59,17.82
2018,British Columbia,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,59,8.38
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,59,17.82
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,59,8.35
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,59,4.33
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,59,2.51
2018,British Columbia,Physical violence,,,,,Person with disability,,,,,59,3.32
2018,British Columbia,Physical violence,,,,,Person without disability,,,,,59,2.41
2018,British Columbia,Sexual violence,,,,,Person with disability,,,,,59,1.71
2018,Territories,"Total, any type of intimate partner violence",,,,,Person with disability,,,,,,20.85
2018,Territories,"Total, any type of intimate partner violence",,,,,Person without disability,,,,,,11.46
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,Person with disability,,,,,,19.51
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,Person without disability,,,,,,11.23
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,Person with disability,,,,,,12.0
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,Person without disability,,,,,,4.72
2018,Territories,Physical violence,,,,,Person with disability,,,,,,9.11
2018,Territories,Physical violence,,,,,Person without disability,,,,,,4.58
2018,Territories,Sexual violence,,,,,Person with disability,,,,,,5.67
2018,Canada,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,,11.83
2018,Canada,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,,13.59
2018,Canada,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,,11.37
2018,Canada,"Total, any type of intimate partner violence",,,,,,University degree,,,,,11.97
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,,11.82
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,,13.16
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,,11.15
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,,11.89
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,Less than high school,,,,,3.47
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,,4.05
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,,2.88
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,,2.67
2018,Canada,Physical violence,,,,,,Less than high school,,,,,2.65
2018,Canada,Physical violence,,,,,,High school diploma,,,,,3.01
2018,Canada,Physical violence,,,,,,College or trade school diploma,,,,,2.35
2018,Canada,Physical violence,,,,,,University degree,,,,,2.09
2018,Canada,Sexual violence,,,,,,Less than high school,,,,,1.45
2018,Canada,Sexual violence,,,,,,High school diploma,,,,,1.61
2018,Canada,Sexual violence,,,,,,College or trade school diploma,,,,,1.06
2018,Canada,Sexual violence,,,,,,University degree,,,,,0.9
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,,9.22
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,,8.97
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,,10.86
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,University degree,,,,,12.31
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,,9.22
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,,8.52
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,,10.83
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,,12.04
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,,3.59
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,,4.1
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,,2.38
2018,Atlantic provinces,Physical violence,,,,,,High school diploma,,,,,2.78
2018,Atlantic provinces,Physical violence,,,,,,College or trade school diploma,,,,,3.36
2018,Atlantic provinces,Physical violence,,,,,,University degree,,,,,1.88
2018,Atlantic provinces,Sexual violence,,,,,,College or trade school diploma,,,,,1.25
2018,Quebec,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,24,11.13
2018,Quebec,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,24,13.12
2018,Quebec,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,24,12.07
2018,Quebec,"Total, any type of intimate partner violence",,,,,,University degree,,,,24,13.19
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,24,11.13
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,24,12.93
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,24,11.44
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,24,13.15
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,24,3.67
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,24,2.86
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,24,1.57
2018,Quebec,Physical violence,,,,,,High school diploma,,,,24,2.63
2018,Quebec,Physical violence,,,,,,College or trade school diploma,,,,24,1.63
2018,Quebec,Physical violence,,,,,,University degree,,,,24,1.17
2018,Ontario,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,35,10.46
2018,Ontario,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,35,14.71
2018,Ontario,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,35,9.87
2018,Ontario,"Total, any type of intimate partner violence",,,,,,University degree,,,,35,11.21
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,35,10.46
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,35,13.89
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,35,9.87
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,35,11.15
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,35,4.37
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,35,2.85
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,35,2.58
2018,Ontario,Physical violence,,,,,,High school diploma,,,,35,3.09
2018,Ontario,Physical violence,,,,,,College or trade school diploma,,,,35,2.53
2018,Ontario,Physical violence,,,,,,University degree,,,,35,2.06
2018,Ontario,Sexual violence,,,,,,College or trade school diploma,,,,35,1.1
2018,Ontario,Sexual violence,,,,,,University degree,,,,35,0.95
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,,17.49
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,,14.61
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,,12.57
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,University degree,,,,,12.59
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,,17.49
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,,14.33
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,,12.26
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,,12.44
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,Less than high school,,,,,5.68
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,,4.52
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,,2.86
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,,3.14
2018,Prairie provinces,Physical violence,,,,,,Less than high school,,,,,3.56
2018,Prairie provinces,Physical violence,,,,,,High school diploma,,,,,3.43
2018,Prairie provinces,Physical violence,,,,,,College or trade school diploma,,,,,2.66
2018,Prairie provinces,Physical violence,,,,,,University degree,,,,,2.34
2018,Prairie provinces,Sexual violence,,,,,,High school diploma,,,,,2.04
2018,Prairie provinces,Sexual violence,,,,,,College or trade school diploma,,,,,0.77
2018,Prairie provinces,Sexual violence,,,,,,University degree,,,,,1.12
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,59,9.27
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,59,12.31
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,59,13.54
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,University degree,,,,59,11.61
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,59,9.27
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,59,12.31
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,59,13.54
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,59,11.56
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,59,3.28
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,59,2.32
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,59,3.98
2018,British Columbia,Physical violence,,,,,,High school diploma,,,,59,2.81
2018,British Columbia,Physical violence,,,,,,College or trade school diploma,,,,59,2.32
2018,British Columbia,Physical violence,,,,,,University degree,,,,59,3.21
2018,British Columbia,Sexual violence,,,,,,University degree,,,,59,1.2
2018,Territories,"Total, any type of intimate partner violence",,,,,,Less than high school,,,,,23.49
2018,Territories,"Total, any type of intimate partner violence",,,,,,High school diploma,,,,,19.87
2018,Territories,"Total, any type of intimate partner violence",,,,,,College or trade school diploma,,,,,9.66
2018,Territories,"Total, any type of intimate partner violence",,,,,,University degree,,,,,9.88
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,Less than high school,,,,,22.11
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,High school diploma,,,,,19.09
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,College or trade school diploma,,,,,9.4
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,University degree,,,,,9.51
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,Less than high school,,,,,13.04
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,High school diploma,,,,,9.37
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,College or trade school diploma,,,,,3.6
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,University degree,,,,,5.42
2018,Territories,Physical violence,,,,,,Less than high school,,,,,10.85
2018,Territories,Physical violence,,,,,,High school diploma,,,,,8.6
2018,Territories,Physical violence,,,,,,College or trade school diploma,,,,,2.93
2018,Territories,Physical violence,,,,,,University degree,,,,,4.15
2018,Canada,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,,14.57
2018,Canada,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,,12.58
2018,Canada,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,,10.63
2018,Canada,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,,12.12
2018,Canada,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,,12.56
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,,14.14
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,,12.43
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,,10.61
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,,12.04
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,,12.07
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,"Less than $20,000",,,,6.26
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,,3.36
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,,3.01
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,,2.05
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,,3.2
2018,Canada,Physical violence,,,,,,,"Less than $20,000",,,,4.68
2018,Canada,Physical violence,,,,,,,"$20,000 to $59,999",,,,2.63
2018,Canada,Physical violence,,,,,,,"$60,000 to $99,999",,,,2.46
2018,Canada,Physical violence,,,,,,,"$100,000 to $149,999",,,,1.88
2018,Canada,Physical violence,,,,,,,"$150,000 or more",,,,2.14
2018,Canada,Sexual violence,,,,,,,"Less than $20,000",,,,3.2
2018,Canada,Sexual violence,,,,,,,"$20,000 to $59,999",,,,1.27
2018,Canada,Sexual violence,,,,,,,"$60,000 to $99,999",,,,0.94
2018,Canada,Sexual violence,,,,,,,"$100,000 to $149,999",,,,0.6
2018,Canada,Sexual violence,,,,,,,"$150,000 or more",,,,1.31
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,,17.92
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,,9.55
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,,10.44
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,,8.88
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,,12.67
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,,17.23
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,,9.21
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,,10.36
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,,8.73
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,,12.56
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,"Less than $20,000",,,,10.19
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,,4.24
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,,2.75
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,,2.02
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,,1.9
2018,Atlantic provinces,Physical violence,,,,,,,"Less than $20,000",,,,7.65
2018,Atlantic provinces,Physical violence,,,,,,,"$20,000 to $59,999",,,,3.21
2018,Atlantic provinces,Physical violence,,,,,,,"$60,000 to $99,999",,,,2.29
2018,Atlantic provinces,Physical violence,,,,,,,"$100,000 to $149,999",,,,1.86
2018,Atlantic provinces,Physical violence,,,,,,,"$150,000 or more",,,,1.59
2018,Atlantic provinces,Sexual violence,,,,,,,"$20,000 to $59,999",,,,1.45
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,24,17.36
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,24,10.72
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,24,10.71
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,24,13.16
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,24,15.73
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,24,17.18
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,24,10.65
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,24,10.71
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,24,12.98
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,24,14.59
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,24,1.32
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,24,2.43
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,24,1.34
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,24,3.7
2018,Quebec,Physical violence,,,,,,,"$20,000 to $59,999",,,24,1.03
2018,Quebec,Physical violence,,,,,,,"$60,000 to $99,999",,,24,1.69
2018,Quebec,Physical violence,,,,,,,"$150,000 or more",,,24,2.56
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,35,9.88
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,35,12.73
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,35,10.57
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,35,10.82
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,35,11.95
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,35,9.48
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,35,12.65
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,35,10.57
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,35,10.81
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,35,11.36
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,35,3.15
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,35,3.52
