Year,Geography,Age group,Sex,Indigenous group,Educational attainment,Visible minority,Immigrant status,GeoCode,Value
2018,Nova Scotia,15 to 24 years,Males,,,,,12,55.0
2018,Nova Scotia,25 years and over,Males,,,,,12,59.7
2018,Nova Scotia,25 to 44 years,Males,,,,,12,82.7
2018,Nova Scotia,45 to 64 years,Males,,,,,12,69.9
2018,Nova Scotia,45 years and over,Males,,,,,12,48.6
2018,Nova Scotia,25 to 54 years,Males,,,,,12,82.4
2018,Nova Scotia,55 years and over,Males,,,,,12,35.8
2018,Nova Scotia,15 to 64 years,Males,,,,,12,71.7
2018,Nova Scotia,15 to 19 years,Males,,,,,12,37.2
2018,Nova Scotia,20 to 24 years,Males,,,,,12,70.5
2018,Nova Scotia,25 to 29 years,Males,,,,,12,80.7
2018,Nova Scotia,30 to 34 years,Males,,,,,12,82.7
2018,Nova Scotia,35 to 39 years,Males,,,,,12,82.4
2018,Nova Scotia,40 to 44 years,Males,,,,,12,85.4
2018,Nova Scotia,45 to 49 years,Males,,,,,12,82.1
2018,Nova Scotia,50 to 54 years,Males,,,,,12,81.6
2018,Nova Scotia,55 to 59 years,Males,,,,,12,70.8
2018,Nova Scotia,60 to 64 years,Males,,,,,12,48.6
2018,Nova Scotia,65 years and over,Males,,,,,12,15.3
2018,Nova Scotia,65 to 69 years,Males,,,,,12,25.0
2018,Nova Scotia,70 years and over,Males,,,,,12,10.0
2018,Nova Scotia,15 to 24 years,Females,,,,,12,58.7
2018,Nova Scotia,25 years and over,Females,,,,,12,54.1
2018,Nova Scotia,25 to 44 years,Females,,,,,12,80.1
2018,Nova Scotia,45 to 64 years,Females,,,,,12,65.5
2018,Nova Scotia,45 years and over,Females,,,,,12,41.9
2018,Nova Scotia,25 to 54 years,Females,,,,,12,79.7
2018,Nova Scotia,55 years and over,Females,,,,,12,27.9
2018,Nova Scotia,15 to 64 years,Females,,,,,12,69.7
2018,Nova Scotia,15 to 19 years,Females,,,,,12,47.2
2018,Nova Scotia,20 to 24 years,Females,,,,,12,68.6
2018,Nova Scotia,25 to 29 years,Females,,,,,12,80.9
2018,Nova Scotia,30 to 34 years,Females,,,,,12,78.1
2018,Nova Scotia,35 to 39 years,Females,,,,,12,80.0
2018,Nova Scotia,40 to 44 years,Females,,,,,12,81.2
2018,Nova Scotia,45 to 49 years,Females,,,,,12,81.4
2018,Nova Scotia,50 to 54 years,Females,,,,,12,76.9
2018,Nova Scotia,55 to 59 years,Females,,,,,12,66.4
2018,Nova Scotia,60 to 64 years,Females,,,,,12,40.1
2018,Nova Scotia,65 years and over,Females,,,,,12,7.9
2018,Nova Scotia,65 to 69 years,Females,,,,,12,15.7
2018,Nova Scotia,70 years and over,Females,,,,,12,4.3
2018,New Brunswick,15 to 24 years,Both sexes,,,,,13,59.4
2018,New Brunswick,25 years and over,Both sexes,,,,,13,56.4
2018,New Brunswick,25 to 44 years,Both sexes,,,,,13,81.1
2018,New Brunswick,45 to 64 years,Both sexes,,,,,13,68.0
2018,New Brunswick,45 years and over,Both sexes,,,,,13,45.1
2018,New Brunswick,25 to 54 years,Both sexes,,,,,13,81.0
2018,New Brunswick,55 years and over,Both sexes,,,,,13,31.1
2018,New Brunswick,15 to 64 years,Both sexes,,,,,13,71.2
2018,New Brunswick,15 to 19 years,Both sexes,,,,,13,48.9
2018,New Brunswick,20 to 24 years,Both sexes,,,,,13,69.5
2018,New Brunswick,25 to 29 years,Both sexes,,,,,13,80.3
2018,New Brunswick,30 to 34 years,Both sexes,,,,,13,80.6
2018,New Brunswick,35 to 39 years,Both sexes,,,,,13,82.5
2018,New Brunswick,40 to 44 years,Both sexes,,,,,13,80.5
2018,New Brunswick,45 to 49 years,Both sexes,,,,,13,81.9
2018,New Brunswick,50 to 54 years,Both sexes,,,,,13,79.9
2018,New Brunswick,55 to 59 years,Both sexes,,,,,13,66.8
2018,New Brunswick,60 to 64 years,Both sexes,,,,,13,46.2
2018,New Brunswick,65 years and over,Both sexes,,,,,13,10.5
2018,New Brunswick,65 to 69 years,Both sexes,,,,,13,19.5
2018,New Brunswick,70 years and over,Both sexes,,,,,13,5.8
2018,New Brunswick,15 to 24 years,Males,,,,,13,56.0
2018,New Brunswick,25 years and over,Males,,,,,13,59.4
2018,New Brunswick,25 to 44 years,Males,,,,,13,82.6
2018,New Brunswick,45 to 64 years,Males,,,,,13,70.8
2018,New Brunswick,45 years and over,Males,,,,,13,48.6
2018,New Brunswick,25 to 54 years,Males,,,,,13,82.0
2018,New Brunswick,55 years and over,Males,,,,,13,35.4
2018,New Brunswick,15 to 64 years,Males,,,,,13,72.4
2018,New Brunswick,15 to 19 years,Males,,,,,13,44.1
2018,New Brunswick,20 to 24 years,Males,,,,,13,67.1
2018,New Brunswick,25 to 29 years,Males,,,,,13,82.0
2018,New Brunswick,30 to 34 years,Males,,,,,13,81.9
2018,New Brunswick,35 to 39 years,Males,,,,,13,84.9
2018,New Brunswick,40 to 44 years,Males,,,,,13,81.9
2018,New Brunswick,45 to 49 years,Males,,,,,13,82.3
2018,New Brunswick,50 to 54 years,Males,,,,,13,79.6
2018,New Brunswick,55 to 59 years,Males,,,,,13,71.1
2018,New Brunswick,60 to 64 years,Males,,,,,13,51.9
2018,New Brunswick,65 years and over,Males,,,,,13,13.2
2018,New Brunswick,65 to 69 years,Males,,,,,13,22.4
2018,New Brunswick,70 years and over,Males,,,,,13,8.1
2018,New Brunswick,15 to 24 years,Females,,,,,13,62.7
2018,New Brunswick,25 years and over,Females,,,,,13,53.6
2018,New Brunswick,25 to 44 years,Females,,,,,13,79.5
2018,New Brunswick,45 to 64 years,Females,,,,,13,65.4
2018,New Brunswick,45 years and over,Females,,,,,13,41.8
2018,New Brunswick,25 to 54 years,Females,,,,,13,80.0
2018,New Brunswick,55 years and over,Females,,,,,13,27.0
2018,New Brunswick,15 to 64 years,Females,,,,,13,70.1
2018,New Brunswick,15 to 19 years,Females,,,,,13,53.3
2018,New Brunswick,20 to 24 years,Females,,,,,13,72.0
2018,New Brunswick,25 to 29 years,Females,,,,,13,78.5
2018,New Brunswick,30 to 34 years,Females,,,,,13,80.2
2018,New Brunswick,35 to 39 years,Females,,,,,13,80.6
2018,New Brunswick,40 to 44 years,Females,,,,,13,79.3
2018,New Brunswick,45 to 49 years,Females,,,,,13,81.1
2018,New Brunswick,50 to 54 years,Females,,,,,13,80.2
2018,New Brunswick,55 to 59 years,Females,,,,,13,62.6
2018,New Brunswick,60 to 64 years,Females,,,,,13,40.8
2018,New Brunswick,65 years and over,Females,,,,,13,8.1
2018,New Brunswick,65 to 69 years,Females,,,,,13,16.7
2018,New Brunswick,70 years and over,Females,,,,,13,3.9
2018,Quebec,15 to 24 years,Both sexes,,,,,24,62.6
2018,Quebec,25 years and over,Both sexes,,,,,24,61.3
2018,Quebec,25 to 44 years,Both sexes,,,,,24,85.4
2018,Quebec,45 to 64 years,Both sexes,,,,,24,71.4
2018,Quebec,45 years and over,Both sexes,,,,,24,47.5
2018,Quebec,25 to 54 years,Both sexes,,,,,24,84.7
2018,Quebec,55 years and over,Both sexes,,,,,24,33.1
2018,Quebec,15 to 64 years,Both sexes,,,,,24,75.6
2018,Quebec,15 to 19 years,Both sexes,,,,,24,48.9
2018,Quebec,20 to 24 years,Both sexes,,,,,24,74.1
2018,Quebec,25 to 29 years,Both sexes,,,,,24,85.3
2018,Quebec,30 to 34 years,Both sexes,,,,,24,84.1
2018,Quebec,35 to 39 years,Both sexes,,,,,24,84.5
2018,Quebec,40 to 44 years,Both sexes,,,,,24,87.9
2018,Quebec,45 to 49 years,Both sexes,,,,,24,84.3
2018,Quebec,50 to 54 years,Both sexes,,,,,24,82.6
2018,Quebec,55 to 59 years,Both sexes,,,,,24,72.3
2018,Quebec,60 to 64 years,Both sexes,,,,,24,48.3
2018,Quebec,65 years and over,Both sexes,,,,,24,10.6
2018,Quebec,65 to 69 years,Both sexes,,,,,24,20.1
2018,Quebec,70 years and over,Both sexes,,,,,24,6.0
2018,Quebec,15 to 24 years,Males,,,,,24,61.4
2018,Quebec,25 years and over,Males,,,,,24,65.3
2018,Quebec,25 to 44 years,Males,,,,,24,87.3
2018,Quebec,45 to 64 years,Males,,,,,24,74.9
2018,Quebec,45 years and over,Males,,,,,24,52.2
2018,Quebec,25 to 54 years,Males,,,,,24,86.3
2018,Quebec,55 years and over,Males,,,,,24,38.8
2018,Quebec,15 to 64 years,Males,,,,,24,77.6
2018,Quebec,15 to 19 years,Males,,,,,24,46.1
2018,Quebec,20 to 24 years,Males,,,,,24,74.1
2018,Quebec,25 to 29 years,Males,,,,,24,86.4
2018,Quebec,30 to 34 years,Males,,,,,24,86.1
2018,Quebec,35 to 39 years,Males,,,,,24,87.2
2018,Quebec,40 to 44 years,Males,,,,,24,89.4
2018,Quebec,45 to 49 years,Males,,,,,24,85.4
2018,Quebec,50 to 54 years,Males,,,,,24,83.4
2018,Quebec,55 to 59 years,Males,,,,,24,76.8
2018,Quebec,60 to 64 years,Males,,,,,24,55.2
2018,Quebec,65 years and over,Males,,,,,24,14.6
2018,Quebec,65 to 69 years,Males,,,,,24,24.9
2018,Quebec,70 years and over,Males,,,,,24,9.2
2018,Quebec,15 to 24 years,Females,,,,,24,63.8
2018,Quebec,25 years and over,Females,,,,,24,57.4
2018,Quebec,25 to 44 years,Females,,,,,24,83.5
2018,Quebec,45 to 64 years,Females,,,,,24,67.9
2018,Quebec,45 years and over,Females,,,,,24,43.0
2018,Quebec,25 to 54 years,Females,,,,,24,83.2
2018,Quebec,55 years and over,Females,,,,,24,27.9
2018,Quebec,15 to 64 years,Females,,,,,24,73.5
2018,Quebec,15 to 19 years,Females,,,,,24,51.6
2018,Quebec,20 to 24 years,Females,,,,,24,74.1
2018,Quebec,25 to 29 years,Females,,,,,24,84.0
2018,Quebec,30 to 34 years,Females,,,,,24,82.0
2018,Quebec,35 to 39 years,Females,,,,,24,81.7
2018,Quebec,40 to 44 years,Females,,,,,24,86.4
2018,Quebec,45 to 49 years,Females,,,,,24,83.3
2018,Quebec,50 to 54 years,Females,,,,,24,81.8
2018,Quebec,55 to 59 years,Females,,,,,24,67.8
2018,Quebec,60 to 64 years,Females,,,,,24,41.4
2018,Quebec,65 years and over,Females,,,,,24,7.1
2018,Quebec,65 to 69 years,Females,,,,,24,15.5
2018,Quebec,70 years and over,Females,,,,,24,3.3
2018,Ontario,15 to 24 years,Both sexes,,,,,35,54.5
2018,Ontario,25 years and over,Both sexes,,,,,35,62.5
2018,Ontario,25 to 44 years,Both sexes,,,,,35,81.8
2018,Ontario,45 to 64 years,Both sexes,,,,,35,72.8
2018,Ontario,45 years and over,Both sexes,,,,,35,50.8
2018,Ontario,25 to 54 years,Both sexes,,,,,35,81.8
2018,Ontario,55 years and over,Both sexes,,,,,35,36.6
2018,Ontario,15 to 64 years,Both sexes,,,,,35,72.8
2018,Ontario,15 to 19 years,Both sexes,,,,,35,41.1
2018,Ontario,20 to 24 years,Both sexes,,,,,35,66.0
2018,Ontario,25 to 29 years,Both sexes,,,,,35,79.7
2018,Ontario,30 to 34 years,Both sexes,,,,,35,81.2
2018,Ontario,35 to 39 years,Both sexes,,,,,35,83.3
2018,Ontario,40 to 44 years,Both sexes,,,,,35,83.1
2018,Ontario,45 to 49 years,Both sexes,,,,,35,83.0
2018,Ontario,50 to 54 years,Both sexes,,,,,35,80.9
2018,Ontario,55 to 59 years,Both sexes,,,,,35,71.8
2018,Ontario,60 to 64 years,Both sexes,,,,,35,54.5
2018,Ontario,65 years and over,Both sexes,,,,,35,13.9
2018,Ontario,65 to 69 years,Both sexes,,,,,35,25.9
2018,Ontario,70 years and over,Both sexes,,,,,35,8.2
2018,Ontario,15 to 24 years,Males,,,,,35,54.8
2018,Ontario,25 years and over,Males,,,,,35,67.8
2018,Ontario,25 to 44 years,Males,,,,,35,86.3
2018,Ontario,45 to 64 years,Males,,,,,35,77.4
2018,Ontario,45 years and over,Males,,,,,35,56.2
2018,Ontario,25 to 54 years,Males,,,,,35,86.2
2018,Ontario,55 years and over,Males,,,,,35,42.0
2018,Ontario,15 to 64 years,Males,,,,,35,76.3
2018,Ontario,15 to 19 years,Males,,,,,35,41.1
2018,Ontario,20 to 24 years,Males,,,,,35,66.3
2018,Ontario,25 to 29 years,Males,,,,,35,81.2
2018,Ontario,30 to 34 years,Males,,,,,35,87.2
2018,Ontario,35 to 39 years,Males,,,,,35,89.0
2018,Ontario,40 to 44 years,Males,,,,,35,88.7
2018,Ontario,45 to 49 years,Males,,,,,35,87.4
2018,Ontario,50 to 54 years,Males,,,,,35,84.8
2018,Ontario,55 to 59 years,Males,,,,,35,75.8
2018,Ontario,60 to 64 years,Males,,,,,35,60.3
2018,Ontario,65 years and over,Males,,,,,35,18.2
2018,Ontario,65 to 69 years,Males,,,,,35,31.1
2018,Ontario,70 years and over,Males,,,,,35,11.6
2018,Ontario,15 to 24 years,Females,,,,,35,54.2
2018,Ontario,25 years and over,Females,,,,,35,57.5
2018,Ontario,25 to 44 years,Females,,,,,35,77.3
2018,Ontario,45 to 64 years,Females,,,,,35,68.5
2018,Ontario,45 years and over,Females,,,,,35,45.9
2018,Ontario,25 to 54 years,Females,,,,,35,77.5
2018,Ontario,55 years and over,Females,,,,,35,31.8
2018,Ontario,15 to 64 years,Females,,,,,35,69.3
2018,Ontario,15 to 19 years,Females,,,,,35,41.1
2018,Ontario,20 to 24 years,Females,,,,,35,65.6
2018,Ontario,25 to 29 years,Females,,,,,35,78.1
2018,Ontario,30 to 34 years,Females,,,,,35,75.2
2018,Ontario,35 to 39 years,Females,,,,,35,77.7
2018,Ontario,40 to 44 years,Females,,,,,35,78.0
2018,Ontario,45 to 49 years,Females,,,,,35,78.9
2018,Ontario,50 to 54 years,Females,,,,,35,77.1
2018,Ontario,55 to 59 years,Females,,,,,35,67.9
2018,Ontario,60 to 64 years,Females,,,,,35,49.1
2018,Ontario,65 years and over,Females,,,,,35,10.3
2018,Ontario,65 to 69 years,Females,,,,,35,21.1
2018,Ontario,70 years and over,Females,,,,,35,5.5
2018,Manitoba,15 to 24 years,Both sexes,,,,,46,60.5
2018,Manitoba,25 years and over,Both sexes,,,,,46,64.3
2018,Manitoba,25 to 44 years,Both sexes,,,,,46,82.1
2018,Manitoba,45 to 64 years,Both sexes,,,,,46,73.8
2018,Manitoba,45 years and over,Both sexes,,,,,46,52.3
2018,Manitoba,25 to 54 years,Both sexes,,,,,46,82.7
2018,Manitoba,55 years and over,Both sexes,,,,,46,38.4
2018,Manitoba,15 to 64 years,Both sexes,,,,,46,74.5
2018,Manitoba,15 to 19 years,Both sexes,,,,,46,45.6
2018,Manitoba,20 to 24 years,Both sexes,,,,,46,74.2
2018,Manitoba,25 to 29 years,Both sexes,,,,,46,80.1
2018,Manitoba,30 to 34 years,Both sexes,,,,,46,80.8
2018,Manitoba,35 to 39 years,Both sexes,,,,,46,83.3
2018,Manitoba,40 to 44 years,Both sexes,,,,,46,84.7
2018,Manitoba,45 to 49 years,Both sexes,,,,,46,84.7
2018,Manitoba,50 to 54 years,Both sexes,,,,,46,83.1
2018,Manitoba,55 to 59 years,Both sexes,,,,,46,71.5
2018,Manitoba,60 to 64 years,Both sexes,,,,,46,55.9
2018,Manitoba,65 years and over,Both sexes,,,,,46,16.8
2018,Manitoba,65 to 69 years,Both sexes,,,,,46,29.7
2018,Manitoba,70 years and over,Both sexes,,,,,46,10.4
2018,Manitoba,15 to 24 years,Males,,,,,46,59.6
2018,Manitoba,25 years and over,Males,,,,,46,70.3
2018,Manitoba,25 to 44 years,Males,,,,,46,87.9
2018,Manitoba,45 to 64 years,Males,,,,,46,78.6
2018,Manitoba,45 years and over,Males,,,,,46,58.1
2018,Manitoba,25 to 54 years,Males,,,,,46,87.6
2018,Manitoba,55 years and over,Males,,,,,46,45.0
2018,Manitoba,15 to 64 years,Males,,,,,46,78.4
2018,Manitoba,15 to 19 years,Males,,,,,46,43.9
2018,Manitoba,20 to 24 years,Males,,,,,46,74.1
2018,Manitoba,25 to 29 years,Males,,,,,46,84.0
2018,Manitoba,30 to 34 years,Males,,,,,46,87.5
2018,Manitoba,35 to 39 years,Males,,,,,46,90.7
2018,Manitoba,40 to 44 years,Males,,,,,46,89.8
2018,Manitoba,45 to 49 years,Males,,,,,46,87.7
2018,Manitoba,50 to 54 years,Males,,,,,46,86.5
2018,Manitoba,55 to 59 years,Males,,,,,46,77.5
2018,Manitoba,60 to 64 years,Males,,,,,46,62.7
2018,Manitoba,65 years and over,Males,,,,,46,21.9
2018,Manitoba,65 to 69 years,Males,,,,,46,36.1
2018,Manitoba,70 years and over,Males,,,,,46,14.5
2018,Manitoba,15 to 24 years,Females,,,,,46,61.4
2018,Manitoba,25 years and over,Females,,,,,46,58.4
2018,Manitoba,25 to 44 years,Females,,,,,46,76.3
2018,Manitoba,45 to 64 years,Females,,,,,46,69.1
2018,Manitoba,45 years and over,Females,,,,,46,46.9
2018,Manitoba,25 to 54 years,Females,,,,,46,77.7
2018,Manitoba,55 years and over,Females,,,,,46,32.5
2018,Manitoba,15 to 64 years,Females,,,,,46,70.6
2018,Manitoba,15 to 19 years,Females,,,,,46,47.2
2018,Manitoba,20 to 24 years,Females,,,,,46,74.6
2018,Manitoba,25 to 29 years,Females,,,,,46,76.1
2018,Manitoba,30 to 34 years,Females,,,,,46,74.0
2018,Manitoba,35 to 39 years,Females,,,,,46,75.8
2018,Manitoba,40 to 44 years,Females,,,,,46,79.6
2018,Manitoba,45 to 49 years,Females,,,,,46,81.7
2018,Manitoba,50 to 54 years,Females,,,,,46,79.8
2018,Manitoba,55 to 59 years,Females,,,,,46,65.7
2018,Manitoba,60 to 64 years,Females,,,,,46,49.2
2018,Manitoba,65 years and over,Females,,,,,46,12.2
2018,Manitoba,65 to 69 years,Females,,,,,46,23.6
2018,Manitoba,70 years and over,Females,,,,,46,6.9
2018,Saskatchewan,15 to 24 years,Both sexes,,,,,47,57.8
2018,Saskatchewan,25 years and over,Both sexes,,,,,47,65.9
2018,Saskatchewan,25 to 44 years,Both sexes,,,,,47,82.9
2018,Saskatchewan,45 to 64 years,Both sexes,,,,,47,75.0
2018,Saskatchewan,45 years and over,Both sexes,,,,,47,54.2
2018,Saskatchewan,25 to 54 years,Both sexes,,,,,47,83.2
2018,Saskatchewan,55 years and over,Both sexes,,,,,47,41.8
2018,Saskatchewan,15 to 64 years,Both sexes,,,,,47,75.1
2018,Saskatchewan,15 to 19 years,Both sexes,,,,,47,42.9
2018,Saskatchewan,20 to 24 years,Both sexes,,,,,47,71.8
2018,Saskatchewan,25 to 29 years,Both sexes,,,,,47,79.6
2018,Saskatchewan,30 to 34 years,Both sexes,,,,,47,84.1
2018,Saskatchewan,35 to 39 years,Both sexes,,,,,47,82.3
2018,Saskatchewan,40 to 44 years,Both sexes,,,,,47,85.5
2018,Saskatchewan,45 to 49 years,Both sexes,,,,,47,84.2
2018,Saskatchewan,50 to 54 years,Both sexes,,,,,47,83.5
2018,Saskatchewan,55 to 59 years,Both sexes,,,,,47,75.1
2018,Saskatchewan,60 to 64 years,Both sexes,,,,,47,58.3
2018,Saskatchewan,65 years and over,Both sexes,,,,,47,19.8
2018,Saskatchewan,65 to 69 years,Both sexes,,,,,47,36.4
2018,Saskatchewan,70 years and over,Both sexes,,,,,47,11.5
2018,Saskatchewan,15 to 24 years,Males,,,,,47,56.6
2018,Saskatchewan,25 years and over,Males,,,,,47,71.4
2018,Saskatchewan,25 to 44 years,Males,,,,,47,87.6
2018,Saskatchewan,45 to 64 years,Males,,,,,47,78.4
2018,Saskatchewan,45 years and over,Males,,,,,47,59.8
2018,Saskatchewan,25 to 54 years,Males,,,,,47,87.1
2018,Saskatchewan,55 years and over,Males,,,,,47,48.3
2018,Saskatchewan,15 to 64 years,Males,,,,,47,78.1
2018,Saskatchewan,15 to 19 years,Males,,,,,47,42.2
2018,Saskatchewan,20 to 24 years,Males,,,,,47,69.9
2018,Saskatchewan,25 to 29 years,Males,,,,,47,83.8
2018,Saskatchewan,30 to 34 years,Males,,,,,47,89.6
2018,Saskatchewan,35 to 39 years,Males,,,,,47,88.4
2018,Saskatchewan,40 to 44 years,Males,,,,,47,88.7
2018,Saskatchewan,45 to 49 years,Males,,,,,47,86.4
2018,Saskatchewan,50 to 54 years,Males,,,,,47,86.2
2018,Saskatchewan,55 to 59 years,Males,,,,,47,79.5
2018,Saskatchewan,60 to 64 years,Males,,,,,47,62.9
2018,Saskatchewan,65 years and over,Males,,,,,47,26.5
2018,Saskatchewan,65 to 69 years,Males,,,,,47,44.0
2018,Saskatchewan,70 years and over,Males,,,,,47,16.9
2018,Saskatchewan,15 to 24 years,Females,,,,,47,59.2
2018,Saskatchewan,25 years and over,Females,,,,,47,60.3
2018,Saskatchewan,25 to 44 years,Females,,,,,47,78.0
2018,Saskatchewan,45 to 64 years,Females,,,,,47,71.4
2018,Saskatchewan,45 years and over,Females,,,,,47,48.7
2018,Saskatchewan,25 to 54 years,Females,,,,,47,79.0
2018,Saskatchewan,55 years and over,Females,,,,,47,35.6
2018,Saskatchewan,15 to 64 years,Females,,,,,47,72.0
2018,Saskatchewan,15 to 19 years,Females,,,,,47,43.8
2018,Saskatchewan,20 to 24 years,Females,,,,,47,73.9
2018,Saskatchewan,25 to 29 years,Females,,,,,47,75.4
2018,Saskatchewan,30 to 34 years,Females,,,,,47,78.3
2018,Saskatchewan,35 to 39 years,Females,,,,,47,76.4
2018,Saskatchewan,40 to 44 years,Females,,,,,47,82.4
2018,Saskatchewan,45 to 49 years,Females,,,,,47,82.1
2018,Saskatchewan,50 to 54 years,Females,,,,,47,80.6
2018,Saskatchewan,55 to 59 years,Females,,,,,47,70.8
2018,Saskatchewan,60 to 64 years,Females,,,,,47,53.6
2018,Saskatchewan,65 years and over,Females,,,,,47,13.9
2018,Saskatchewan,65 to 69 years,Females,,,,,47,29.3
2018,Saskatchewan,70 years and over,Females,,,,,47,7.0
2018,Alberta,15 to 24 years,Both sexes,,,,,48,58.2
2018,Alberta,25 years and over,Both sexes,,,,,48,68.7
2018,Alberta,25 to 44 years,Both sexes,,,,,48,83.9
2018,Alberta,45 to 64 years,Both sexes,,,,,48,74.8
2018,Alberta,45 years and over,Both sexes,,,,,48,56.2
2018,Alberta,25 to 54 years,Both sexes,,,,,48,83.6
2018,Alberta,55 years and over,Both sexes,,,,,48,42.4
2018,Alberta,15 to 64 years,Both sexes,,,,,48,76.0
2018,Alberta,15 to 19 years,Both sexes,,,,,48,41.0
2018,Alberta,20 to 24 years,Both sexes,,,,,48,74.0
2018,Alberta,25 to 29 years,Both sexes,,,,,48,81.9
2018,Alberta,30 to 34 years,Both sexes,,,,,48,83.5
2018,Alberta,35 to 39 years,Both sexes,,,,,48,84.8
2018,Alberta,40 to 44 years,Both sexes,,,,,48,85.6
2018,Alberta,45 to 49 years,Both sexes,,,,,48,85.2
2018,Alberta,50 to 54 years,Both sexes,,,,,48,80.7
2018,Alberta,55 to 59 years,Both sexes,,,,,48,74.1
2018,Alberta,60 to 64 years,Both sexes,,,,,48,57.7
2018,Alberta,65 years and over,Both sexes,,,,,48,18.3
2018,Alberta,65 to 69 years,Both sexes,,,,,48,31.7
2018,Alberta,70 years and over,Both sexes,,,,,48,10.9
2018,Alberta,15 to 24 years,Males,,,,,48,58.7
2018,Alberta,25 years and over,Males,,,,,48,74.5
2018,Alberta,25 to 44 years,Males,,,,,48,89.5
2018,Alberta,45 to 64 years,Males,,,,,48,79.4
2018,Alberta,45 years and over,Males,,,,,48,62.1
2018,Alberta,25 to 54 years,Males,,,,,48,88.6
2018,Alberta,55 years and over,Males,,,,,48,48.9
2018,Alberta,15 to 64 years,Males,,,,,48,80.2
2018,Alberta,15 to 19 years,Males,,,,,48,40.8
2018,Alberta,20 to 24 years,Males,,,,,48,74.9
2018,Alberta,25 to 29 years,Males,,,,,48,85.7
2018,Alberta,30 to 34 years,Males,,,,,48,90.6
2018,Alberta,35 to 39 years,Males,,,,,48,91.1
2018,Alberta,40 to 44 years,Males,,,,,48,90.5
2018,Alberta,45 to 49 years,Males,,,,,48,88.3
2018,Alberta,50 to 54 years,Males,,,,,48,84.6
2018,Alberta,55 to 59 years,Males,,,,,48,78.7
2018,Alberta,60 to 64 years,Males,,,,,48,64.5
2018,Alberta,65 years and over,Males,,,,,48,24.1
2018,Alberta,65 to 69 years,Males,,,,,48,37.8
2018,Alberta,70 years and over,Males,,,,,48,16.1
2018,Alberta,15 to 24 years,Females,,,,,48,57.8
2018,Alberta,25 years and over,Females,,,,,48,62.8
2018,Alberta,25 to 44 years,Females,,,,,48,78.3
2018,Alberta,45 to 64 years,Females,,,,,48,70.1
2018,Alberta,45 years and over,Females,,,,,48,50.6
2018,Alberta,25 to 54 years,Females,,,,,48,78.6
2018,Alberta,55 years and over,Females,,,,,48,36.3
2018,Alberta,15 to 64 years,Females,,,,,48,71.6
2018,Alberta,15 to 19 years,Females,,,,,48,41.2
2018,Alberta,20 to 24 years,Females,,,,,48,73.0
2018,Alberta,25 to 29 years,Females,,,,,48,78.0
2018,Alberta,30 to 34 years,Females,,,,,48,76.3
2018,Alberta,35 to 39 years,Females,,,,,48,78.5
2018,Alberta,40 to 44 years,Females,,,,,48,80.7
2018,Alberta,45 to 49 years,Females,,,,,48,81.8
2018,Alberta,50 to 54 years,Females,,,,,48,77.0
2018,Alberta,55 to 59 years,Females,,,,,48,69.4
2018,Alberta,60 to 64 years,Females,,,,,48,50.8
2018,Alberta,65 years and over,Females,,,,,48,13.1
2018,Alberta,65 to 69 years,Females,,,,,48,25.9
2018,Alberta,70 years and over,Females,,,,,48,6.6
2018,British Columbia,15 to 24 years,Both sexes,,,,,59,60.9
2018,British Columbia,25 years and over,Both sexes,,,,,59,62.9
2018,British Columbia,25 to 44 years,Both sexes,,,,,59,84.2
2018,British Columbia,45 to 64 years,Both sexes,,,,,59,72.9
2018,British Columbia,45 years and over,Both sexes,,,,,59,50.3
2018,British Columbia,25 to 54 years,Both sexes,,,,,59,83.6
2018,British Columbia,55 years and over,Both sexes,,,,,59,36.6
2018,British Columbia,15 to 64 years,Both sexes,,,,,59,75.2
2018,British Columbia,15 to 19 years,Both sexes,,,,,59,46.8
2018,British Columbia,20 to 24 years,Both sexes,,,,,59,72.7
2018,British Columbia,25 to 29 years,Both sexes,,,,,59,82.7
2018,British Columbia,30 to 34 years,Both sexes,,,,,59,85.8
2018,British Columbia,35 to 39 years,Both sexes,,,,,59,84.1
2018,British Columbia,40 to 44 years,Both sexes,,,,,59,84.0
2018,British Columbia,45 to 49 years,Both sexes,,,,,59,83.2
2018,British Columbia,50 to 54 years,Both sexes,,,,,59,81.6
2018,British Columbia,55 to 59 years,Both sexes,,,,,59,72.6
2018,British Columbia,60 to 64 years,Both sexes,,,,,59,54.3
2018,British Columbia,65 years and over,Both sexes,,,,,59,14.3
2018,British Columbia,65 to 69 years,Both sexes,,,,,59,26.7
2018,British Columbia,70 years and over,Both sexes,,,,,59,8.0
2018,British Columbia,15 to 24 years,Males,,,,,59,59.0
2018,British Columbia,25 years and over,Males,,,,,59,67.9
2018,British Columbia,25 to 44 years,Males,,,,,59,88.8
2018,British Columbia,45 to 64 years,Males,,,,,59,77.7
2018,British Columbia,45 years and over,Males,,,,,59,55.0
2018,British Columbia,25 to 54 years,Males,,,,,59,88.3
2018,British Columbia,55 years and over,Males,,,,,59,41.0
2018,British Columbia,15 to 64 years,Males,,,,,59,78.7
2018,British Columbia,15 to 19 years,Males,,,,,59,42.9
2018,British Columbia,20 to 24 years,Males,,,,,59,72.3
2018,British Columbia,25 to 29 years,Males,,,,,59,83.8
2018,British Columbia,30 to 34 years,Males,,,,,59,90.7
2018,British Columbia,35 to 39 years,Males,,,,,59,91.6
