Year,data.Geography,data.Age at time of death,data.Sex,data.Leading causes of death (ICD-10),Value
2018,data.Canada,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.4
2019,data.Canada,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.3
2015,data.Canada,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.2
2016,data.Canada,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.0
2017,data.Canada,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.1
2018,data.Canada,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.0
2019,data.Canada,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.0
2015,data.Canada,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2016,data.Canada,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2018,data.Canada,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2019,data.Canada,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.Canada,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.3
2016,data.Canada,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.2
2017,data.Canada,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.0
2018,data.Canada,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1.9
2019,data.Canada,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1.7
2015,data.Canada,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.8
2016,data.Canada,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",1.2
2017,data.Canada,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.9
2018,data.Canada,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.9
2019,data.Canada,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.6
2015,data.Canada,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],3.3
2016,data.Canada,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],3.0
2017,data.Canada,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],3.2
2018,data.Canada,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],2.7
2019,data.Canada,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],3.2
2015,data.Canada,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.2
2016,data.Canada,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.2
2017,data.Canada,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.3
2018,data.Canada,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.3
2019,data.Canada,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.2
2015,data.Canada,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.9
2016,data.Canada,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.9
2017,data.Canada,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.0
2018,data.Canada,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.8
2019,data.Canada,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.0
2015,data.Canada,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2016,data.Canada,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2017,data.Canada,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.3
2018,data.Canada,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.3
2019,data.Canada,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.Canada,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2016,data.Canada,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2017,data.Canada,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.2
2018,data.Canada,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2019,data.Canada,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.2
2015,data.Canada,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2016,data.Canada,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2017,data.Canada,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2018,data.Canada,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2019,data.Canada,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.Canada,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2016,data.Canada,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2018,data.Canada,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2019,data.Canada,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.Canada,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",15.5
2016,data.Canada,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",15.9
2017,data.Canada,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",17.8
2018,data.Canada,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",14.5
2019,data.Canada,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",13.7
2015,data.Canada,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.4
2016,data.Canada,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",10.7
2017,data.Canada,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",12.1
2018,data.Canada,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.9
2019,data.Canada,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.0
2015,data.Canada,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],4.1
2016,data.Canada,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],3.8
2017,data.Canada,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],3.9
2018,data.Canada,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],3.1
2019,data.Canada,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],3.6
2015,data.Canada,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.3
2016,data.Canada,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.3
2017,data.Canada,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.3
2018,data.Canada,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.2
2019,data.Canada,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.3
2015,data.Canada,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.1
2016,data.Canada,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.1
2017,data.Canada,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.2
2018,data.Canada,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.0
2019,data.Canada,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.3
2015,data.Canada,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.0
2016,data.Canada,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.2
2017,data.Canada,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.3
2018,data.Canada,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.4
2019,data.Canada,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.Canada,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.5
2016,data.Canada,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.3
2017,data.Canada,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.2
2018,data.Canada,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.3
2019,data.Canada,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.3
2015,data.Canada,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2016,data.Canada,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2017,data.Canada,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2018,data.Canada,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2019,data.Canada,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.Canada,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2016,data.Canada,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2018,data.Canada,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2019,data.Canada,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.Canada,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",21.6
2016,data.Canada,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",22.2
2017,data.Canada,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",25.1
2018,data.Canada,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",19.7
2019,data.Canada,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",18.9
2015,data.Canada,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",15.8
2016,data.Canada,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",14.8
2017,data.Canada,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",16.5
2018,data.Canada,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",16.5
2019,data.Canada,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",15.2
2015,data.Canada,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.5
2016,data.Canada,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.1
2017,data.Canada,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.3
2018,data.Canada,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.3
2019,data.Canada,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.8
2015,data.Canada,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.1
2016,data.Canada,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.2
2017,data.Canada,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.3
2018,data.Canada,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.4
2019,data.Canada,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.1
2015,data.Canada,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.8
2016,data.Canada,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.8
2017,data.Canada,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.7
2018,data.Canada,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.7
2019,data.Canada,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.8
2015,data.Canada,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.3
2016,data.Canada,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.1
2017,data.Canada,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.2
2018,data.Canada,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.2
2019,data.Canada,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.Canada,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.1
2016,data.Canada,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.3
2017,data.Canada,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.2
2018,data.Canada,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.2
2019,data.Canada,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.2
2015,data.Canada,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.2
2016,data.Canada,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.0
2017,data.Canada,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.3
2018,data.Canada,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.1
2019,data.Canada,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.Canada,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2016,data.Canada,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2018,data.Canada,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.2
2019,data.Canada,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.1
2015,data.Canada,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",9.0
2016,data.Canada,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",9.3
2017,data.Canada,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",10.1
2018,data.Canada,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",8.8
2019,data.Canada,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",8.2
2015,data.Canada,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.7
2016,data.Canada,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.4
2017,data.Canada,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",7.4
2018,data.Canada,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.9
2019,data.Canada,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.6
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],8.2
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],6.9
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],7.2
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],7.1
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],6.9
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],1.0
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.8
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.9
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.9
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.8
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.0
2016,data.Canada,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.1
2017,data.Canada,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.1
2018,data.Canada,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",2.8
2019,data.Canada,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",2.4
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.7
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.7
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.6
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.4
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.8
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.4
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.6
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.4
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.5
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.6
2015,data.Canada,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2016,data.Canada,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.3
2017,data.Canada,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2018,data.Canada,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.3
2019,data.Canada,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.Canada,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.7
2016,data.Canada,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.8
2017,data.Canada,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.0
2018,data.Canada,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.0
2019,data.Canada,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.0
2015,data.Canada,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",18.9
2016,data.Canada,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",24.8
2017,data.Canada,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",30.3
2018,data.Canada,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",24.6
2019,data.Canada,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",21.5
2015,data.Canada,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",13.6
2016,data.Canada,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.9
2017,data.Canada,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",13.3
2018,data.Canada,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.3
2019,data.Canada,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",12.9
2015,data.Canada,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],7.4
2016,data.Canada,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],6.3
2017,data.Canada,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],7.3
2018,data.Canada,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],6.4
2019,data.Canada,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],7.4
2015,data.Canada,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.4
2016,data.Canada,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.0
2017,data.Canada,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.1
2018,data.Canada,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.0
2019,data.Canada,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.1
2015,data.Canada,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.9
2016,data.Canada,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",4.2
2017,data.Canada,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",4.0
2018,data.Canada,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.6
2019,data.Canada,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.0
2015,data.Canada,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.8
2016,data.Canada,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],1.0
2017,data.Canada,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.7
2018,data.Canada,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.4
2019,data.Canada,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.8
2015,data.Canada,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2016,data.Canada,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.7
2017,data.Canada,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.5
2018,data.Canada,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2019,data.Canada,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.5
2015,data.Canada,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2016,data.Canada,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.4
2017,data.Canada,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2018,data.Canada,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.3
2019,data.Canada,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.3
2015,data.Canada,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.1
2016,data.Canada,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.8
2017,data.Canada,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.1
2018,data.Canada,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.8
2019,data.Canada,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.1
2015,data.Canada,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",29.8
2016,data.Canada,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",38.2
2017,data.Canada,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",47.6
2018,data.Canada,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",36.5
2019,data.Canada,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",30.9
2015,data.Canada,data.25 to 34 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",19.9
2016,data.Canada,data.25 to 34 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",17.5
2017,data.Canada,data.25 to 34 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",20.4
