Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2020,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.71
2015,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2016,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2017,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2018,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.93
2019,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2020,data.Prince Edward Island,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2015,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.89
2016,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.96
2017,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.9
2018,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.94
2019,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.92
2020,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.88
2015,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2016,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2017,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2018,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2019,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2020,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2015,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.83
2016,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.94
2017,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.87
2018,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.94
2019,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.92
2020,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.75
2015,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2016,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2017,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2018,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.98
2019,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.88
2020,data.Prince Edward Island,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2015,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.86
2016,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.82
2017,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.78
2018,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.91
2019,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.85
2020,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.84
2015,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2016,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2017,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2018,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2019,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2020,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2015,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.83
2016,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.82
2017,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.78
2018,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.91
2019,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.79
2020,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.76
2015,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.93
2016,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.77
2017,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2018,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.83
2019,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.94
2020,data.Prince Edward Island,data.Full-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.9
2015,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.09
2016,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.0
2017,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.04
2018,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.08
2019,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.08
2020,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 years and over,1.04
2015,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,1.01
2016,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,1.0
2017,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.99
2018,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.99
2019,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,1.0
2020,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.15 to 24 years,1.01
2015,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.13
2016,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.2
2017,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.15
2018,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.11
2019,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.34
2020,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.25 to 54 years,1.06
2015,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,0.93
2016,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,0.84
2017,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,1.13
2018,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,1.0
2019,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,0.96
2020,data.Prince Edward Island,data.Part-time employees,data.Total employees - all occupations,data.55 years and over,0.9
2015,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Management occupations [0],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,1.2
2016,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,1.08
2017,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Health occupations [3],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.81
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,1.24
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.97
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.97
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,1.18
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.02
2016,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.0
2017,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.02
2018,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.01
2019,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.02
2020,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 years and over,1.01
2015,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2016,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2017,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2018,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2019,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2020,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2015,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.93
2016,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.94
2017,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,1.04
2018,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,1.04
2019,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,1.03
2020,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.94
2015,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,0.92
2016,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,0.96
2017,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,1.04
2018,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,1.11
2019,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,1.02
2020,data.Prince Edward Island,data.Part-time employees,data.Sales and service occupations [6],data.55 years and over,0.99
2015,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2016,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2017,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2018,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2019,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2020,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,
2015,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2019,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2020,data.Prince Edward Island,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2015,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
2016,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
2017,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
2018,data.Prince Edward Island,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,
