Year,Geography,Gender,Age group,Selected demographic characteristics,GeoCode,Value
2016,Quebec,Females,25 to 64 years,Not a visible minority,24,86.9
2016,Quebec,Females,25 to 64 years,Indigenous identity,24,69.8
2016,Quebec,Females,25 to 64 years,First Nations (North American Indian),24,65.8
2016,Quebec,Females,25 to 64 years,Métis,24,78.9
2016,Quebec,Females,25 to 64 years,Inuk (Inuit),24,37.9
2016,Quebec,Females,25 to 64 years,Non-Indigenous identity,24,86.9
2016,Quebec,Females,65 to 74 years,Total,24,72.1
2016,Quebec,Females,65 to 74 years,Non immigrants,24,73.3
2016,Quebec,Females,65 to 74 years,Immigrants,24,65.0
2016,Quebec,Females,65 to 74 years,Non-permanent residents,24,52.5
2016,Quebec,Females,65 to 74 years,Total visible minority population,24,63.0
2016,Quebec,Females,65 to 74 years,Not a visible minority,24,72.7
2016,Quebec,Females,65 to 74 years,Indigenous identity,24,59.8
2016,Quebec,Females,65 to 74 years,First Nations (North American Indian),24,56.5
2016,Quebec,Females,65 to 74 years,Métis,24,64.4
2016,Quebec,Females,65 to 74 years,Inuk (Inuit),24,29.6
2016,Quebec,Females,65 to 74 years,Non-Indigenous identity,24,72.3
2016,Quebec,Females,75 years and over,Total,24,48.4
2016,Quebec,Females,75 years and over,Non immigrants,24,49.7
2016,Quebec,Females,75 years and over,Immigrants,24,42.1
2016,Quebec,Females,75 years and over,Non-permanent residents,24,35.8
2016,Quebec,Females,75 years and over,Total visible minority population,24,43.7
2016,Quebec,Females,75 years and over,Not a visible minority,24,48.7
2016,Quebec,Females,75 years and over,Indigenous identity,24,36.4
2016,Quebec,Females,75 years and over,First Nations (North American Indian),24,33.0
2016,Quebec,Females,75 years and over,Métis,24,39.3
2016,Quebec,Females,75 years and over,Inuk (Inuit),24,28.6
2016,Quebec,Females,75 years and over,Non-Indigenous identity,24,48.6
2016,Ontario,Total,Total,Total,35,80.5
2016,Ontario,Total,Total,Non immigrants,35,80.5
2016,Ontario,Total,Total,Immigrants,35,80.2
2016,Ontario,Total,Total,Non-permanent residents,35,88.1
2016,Ontario,Total,Total,Total visible minority population,35,82.4
2016,Ontario,Total,Total,Not a visible minority,35,79.8
2016,Ontario,Total,Total,Indigenous identity,35,67.0
2016,Ontario,Total,Total,First Nations (North American Indian),35,62.6
2016,Ontario,Total,Total,Métis,35,74.4
2016,Ontario,Total,Total,Inuk (Inuit),35,66.0
2016,Ontario,Total,Total,Non-Indigenous identity,35,80.9
2016,Ontario,Total,15 to 24 years,Total,35,66.5
2016,Ontario,Total,15 to 24 years,Non immigrants,35,64.5
2016,Ontario,Total,15 to 24 years,Immigrants,35,71.5
2016,Ontario,Total,15 to 24 years,Non-permanent residents,35,85.6
2016,Ontario,Total,15 to 24 years,Total visible minority population,35,70.0
2016,Ontario,Total,15 to 24 years,Not a visible minority,35,64.5
2016,Ontario,Total,15 to 24 years,Indigenous identity,35,51.5
2016,Ontario,Total,15 to 24 years,First Nations (North American Indian),35,47.1
2016,Ontario,Total,15 to 24 years,Métis,35,60.0
2016,Ontario,Total,15 to 24 years,Inuk (Inuit),35,51.1
2016,Ontario,Total,15 to 24 years,Non-Indigenous identity,35,67.0
2016,Ontario,Total,25 to 64 years,Total,35,87.9
2016,Ontario,Total,25 to 64 years,Non immigrants,35,88.4
2016,Ontario,Total,25 to 64 years,Immigrants,35,87.0
2016,Ontario,Total,25 to 64 years,Non-permanent residents,35,90.8
2016,Ontario,Total,25 to 64 years,Total visible minority population,35,88.4
2016,Ontario,Total,25 to 64 years,Not a visible minority,35,87.8
2016,Ontario,Total,25 to 64 years,Indigenous identity,35,74.8
2016,Ontario,Total,25 to 64 years,First Nations (North American Indian),35,70.3
2016,Ontario,Total,25 to 64 years,Métis,35,82.3
2016,Ontario,Total,25 to 64 years,Inuk (Inuit),35,71.9
2016,Ontario,Total,25 to 64 years,Non-Indigenous identity,35,88.3
2016,Ontario,Total,65 to 74 years,Total,35,73.7
2016,Ontario,Total,65 to 74 years,Non immigrants,35,74.6
2016,Ontario,Total,65 to 74 years,Immigrants,35,72.6
2016,Ontario,Total,65 to 74 years,Non-permanent residents,35,66.1
2016,Ontario,Total,65 to 74 years,Total visible minority population,35,74.4
2016,Ontario,Total,65 to 74 years,Not a visible minority,35,73.6
2016,Ontario,Total,65 to 74 years,Indigenous identity,35,55.1
2016,Ontario,Total,65 to 74 years,First Nations (North American Indian),35,51.8
2016,Ontario,Total,65 to 74 years,Métis,35,58.7
2016,Ontario,Total,65 to 74 years,Inuk (Inuit),35,74.1
2016,Ontario,Total,65 to 74 years,Non-Indigenous identity,35,74.0
2016,Ontario,Total,75 years and over,Total,35,56.1
2016,Ontario,Total,75 years and over,Non immigrants,35,57.9
2016,Ontario,Total,75 years and over,Immigrants,35,54.0
2016,Ontario,Total,75 years and over,Non-permanent residents,35,50.8
2016,Ontario,Total,75 years and over,Total visible minority population,35,58.8
2016,Ontario,Total,75 years and over,Not a visible minority,35,55.5
2016,Ontario,Total,75 years and over,Indigenous identity,35,35.7
2016,Ontario,Total,75 years and over,First Nations (North American Indian),35,32.4
2016,Ontario,Total,75 years and over,Métis,35,38.4
2016,Ontario,Total,75 years and over,Inuk (Inuit),35,40.0
2016,Ontario,Total,75 years and over,Non-Indigenous identity,35,56.3
2016,Ontario,Males,Total,Total,35,79.5
2016,Ontario,Males,Total,Non immigrants,35,78.6
2016,Ontario,Males,Total,Immigrants,35,81.0
2016,Ontario,Males,Total,Non-permanent residents,35,87.9
2016,Ontario,Males,Total,Total visible minority population,35,82.8
2016,Ontario,Males,Total,Not a visible minority,35,78.3
2016,Ontario,Males,Total,Indigenous identity,35,63.5
2016,Ontario,Males,Total,First Nations (North American Indian),35,58.7
2016,Ontario,Males,Total,Métis,35,71.1
2016,Ontario,Males,Total,Inuk (Inuit),35,65.6
2016,Ontario,Males,Total,Non-Indigenous identity,35,80.0
2016,Ontario,Males,15 to 24 years,Total,35,65.2
2016,Ontario,Males,15 to 24 years,Non immigrants,35,63.1
2016,Ontario,Males,15 to 24 years,Immigrants,35,70.6
2016,Ontario,Males,15 to 24 years,Non-permanent residents,35,85.1
2016,Ontario,Males,15 to 24 years,Total visible minority population,35,69.1
2016,Ontario,Males,15 to 24 years,Not a visible minority,35,63.0
2016,Ontario,Males,15 to 24 years,Indigenous identity,35,48.8
2016,Ontario,Males,15 to 24 years,First Nations (North American Indian),35,44.3
2016,Ontario,Males,15 to 24 years,Métis,35,57.5
2016,Ontario,Males,15 to 24 years,Inuk (Inuit),35,46.6
2016,Ontario,Males,15 to 24 years,Non-Indigenous identity,35,65.8
2016,Ontario,Males,25 to 64 years,Total,35,86.4
2016,Ontario,Males,25 to 64 years,Non immigrants,35,86.2
2016,Ontario,Males,25 to 64 years,Immigrants,35,86.8
2016,Ontario,Males,25 to 64 years,Non-permanent residents,35,90.3
2016,Ontario,Males,25 to 64 years,Total visible minority population,35,88.4
2016,Ontario,Males,25 to 64 years,Not a visible minority,35,85.7
2016,Ontario,Males,25 to 64 years,Indigenous identity,35,71.1
2016,Ontario,Males,25 to 64 years,First Nations (North American Indian),35,66.1
2016,Ontario,Males,25 to 64 years,Métis,35,79.1
2016,Ontario,Males,25 to 64 years,Inuk (Inuit),35,72.3
2016,Ontario,Males,25 to 64 years,Non-Indigenous identity,35,86.8
2016,Ontario,Males,65 to 74 years,Total,35,74.2
2016,Ontario,Males,65 to 74 years,Non immigrants,35,73.2
2016,Ontario,Males,65 to 74 years,Immigrants,35,75.7
2016,Ontario,Males,65 to 74 years,Non-permanent residents,35,71.4
2016,Ontario,Males,65 to 74 years,Total visible minority population,35,79.3
2016,Ontario,Males,65 to 74 years,Not a visible minority,35,73.1
2016,Ontario,Males,65 to 74 years,Indigenous identity,35,52.5
2016,Ontario,Males,65 to 74 years,First Nations (North American Indian),35,48.8
2016,Ontario,Males,65 to 74 years,Métis,35,56.4
2016,Ontario,Males,65 to 74 years,Inuk (Inuit),35,92.9
2016,Ontario,Males,65 to 74 years,Non-Indigenous identity,35,74.6
2016,Ontario,Males,75 years and over,Total,35,57.3
2016,Ontario,Males,75 years and over,Non immigrants,35,55.5
2016,Ontario,Males,75 years and over,Immigrants,35,59.2
2016,Ontario,Males,75 years and over,Non-permanent residents,35,59.1
2016,Ontario,Males,75 years and over,Total visible minority population,35,68.7
2016,Ontario,Males,75 years and over,Not a visible minority,35,55.0
2016,Ontario,Males,75 years and over,Indigenous identity,35,34.5
2016,Ontario,Males,75 years and over,First Nations (North American Indian),35,31.6
2016,Ontario,Males,75 years and over,Métis,35,35.6
2016,Ontario,Males,75 years and over,Inuk (Inuit),35,0.0
2016,Ontario,Males,75 years and over,Non-Indigenous identity,35,57.5
2016,Ontario,Females,Total,Total,35,81.5
2016,Ontario,Females,Total,Non immigrants,35,82.4
2016,Ontario,Females,Total,Immigrants,35,79.5
2016,Ontario,Females,Total,Non-permanent residents,35,88.4
2016,Ontario,Females,Total,Total visible minority population,35,82.0
2016,Ontario,Females,Total,Not a visible minority,35,81.2
2016,Ontario,Females,Total,Indigenous identity,35,70.1
2016,Ontario,Females,Total,First Nations (North American Indian),35,66.0
2016,Ontario,Females,Total,Métis,35,77.5
2016,Ontario,Females,Total,Inuk (Inuit),35,66.4
2016,Ontario,Females,Total,Non-Indigenous identity,35,81.8
2016,Ontario,Females,15 to 24 years,Total,35,67.8
2016,Ontario,Females,15 to 24 years,Non immigrants,35,66.1
2016,Ontario,Females,15 to 24 years,Immigrants,35,72.4
2016,Ontario,Females,15 to 24 years,Non-permanent residents,35,86.0
2016,Ontario,Females,15 to 24 years,Total visible minority population,35,70.9
2016,Ontario,Females,15 to 24 years,Not a visible minority,35,66.1
2016,Ontario,Females,15 to 24 years,Indigenous identity,35,54.2
2016,Ontario,Females,15 to 24 years,First Nations (North American Indian),35,49.9
2016,Ontario,Females,15 to 24 years,Métis,35,62.7
2016,Ontario,Females,15 to 24 years,Inuk (Inuit),35,56.1
2016,Ontario,Females,15 to 24 years,Non-Indigenous identity,35,68.4
2016,Ontario,Females,25 to 64 years,Total,35,89.4
2016,Ontario,Females,25 to 64 years,Non immigrants,35,90.5
2016,Ontario,Females,25 to 64 years,Immigrants,35,87.2
2016,Ontario,Females,25 to 64 years,Non-permanent residents,35,91.3
2016,Ontario,Females,25 to 64 years,Total visible minority population,35,88.3
2016,Ontario,Females,25 to 64 years,Not a visible minority,35,89.8
2016,Ontario,Females,25 to 64 years,Indigenous identity,35,78.0
2016,Ontario,Females,25 to 64 years,First Nations (North American Indian),35,74.0
2016,Ontario,Females,25 to 64 years,Métis,35,85.1
2016,Ontario,Females,25 to 64 years,Inuk (Inuit),35,71.1
2016,Ontario,Females,25 to 64 years,Non-Indigenous identity,35,89.7
2016,Ontario,Females,65 to 74 years,Total,35,73.3
2016,Ontario,Females,65 to 74 years,Non immigrants,35,75.9
2016,Ontario,Females,65 to 74 years,Immigrants,35,69.9
2016,Ontario,Females,65 to 74 years,Non-permanent residents,35,61.4
2016,Ontario,Females,65 to 74 years,Total visible minority population,35,70.1
2016,Ontario,Females,65 to 74 years,Not a visible minority,35,74.0
2016,Ontario,Females,65 to 74 years,Indigenous identity,35,57.3
2016,Ontario,Females,65 to 74 years,First Nations (North American Indian),35,54.3
2016,Ontario,Females,65 to 74 years,Métis,35,60.8
2016,Ontario,Females,65 to 74 years,Inuk (Inuit),35,58.3
2016,Ontario,Females,65 to 74 years,Non-Indigenous identity,35,73.6
2016,Ontario,Females,75 years and over,Total,35,55.1
2016,Ontario,Females,75 years and over,Non immigrants,35,59.7
2016,Ontario,Females,75 years and over,Immigrants,35,49.8
2016,Ontario,Females,75 years and over,Non-permanent residents,35,46.5
2016,Ontario,Females,75 years and over,Total visible minority population,35,50.9
2016,Ontario,Females,75 years and over,Not a visible minority,35,55.9
2016,Ontario,Females,75 years and over,Indigenous identity,35,36.5
2016,Ontario,Females,75 years and over,First Nations (North American Indian),35,32.9
2016,Ontario,Females,75 years and over,Métis,35,41.0
2016,Ontario,Females,75 years and over,Inuk (Inuit),35,28.6
2016,Ontario,Females,75 years and over,Non-Indigenous identity,35,55.3
2016,Manitoba,Total,Total,Total,46,75.3
2016,Manitoba,Total,Total,Non immigrants,46,74.0
2016,Manitoba,Total,Total,Immigrants,46,79.1
2016,Manitoba,Total,Total,Non-permanent residents,46,90.6
2016,Manitoba,Total,Total,Total visible minority population,46,84.3
2016,Manitoba,Total,Total,Not a visible minority,46,73.5
2016,Manitoba,Total,Total,Indigenous identity,46,55.2
2016,Manitoba,Total,Total,First Nations (North American Indian),46,44.6
2016,Manitoba,Total,Total,Métis,46,68.1
2016,Manitoba,Total,Total,Inuk (Inuit),46,59.2
2016,Manitoba,Total,Total,Non-Indigenous identity,46,78.9
2016,Manitoba,Total,15 to 24 years,Total,46,59.3
2016,Manitoba,Total,15 to 24 years,Non immigrants,46,57.8
2016,Manitoba,Total,15 to 24 years,Immigrants,46,60.3
2016,Manitoba,Total,15 to 24 years,Non-permanent residents,46,87.7
2016,Manitoba,Total,15 to 24 years,Total visible minority population,46,67.8
2016,Manitoba,Total,15 to 24 years,Not a visible minority,46,57.0
2016,Manitoba,Total,15 to 24 years,Indigenous identity,46,39.4
2016,Manitoba,Total,15 to 24 years,First Nations (North American Indian),46,29.6
2016,Manitoba,Total,15 to 24 years,Métis,46,55.1
2016,Manitoba,Total,15 to 24 years,Inuk (Inuit),46,52.2
2016,Manitoba,Total,15 to 24 years,Non-Indigenous identity,46,65.6
2016,Manitoba,Total,25 to 64 years,Total,46,83.2
2016,Manitoba,Total,25 to 64 years,Non immigrants,46,82.0
2016,Manitoba,Total,25 to 64 years,Immigrants,46,86.6
2016,Manitoba,Total,25 to 64 years,Non-permanent residents,46,93.5
2016,Manitoba,Total,25 to 64 years,Total visible minority population,46,91.2
2016,Manitoba,Total,25 to 64 years,Not a visible minority,46,81.4
2016,Manitoba,Total,25 to 64 years,Indigenous identity,46,63.4
2016,Manitoba,Total,25 to 64 years,First Nations (North American Indian),46,52.8
2016,Manitoba,Total,25 to 64 years,Métis,46,75.6
2016,Manitoba,Total,25 to 64 years,Inuk (Inuit),46,63.3
2016,Manitoba,Total,25 to 64 years,Non-Indigenous identity,46,86.8
2016,Manitoba,Total,65 to 74 years,Total,46,67.8
2016,Manitoba,Total,65 to 74 years,Non immigrants,46,66.9
2016,Manitoba,Total,65 to 74 years,Immigrants,46,71.4
2016,Manitoba,Total,65 to 74 years,Non-permanent residents,46,43.8
2016,Manitoba,Total,65 to 74 years,Total visible minority population,46,73.9
2016,Manitoba,Total,65 to 74 years,Not a visible minority,46,67.2
2016,Manitoba,Total,65 to 74 years,Indigenous identity,46,44.8
2016,Manitoba,Total,65 to 74 years,First Nations (North American Indian),46,34.6
2016,Manitoba,Total,65 to 74 years,Métis,46,52.8
2016,Manitoba,Total,65 to 74 years,Inuk (Inuit),46,75.0
2016,Manitoba,Total,65 to 74 years,Non-Indigenous identity,46,69.9
2016,Manitoba,Total,75 years and over,Total,46,52.2
2016,Manitoba,Total,75 years and over,Non immigrants,46,51.9
2016,Manitoba,Total,75 years and over,Immigrants,46,52.9
2016,Manitoba,Total,75 years and over,Non-permanent residents,46,50.0
2016,Manitoba,Total,75 years and over,Total visible minority population,46,55.0
2016,Manitoba,Total,75 years and over,Not a visible minority,46,52.0
2016,Manitoba,Total,75 years and over,Indigenous identity,46,24.3
2016,Manitoba,Total,75 years and over,First Nations (North American Indian),46,16.8
2016,Manitoba,Total,75 years and over,Métis,46,29.3
2016,Manitoba,Total,75 years and over,Inuk (Inuit),46,0.0
2016,Manitoba,Total,75 years and over,Non-Indigenous identity,46,53.5
2016,Manitoba,Males,Total,Total,46,73.0
2016,Manitoba,Males,Total,Non immigrants,46,70.9
2016,Manitoba,Males,Total,Immigrants,46,79.4
2016,Manitoba,Males,Total,Non-permanent residents,46,91.1
2016,Manitoba,Males,Total,Total visible minority population,46,84.7
2016,Manitoba,Males,Total,Not a visible minority,46,70.6
2016,Manitoba,Males,Total,Indigenous identity,46,50.2
2016,Manitoba,Males,Total,First Nations (North American Indian),46,38.7
2016,Manitoba,Males,Total,Métis,46,63.9
2016,Manitoba,Males,Total,Inuk (Inuit),46,51.4
2016,Manitoba,Males,Total,Non-Indigenous identity,46,77.0
2016,Manitoba,Males,15 to 24 years,Total,46,57.9
2016,Manitoba,Males,15 to 24 years,Non immigrants,46,56.0
2016,Manitoba,Males,15 to 24 years,Immigrants,46,59.0
2016,Manitoba,Males,15 to 24 years,Non-permanent residents,46,88.5
2016,Manitoba,Males,15 to 24 years,Total visible minority population,46,67.6
2016,Manitoba,Males,15 to 24 years,Not a visible minority,46,55.2
2016,Manitoba,Males,15 to 24 years,Indigenous identity,46,36.9
2016,Manitoba,Males,15 to 24 years,First Nations (North American Indian),46,27.3
2016,Manitoba,Males,15 to 24 years,Métis,46,52.1
2016,Manitoba,Males,15 to 24 years,Inuk (Inuit),46,33.3
2016,Manitoba,Males,15 to 24 years,Non-Indigenous identity,46,64.4
2016,Manitoba,Males,25 to 64 years,Total,46,80.1
2016,Manitoba,Males,25 to 64 years,Non immigrants,46,78.2
2016,Manitoba,Males,25 to 64 years,Immigrants,46,86.2
2016,Manitoba,Males,25 to 64 years,Non-permanent residents,46,93.7
2016,Manitoba,Males,25 to 64 years,Total visible minority population,46,91.3
2016,Manitoba,Males,25 to 64 years,Not a visible minority,46,77.7
2016,Manitoba,Males,25 to 64 years,Indigenous identity,46,57.4
2016,Manitoba,Males,25 to 64 years,First Nations (North American Indian),46,45.3
2016,Manitoba,Males,25 to 64 years,Métis,46,70.7
2016,Manitoba,Males,25 to 64 years,Inuk (Inuit),46,61.9
2016,Manitoba,Males,25 to 64 years,Non-Indigenous identity,46,84.0
2016,Manitoba,Males,65 to 74 years,Total,46,66.3
2016,Manitoba,Males,65 to 74 years,Non immigrants,46,64.4
2016,Manitoba,Males,65 to 74 years,Immigrants,46,73.8
2016,Manitoba,Males,65 to 74 years,Non-permanent residents,46,50.0
2016,Manitoba,Males,65 to 74 years,Total visible minority population,46,79.2
2016,Manitoba,Males,65 to 74 years,Not a visible minority,46,65.1
2016,Manitoba,Males,65 to 74 years,Indigenous identity,46,42.2
2016,Manitoba,Males,65 to 74 years,First Nations (North American Indian),46,32.1
2016,Manitoba,Males,65 to 74 years,Métis,46,50.2
2016,Manitoba,Males,65 to 74 years,Inuk (Inuit),46,66.7
2016,Manitoba,Males,65 to 74 years,Non-Indigenous identity,46,68.4
2016,Manitoba,Males,75 years and over,Total,46,51.5
2016,Manitoba,Males,75 years and over,Non immigrants,46,49.2
2016,Manitoba,Males,75 years and over,Immigrants,46,59.5
2016,Manitoba,Males,75 years and over,Non-permanent residents,46,60.0
2016,Manitoba,Males,75 years and over,Total visible minority population,46,66.8
2016,Manitoba,Males,75 years and over,Not a visible minority,46,50.5
2016,Manitoba,Males,75 years and over,Indigenous identity,46,22.9
2016,Manitoba,Males,75 years and over,First Nations (North American Indian),46,13.3
2016,Manitoba,Males,75 years and over,Métis,46,28.0
2016,Manitoba,Males,75 years and over,Inuk (Inuit),46,0.0
2016,Manitoba,Males,75 years and over,Non-Indigenous identity,46,52.8
2016,Manitoba,Females,Total,Total,46,77.5
2016,Manitoba,Females,Total,Non immigrants,46,77.0
2016,Manitoba,Females,Total,Immigrants,46,78.8
2016,Manitoba,Females,Total,Non-permanent residents,46,89.9
2016,Manitoba,Females,Total,Total visible minority population,46,83.9
2016,Manitoba,Females,Total,Not a visible minority,46,76.2
2016,Manitoba,Females,Total,Indigenous identity,46,59.6
2016,Manitoba,Females,Total,First Nations (North American Indian),46,49.8
2016,Manitoba,Females,Total,Métis,46,72.1
2016,Manitoba,Females,Total,Inuk (Inuit),46,65.9
2016,Manitoba,Females,Total,Non-Indigenous identity,46,80.9
2016,Manitoba,Females,15 to 24 years,Total,46,60.7
2016,Manitoba,Females,15 to 24 years,Non immigrants,46,59.6
2016,Manitoba,Females,15 to 24 years,Immigrants,46,61.8
2016,Manitoba,Females,15 to 24 years,Non-permanent residents,46,86.2
2016,Manitoba,Females,15 to 24 years,Total visible minority population,46,68.1
2016,Manitoba,Females,15 to 24 years,Not a visible minority,46,58.8
2016,Manitoba,Females,15 to 24 years,Indigenous identity,46,42.0
2016,Manitoba,Females,15 to 24 years,First Nations (North American Indian),46,31.9
2016,Manitoba,Females,15 to 24 years,Métis,46,58.0
2016,Manitoba,Females,15 to 24 years,Inuk (Inuit),46,72.7
2016,Manitoba,Females,15 to 24 years,Non-Indigenous identity,46,66.9
2016,Manitoba,Females,25 to 64 years,Total,46,86.1
2016,Manitoba,Females,25 to 64 years,Non immigrants,46,85.8
2016,Manitoba,Females,25 to 64 years,Immigrants,46,87.0
2016,Manitoba,Females,25 to 64 years,Non-permanent residents,46,93.4
2016,Manitoba,Females,25 to 64 years,Total visible minority population,46,91.1
2016,Manitoba,Females,25 to 64 years,Not a visible minority,46,85.0
2016,Manitoba,Females,25 to 64 years,Indigenous identity,46,68.6
2016,Manitoba,Females,25 to 64 years,First Nations (North American Indian),46,59.2
2016,Manitoba,Females,25 to 64 years,Métis,46,80.2
2016,Manitoba,Females,25 to 64 years,Inuk (Inuit),46,65.5
2016,Manitoba,Females,25 to 64 years,Non-Indigenous identity,46,89.5
2016,Manitoba,Females,65 to 74 years,Total,46,69.2
2016,Manitoba,Females,65 to 74 years,Non immigrants,46,69.3
2016,Manitoba,Females,65 to 74 years,Immigrants,46,69.1
2016,Manitoba,Females,65 to 74 years,Non-permanent residents,46,37.5
2016,Manitoba,Females,65 to 74 years,Total visible minority population,46,69.4
2016,Manitoba,Females,65 to 74 years,Not a visible minority,46,69.2
2016,Manitoba,Females,65 to 74 years,Indigenous identity,46,46.9
2016,Manitoba,Females,65 to 74 years,First Nations (North American Indian),46,36.8
2016,Manitoba,Females,65 to 74 years,Métis,46,55.6
2016,Manitoba,Females,65 to 74 years,Inuk (Inuit),46,100.0
2016,Manitoba,Females,65 to 74 years,Non-Indigenous identity,46,71.3
2016,Manitoba,Females,75 years and over,Total,46,52.7
2016,Manitoba,Females,75 years and over,Non immigrants,46,54.0
2016,Manitoba,Females,75 years and over,Immigrants,46,47.9
2016,Manitoba,Females,75 years and over,Non-permanent residents,46,45.5
2016,Manitoba,Females,75 years and over,Total visible minority population,46,46.1
2016,Manitoba,Females,75 years and over,Not a visible minority,46,53.1
2016,Manitoba,Females,75 years and over,Indigenous identity,46,25.3
2016,Manitoba,Females,75 years and over,First Nations (North American Indian),46,18.4
2016,Manitoba,Females,75 years and over,Métis,46,30.6
2016,Manitoba,Females,75 years and over,Inuk (Inuit),46,0.0
2016,Manitoba,Females,75 years and over,Non-Indigenous identity,46,54.1
2016,Saskatchewan,Total,Total,Total,47,76.7
2016,Saskatchewan,Total,Total,Non immigrants,47,75.6
2016,Saskatchewan,Total,Total,Immigrants,47,83.5
2016,Saskatchewan,Total,Total,Non-permanent residents,47,92.1
2016,Saskatchewan,Total,Total,Total visible minority population,47,85.0
2016,Saskatchewan,Total,Total,Not a visible minority,47,75.8
2016,Saskatchewan,Total,Total,Indigenous identity,47,57.2
2016,Saskatchewan,Total,Total,First Nations (North American Indian),47,50.2
2016,Saskatchewan,Total,Total,Métis,47,69.0
2016,Saskatchewan,Total,Total,Inuk (Inuit),47,67.3
2016,Saskatchewan,Total,Total,Non-Indigenous identity,47,79.8
2016,Saskatchewan,Total,15 to 24 years,Total,47,58.4
2016,Saskatchewan,Total,15 to 24 years,Non immigrants,47,57.7
2016,Saskatchewan,Total,15 to 24 years,Immigrants,47,59.3
2016,Saskatchewan,Total,15 to 24 years,Non-permanent residents,47,83.1
2016,Saskatchewan,Total,15 to 24 years,Total visible minority population,47,64.2
2016,Saskatchewan,Total,15 to 24 years,Not a visible minority,47,57.5
2016,Saskatchewan,Total,15 to 24 years,Indigenous identity,47,40.7
2016,Saskatchewan,Total,15 to 24 years,First Nations (North American Indian),47,35.1
2016,Saskatchewan,Total,15 to 24 years,Métis,47,52.8
2016,Saskatchewan,Total,15 to 24 years,Inuk (Inuit),47,66.7
2016,Saskatchewan,Total,15 to 24 years,Non-Indigenous identity,47,63.8
2016,Saskatchewan,Total,25 to 64 years,Total,47,85.5
2016,Saskatchewan,Total,25 to 64 years,Non immigrants,47,84.6
2016,Saskatchewan,Total,25 to 64 years,Immigrants,47,90.3
2016,Saskatchewan,Total,25 to 64 years,Non-permanent residents,47,96.0
2016,Saskatchewan,Total,25 to 64 years,Total visible minority population,47,91.5
2016,Saskatchewan,Total,25 to 64 years,Not a visible minority,47,84.7
2016,Saskatchewan,Total,25 to 64 years,Indigenous identity,47,66.0
2016,Saskatchewan,Total,25 to 64 years,First Nations (North American Indian),47,58.7
2016,Saskatchewan,Total,25 to 64 years,Métis,47,77.5
2016,Saskatchewan,Total,25 to 64 years,Inuk (Inuit),47,67.6
2016,Saskatchewan,Total,25 to 64 years,Non-Indigenous identity,47,88.5
2016,Saskatchewan,Total,65 to 74 years,Total,47,69.5
2016,Saskatchewan,Total,65 to 74 years,Non immigrants,47,68.6
2016,Saskatchewan,Total,65 to 74 years,Immigrants,47,79.0
2016,Saskatchewan,Total,65 to 74 years,Non-permanent residents,47,70.6
2016,Saskatchewan,Total,65 to 74 years,Total visible minority population,47,72.3
2016,Saskatchewan,Total,65 to 74 years,Not a visible minority,47,69.3
2016,Saskatchewan,Total,65 to 74 years,Indigenous identity,47,46.3
2016,Saskatchewan,Total,65 to 74 years,First Nations (North American Indian),47,39.2
2016,Saskatchewan,Total,65 to 74 years,Métis,47,54.1
2016,Saskatchewan,Total,65 to 74 years,Inuk (Inuit),47,100.0
2016,Saskatchewan,Total,65 to 74 years,Non-Indigenous identity,47,71.1
2016,Saskatchewan,Total,75 years and over,Total,47,49.0
2016,Saskatchewan,Total,75 years and over,Non immigrants,47,48.0
2016,Saskatchewan,Total,75 years and over,Immigrants,47,59.2
2016,Saskatchewan,Total,75 years and over,Non-permanent residents,47,41.7
2016,Saskatchewan,Total,75 years and over,Total visible minority population,47,60.1
2016,Saskatchewan,Total,75 years and over,Not a visible minority,47,48.7
2016,Saskatchewan,Total,75 years and over,Indigenous identity,47,25.7
2016,Saskatchewan,Total,75 years and over,First Nations (North American Indian),47,19.3
2016,Saskatchewan,Total,75 years and over,Métis,47,31.5
2016,Saskatchewan,Total,75 years and over,Inuk (Inuit),47,100.0
2016,Saskatchewan,Total,75 years and over,Non-Indigenous identity,47,49.9
2016,Saskatchewan,Males,Total,Total,47,73.6
2016,Saskatchewan,Males,Total,Non immigrants,47,72.0
2016,Saskatchewan,Males,Total,Immigrants,47,83.5
2016,Saskatchewan,Males,Total,Non-permanent residents,47,92.6
2016,Saskatchewan,Males,Total,Total visible minority population,47,85.5
2016,Saskatchewan,Males,Total,Not a visible minority,47,72.3
2016,Saskatchewan,Males,Total,Indigenous identity,47,51.0
2016,Saskatchewan,Males,Total,First Nations (North American Indian),47,43.1
2016,Saskatchewan,Males,Total,Métis,47,63.6
2016,Saskatchewan,Males,Total,Inuk (Inuit),47,80.0
2016,Saskatchewan,Males,Total,Non-Indigenous identity,47,77.1
2016,Saskatchewan,Males,15 to 24 years,Total,47,56.9
2016,Saskatchewan,Males,15 to 24 years,Non immigrants,47,55.9
2016,Saskatchewan,Males,15 to 24 years,Immigrants,47,58.6
2016,Saskatchewan,Males,15 to 24 years,Non-permanent residents,47,85.2
2016,Saskatchewan,Males,15 to 24 years,Total visible minority population,47,64.5
2016,Saskatchewan,Males,15 to 24 years,Not a visible minority,47,55.8
2016,Saskatchewan,Males,15 to 24 years,Indigenous identity,47,37.0
2016,Saskatchewan,Males,15 to 24 years,First Nations (North American Indian),47,31.5
2016,Saskatchewan,Males,15 to 24 years,Métis,47,48.3
