Year,data.Geography,data.Sex,data.Age group,Value
2018,data.Prince Edward Island,data.Females,data.45 years and over,
2019,data.Prince Edward Island,data.Females,data.45 years and over,
2020,data.Prince Edward Island,data.Females,data.45 years and over,
2015,data.Prince Edward Island,data.Females,data.25 to 54 years,
2016,data.Prince Edward Island,data.Females,data.25 to 54 years,
2017,data.Prince Edward Island,data.Females,data.25 to 54 years,
2018,data.Prince Edward Island,data.Females,data.25 to 54 years,
2019,data.Prince Edward Island,data.Females,data.25 to 54 years,
2020,data.Prince Edward Island,data.Females,data.25 to 54 years,
2015,data.Prince Edward Island,data.Females,data.55 years and over,
2016,data.Prince Edward Island,data.Females,data.55 years and over,
2017,data.Prince Edward Island,data.Females,data.55 years and over,
2018,data.Prince Edward Island,data.Females,data.55 years and over,
2019,data.Prince Edward Island,data.Females,data.55 years and over,
2020,data.Prince Edward Island,data.Females,data.55 years and over,
2015,data.Prince Edward Island,data.Females,data.55 to 64 years,
2016,data.Prince Edward Island,data.Females,data.55 to 64 years,
2017,data.Prince Edward Island,data.Females,data.55 to 64 years,
2018,data.Prince Edward Island,data.Females,data.55 to 64 years,
2019,data.Prince Edward Island,data.Females,data.55 to 64 years,
2020,data.Prince Edward Island,data.Females,data.55 to 64 years,
2015,data.Prince Edward Island,data.Females,data.65 years and over,
2016,data.Prince Edward Island,data.Females,data.65 years and over,
2017,data.Prince Edward Island,data.Females,data.65 years and over,
2018,data.Prince Edward Island,data.Females,data.65 years and over,
2019,data.Prince Edward Island,data.Females,data.65 years and over,
2020,data.Prince Edward Island,data.Females,data.65 years and over,
2015,data.Nova Scotia,data.Both sexes,data.15 years and over,30.53
2016,data.Nova Scotia,data.Both sexes,data.15 years and over,27.73
2017,data.Nova Scotia,data.Both sexes,data.15 years and over,26.04
2018,data.Nova Scotia,data.Both sexes,data.15 years and over,25.06
2019,data.Nova Scotia,data.Both sexes,data.15 years and over,22.14
2020,data.Nova Scotia,data.Both sexes,data.15 years and over,25.63
2015,data.Nova Scotia,data.Both sexes,data.15 to 24 years,23.16
2016,data.Nova Scotia,data.Both sexes,data.15 to 24 years,25.19
2017,data.Nova Scotia,data.Both sexes,data.15 to 24 years,20.28
2018,data.Nova Scotia,data.Both sexes,data.15 to 24 years,21.9
2019,data.Nova Scotia,data.Both sexes,data.15 to 24 years,15.77
2020,data.Nova Scotia,data.Both sexes,data.15 to 24 years,21.4
2015,data.Nova Scotia,data.Both sexes,data.25 years and over,34.44
2016,data.Nova Scotia,data.Both sexes,data.25 years and over,28.99
2017,data.Nova Scotia,data.Both sexes,data.25 years and over,28.7
2018,data.Nova Scotia,data.Both sexes,data.25 years and over,26.7
2019,data.Nova Scotia,data.Both sexes,data.25 years and over,25.83
2020,data.Nova Scotia,data.Both sexes,data.25 years and over,27.81
2015,data.Nova Scotia,data.Both sexes,data.25 to 44 years,40.43
2016,data.Nova Scotia,data.Both sexes,data.25 to 44 years,34.91
2017,data.Nova Scotia,data.Both sexes,data.25 to 44 years,34.78
2018,data.Nova Scotia,data.Both sexes,data.25 to 44 years,32.29
2019,data.Nova Scotia,data.Both sexes,data.25 to 44 years,33.0
2020,data.Nova Scotia,data.Both sexes,data.25 to 44 years,31.16
2015,data.Nova Scotia,data.Both sexes,data.45 years and over,31.29
2016,data.Nova Scotia,data.Both sexes,data.45 years and over,25.23
2017,data.Nova Scotia,data.Both sexes,data.45 years and over,24.86
2018,data.Nova Scotia,data.Both sexes,data.45 years and over,23.51
2019,data.Nova Scotia,data.Both sexes,data.45 years and over,21.83
2020,data.Nova Scotia,data.Both sexes,data.45 years and over,25.48
2015,data.Nova Scotia,data.Both sexes,data.25 to 54 years,41.18
2016,data.Nova Scotia,data.Both sexes,data.25 to 54 years,36.01
2017,data.Nova Scotia,data.Both sexes,data.25 to 54 years,36.83
2018,data.Nova Scotia,data.Both sexes,data.25 to 54 years,33.89
2019,data.Nova Scotia,data.Both sexes,data.25 to 54 years,33.66
2020,data.Nova Scotia,data.Both sexes,data.25 to 54 years,32.57
2015,data.Nova Scotia,data.Both sexes,data.55 years and over,
2016,data.Nova Scotia,data.Both sexes,data.55 years and over,
2017,data.Nova Scotia,data.Both sexes,data.55 years and over,
2018,data.Nova Scotia,data.Both sexes,data.55 years and over,
2019,data.Nova Scotia,data.Both sexes,data.55 years and over,
2020,data.Nova Scotia,data.Both sexes,data.55 years and over,
2015,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2016,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2017,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2018,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2019,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2020,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2015,data.Nova Scotia,data.Both sexes,data.65 years and over,
2016,data.Nova Scotia,data.Both sexes,data.65 years and over,
2017,data.Nova Scotia,data.Both sexes,data.65 years and over,
2018,data.Nova Scotia,data.Both sexes,data.65 years and over,
2019,data.Nova Scotia,data.Both sexes,data.65 years and over,
2020,data.Nova Scotia,data.Both sexes,data.65 years and over,
2015,data.Nova Scotia,data.Males,data.15 years and over,31.44
2016,data.Nova Scotia,data.Males,data.15 years and over,30.69
2017,data.Nova Scotia,data.Males,data.15 years and over,27.97
2018,data.Nova Scotia,data.Males,data.15 years and over,25.0
2019,data.Nova Scotia,data.Males,data.15 years and over,21.8
2020,data.Nova Scotia,data.Males,data.15 years and over,27.11
2015,data.Nova Scotia,data.Males,data.15 to 24 years,
2016,data.Nova Scotia,data.Males,data.15 to 24 years,
2017,data.Nova Scotia,data.Males,data.15 to 24 years,
2018,data.Nova Scotia,data.Males,data.15 to 24 years,
2019,data.Nova Scotia,data.Males,data.15 to 24 years,
2020,data.Nova Scotia,data.Males,data.15 to 24 years,
2015,data.Nova Scotia,data.Males,data.25 years and over,
2016,data.Nova Scotia,data.Males,data.25 years and over,34.19
2017,data.Nova Scotia,data.Males,data.25 years and over,30.0
2018,data.Nova Scotia,data.Males,data.25 years and over,
2019,data.Nova Scotia,data.Males,data.25 years and over,
2020,data.Nova Scotia,data.Males,data.25 years and over,29.07
2015,data.Nova Scotia,data.Males,data.25 to 44 years,
2016,data.Nova Scotia,data.Males,data.25 to 44 years,
2017,data.Nova Scotia,data.Males,data.25 to 44 years,
2018,data.Nova Scotia,data.Males,data.25 to 44 years,
2019,data.Nova Scotia,data.Males,data.25 to 44 years,
2020,data.Nova Scotia,data.Males,data.25 to 44 years,
2015,data.Nova Scotia,data.Males,data.45 years and over,
2016,data.Nova Scotia,data.Males,data.45 years and over,
2017,data.Nova Scotia,data.Males,data.45 years and over,
2018,data.Nova Scotia,data.Males,data.45 years and over,
2019,data.Nova Scotia,data.Males,data.45 years and over,
2020,data.Nova Scotia,data.Males,data.45 years and over,
2015,data.Nova Scotia,data.Males,data.25 to 54 years,
2016,data.Nova Scotia,data.Males,data.25 to 54 years,
2017,data.Nova Scotia,data.Males,data.25 to 54 years,
2018,data.Nova Scotia,data.Males,data.25 to 54 years,
2019,data.Nova Scotia,data.Males,data.25 to 54 years,
2020,data.Nova Scotia,data.Males,data.25 to 54 years,
2015,data.Nova Scotia,data.Males,data.55 years and over,
2016,data.Nova Scotia,data.Males,data.55 years and over,
2017,data.Nova Scotia,data.Males,data.55 years and over,
2018,data.Nova Scotia,data.Males,data.55 years and over,
2019,data.Nova Scotia,data.Males,data.55 years and over,
2020,data.Nova Scotia,data.Males,data.55 years and over,
2015,data.Nova Scotia,data.Males,data.55 to 64 years,
2016,data.Nova Scotia,data.Males,data.55 to 64 years,
2017,data.Nova Scotia,data.Males,data.55 to 64 years,
2018,data.Nova Scotia,data.Males,data.55 to 64 years,
2019,data.Nova Scotia,data.Males,data.55 to 64 years,
2020,data.Nova Scotia,data.Males,data.55 to 64 years,
2015,data.Nova Scotia,data.Males,data.65 years and over,
2016,data.Nova Scotia,data.Males,data.65 years and over,
2017,data.Nova Scotia,data.Males,data.65 years and over,
2018,data.Nova Scotia,data.Males,data.65 years and over,
2019,data.Nova Scotia,data.Males,data.65 years and over,
2020,data.Nova Scotia,data.Males,data.65 years and over,
2015,data.Nova Scotia,data.Females,data.15 years and over,30.27
2016,data.Nova Scotia,data.Females,data.15 years and over,26.58
2017,data.Nova Scotia,data.Females,data.15 years and over,24.86
2018,data.Nova Scotia,data.Females,data.15 years and over,24.9
2019,data.Nova Scotia,data.Females,data.15 years and over,22.32
2020,data.Nova Scotia,data.Females,data.15 years and over,24.76
2015,data.Nova Scotia,data.Females,data.15 to 24 years,
2016,data.Nova Scotia,data.Females,data.15 to 24 years,
2017,data.Nova Scotia,data.Females,data.15 to 24 years,
2018,data.Nova Scotia,data.Females,data.15 to 24 years,20.13
2019,data.Nova Scotia,data.Females,data.15 to 24 years,17.03
2020,data.Nova Scotia,data.Females,data.15 to 24 years,
2015,data.Nova Scotia,data.Females,data.25 years and over,34.54
2016,data.Nova Scotia,data.Females,data.25 years and over,27.44
2017,data.Nova Scotia,data.Females,data.25 years and over,28.13
2018,data.Nova Scotia,data.Females,data.25 years and over,27.0
2019,data.Nova Scotia,data.Females,data.25 years and over,25.06
2020,data.Nova Scotia,data.Females,data.25 years and over,26.99
2015,data.Nova Scotia,data.Females,data.25 to 44 years,
2016,data.Nova Scotia,data.Females,data.25 to 44 years,31.71
2017,data.Nova Scotia,data.Females,data.25 to 44 years,33.56
2018,data.Nova Scotia,data.Females,data.25 to 44 years,
2019,data.Nova Scotia,data.Females,data.25 to 44 years,30.32
2020,data.Nova Scotia,data.Females,data.25 to 44 years,
2015,data.Nova Scotia,data.Females,data.45 years and over,32.24
2016,data.Nova Scotia,data.Females,data.45 years and over,24.34
2017,data.Nova Scotia,data.Females,data.45 years and over,25.21
2018,data.Nova Scotia,data.Females,data.45 years and over,23.87
2019,data.Nova Scotia,data.Females,data.45 years and over,
2020,data.Nova Scotia,data.Females,data.45 years and over,
2015,data.Nova Scotia,data.Females,data.25 to 54 years,38.7
2016,data.Nova Scotia,data.Females,data.25 to 54 years,31.92
2017,data.Nova Scotia,data.Females,data.25 to 54 years,34.62
2018,data.Nova Scotia,data.Females,data.25 to 54 years,31.72
2019,data.Nova Scotia,data.Females,data.25 to 54 years,30.77
2020,data.Nova Scotia,data.Females,data.25 to 54 years,31.02
2015,data.Nova Scotia,data.Females,data.55 years and over,
2016,data.Nova Scotia,data.Females,data.55 years and over,
2017,data.Nova Scotia,data.Females,data.55 years and over,
2018,data.Nova Scotia,data.Females,data.55 years and over,
2019,data.Nova Scotia,data.Females,data.55 years and over,
2020,data.Nova Scotia,data.Females,data.55 years and over,
2015,data.Nova Scotia,data.Females,data.55 to 64 years,
2016,data.Nova Scotia,data.Females,data.55 to 64 years,
2017,data.Nova Scotia,data.Females,data.55 to 64 years,
2018,data.Nova Scotia,data.Females,data.55 to 64 years,
2019,data.Nova Scotia,data.Females,data.55 to 64 years,
2020,data.Nova Scotia,data.Females,data.55 to 64 years,
2015,data.Nova Scotia,data.Females,data.65 years and over,
2016,data.Nova Scotia,data.Females,data.65 years and over,
2017,data.Nova Scotia,data.Females,data.65 years and over,
2018,data.Nova Scotia,data.Females,data.65 years and over,
2019,data.Nova Scotia,data.Females,data.65 years and over,
2020,data.Nova Scotia,data.Females,data.65 years and over,
2015,data.New Brunswick,data.Both sexes,data.15 years and over,30.22
2016,data.New Brunswick,data.Both sexes,data.15 years and over,26.32
2017,data.New Brunswick,data.Both sexes,data.15 years and over,24.61
2018,data.New Brunswick,data.Both sexes,data.15 years and over,23.17
2019,data.New Brunswick,data.Both sexes,data.15 years and over,22.69
2020,data.New Brunswick,data.Both sexes,data.15 years and over,25.53
2015,data.New Brunswick,data.Both sexes,data.15 to 24 years,20.88
2016,data.New Brunswick,data.Both sexes,data.15 to 24 years,19.89
2017,data.New Brunswick,data.Both sexes,data.15 to 24 years,
2018,data.New Brunswick,data.Both sexes,data.15 to 24 years,20.88
2019,data.New Brunswick,data.Both sexes,data.15 to 24 years,20.99
2020,data.New Brunswick,data.Both sexes,data.15 to 24 years,
2015,data.New Brunswick,data.Both sexes,data.25 years and over,35.03
2016,data.New Brunswick,data.Both sexes,data.25 years and over,29.86
2017,data.New Brunswick,data.Both sexes,data.25 years and over,26.57
2018,data.New Brunswick,data.Both sexes,data.25 years and over,24.11
2019,data.New Brunswick,data.Both sexes,data.25 years and over,23.55
2020,data.New Brunswick,data.Both sexes,data.25 years and over,27.22
2015,data.New Brunswick,data.Both sexes,data.25 to 44 years,48.48
2016,data.New Brunswick,data.Both sexes,data.25 to 44 years,38.58
2017,data.New Brunswick,data.Both sexes,data.25 to 44 years,37.61
2018,data.New Brunswick,data.Both sexes,data.25 to 44 years,31.03
2019,data.New Brunswick,data.Both sexes,data.25 to 44 years,
2020,data.New Brunswick,data.Both sexes,data.25 to 44 years,
2015,data.New Brunswick,data.Both sexes,data.45 years and over,26.91
2016,data.New Brunswick,data.Both sexes,data.45 years and over,24.79
2017,data.New Brunswick,data.Both sexes,data.45 years and over,
2018,data.New Brunswick,data.Both sexes,data.45 years and over,20.45
2019,data.New Brunswick,data.Both sexes,data.45 years and over,19.83
2020,data.New Brunswick,data.Both sexes,data.45 years and over,23.01
2015,data.New Brunswick,data.Both sexes,data.25 to 54 years,45.32
2016,data.New Brunswick,data.Both sexes,data.25 to 54 years,37.14
2017,data.New Brunswick,data.Both sexes,data.25 to 54 years,37.64
2018,data.New Brunswick,data.Both sexes,data.25 to 54 years,31.43
2019,data.New Brunswick,data.Both sexes,data.25 to 54 years,32.26
2020,data.New Brunswick,data.Both sexes,data.25 to 54 years,34.44
2015,data.New Brunswick,data.Both sexes,data.55 years and over,
2016,data.New Brunswick,data.Both sexes,data.55 years and over,
2017,data.New Brunswick,data.Both sexes,data.55 years and over,
2018,data.New Brunswick,data.Both sexes,data.55 years and over,
2019,data.New Brunswick,data.Both sexes,data.55 years and over,
2020,data.New Brunswick,data.Both sexes,data.55 years and over,
2015,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2016,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2017,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2018,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2019,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2020,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2015,data.New Brunswick,data.Both sexes,data.65 years and over,
2016,data.New Brunswick,data.Both sexes,data.65 years and over,
2017,data.New Brunswick,data.Both sexes,data.65 years and over,
2018,data.New Brunswick,data.Both sexes,data.65 years and over,
2019,data.New Brunswick,data.Both sexes,data.65 years and over,
2020,data.New Brunswick,data.Both sexes,data.65 years and over,
2015,data.New Brunswick,data.Males,data.15 years and over,29.83
2016,data.New Brunswick,data.Males,data.15 years and over,28.57
2017,data.New Brunswick,data.Males,data.15 years and over,
2018,data.New Brunswick,data.Males,data.15 years and over,21.76
2019,data.New Brunswick,data.Males,data.15 years and over,24.08
2020,data.New Brunswick,data.Males,data.15 years and over,27.46
2015,data.New Brunswick,data.Males,data.15 to 24 years,
2016,data.New Brunswick,data.Males,data.15 to 24 years,
2017,data.New Brunswick,data.Males,data.15 to 24 years,
2018,data.New Brunswick,data.Males,data.15 to 24 years,
2019,data.New Brunswick,data.Males,data.15 to 24 years,
2020,data.New Brunswick,data.Males,data.15 to 24 years,
2015,data.New Brunswick,data.Males,data.25 years and over,34.58
2016,data.New Brunswick,data.Males,data.25 years and over,
2017,data.New Brunswick,data.Males,data.25 years and over,
2018,data.New Brunswick,data.Males,data.25 years and over,
2019,data.New Brunswick,data.Males,data.25 years and over,
2020,data.New Brunswick,data.Males,data.25 years and over,
2015,data.New Brunswick,data.Males,data.25 to 44 years,
2016,data.New Brunswick,data.Males,data.25 to 44 years,
2017,data.New Brunswick,data.Males,data.25 to 44 years,
2018,data.New Brunswick,data.Males,data.25 to 44 years,
2019,data.New Brunswick,data.Males,data.25 to 44 years,
2020,data.New Brunswick,data.Males,data.25 to 44 years,
2015,data.New Brunswick,data.Males,data.45 years and over,
2016,data.New Brunswick,data.Males,data.45 years and over,
2017,data.New Brunswick,data.Males,data.45 years and over,
2018,data.New Brunswick,data.Males,data.45 years and over,
2019,data.New Brunswick,data.Males,data.45 years and over,
2020,data.New Brunswick,data.Males,data.45 years and over,
2015,data.New Brunswick,data.Males,data.25 to 54 years,
2016,data.New Brunswick,data.Males,data.25 to 54 years,
2017,data.New Brunswick,data.Males,data.25 to 54 years,
2018,data.New Brunswick,data.Males,data.25 to 54 years,
2019,data.New Brunswick,data.Males,data.25 to 54 years,
2020,data.New Brunswick,data.Males,data.25 to 54 years,
2015,data.New Brunswick,data.Males,data.55 years and over,
2016,data.New Brunswick,data.Males,data.55 years and over,
2017,data.New Brunswick,data.Males,data.55 years and over,
2018,data.New Brunswick,data.Males,data.55 years and over,
2019,data.New Brunswick,data.Males,data.55 years and over,
2020,data.New Brunswick,data.Males,data.55 years and over,
2015,data.New Brunswick,data.Males,data.55 to 64 years,
2016,data.New Brunswick,data.Males,data.55 to 64 years,
2017,data.New Brunswick,data.Males,data.55 to 64 years,
2018,data.New Brunswick,data.Males,data.55 to 64 years,
2019,data.New Brunswick,data.Males,data.55 to 64 years,
2020,data.New Brunswick,data.Males,data.55 to 64 years,
2015,data.New Brunswick,data.Males,data.65 years and over,
2016,data.New Brunswick,data.Males,data.65 years and over,
2017,data.New Brunswick,data.Males,data.65 years and over,
2018,data.New Brunswick,data.Males,data.65 years and over,
2019,data.New Brunswick,data.Males,data.65 years and over,
2020,data.New Brunswick,data.Males,data.65 years and over,
2015,data.New Brunswick,data.Females,data.15 years and over,30.42
2016,data.New Brunswick,data.Females,data.15 years and over,25.27
2017,data.New Brunswick,data.Females,data.15 years and over,24.2
2018,data.New Brunswick,data.Females,data.15 years and over,23.85
2019,data.New Brunswick,data.Females,data.15 years and over,21.65
2020,data.New Brunswick,data.Females,data.15 years and over,24.07
2015,data.New Brunswick,data.Females,data.15 to 24 years,
2016,data.New Brunswick,data.Females,data.15 to 24 years,
2017,data.New Brunswick,data.Females,data.15 to 24 years,
2018,data.New Brunswick,data.Females,data.15 to 24 years,
2019,data.New Brunswick,data.Females,data.15 to 24 years,
2020,data.New Brunswick,data.Females,data.15 to 24 years,
2015,data.New Brunswick,data.Females,data.25 years and over,35.63
2016,data.New Brunswick,data.Females,data.25 years and over,28.19
2017,data.New Brunswick,data.Females,data.25 years and over,25.86
2018,data.New Brunswick,data.Females,data.25 years and over,24.27
2019,data.New Brunswick,data.Females,data.25 years and over,22.63
2020,data.New Brunswick,data.Females,data.25 years and over,25.0
2015,data.New Brunswick,data.Females,data.25 to 44 years,45.92
2016,data.New Brunswick,data.Females,data.25 to 44 years,35.11
2017,data.New Brunswick,data.Females,data.25 to 44 years,
2018,data.New Brunswick,data.Females,data.25 to 44 years,
2019,data.New Brunswick,data.Females,data.25 to 44 years,
2020,data.New Brunswick,data.Females,data.25 to 44 years,
2015,data.New Brunswick,data.Females,data.45 years and over,28.67
2016,data.New Brunswick,data.Females,data.45 years and over,
2017,data.New Brunswick,data.Females,data.45 years and over,
2018,data.New Brunswick,data.Females,data.45 years and over,
2019,data.New Brunswick,data.Females,data.45 years and over,
2020,data.New Brunswick,data.Females,data.45 years and over,
2015,data.New Brunswick,data.Females,data.25 to 54 years,42.86
2016,data.New Brunswick,data.Females,data.25 to 54 years,33.33
2017,data.New Brunswick,data.Females,data.25 to 54 years,33.09
2018,data.New Brunswick,data.Females,data.25 to 54 years,30.88
2019,data.New Brunswick,data.Females,data.25 to 54 years,
2020,data.New Brunswick,data.Females,data.25 to 54 years,
2015,data.New Brunswick,data.Females,data.55 years and over,
2016,data.New Brunswick,data.Females,data.55 years and over,
2017,data.New Brunswick,data.Females,data.55 years and over,
2018,data.New Brunswick,data.Females,data.55 years and over,
2019,data.New Brunswick,data.Females,data.55 years and over,
2020,data.New Brunswick,data.Females,data.55 years and over,
2015,data.New Brunswick,data.Females,data.55 to 64 years,
2016,data.New Brunswick,data.Females,data.55 to 64 years,
2017,data.New Brunswick,data.Females,data.55 to 64 years,
2018,data.New Brunswick,data.Females,data.55 to 64 years,
2019,data.New Brunswick,data.Females,data.55 to 64 years,
2020,data.New Brunswick,data.Females,data.55 to 64 years,
2015,data.New Brunswick,data.Females,data.65 years and over,
2016,data.New Brunswick,data.Females,data.65 years and over,
2017,data.New Brunswick,data.Females,data.65 years and over,
2018,data.New Brunswick,data.Females,data.65 years and over,
2019,data.New Brunswick,data.Females,data.65 years and over,
2020,data.New Brunswick,data.Females,data.65 years and over,
2015,data.Quebec,data.Both sexes,data.15 years and over,24.44
2016,data.Quebec,data.Both sexes,data.15 years and over,22.0
2017,data.Quebec,data.Both sexes,data.15 years and over,20.74
2018,data.Quebec,data.Both sexes,data.15 years and over,17.86
2019,data.Quebec,data.Both sexes,data.15 years and over,13.28
2020,data.Quebec,data.Both sexes,data.15 years and over,16.02
2015,data.Quebec,data.Both sexes,data.15 to 24 years,14.57
2016,data.Quebec,data.Both sexes,data.15 to 24 years,13.36
2017,data.Quebec,data.Both sexes,data.15 to 24 years,11.35
2018,data.Quebec,data.Both sexes,data.15 to 24 years,9.54
2019,data.Quebec,data.Both sexes,data.15 to 24 years,7.0
2020,data.Quebec,data.Both sexes,data.15 to 24 years,8.67
2015,data.Quebec,data.Both sexes,data.25 years and over,30.68
2016,data.Quebec,data.Both sexes,data.25 years and over,27.34
2017,data.Quebec,data.Both sexes,data.25 years and over,26.44
2018,data.Quebec,data.Both sexes,data.25 years and over,22.89
2019,data.Quebec,data.Both sexes,data.25 years and over,17.36
2020,data.Quebec,data.Both sexes,data.25 years and over,20.67
2015,data.Quebec,data.Both sexes,data.25 to 44 years,38.4
2016,data.Quebec,data.Both sexes,data.25 to 44 years,33.7
2017,data.Quebec,data.Both sexes,data.25 to 44 years,33.76
2018,data.Quebec,data.Both sexes,data.25 to 44 years,29.44
2019,data.Quebec,data.Both sexes,data.25 to 44 years,22.33
2020,data.Quebec,data.Both sexes,data.25 to 44 years,24.9
2015,data.Quebec,data.Both sexes,data.45 years and over,24.68
2016,data.Quebec,data.Both sexes,data.45 years and over,22.75
2017,data.Quebec,data.Both sexes,data.45 years and over,21.05
2018,data.Quebec,data.Both sexes,data.45 years and over,18.45
2019,data.Quebec,data.Both sexes,data.45 years and over,14.05
2020,data.Quebec,data.Both sexes,data.45 years and over,17.9
2015,data.Quebec,data.Both sexes,data.25 to 54 years,37.53
2016,data.Quebec,data.Both sexes,data.25 to 54 years,33.94
2017,data.Quebec,data.Both sexes,data.25 to 54 years,33.34
2018,data.Quebec,data.Both sexes,data.25 to 54 years,29.43
2019,data.Quebec,data.Both sexes,data.25 to 54 years,22.52
2020,data.Quebec,data.Both sexes,data.25 to 54 years,26.04
2015,data.Quebec,data.Both sexes,data.55 years and over,18.35
2016,data.Quebec,data.Both sexes,data.55 years and over,16.31
2017,data.Quebec,data.Both sexes,data.55 years and over,15.31
2018,data.Quebec,data.Both sexes,data.55 years and over,12.89
2019,data.Quebec,data.Both sexes,data.55 years and over,
2020,data.Quebec,data.Both sexes,data.55 years and over,13.5
2015,data.Quebec,data.Both sexes,data.55 to 64 years,24.26
2016,data.Quebec,data.Both sexes,data.55 to 64 years,21.53
2017,data.Quebec,data.Both sexes,data.55 to 64 years,21.33
2018,data.Quebec,data.Both sexes,data.55 to 64 years,16.03
2019,data.Quebec,data.Both sexes,data.55 to 64 years,
2020,data.Quebec,data.Both sexes,data.55 to 64 years,17.5
2015,data.Quebec,data.Both sexes,data.65 years and over,
2016,data.Quebec,data.Both sexes,data.65 years and over,
2017,data.Quebec,data.Both sexes,data.65 years and over,
2018,data.Quebec,data.Both sexes,data.65 years and over,
2019,data.Quebec,data.Both sexes,data.65 years and over,
2020,data.Quebec,data.Both sexes,data.65 years and over,
2015,data.Quebec,data.Males,data.15 years and over,25.85
2016,data.Quebec,data.Males,data.15 years and over,23.72
2017,data.Quebec,data.Males,data.15 years and over,22.06
2018,data.Quebec,data.Males,data.15 years and over,17.51
2019,data.Quebec,data.Males,data.15 years and over,13.54
2020,data.Quebec,data.Males,data.15 years and over,18.4
2015,data.Quebec,data.Males,data.15 to 24 years,17.03
2016,data.Quebec,data.Males,data.15 to 24 years,14.36
2017,data.Quebec,data.Males,data.15 to 24 years,12.62
2018,data.Quebec,data.Males,data.15 to 24 years,8.98
2019,data.Quebec,data.Males,data.15 to 24 years,
2020,data.Quebec,data.Males,data.15 to 24 years,
2015,data.Quebec,data.Males,data.25 years and over,33.04
2016,data.Quebec,data.Males,data.25 years and over,31.02
2017,data.Quebec,data.Males,data.25 years and over,29.0
2018,data.Quebec,data.Males,data.25 years and over,24.47
2019,data.Quebec,data.Males,data.25 years and over,18.46
2020,data.Quebec,data.Males,data.25 years and over,25.0
2015,data.Quebec,data.Males,data.25 to 44 years,44.41
2016,data.Quebec,data.Males,data.25 to 44 years,42.98
2017,data.Quebec,data.Males,data.25 to 44 years,42.72
2018,data.Quebec,data.Males,data.25 to 44 years,34.67
2019,data.Quebec,data.Males,data.25 to 44 years,26.41
2020,data.Quebec,data.Males,data.25 to 44 years,33.04
2015,data.Quebec,data.Males,data.45 years and over,25.27
2016,data.Quebec,data.Males,data.45 years and over,24.01
2017,data.Quebec,data.Males,data.45 years and over,21.28
2018,data.Quebec,data.Males,data.45 years and over,19.35
2019,data.Quebec,data.Males,data.45 years and over,
2020,data.Quebec,data.Males,data.45 years and over,
2015,data.Quebec,data.Males,data.25 to 54 years,44.99
2016,data.Quebec,data.Males,data.25 to 54 years,43.41
2017,data.Quebec,data.Males,data.25 to 54 years,42.08
2018,data.Quebec,data.Males,data.25 to 54 years,35.7
2019,data.Quebec,data.Males,data.25 to 54 years,26.96
2020,data.Quebec,data.Males,data.25 to 54 years,34.63
2015,data.Quebec,data.Males,data.55 years and over,
2016,data.Quebec,data.Males,data.55 years and over,
2017,data.Quebec,data.Males,data.55 years and over,14.64
2018,data.Quebec,data.Males,data.55 years and over,13.74
2019,data.Quebec,data.Males,data.55 years and over,
2020,data.Quebec,data.Males,data.55 years and over,
2015,data.Quebec,data.Males,data.55 to 64 years,
2016,data.Quebec,data.Males,data.55 to 64 years,
2017,data.Quebec,data.Males,data.55 to 64 years,24.4
2018,data.Quebec,data.Males,data.55 to 64 years,
2019,data.Quebec,data.Males,data.55 to 64 years,
2020,data.Quebec,data.Males,data.55 to 64 years,
2015,data.Quebec,data.Males,data.65 years and over,
2016,data.Quebec,data.Males,data.65 years and over,
2017,data.Quebec,data.Males,data.65 years and over,
2018,data.Quebec,data.Males,data.65 years and over,
2019,data.Quebec,data.Males,data.65 years and over,
2020,data.Quebec,data.Males,data.65 years and over,
2015,data.Quebec,data.Females,data.15 years and over,23.66
2016,data.Quebec,data.Females,data.15 years and over,21.0
2017,data.Quebec,data.Females,data.15 years and over,19.95
2018,data.Quebec,data.Females,data.15 years and over,18.05
2019,data.Quebec,data.Females,data.15 years and over,13.13
2020,data.Quebec,data.Females,data.15 years and over,14.53
2015,data.Quebec,data.Females,data.15 to 24 years,12.81
2016,data.Quebec,data.Females,data.15 to 24 years,12.72
2017,data.Quebec,data.Females,data.15 to 24 years,10.48
2018,data.Quebec,data.Females,data.15 to 24 years,9.94
2019,data.Quebec,data.Females,data.15 to 24 years,
2020,data.Quebec,data.Females,data.15 to 24 years,
2015,data.Quebec,data.Females,data.25 years and over,29.55
2016,data.Quebec,data.Females,data.25 years and over,25.59
2017,data.Quebec,data.Females,data.25 years and over,25.04
2018,data.Quebec,data.Females,data.25 years and over,22.18
2019,data.Quebec,data.Females,data.25 years and over,16.76
2020,data.Quebec,data.Females,data.25 years and over,18.45
2015,data.Quebec,data.Females,data.25 to 44 years,35.8
