Year,Geography,Type of electricity generation,GeoCode,Value
2022,Quebec,Hydraulic turbine,24,93.956
2022,Quebec,Nuclear steam turbine,24,
2022,Quebec,Solar,24,0.007
2022,Quebec,Total electricity production from biomass,24,0.595
2022,Quebec,Total renewable and non-greenhouse gas emitting sources,24,99.629
2022,Quebec,Wind power turbine,24,5.071
2022,Saskatchewan,Hydraulic turbine,47,13.668
2022,Saskatchewan,Solar,47,0.126
2022,Saskatchewan,Total electricity production from biomass,47,0.117
2022,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,20.455
2022,Saskatchewan,Wind power turbine,47,6.543
2022,Yukon,Hydraulic turbine,60,89.631
2022,Yukon,Solar,60,0.157
2022,Yukon,Total electricity production from biomass,60,0.0
2022,Yukon,Total renewable and non-greenhouse gas emitting sources,60,89.787
2022,Yukon,Wind power turbine,60,0.0
2023,Alberta,Hydraulic turbine,48,2.587
2023,Alberta,Solar,48,3.056
2023,Alberta,Total electricity production from biomass,48,2.473
2023,Alberta,Total renewable and non-greenhouse gas emitting sources,48,21.405
2023,Alberta,Wind power turbine,48,13.29
2023,British Columbia,Hydraulic turbine,59,87.542
2023,British Columbia,Solar,59,0.007
2023,British Columbia,Tidal power turbine,59,0.0
2023,British Columbia,Total electricity production from biomass,59,6.833
2023,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,97.406
2023,British Columbia,Wind power turbine,59,3.024
2023,Canada,Hydraulic turbine,,58.139
2023,Canada,Nuclear steam turbine,,13.874
2023,Canada,Solar,,0.79
2023,Canada,Tidal power turbine,,0.0
2023,Canada,Total electricity production from biomass,,1.515
2023,Canada,Wind power turbine,,6.412
2023,Manitoba,Hydraulic turbine,46,97.004
2023,Manitoba,Solar,46,0.004
2023,Manitoba,Total electricity production from biomass,46,0.297
2023,Manitoba,Total renewable and non-greenhouse gas emitting sources,46,99.911
2023,Manitoba,Wind power turbine,46,2.606
2023,New Brunswick,Hydraulic turbine,13,24.224
2023,New Brunswick,Nuclear steam turbine,13,29.54
2023,New Brunswick,Solar,13,0.005
2023,New Brunswick,Tidal power turbine,13,0.0
2023,New Brunswick,Total electricity production from biomass,13,3.276
2023,New Brunswick,Total renewable and non-greenhouse gas emitting sources,13,61.033
2023,New Brunswick,Wind power turbine,13,3.988
2023,Newfoundland and Labrador,Hydraulic turbine,10,97.599
2023,Newfoundland and Labrador,Solar,10,0.0
2023,Newfoundland and Labrador,Tidal power turbine,10,0.0
2023,Newfoundland and Labrador,Total electricity production from biomass,10,0.047
2023,Newfoundland and Labrador,Total renewable and non-greenhouse gas emitting sources,10,98.022
2023,Newfoundland and Labrador,Wind power turbine,10,0.376
2023,Northwest Territories,Hydraulic turbine,61,25.42
2023,Northwest Territories,Solar,61,0.036
2023,Northwest Territories,Total electricity production from biomass,61,0.0
2023,Northwest Territories,Total renewable and non-greenhouse gas emitting sources,61,27.997
2023,Northwest Territories,Wind power turbine,61,2.541
2023,Nova Scotia,Hydraulic turbine,12,11.346
2023,Nova Scotia,Solar,12,0.036
2023,Nova Scotia,Tidal power turbine,12,0.0
2023,Nova Scotia,Total electricity production from biomass,12,3.875
2023,Nova Scotia,Total renewable and non-greenhouse gas emitting sources,12,31.368
2023,Nova Scotia,Wind power turbine,12,16.111
2023,Nunavut,Hydraulic turbine,62,0.0
2023,Nunavut,Solar,62,0.051
2023,Nunavut,Total electricity production from biomass,62,0.0
2023,Nunavut,Total renewable and non-greenhouse gas emitting sources,62,0.051
2023,Nunavut,Wind power turbine,62,0.0
2023,Ontario,Hydraulic turbine,35,24.907
2023,Ontario,Nuclear steam turbine,35,51.133
2023,Ontario,Solar,35,1.494
2023,Ontario,Total electricity production from biomass,35,0.853
2023,Ontario,Total renewable and non-greenhouse gas emitting sources,35,86.485
2023,Ontario,Wind power turbine,35,8.098
2023,Prince Edward Island,Hydraulic turbine,11,0.0
2023,Prince Edward Island,Solar,11,0.132
2023,Prince Edward Island,Tidal power turbine,11,0.0
2023,Prince Edward Island,Total electricity production from biomass,11,0.818
2023,Prince Edward Island,Total renewable and non-greenhouse gas emitting sources,11,99.658
2023,Prince Edward Island,Wind power turbine,11,98.708
2023,Quebec,Hydraulic turbine,24,94.019
2023,Quebec,Nuclear steam turbine,24,
2023,Quebec,Solar,24,0.007
2023,Quebec,Total electricity production from biomass,24,0.669
2023,Quebec,Total renewable and non-greenhouse gas emitting sources,24,99.652
2023,Quebec,Wind power turbine,24,4.957
2023,Saskatchewan,Hydraulic turbine,47,10.947
2023,Saskatchewan,Solar,47,0.2
2023,Saskatchewan,Total electricity production from biomass,47,0.213
2023,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,19.342
2023,Saskatchewan,Wind power turbine,47,7.981
2023,Yukon,Hydraulic turbine,60,87.696
2023,Yukon,Solar,60,0.149
2023,Yukon,Total electricity production from biomass,60,0.0
2023,Yukon,Total renewable and non-greenhouse gas emitting sources,60,87.928
2023,Yukon,Wind power turbine,60,0.082
2024,Alberta,Hydraulic turbine,48,2.306
2024,Alberta,Solar,48,3.813
2024,Alberta,Total electricity production from biomass,48,1.777
2024,Alberta,Total renewable and non-greenhouse gas emitting sources,48,23.654
2024,Alberta,Wind power turbine,48,15.758
2024,British Columbia,Hydraulic turbine,59,87.322
2024,British Columbia,Solar,59,0.007
2024,British Columbia,Tidal power turbine,59,0.0
2024,British Columbia,Total electricity production from biomass,59,6.822
2024,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,97.232
2024,British Columbia,Wind power turbine,59,3.082
2024,Canada,Hydraulic turbine,,55.806
2024,Canada,Nuclear steam turbine,,13.479
2024,Canada,Solar,,0.957
2024,Canada,Tidal power turbine,,0.0
2024,Canada,Total electricity production from biomass,,1.529
2024,Canada,Wind power turbine,,7.528
2024,Manitoba,Hydraulic turbine,46,96.556
2024,Manitoba,Solar,46,0.006
2024,Manitoba,Total electricity production from biomass,46,0.277
2024,Manitoba,Total renewable and non-greenhouse gas emitting sources,46,99.909
2024,Manitoba,Wind power turbine,46,3.071
2024,New Brunswick,Hydraulic turbine,13,23.044
2024,New Brunswick,Nuclear steam turbine,13,10.771
2024,New Brunswick,Solar,13,0.027
2024,New Brunswick,Tidal power turbine,13,0.0
2024,New Brunswick,Total electricity production from biomass,13,5.677
2024,New Brunswick,Total renewable and non-greenhouse gas emitting sources,13,48.864
2024,New Brunswick,Wind power turbine,13,9.346
2024,Newfoundland and Labrador,Hydraulic turbine,10,96.966
2024,Newfoundland and Labrador,Solar,10,0.0
2024,Newfoundland and Labrador,Tidal power turbine,10,0.0
2024,Newfoundland and Labrador,Total electricity production from biomass,10,0.003
2024,Newfoundland and Labrador,Total renewable and non-greenhouse gas emitting sources,10,97.407
2024,Newfoundland and Labrador,Wind power turbine,10,0.438
2024,Northwest Territories,Hydraulic turbine,61,19.688
2024,Northwest Territories,Solar,61,0.565
2024,Northwest Territories,Total electricity production from biomass,61,0.0
2024,Northwest Territories,Total renewable and non-greenhouse gas emitting sources,61,23.08
2024,Northwest Territories,Wind power turbine,61,2.827
2024,Nova Scotia,Hydraulic turbine,12,8.417
2024,Nova Scotia,Solar,12,0.035
2024,Nova Scotia,Tidal power turbine,12,0.0
2024,Nova Scotia,Total electricity production from biomass,12,4.15
2024,Nova Scotia,Total renewable and non-greenhouse gas emitting sources,12,30.952
2024,Nova Scotia,Wind power turbine,12,18.35
2024,Nunavut,Hydraulic turbine,62,0.0
2024,Nunavut,Solar,62,0.051
2024,Nunavut,Total electricity production from biomass,62,0.0
2024,Nunavut,Total renewable and non-greenhouse gas emitting sources,62,0.051
2024,Nunavut,Wind power turbine,62,0.0
2024,Ontario,Hydraulic turbine,35,24.215
2024,Ontario,Nuclear steam turbine,35,48.417
2024,Ontario,Solar,35,1.535
2024,Ontario,Total electricity production from biomass,35,0.766
2024,Ontario,Total renewable and non-greenhouse gas emitting sources,35,83.332
2024,Ontario,Wind power turbine,35,8.4
2024,Prince Edward Island,Hydraulic turbine,11,0.0
2024,Prince Edward Island,Solar,11,7.53
2024,Prince Edward Island,Tidal power turbine,11,0.0
2024,Prince Edward Island,Total electricity production from biomass,11,0.686
2024,Prince Edward Island,Total renewable and non-greenhouse gas emitting sources,11,99.759
2024,Prince Edward Island,Wind power turbine,11,91.543
2024,Quebec,Hydraulic turbine,24,92.642
2024,Quebec,Nuclear steam turbine,24,
2024,Quebec,Solar,24,0.009
2024,Quebec,Total electricity production from biomass,24,0.851
2024,Quebec,Total renewable and non-greenhouse gas emitting sources,24,99.568
2024,Quebec,Wind power turbine,24,6.066
2024,Saskatchewan,Hydraulic turbine,47,9.658
2024,Saskatchewan,Solar,47,0.245
2024,Saskatchewan,Total electricity production from biomass,47,0.261
2024,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,18.544
2024,Saskatchewan,Wind power turbine,47,8.38
2024,Yukon,Hydraulic turbine,60,80.557
2024,Yukon,Solar,60,0.189
2024,Yukon,Total electricity production from biomass,60,0.0
2024,Yukon,Total renewable and non-greenhouse gas emitting sources,60,81.814
2024,Yukon,Wind power turbine,60,1.068
