Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2022 Q4,,,,,,Wages and salaries,204.3
2022 Q4,,,,,,Self-employment income,215.3
2022 Q4,,,,,,Net property income,110.8
2022 Q4,,,,,,Current transfers received - pension benefits,79.6
2022 Q4,,,,,,Current transfers received - others,207.2
2023 Q4,,,,,,Wages and salaries,204.3
2023 Q4,,,,,,Self-employment income,193.5
2023 Q4,,,,,,Net property income,99.8
2023 Q4,,,,,,Current transfers received - pension benefits,76.9
2023 Q4,,,,,,Current transfers received - others,210.8
2024 Q4,,,,,,Wages and salaries,193.3
2024 Q4,,,,,,Self-employment income,213.3
2024 Q4,,,,,,Net property income,100.3
2024 Q4,,,,,,Current transfers received - pension benefits,81.3
2024 Q4,,,,,,Current transfers received - others,171.2
