Year,Geography,Persons in low income,GeoCode,Value
2017,"Edmonton, Alberta",Persons 18 to 64 years,,11.1
2018,"Edmonton, Alberta",Persons 18 to 64 years,,8.3
2019,"Edmonton, Alberta",Persons 18 to 64 years,,10.8
2020,"Edmonton, Alberta",Persons 18 to 64 years,,6.0
2021,"Edmonton, Alberta",Persons 18 to 64 years,,7.5
2022,"Edmonton, Alberta",Persons 18 to 64 years,,10.4
2023,"Edmonton, Alberta",Persons 18 to 64 years,,10.8
2017,"Edmonton, Alberta",Persons 65 years and over,,4.4
2020,"Edmonton, Alberta",Persons 65 years and over,,4.1
2021,"Edmonton, Alberta",Persons 65 years and over,,5.2
2022,"Edmonton, Alberta",Persons 65 years and over,,5.9
2023,"Edmonton, Alberta",Persons 65 years and over,,2.8
2015,"Edmonton, Alberta",Persons under 18 years,,10.2
2016,"Edmonton, Alberta",Persons under 18 years,,8.0
2017,"Edmonton, Alberta",Persons under 18 years,,8.3
2018,"Edmonton, Alberta",Persons under 18 years,,6.5
2020,"Edmonton, Alberta",Persons under 18 years,,3.2
2022,"Edmonton, Alberta",Persons under 18 years,,11.8
2023,"Edmonton, Alberta",Persons under 18 years,,10.7
2015,Manitoba,All persons,46,14.1
2016,Manitoba,All persons,46,12.4
2017,Manitoba,All persons,46,11.2
2018,Manitoba,All persons,46,11.1
2019,Manitoba,All persons,46,11.5
2020,Manitoba,All persons,46,6.8
2021,Manitoba,All persons,46,8.8
2022,Manitoba,All persons,46,11.5
2023,Manitoba,All persons,46,10.9
2015,Manitoba,Females,46,13.7
2016,Manitoba,Females,46,12.2
2017,Manitoba,Females,46,11.5
2018,Manitoba,Females,46,11.1
2019,Manitoba,Females,46,11.0
2020,Manitoba,Females,46,6.5
2021,Manitoba,Females,46,9.1
2022,Manitoba,Females,46,11.8
2023,Manitoba,Females,46,11.1
2015,Manitoba,"Females, 18 to 64 years",46,14.5
2016,Manitoba,"Females, 18 to 64 years",46,13.3
2017,Manitoba,"Females, 18 to 64 years",46,12.2
2018,Manitoba,"Females, 18 to 64 years",46,11.8
2019,Manitoba,"Females, 18 to 64 years",46,12.0
2020,Manitoba,"Females, 18 to 64 years",46,7.9
2021,Manitoba,"Females, 18 to 64 years",46,9.2
2022,Manitoba,"Females, 18 to 64 years",46,12.7
2023,Manitoba,"Females, 18 to 64 years",46,12.6
2015,Manitoba,"Females, 65 years and over",46,7.6
2016,Manitoba,"Females, 65 years and over",46,5.7
2017,Manitoba,"Females, 65 years and over",46,6.0
2018,Manitoba,"Females, 65 years and over",46,6.8
2019,Manitoba,"Females, 65 years and over",46,5.9
2020,Manitoba,"Females, 65 years and over",46,3.0
2021,Manitoba,"Females, 65 years and over",46,7.0
2022,Manitoba,"Females, 65 years and over",46,7.1
2023,Manitoba,"Females, 65 years and over",46,4.7
2015,Manitoba,"Females, under 18 years",46,15.7
2016,Manitoba,"Females, under 18 years",46,14.2
2017,Manitoba,"Females, under 18 years",46,13.9
2018,Manitoba,"Females, under 18 years",46,12.3
2019,Manitoba,"Females, under 18 years",46,12.0
2020,Manitoba,"Females, under 18 years",46,5.2
2021,Manitoba,"Females, under 18 years",46,10.2
2022,Manitoba,"Females, under 18 years",46,13.2
2023,Manitoba,"Females, under 18 years",46,12.4
2015,Manitoba,Males,46,14.5
2016,Manitoba,Males,46,12.5
2017,Manitoba,Males,46,10.9
2018,Manitoba,Males,46,11.2
2019,Manitoba,Males,46,12.0
2020,Manitoba,Males,46,7.0
2021,Manitoba,Males,46,8.6
2022,Manitoba,Males,46,11.2
2023,Manitoba,Males,46,10.7
2015,Manitoba,"Males, 18 to 64 years",46,13.8
2016,Manitoba,"Males, 18 to 64 years",46,12.9
2017,Manitoba,"Males, 18 to 64 years",46,12.1
2018,Manitoba,"Males, 18 to 64 years",46,11.6
2019,Manitoba,"Males, 18 to 64 years",46,12.5
2020,Manitoba,"Males, 18 to 64 years",46,8.5
2021,Manitoba,"Males, 18 to 64 years",46,9.7
2022,Manitoba,"Males, 18 to 64 years",46,11.9
2023,Manitoba,"Males, 18 to 64 years",46,11.2
2015,Manitoba,"Males, 65 years and over",46,3.8
2016,Manitoba,"Males, 65 years and over",46,3.9
2017,Manitoba,"Males, 65 years and over",46,4.7
2018,Manitoba,"Males, 65 years and over",46,5.2
2019,Manitoba,"Males, 65 years and over",46,5.3
2020,Manitoba,"Males, 65 years and over",46,1.4
2021,Manitoba,"Males, 65 years and over",46,4.4
2022,Manitoba,"Males, 65 years and over",46,5.4
2023,Manitoba,"Males, 65 years and over",46,4.6
2015,Manitoba,"Males, under 18 years",46,22.8
2016,Manitoba,"Males, under 18 years",46,16.7
2017,Manitoba,"Males, under 18 years",46,11.7
2018,Manitoba,"Males, under 18 years",46,13.8
2019,Manitoba,"Males, under 18 years",46,14.8
2020,Manitoba,"Males, under 18 years",46,6.8
2021,Manitoba,"Males, under 18 years",46,8.8
2022,Manitoba,"Males, under 18 years",46,13.3
2023,Manitoba,"Males, under 18 years",46,13.5
2015,Manitoba,Persons 18 to 64 years,46,14.2
2016,Manitoba,Persons 18 to 64 years,46,13.1
2017,Manitoba,Persons 18 to 64 years,46,12.1
2018,Manitoba,Persons 18 to 64 years,46,11.7
2019,Manitoba,Persons 18 to 64 years,46,12.2
2020,Manitoba,Persons 18 to 64 years,46,8.2
2021,Manitoba,Persons 18 to 64 years,46,9.5
2022,Manitoba,Persons 18 to 64 years,46,12.3
2023,Manitoba,Persons 18 to 64 years,46,11.9
2015,Manitoba,Persons 65 years and over,46,5.9
2016,Manitoba,Persons 65 years and over,46,4.9
2017,Manitoba,Persons 65 years and over,46,5.4
2018,Manitoba,Persons 65 years and over,46,6.1
2019,Manitoba,Persons 65 years and over,46,5.6
2020,Manitoba,Persons 65 years and over,46,2.3
2021,Manitoba,Persons 65 years and over,46,5.8
2022,Manitoba,Persons 65 years and over,46,6.3
2023,Manitoba,Persons 65 years and over,46,4.6
2015,Manitoba,Persons under 18 years,46,19.3
2016,Manitoba,Persons under 18 years,46,15.5
2017,Manitoba,Persons under 18 years,46,12.8
2018,Manitoba,Persons under 18 years,46,13.1
2019,Manitoba,Persons under 18 years,46,13.5
2020,Manitoba,Persons under 18 years,46,6.0
2021,Manitoba,Persons under 18 years,46,9.5
2022,Manitoba,Persons under 18 years,46,13.3
2023,Manitoba,Persons under 18 years,46,12.9
2015,"Montréal, Quebec",All persons,,17.2
2016,"Montréal, Quebec",All persons,,13.2
2017,"Montréal, Quebec",All persons,,14.1
2018,"Montréal, Quebec",All persons,,11.3
2019,"Montréal, Quebec",All persons,,10.4
2020,"Montréal, Quebec",All persons,,5.4
2021,"Montréal, Quebec",All persons,,5.7
2022,"Montréal, Quebec",All persons,,7.4
2023,"Montréal, Quebec",All persons,,8.4
2015,"Montréal, Quebec",Females,,17.6
2016,"Montréal, Quebec",Females,,12.9
2017,"Montréal, Quebec",Females,,14.0
2018,"Montréal, Quebec",Females,,11.7
2019,"Montréal, Quebec",Females,,9.8
2020,"Montréal, Quebec",Females,,6.0
2021,"Montréal, Quebec",Females,,6.2
2022,"Montréal, Quebec",Females,,6.7
2023,"Montréal, Quebec",Females,,8.2
2015,"Montréal, Quebec","Females, 18 to 64 years",,19.7
2016,"Montréal, Quebec","Females, 18 to 64 years",,13.3
2017,"Montréal, Quebec","Females, 18 to 64 years",,14.6
2018,"Montréal, Quebec","Females, 18 to 64 years",,13.6
2019,"Montréal, Quebec","Females, 18 to 64 years",,11.8
2020,"Montréal, Quebec","Females, 18 to 64 years",,7.5
2021,"Montréal, Quebec","Females, 18 to 64 years",,6.4
2022,"Montréal, Quebec","Females, 18 to 64 years",,8.2
2023,"Montréal, Quebec","Females, 18 to 64 years",,9.9
2015,"Montréal, Quebec","Females, 65 years and over",,7.8
2016,"Montréal, Quebec","Females, 65 years and over",,9.5
2017,"Montréal, Quebec","Females, 65 years and over",,10.2
2018,"Montréal, Quebec","Females, 65 years and over",,8.0
2019,"Montréal, Quebec","Females, 65 years and over",,7.2
2020,"Montréal, Quebec","Females, 65 years and over",,3.3
2021,"Montréal, Quebec","Females, 65 years and over",,7.4
2022,"Montréal, Quebec","Females, 65 years and over",,3.3
2023,"Montréal, Quebec","Females, 65 years and over",,4.3
2015,"Montréal, Quebec","Females, under 18 years",,18.4
2016,"Montréal, Quebec","Females, under 18 years",,14.7
2017,"Montréal, Quebec","Females, under 18 years",,15.2
2018,"Montréal, Quebec","Females, under 18 years",,8.9
2019,"Montréal, Quebec","Females, under 18 years",,5.8
2021,"Montréal, Quebec","Females, under 18 years",,4.4
2022,"Montréal, Quebec","Females, under 18 years",,5.3
2023,"Montréal, Quebec","Females, under 18 years",,6.8
2015,"Montréal, Quebec",Males,,16.8
2016,"Montréal, Quebec",Males,,13.5
2017,"Montréal, Quebec",Males,,14.2
2018,"Montréal, Quebec",Males,,11.0
2019,"Montréal, Quebec",Males,,11.0
2020,"Montréal, Quebec",Males,,4.9
2021,"Montréal, Quebec",Males,,5.1
2022,"Montréal, Quebec",Males,,8.2
2023,"Montréal, Quebec",Males,,8.7
2015,"Montréal, Quebec","Males, 18 to 64 years",,18.1
2016,"Montréal, Quebec","Males, 18 to 64 years",,14.5
2017,"Montréal, Quebec","Males, 18 to 64 years",,15.4
2018,"Montréal, Quebec","Males, 18 to 64 years",,12.7
2019,"Montréal, Quebec","Males, 18 to 64 years",,12.7
2020,"Montréal, Quebec","Males, 18 to 64 years",,6.2
2021,"Montréal, Quebec","Males, 18 to 64 years",,5.9
2022,"Montréal, Quebec","Males, 18 to 64 years",,10.0
2023,"Montréal, Quebec","Males, 18 to 64 years",,10.1
2016,"Montréal, Quebec","Males, 65 years and over",,10.0
2017,"Montréal, Quebec","Males, 65 years and over",,8.2
2018,"Montréal, Quebec","Males, 65 years and over",,5.8
2021,"Montréal, Quebec","Males, 65 years and over",,4.7
2022,"Montréal, Quebec","Males, 65 years and over",,4.5
2023,"Montréal, Quebec","Males, 65 years and over",,4.0
2015,"Montréal, Quebec","Males, under 18 years",,20.4
2016,"Montréal, Quebec","Males, under 18 years",,12.6
2017,"Montréal, Quebec","Males, under 18 years",,14.3
2018,"Montréal, Quebec","Males, under 18 years",,9.1
2019,"Montréal, Quebec","Males, under 18 years",,8.8
2022,"Montréal, Quebec","Males, under 18 years",,5.4
2023,"Montréal, Quebec","Males, under 18 years",,7.8
2015,"Montréal, Quebec",Persons 18 to 64 years,,18.9
2016,"Montréal, Quebec",Persons 18 to 64 years,,13.9
2017,"Montréal, Quebec",Persons 18 to 64 years,,15.0
2018,"Montréal, Quebec",Persons 18 to 64 years,,13.2
2019,"Montréal, Quebec",Persons 18 to 64 years,,12.3
2020,"Montréal, Quebec",Persons 18 to 64 years,,6.8
2021,"Montréal, Quebec",Persons 18 to 64 years,,6.1
2022,"Montréal, Quebec",Persons 18 to 64 years,,9.1
2023,"Montréal, Quebec",Persons 18 to 64 years,,10.0
2015,"Montréal, Quebec",Persons 65 years and over,,7.2
2016,"Montréal, Quebec",Persons 65 years and over,,9.7
2017,"Montréal, Quebec",Persons 65 years and over,,9.3
2018,"Montréal, Quebec",Persons 65 years and over,,7.0
2019,"Montréal, Quebec",Persons 65 years and over,,6.8
2020,"Montréal, Quebec",Persons 65 years and over,,2.9
2021,"Montréal, Quebec",Persons 65 years and over,,6.1
2022,"Montréal, Quebec",Persons 65 years and over,,3.8
2023,"Montréal, Quebec",Persons 65 years and over,,4.2
2015,"Montréal, Quebec",Persons under 18 years,,19.3
2016,"Montréal, Quebec",Persons under 18 years,,13.6
2017,"Montréal, Quebec",Persons under 18 years,,14.7
2018,"Montréal, Quebec",Persons under 18 years,,9.0
2019,"Montréal, Quebec",Persons under 18 years,,7.4
2021,"Montréal, Quebec",Persons under 18 years,,3.8
2022,"Montréal, Quebec",Persons under 18 years,,5.3
2023,"Montréal, Quebec",Persons under 18 years,,7.3
2015,New Brunswick,All persons,13,16.2
2016,New Brunswick,All persons,13,13.9
2017,New Brunswick,All persons,13,12.6
2018,New Brunswick,All persons,13,10.8
2019,New Brunswick,All persons,13,9.9
2020,New Brunswick,All persons,13,7.6
2021,New Brunswick,All persons,13,6.7
2022,New Brunswick,All persons,13,10.9
2023,New Brunswick,All persons,13,11.6
2015,New Brunswick,Females,13,16.4
2016,New Brunswick,Females,13,15.2
2017,New Brunswick,Females,13,13.5
2018,New Brunswick,Females,13,11.1
2019,New Brunswick,Females,13,11.6
2020,New Brunswick,Females,13,8.0
2021,New Brunswick,Females,13,7.6
2022,New Brunswick,Females,13,11.3
2023,New Brunswick,Females,13,11.5
2015,New Brunswick,"Females, 18 to 64 years",13,16.8
2016,New Brunswick,"Females, 18 to 64 years",13,16.1
2017,New Brunswick,"Females, 18 to 64 years",13,14.7
2018,New Brunswick,"Females, 18 to 64 years",13,12.3
2019,New Brunswick,"Females, 18 to 64 years",13,11.5
2020,New Brunswick,"Females, 18 to 64 years",13,9.1
2021,New Brunswick,"Females, 18 to 64 years",13,7.6
2022,New Brunswick,"Females, 18 to 64 years",13,11.9
2023,New Brunswick,"Females, 18 to 64 years",13,12.1
2015,New Brunswick,"Females, 65 years and over",13,13.3
2016,New Brunswick,"Females, 65 years and over",13,12.3
2017,New Brunswick,"Females, 65 years and over",13,7.7
2018,New Brunswick,"Females, 65 years and over",13,6.6
2019,New Brunswick,"Females, 65 years and over",13,8.5
2020,New Brunswick,"Females, 65 years and over",13,6.3
2021,New Brunswick,"Females, 65 years and over",13,7.1
2022,New Brunswick,"Females, 65 years and over",13,10.1
2023,New Brunswick,"Females, 65 years and over",13,8.2
2015,New Brunswick,"Females, under 18 years",13,18.3
2016,New Brunswick,"Females, under 18 years",13,15.7
2017,New Brunswick,"Females, under 18 years",13,16.2
2018,New Brunswick,"Females, under 18 years",13,12.4
2019,New Brunswick,"Females, under 18 years",13,15.9
2020,New Brunswick,"Females, under 18 years",13,6.3
2021,New Brunswick,"Females, under 18 years",13,8.1
2022,New Brunswick,"Females, under 18 years",13,10.8
2023,New Brunswick,"Females, under 18 years",13,14.2
2015,New Brunswick,Males,13,16.0
2016,New Brunswick,Males,13,12.5
2017,New Brunswick,Males,13,11.7
2018,New Brunswick,Males,13,10.5
2019,New Brunswick,Males,13,8.1
2020,New Brunswick,Males,13,7.3
2021,New Brunswick,Males,13,5.8
2022,New Brunswick,Males,13,10.4
2023,New Brunswick,Males,13,11.6
2015,New Brunswick,"Males, 18 to 64 years",13,16.4
2016,New Brunswick,"Males, 18 to 64 years",13,12.6
2017,New Brunswick,"Males, 18 to 64 years",13,12.8
2018,New Brunswick,"Males, 18 to 64 years",13,12.0
2019,New Brunswick,"Males, 18 to 64 years",13,9.5
2020,New Brunswick,"Males, 18 to 64 years",13,8.8
2021,New Brunswick,"Males, 18 to 64 years",13,6.4
2022,New Brunswick,"Males, 18 to 64 years",13,11.5
2023,New Brunswick,"Males, 18 to 64 years",13,12.4
2015,New Brunswick,"Males, 65 years and over",13,8.9
2016,New Brunswick,"Males, 65 years and over",13,7.4
2017,New Brunswick,"Males, 65 years and over",13,5.4
2018,New Brunswick,"Males, 65 years and over",13,5.0
2019,New Brunswick,"Males, 65 years and over",13,3.4
2020,New Brunswick,"Males, 65 years and over",13,3.8
2021,New Brunswick,"Males, 65 years and over",13,3.9
2022,New Brunswick,"Males, 65 years and over",13,6.2
2023,New Brunswick,"Males, 65 years and over",13,6.3
2015,New Brunswick,"Males, under 18 years",13,21.5
2016,New Brunswick,"Males, under 18 years",13,17.1
2017,New Brunswick,"Males, under 18 years",13,14.7
2018,New Brunswick,"Males, under 18 years",13,11.4
2019,New Brunswick,"Males, under 18 years",13,8.8
2020,New Brunswick,"Males, under 18 years",13,6.0
2021,New Brunswick,"Males, under 18 years",13,6.3
2022,New Brunswick,"Males, under 18 years",13,11.7
2023,New Brunswick,"Males, under 18 years",13,15.6
2015,New Brunswick,Persons 18 to 64 years,13,16.6
2016,New Brunswick,Persons 18 to 64 years,13,14.3
2017,New Brunswick,Persons 18 to 64 years,13,13.8
2018,New Brunswick,Persons 18 to 64 years,13,12.2
2019,New Brunswick,Persons 18 to 64 years,13,10.5
2020,New Brunswick,Persons 18 to 64 years,13,9.0
2021,New Brunswick,Persons 18 to 64 years,13,7.0
2022,New Brunswick,Persons 18 to 64 years,13,11.7
2023,New Brunswick,Persons 18 to 64 years,13,12.3
2015,New Brunswick,Persons 65 years and over,13,11.2
2016,New Brunswick,Persons 65 years and over,13,10.0
2017,New Brunswick,Persons 65 years and over,13,6.6
2018,New Brunswick,Persons 65 years and over,13,5.9
2019,New Brunswick,Persons 65 years and over,13,6.1
2020,New Brunswick,Persons 65 years and over,13,5.1
2021,New Brunswick,Persons 65 years and over,13,5.6
2022,New Brunswick,Persons 65 years and over,13,8.2
2023,New Brunswick,Persons 65 years and over,13,7.3
2015,New Brunswick,Persons under 18 years,13,19.9
2016,New Brunswick,Persons under 18 years,13,16.4
2017,New Brunswick,Persons under 18 years,13,15.5
2018,New Brunswick,Persons under 18 years,13,11.9
2019,New Brunswick,Persons under 18 years,13,12.4
2020,New Brunswick,Persons under 18 years,13,6.1
2021,New Brunswick,Persons under 18 years,13,7.2
2022,New Brunswick,Persons under 18 years,13,11.3
2023,New Brunswick,Persons under 18 years,13,14.9
2015,Newfoundland and Labrador,All persons,10,13.0
2016,Newfoundland and Labrador,All persons,10,12.2
2017,Newfoundland and Labrador,All persons,10,11.3
2018,Newfoundland and Labrador,All persons,10,11.4
2019,Newfoundland and Labrador,All persons,10,11.2
2020,Newfoundland and Labrador,All persons,10,7.0
2021,Newfoundland and Labrador,All persons,10,8.1
2022,Newfoundland and Labrador,All persons,10,9.8
2023,Newfoundland and Labrador,All persons,10,11.5
2015,Newfoundland and Labrador,Females,10,14.5
2016,Newfoundland and Labrador,Females,10,13.4
2017,Newfoundland and Labrador,Females,10,12.6
2018,Newfoundland and Labrador,Females,10,11.1
2019,Newfoundland and Labrador,Females,10,12.1
2020,Newfoundland and Labrador,Females,10,7.4
2021,Newfoundland and Labrador,Females,10,9.4
2022,Newfoundland and Labrador,Females,10,10.6
2023,Newfoundland and Labrador,Females,10,11.9
2015,Newfoundland and Labrador,"Females, 18 to 64 years",10,15.2
2016,Newfoundland and Labrador,"Females, 18 to 64 years",10,15.1
2017,Newfoundland and Labrador,"Females, 18 to 64 years",10,14.2
2018,Newfoundland and Labrador,"Females, 18 to 64 years",10,12.6
2019,Newfoundland and Labrador,"Females, 18 to 64 years",10,13.0
2020,Newfoundland and Labrador,"Females, 18 to 64 years",10,8.4
2021,Newfoundland and Labrador,"Females, 18 to 64 years",10,10.4
2022,Newfoundland and Labrador,"Females, 18 to 64 years",10,12.1
2023,Newfoundland and Labrador,"Females, 18 to 64 years",10,14.4
2015,Newfoundland and Labrador,"Females, 65 years and over",10,10.4
2016,Newfoundland and Labrador,"Females, 65 years and over",10,8.6
2017,Newfoundland and Labrador,"Females, 65 years and over",10,8.3
2018,Newfoundland and Labrador,"Females, 65 years and over",10,5.9
2019,Newfoundland and Labrador,"Females, 65 years and over",10,7.5
2020,Newfoundland and Labrador,"Females, 65 years and over",10,3.7
2021,Newfoundland and Labrador,"Females, 65 years and over",10,4.6
2022,Newfoundland and Labrador,"Females, 65 years and over",10,6.2
2023,Newfoundland and Labrador,"Females, 65 years and over",10,5.0
2015,Newfoundland and Labrador,"Females, under 18 years",10,16.5
2016,Newfoundland and Labrador,"Females, under 18 years",10,12.4
2017,Newfoundland and Labrador,"Females, under 18 years",10,12.1
2018,Newfoundland and Labrador,"Females, under 18 years",10,12.0
2019,Newfoundland and Labrador,"Females, under 18 years",10,14.8
2020,Newfoundland and Labrador,"Females, under 18 years",10,9.1
2021,Newfoundland and Labrador,"Females, under 18 years",10,12.5
2022,Newfoundland and Labrador,"Females, under 18 years",10,11.9
2023,Newfoundland and Labrador,"Females, under 18 years",10,13.6
2015,Newfoundland and Labrador,Males,10,11.5
2016,Newfoundland and Labrador,Males,10,11.1
2017,Newfoundland and Labrador,Males,10,9.9
2018,Newfoundland and Labrador,Males,10,11.7
2019,Newfoundland and Labrador,Males,10,10.3
2020,Newfoundland and Labrador,Males,10,6.5
2021,Newfoundland and Labrador,Males,10,6.8
2022,Newfoundland and Labrador,Males,10,8.9
2023,Newfoundland and Labrador,Males,10,11.1
2015,Newfoundland and Labrador,"Males, 18 to 64 years",10,12.1
2016,Newfoundland and Labrador,"Males, 18 to 64 years",10,11.5
2017,Newfoundland and Labrador,"Males, 18 to 64 years",10,11.0
2018,Newfoundland and Labrador,"Males, 18 to 64 years",10,14.8
2019,Newfoundland and Labrador,"Males, 18 to 64 years",10,10.8
2020,Newfoundland and Labrador,"Males, 18 to 64 years",10,7.7
2021,Newfoundland and Labrador,"Males, 18 to 64 years",10,7.3
2022,Newfoundland and Labrador,"Males, 18 to 64 years",10,10.2
2023,Newfoundland and Labrador,"Males, 18 to 64 years",10,12.0
2015,Newfoundland and Labrador,"Males, 65 years and over",10,6.9
2016,Newfoundland and Labrador,"Males, 65 years and over",10,7.4
2017,Newfoundland and Labrador,"Males, 65 years and over",10,5.2
2018,Newfoundland and Labrador,"Males, 65 years and over",10,2.7
2019,Newfoundland and Labrador,"Males, 65 years and over",10,4.3
2020,Newfoundland and Labrador,"Males, 65 years and over",10,3.0
2021,Newfoundland and Labrador,"Males, 65 years and over",10,4.8
2022,Newfoundland and Labrador,"Males, 65 years and over",10,4.7
2023,Newfoundland and Labrador,"Males, 65 years and over",10,5.3
2015,Newfoundland and Labrador,"Males, under 18 years",10,14.1
2016,Newfoundland and Labrador,"Males, under 18 years",10,13.5
2017,Newfoundland and Labrador,"Males, under 18 years",10,11.0
2018,Newfoundland and Labrador,"Males, under 18 years",10,10.9
2019,Newfoundland and Labrador,"Males, under 18 years",10,15.8
2021,Newfoundland and Labrador,"Males, under 18 years",10,7.5
2022,Newfoundland and Labrador,"Males, under 18 years",10,10.2
2023,Newfoundland and Labrador,"Males, under 18 years",10,16.1
2015,Newfoundland and Labrador,Persons 18 to 64 years,10,13.7
2016,Newfoundland and Labrador,Persons 18 to 64 years,10,13.3
2017,Newfoundland and Labrador,Persons 18 to 64 years,10,12.6
2018,Newfoundland and Labrador,Persons 18 to 64 years,10,13.7
2019,Newfoundland and Labrador,Persons 18 to 64 years,10,11.9
2020,Newfoundland and Labrador,Persons 18 to 64 years,10,8.1
2021,Newfoundland and Labrador,Persons 18 to 64 years,10,8.9
2022,Newfoundland and Labrador,Persons 18 to 64 years,10,11.2
2023,Newfoundland and Labrador,Persons 18 to 64 years,10,13.2
2015,Newfoundland and Labrador,Persons 65 years and over,10,8.8
2016,Newfoundland and Labrador,Persons 65 years and over,10,8.0
2017,Newfoundland and Labrador,Persons 65 years and over,10,6.9
2018,Newfoundland and Labrador,Persons 65 years and over,10,4.4
2019,Newfoundland and Labrador,Persons 65 years and over,10,6.0
2020,Newfoundland and Labrador,Persons 65 years and over,10,3.4
2021,Newfoundland and Labrador,Persons 65 years and over,10,4.7
2022,Newfoundland and Labrador,Persons 65 years and over,10,5.5
2023,Newfoundland and Labrador,Persons 65 years and over,10,5.1
2015,Newfoundland and Labrador,Persons under 18 years,10,15.2
2016,Newfoundland and Labrador,Persons under 18 years,10,13.0
2017,Newfoundland and Labrador,Persons under 18 years,10,11.5
2018,Newfoundland and Labrador,Persons under 18 years,10,11.5
2019,Newfoundland and Labrador,Persons under 18 years,10,15.3
2020,Newfoundland and Labrador,Persons under 18 years,10,7.9
2021,Newfoundland and Labrador,Persons under 18 years,10,9.9
2022,Newfoundland and Labrador,Persons under 18 years,10,11.0
2023,Newfoundland and Labrador,Persons under 18 years,10,14.9
2018,Northwest Territories,All persons,61,17.5
2019,Northwest Territories,All persons,61,12.5
2015,Nova Scotia,All persons,12,16.8
2016,Nova Scotia,All persons,12,16.4
2017,Nova Scotia,All persons,12,15.1
2018,Nova Scotia,All persons,12,13.8
2019,Nova Scotia,All persons,12,12.0
2020,Nova Scotia,All persons,12,7.7
2021,Nova Scotia,All persons,12,8.6
2022,Nova Scotia,All persons,12,13.1
2023,Nova Scotia,All persons,12,12.9
2015,Nova Scotia,Females,12,17.3
2016,Nova Scotia,Females,12,15.6
2017,Nova Scotia,Females,12,16.6
2018,Nova Scotia,Females,12,14.2
2019,Nova Scotia,Females,12,13.2
2020,Nova Scotia,Females,12,8.8
2021,Nova Scotia,Females,12,9.6
2022,Nova Scotia,Females,12,13.2
2023,Nova Scotia,Females,12,13.3
2015,Nova Scotia,"Females, 18 to 64 years",12,17.7
2016,Nova Scotia,"Females, 18 to 64 years",12,17.4
2017,Nova Scotia,"Females, 18 to 64 years",12,17.8
2018,Nova Scotia,"Females, 18 to 64 years",12,15.3
2019,Nova Scotia,"Females, 18 to 64 years",12,15.1
2020,Nova Scotia,"Females, 18 to 64 years",12,10.6
2021,Nova Scotia,"Females, 18 to 64 years",12,10.2
2022,Nova Scotia,"Females, 18 to 64 years",12,13.9
2023,Nova Scotia,"Females, 18 to 64 years",12,14.2
2015,Nova Scotia,"Females, 65 years and over",12,12.2
2016,Nova Scotia,"Females, 65 years and over",12,7.8
2017,Nova Scotia,"Females, 65 years and over",12,8.6
2018,Nova Scotia,"Females, 65 years and over",12,11.0
2019,Nova Scotia,"Females, 65 years and over",12,9.8
2020,Nova Scotia,"Females, 65 years and over",12,4.9
2021,Nova Scotia,"Females, 65 years and over",12,9.9
2022,Nova Scotia,"Females, 65 years and over",12,11.3
2023,Nova Scotia,"Females, 65 years and over",12,9.8
2015,Nova Scotia,"Females, under 18 years",12,22.0
2016,Nova Scotia,"Females, under 18 years",12,18.3
2017,Nova Scotia,"Females, under 18 years",12,21.9
2018,Nova Scotia,"Females, under 18 years",12,14.1
2019,Nova Scotia,"Females, under 18 years",12,10.5
2020,Nova Scotia,"Females, under 18 years",12,7.1
2021,Nova Scotia,"Females, under 18 years",12,7.1
2022,Nova Scotia,"Females, under 18 years",12,13.1
2023,Nova Scotia,"Females, under 18 years",12,14.8
2015,Nova Scotia,Males,12,16.2
2016,Nova Scotia,Males,12,17.3
2017,Nova Scotia,Males,12,13.6
2018,Nova Scotia,Males,12,13.4
2019,Nova Scotia,Males,12,10.7
2020,Nova Scotia,Males,12,6.6
2021,Nova Scotia,Males,12,7.5
2022,Nova Scotia,Males,12,13.0
2023,Nova Scotia,Males,12,12.6
2015,Nova Scotia,"Males, 18 to 64 years",12,17.5
2016,Nova Scotia,"Males, 18 to 64 years",12,18.8
2017,Nova Scotia,"Males, 18 to 64 years",12,14.9
2018,Nova Scotia,"Males, 18 to 64 years",12,14.5
2019,Nova Scotia,"Males, 18 to 64 years",12,12.1
2020,Nova Scotia,"Males, 18 to 64 years",12,8.3
2021,Nova Scotia,"Males, 18 to 64 years",12,7.9
2022,Nova Scotia,"Males, 18 to 64 years",12,13.7
2023,Nova Scotia,"Males, 18 to 64 years",12,13.5
2015,Nova Scotia,"Males, 65 years and over",12,8.2
2016,Nova Scotia,"Males, 65 years and over",12,8.1
2017,Nova Scotia,"Males, 65 years and over",12,5.0
2018,Nova Scotia,"Males, 65 years and over",12,6.3
2019,Nova Scotia,"Males, 65 years and over",12,6.0
2020,Nova Scotia,"Males, 65 years and over",12,4.0
2021,Nova Scotia,"Males, 65 years and over",12,8.1
2022,Nova Scotia,"Males, 65 years and over",12,9.3
2023,Nova Scotia,"Males, 65 years and over",12,7.1
2015,Nova Scotia,"Males, under 18 years",12,19.3
2016,Nova Scotia,"Males, under 18 years",12,21.4
2017,Nova Scotia,"Males, under 18 years",12,18.1
2018,Nova Scotia,"Males, under 18 years",12,17.5
2019,Nova Scotia,"Males, under 18 years",12,11.3
2020,Nova Scotia,"Males, under 18 years",12,4.1
2021,Nova Scotia,"Males, under 18 years",12,5.2
