Year,data.Geography,data.Living arrangement,data.Household food security status,Value
2017-2018,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,18.2
2015-2016,data.Ontario,data.Other living arrangements,data.Food secure,
2017-2018,data.Ontario,data.Other living arrangements,data.Food secure,87.0
2015-2016,data.Ontario,data.Other living arrangements,data.Food insecure marginal,
2017-2018,data.Ontario,data.Other living arrangements,data.Food insecure marginal,4.6
2015-2016,data.Ontario,data.Other living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Other living arrangements,data.Food insecure moderate and severe,8.4
2015-2016,data.Manitoba,data.Total all living arrangements,data.Food secure,86.0
2017-2018,data.Manitoba,data.Total all living arrangements,data.Food secure,85.6
2015-2016,data.Manitoba,data.Total all living arrangements,data.Food insecure marginal,4.1
2017-2018,data.Manitoba,data.Total all living arrangements,data.Food insecure marginal,4.2
2015-2016,data.Manitoba,data.Total all living arrangements,data.Food insecure moderate and severe,10.0
2017-2018,data.Manitoba,data.Total all living arrangements,data.Food insecure moderate and severe,10.2
2015-2016,data.Manitoba,data.Female living alone,data.Food secure,85.0
2017-2018,data.Manitoba,data.Female living alone,data.Food secure,81.4
2015-2016,data.Manitoba,data.Female living alone,data.Food insecure marginal,2.7
2017-2018,data.Manitoba,data.Female living alone,data.Food insecure marginal,5.8
2015-2016,data.Manitoba,data.Female living alone,data.Food insecure moderate and severe,12.3
2017-2018,data.Manitoba,data.Female living alone,data.Food insecure moderate and severe,12.8
2015-2016,data.Manitoba,data.Male living alone,data.Food secure,80.2
2017-2018,data.Manitoba,data.Male living alone,data.Food secure,82.3
2015-2016,data.Manitoba,data.Male living alone,data.Food insecure marginal,5.3
2017-2018,data.Manitoba,data.Male living alone,data.Food insecure marginal,6.6
2015-2016,data.Manitoba,data.Male living alone,data.Food insecure moderate and severe,14.5
2017-2018,data.Manitoba,data.Male living alone,data.Food insecure moderate and severe,11.0
2015-2016,data.Manitoba,data.Couple no children,data.Food secure,95.4
2017-2018,data.Manitoba,data.Couple no children,data.Food secure,94.5
2015-2016,data.Manitoba,data.Couple no children,data.Food insecure marginal,1.5
2017-2018,data.Manitoba,data.Couple no children,data.Food insecure marginal,2.0
2015-2016,data.Manitoba,data.Couple no children,data.Food insecure moderate and severe,3.1
2017-2018,data.Manitoba,data.Couple no children,data.Food insecure moderate and severe,3.5
2015-2016,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food secure,86.8
2017-2018,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food secure,87.2
2015-2016,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.8
2017-2018,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.0
2015-2016,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,8.3
2017-2018,data.Manitoba,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,8.9
2015-2016,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,51.0
2017-2018,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,51.1
2015-2016,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,14.0
2017-2018,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,7.8
2015-2016,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,35.0
2017-2018,data.Manitoba,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,41.1
2015-2016,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,77.7
2017-2018,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,56.0
2015-2016,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Manitoba,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,37.3
2015-2016,data.Manitoba,data.Other living arrangements,data.Food secure,83.3
2017-2018,data.Manitoba,data.Other living arrangements,data.Food secure,84.9
2015-2016,data.Manitoba,data.Other living arrangements,data.Food insecure marginal,5.2
2017-2018,data.Manitoba,data.Other living arrangements,data.Food insecure marginal,3.9
2015-2016,data.Manitoba,data.Other living arrangements,data.Food insecure moderate and severe,11.4
2017-2018,data.Manitoba,data.Other living arrangements,data.Food insecure moderate and severe,11.2
2015-2016,data.Saskatchewan,data.Total all living arrangements,data.Food secure,86.8
2017-2018,data.Saskatchewan,data.Total all living arrangements,data.Food secure,86.1
2015-2016,data.Saskatchewan,data.Total all living arrangements,data.Food insecure marginal,4.0
2017-2018,data.Saskatchewan,data.Total all living arrangements,data.Food insecure marginal,4.6
2015-2016,data.Saskatchewan,data.Total all living arrangements,data.Food insecure moderate and severe,9.3
2017-2018,data.Saskatchewan,data.Total all living arrangements,data.Food insecure moderate and severe,9.3
2015-2016,data.Saskatchewan,data.Female living alone,data.Food secure,88.2
2017-2018,data.Saskatchewan,data.Female living alone,data.Food secure,84.8
2015-2016,data.Saskatchewan,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Saskatchewan,data.Female living alone,data.Food insecure marginal,3.9
2015-2016,data.Saskatchewan,data.Female living alone,data.Food insecure moderate and severe,9.8
2017-2018,data.Saskatchewan,data.Female living alone,data.Food insecure moderate and severe,11.2
2015-2016,data.Saskatchewan,data.Male living alone,data.Food secure,83.4
2017-2018,data.Saskatchewan,data.Male living alone,data.Food secure,86.8
2015-2016,data.Saskatchewan,data.Male living alone,data.Food insecure marginal,4.6
2017-2018,data.Saskatchewan,data.Male living alone,data.Food insecure marginal,2.7
2015-2016,data.Saskatchewan,data.Male living alone,data.Food insecure moderate and severe,11.9
2017-2018,data.Saskatchewan,data.Male living alone,data.Food insecure moderate and severe,10.4
2015-2016,data.Saskatchewan,data.Couple no children,data.Food secure,94.8
2017-2018,data.Saskatchewan,data.Couple no children,data.Food secure,93.6
2015-2016,data.Saskatchewan,data.Couple no children,data.Food insecure marginal,2.0
2017-2018,data.Saskatchewan,data.Couple no children,data.Food insecure marginal,2.8
2015-2016,data.Saskatchewan,data.Couple no children,data.Food insecure moderate and severe,3.2
2017-2018,data.Saskatchewan,data.Couple no children,data.Food insecure moderate and severe,3.6
2015-2016,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food secure,87.4
2017-2018,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food secure,87.6
2015-2016,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,5.5
2017-2018,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,5.2
2015-2016,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.1
2017-2018,data.Saskatchewan,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.2
2015-2016,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,58.2
2017-2018,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,63.1
2015-2016,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,8.9
2015-2016,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,34.0
2017-2018,data.Saskatchewan,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,28.0
2015-2016,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,91.8
2017-2018,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,67.4
2015-2016,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Saskatchewan,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Saskatchewan,data.Other living arrangements,data.Food secure,79.8
2017-2018,data.Saskatchewan,data.Other living arrangements,data.Food secure,78.8
2015-2016,data.Saskatchewan,data.Other living arrangements,data.Food insecure marginal,5.9
2017-2018,data.Saskatchewan,data.Other living arrangements,data.Food insecure marginal,7.2
2015-2016,data.Saskatchewan,data.Other living arrangements,data.Food insecure moderate and severe,14.3
2017-2018,data.Saskatchewan,data.Other living arrangements,data.Food insecure moderate and severe,14.0
2015-2016,data.Alberta,data.Total all living arrangements,data.Food secure,87.4
2017-2018,data.Alberta,data.Total all living arrangements,data.Food secure,87.1
2015-2016,data.Alberta,data.Total all living arrangements,data.Food insecure marginal,3.7
2017-2018,data.Alberta,data.Total all living arrangements,data.Food insecure marginal,3.7
2015-2016,data.Alberta,data.Total all living arrangements,data.Food insecure moderate and severe,8.8
2017-2018,data.Alberta,data.Total all living arrangements,data.Food insecure moderate and severe,9.2
2015-2016,data.Alberta,data.Female living alone,data.Food secure,84.3
2017-2018,data.Alberta,data.Female living alone,data.Food secure,84.6
2015-2016,data.Alberta,data.Female living alone,data.Food insecure marginal,4.0
2017-2018,data.Alberta,data.Female living alone,data.Food insecure marginal,3.5
2015-2016,data.Alberta,data.Female living alone,data.Food insecure moderate and severe,11.8
2017-2018,data.Alberta,data.Female living alone,data.Food insecure moderate and severe,11.9
2015-2016,data.Alberta,data.Male living alone,data.Food secure,85.3
2017-2018,data.Alberta,data.Male living alone,data.Food secure,83.4
2015-2016,data.Alberta,data.Male living alone,data.Food insecure marginal,4.1
2017-2018,data.Alberta,data.Male living alone,data.Food insecure marginal,3.9
2015-2016,data.Alberta,data.Male living alone,data.Food insecure moderate and severe,10.6
2017-2018,data.Alberta,data.Male living alone,data.Food insecure moderate and severe,12.7
2015-2016,data.Alberta,data.Couple no children,data.Food secure,94.6
2017-2018,data.Alberta,data.Couple no children,data.Food secure,94.2
2015-2016,data.Alberta,data.Couple no children,data.Food insecure marginal,1.7
2017-2018,data.Alberta,data.Couple no children,data.Food insecure marginal,2.3
2015-2016,data.Alberta,data.Couple no children,data.Food insecure moderate and severe,3.7
2017-2018,data.Alberta,data.Couple no children,data.Food insecure moderate and severe,3.6
2015-2016,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food secure,86.3
2017-2018,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food secure,86.8
2015-2016,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.8
2017-2018,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.7
2015-2016,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,9.0
2017-2018,data.Alberta,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,8.6
2015-2016,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,66.9
2017-2018,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,65.0
2015-2016,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,7.7
2017-2018,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,9.1
2015-2016,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,25.5
2017-2018,data.Alberta,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,25.9
2015-2016,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,78.2
2017-2018,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,81.4
2015-2016,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,13.0
2017-2018,data.Alberta,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Alberta,data.Other living arrangements,data.Food secure,85.8
2017-2018,data.Alberta,data.Other living arrangements,data.Food secure,85.3
2015-2016,data.Alberta,data.Other living arrangements,data.Food insecure marginal,4.1
2017-2018,data.Alberta,data.Other living arrangements,data.Food insecure marginal,3.6
2015-2016,data.Alberta,data.Other living arrangements,data.Food insecure moderate and severe,10.0
2017-2018,data.Alberta,data.Other living arrangements,data.Food insecure moderate and severe,11.1
2015-2016,data.British Columbia,data.Total all living arrangements,data.Food secure,87.7
2017-2018,data.British Columbia,data.Total all living arrangements,data.Food secure,87.6
2015-2016,data.British Columbia,data.Total all living arrangements,data.Food insecure marginal,3.5
2017-2018,data.British Columbia,data.Total all living arrangements,data.Food insecure marginal,3.7
2015-2016,data.British Columbia,data.Total all living arrangements,data.Food insecure moderate and severe,8.8
2017-2018,data.British Columbia,data.Total all living arrangements,data.Food insecure moderate and severe,8.7
2015-2016,data.British Columbia,data.Female living alone,data.Food secure,85.4
2017-2018,data.British Columbia,data.Female living alone,data.Food secure,86.0
2015-2016,data.British Columbia,data.Female living alone,data.Food insecure marginal,3.9
2017-2018,data.British Columbia,data.Female living alone,data.Food insecure marginal,3.1
2015-2016,data.British Columbia,data.Female living alone,data.Food insecure moderate and severe,10.7
2017-2018,data.British Columbia,data.Female living alone,data.Food insecure moderate and severe,10.9
2015-2016,data.British Columbia,data.Male living alone,data.Food secure,80.8
2017-2018,data.British Columbia,data.Male living alone,data.Food secure,82.9
2015-2016,data.British Columbia,data.Male living alone,data.Food insecure marginal,4.9
2017-2018,data.British Columbia,data.Male living alone,data.Food insecure marginal,4.1
2015-2016,data.British Columbia,data.Male living alone,data.Food insecure moderate and severe,14.4
2017-2018,data.British Columbia,data.Male living alone,data.Food insecure moderate and severe,13.0
2015-2016,data.British Columbia,data.Couple no children,data.Food secure,94.8
2017-2018,data.British Columbia,data.Couple no children,data.Food secure,95.1
2015-2016,data.British Columbia,data.Couple no children,data.Food insecure marginal,1.8
2017-2018,data.British Columbia,data.Couple no children,data.Food insecure marginal,2.1
2015-2016,data.British Columbia,data.Couple no children,data.Food insecure moderate and severe,3.5
2017-2018,data.British Columbia,data.Couple no children,data.Food insecure moderate and severe,2.8
2015-2016,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food secure,88.3
2017-2018,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food secure,89.2
2015-2016,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.2
2017-2018,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,3.6
2015-2016,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.5
2017-2018,data.British Columbia,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.2
2015-2016,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,69.7
2017-2018,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,68.0
2015-2016,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,8.7
2017-2018,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,9.1
2015-2016,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,21.5
2017-2018,data.British Columbia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,22.9
2015-2016,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,78.8
2017-2018,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,69.4
2015-2016,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,15.9
2017-2018,data.British Columbia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,27.5
2015-2016,data.British Columbia,data.Other living arrangements,data.Food secure,87.6
2017-2018,data.British Columbia,data.Other living arrangements,data.Food secure,84.1
2015-2016,data.British Columbia,data.Other living arrangements,data.Food insecure marginal,2.8
2017-2018,data.British Columbia,data.Other living arrangements,data.Food insecure marginal,5.2
2015-2016,data.British Columbia,data.Other living arrangements,data.Food insecure moderate and severe,9.6
2017-2018,data.British Columbia,data.Other living arrangements,data.Food insecure moderate and severe,10.7
2015-2016,data.Yukon,data.Total all living arrangements,data.Food secure,
2017-2018,data.Yukon,data.Total all living arrangements,data.Food secure,83.1
2015-2016,data.Yukon,data.Total all living arrangements,data.Food insecure marginal,
2017-2018,data.Yukon,data.Total all living arrangements,data.Food insecure marginal,4.3
2015-2016,data.Yukon,data.Total all living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Total all living arrangements,data.Food insecure moderate and severe,12.6
2015-2016,data.Yukon,data.Female living alone,data.Food secure,
2017-2018,data.Yukon,data.Female living alone,data.Food secure,80.4
2015-2016,data.Yukon,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Yukon,data.Female living alone,data.Food insecure marginal,
2015-2016,data.Yukon,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Female living alone,data.Food insecure moderate and severe,16.2
2015-2016,data.Yukon,data.Male living alone,data.Food secure,
2017-2018,data.Yukon,data.Male living alone,data.Food secure,79.5
2015-2016,data.Yukon,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Yukon,data.Male living alone,data.Food insecure marginal,
2015-2016,data.Yukon,data.Male living alone,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Male living alone,data.Food insecure moderate and severe,14.1
2015-2016,data.Yukon,data.Couple no children,data.Food secure,
2017-2018,data.Yukon,data.Couple no children,data.Food secure,91.3
2015-2016,data.Yukon,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Yukon,data.Couple no children,data.Food insecure marginal,
2015-2016,data.Yukon,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Couple no children,data.Food insecure moderate and severe,6.3
2015-2016,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food secure,89.4
2015-2016,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,63.8
2015-2016,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2015-2016,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Yukon,data.Other living arrangements,data.Food secure,
2017-2018,data.Yukon,data.Other living arrangements,data.Food secure,75.2
2015-2016,data.Yukon,data.Other living arrangements,data.Food insecure marginal,
2017-2018,data.Yukon,data.Other living arrangements,data.Food insecure marginal,
2015-2016,data.Yukon,data.Other living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Yukon,data.Other living arrangements,data.Food insecure moderate and severe,20.4
2015-2016,data.Northwest Territories,data.Total all living arrangements,data.Food secure,79.7
2017-2018,data.Northwest Territories,data.Total all living arrangements,data.Food secure,78.4
2015-2016,data.Northwest Territories,data.Total all living arrangements,data.Food insecure marginal,5.6
2017-2018,data.Northwest Territories,data.Total all living arrangements,data.Food insecure marginal,5.7
2015-2016,data.Northwest Territories,data.Total all living arrangements,data.Food insecure moderate and severe,14.7
2017-2018,data.Northwest Territories,data.Total all living arrangements,data.Food insecure moderate and severe,16.0
2015-2016,data.Northwest Territories,data.Female living alone,data.Food secure,85.9
2017-2018,data.Northwest Territories,data.Female living alone,data.Food secure,81.7
2015-2016,data.Northwest Territories,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Female living alone,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Northwest Territories,data.Female living alone,data.Food insecure moderate and severe,15.5
2015-2016,data.Northwest Territories,data.Male living alone,data.Food secure,70.6
2017-2018,data.Northwest Territories,data.Male living alone,data.Food secure,77.0
2015-2016,data.Northwest Territories,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Male living alone,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Male living alone,data.Food insecure moderate and severe,24.4
2017-2018,data.Northwest Territories,data.Male living alone,data.Food insecure moderate and severe,19.8
2015-2016,data.Northwest Territories,data.Couple no children,data.Food secure,93.4
2017-2018,data.Northwest Territories,data.Couple no children,data.Food secure,85.6
2015-2016,data.Northwest Territories,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Couple no children,data.Food insecure marginal,8.2
2015-2016,data.Northwest Territories,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Northwest Territories,data.Couple no children,data.Food insecure moderate and severe,6.2
2015-2016,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food secure,78.7
2017-2018,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food secure,82.4
2015-2016,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,16.0
2017-2018,data.Northwest Territories,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,12.1
2015-2016,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,53.3
2017-2018,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,45.1
2015-2016,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,28.8
2017-2018,data.Northwest Territories,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,47.6
2015-2016,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2015-2016,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Northwest Territories,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Northwest Territories,data.Other living arrangements,data.Food secure,77.6
2017-2018,data.Northwest Territories,data.Other living arrangements,data.Food secure,73.2
2015-2016,data.Northwest Territories,data.Other living arrangements,data.Food insecure marginal,5.8
2017-2018,data.Northwest Territories,data.Other living arrangements,data.Food insecure marginal,
2015-2016,data.Northwest Territories,data.Other living arrangements,data.Food insecure moderate and severe,16.6
2017-2018,data.Northwest Territories,data.Other living arrangements,data.Food insecure moderate and severe,20.6
2015-2016,data.Nunavut,data.Total all living arrangements,data.Food secure,47.9
2017-2018,data.Nunavut,data.Total all living arrangements,data.Food secure,43.1
2015-2016,data.Nunavut,data.Total all living arrangements,data.Food insecure marginal,6.0
2017-2018,data.Nunavut,data.Total all living arrangements,data.Food insecure marginal,7.6
2015-2016,data.Nunavut,data.Total all living arrangements,data.Food insecure moderate and severe,46.1
2017-2018,data.Nunavut,data.Total all living arrangements,data.Food insecure moderate and severe,49.4
2015-2016,data.Nunavut,data.Female living alone,data.Food secure,72.2
2017-2018,data.Nunavut,data.Female living alone,data.Food secure,73.9
2015-2016,data.Nunavut,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Nunavut,data.Female living alone,data.Food insecure marginal,
2015-2016,data.Nunavut,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Nunavut,data.Female living alone,data.Food insecure moderate and severe,
2015-2016,data.Nunavut,data.Male living alone,data.Food secure,66.0
2017-2018,data.Nunavut,data.Male living alone,data.Food secure,63.0
2015-2016,data.Nunavut,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Nunavut,data.Male living alone,data.Food insecure marginal,
2015-2016,data.Nunavut,data.Male living alone,data.Food insecure moderate and severe,31.8
2017-2018,data.Nunavut,data.Male living alone,data.Food insecure moderate and severe,36.3
2015-2016,data.Nunavut,data.Couple no children,data.Food secure,83.2
2017-2018,data.Nunavut,data.Couple no children,data.Food secure,80.6
2015-2016,data.Nunavut,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Nunavut,data.Couple no children,data.Food insecure marginal,
2015-2016,data.Nunavut,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Nunavut,data.Couple no children,data.Food insecure moderate and severe,
2015-2016,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food secure,40.1
2017-2018,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food secure,33.9
2015-2016,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,12.7
2015-2016,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,51.5
2017-2018,data.Nunavut,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,53.3
2015-2016,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,20.7
2015-2016,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,78.1
2017-2018,data.Nunavut,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,69.0
2015-2016,data.Nunavut,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Nunavut,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
