Year,Units,Geography,Offences,Age,Sex,Value
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Sex unknown,31.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Sex unknown,132.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Sex unknown,22.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Total,29.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Total,22.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Total,21.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Total,28.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Total,15.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,37.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,24.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,19.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,24.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,15.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,29.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,10.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,19.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,29.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,29.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,22.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,1.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,22.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,71.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,5.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Total,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Total,14.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Total,8.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Total,22.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Total,15.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,14.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,12.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,26.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,16.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,12.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,1.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,22.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,15.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,8.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,16.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,5.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,10.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,1.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Total,11.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Total,8.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Total,15.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Total,1.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Total,15.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,23.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,9.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,12.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,1.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,19.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,15.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,8.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,1.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,1.0
2014/2015,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,1.0
2016/2017,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,70.0
2017/2018,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,14.0
2018/2019,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,14.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,Total,Total,163.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Total,Total,171.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,Total,Total,169.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,Total,Total,169.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,Total,Total,167.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,Total,Males,164.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Total,Males,170.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,Total,Males,170.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,Total,Males,169.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,Total,Males,177.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,Total,Females,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Total,Females,176.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,Total,Females,175.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,Total,Females,169.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,Total,Females,177.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,Total,Company,610.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Total,Company,746.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,Total,Company,506.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,Total,Company,1622.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,Total,Company,1.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,Total,Sex unknown,115.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Total,Sex unknown,157.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,Total,Sex unknown,156.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,Total,Sex unknown,148.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,Total,Sex unknown,99.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Total,181.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Total,190.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Total,183.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Total,188.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Total,195.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,183.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,182.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,183.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,192.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,200.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,183.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,203.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,195.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,176.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,204.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,151.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,177.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,165.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,189.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,170.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Total,160.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Total,169.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Total,171.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Total,162.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Total,173.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,156.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,167.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,166.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,158.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,189.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,196.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,176.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,183.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,170.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,176.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,86.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,150.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,168.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,126.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,80.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Total,163.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Total,173.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Total,174.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Total,174.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Total,162.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,164.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,176.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,176.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,177.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,172.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,168.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,172.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,169.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,182.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,103.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,176.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,133.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,133.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,77.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Total,163.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Total,169.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Total,163.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Total,168.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Total,155.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,166.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,170.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,164.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,168.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,169.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,171.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,169.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,155.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,178.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,169.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,122.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,117.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,166.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,80.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,87.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Total,127.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Total,141.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Total,133.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Total,134.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Total,123.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,129.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,144.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,141.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,141.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,128.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,129.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,125.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,107.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,109.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,131.0
2014/2015,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,65.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,114.0
2016/2017,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,113.0
2017/2018,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,96.0
2018/2019,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,76.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Total,176.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Total,183.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Total,176.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Total,173.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Total,176.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Males,179.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Males,185.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Males,179.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Males,176.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Males,189.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Females,187.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Females,184.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Females,175.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Females,170.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Females,183.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Company,0.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Company,98.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Company,506.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Company,0.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Company,111.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Sex unknown,120.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Sex unknown,156.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Sex unknown,158.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Sex unknown,148.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,Total,Sex unknown,112.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Total,189.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Total,196.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Total,186.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Total,192.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Total,197.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,191.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,193.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,189.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,198.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,203.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,193.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,210.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,190.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,180.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,210.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,134.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,170.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,164.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,186.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,174.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Total,177.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Total,179.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Total,179.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Total,168.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Total,184.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,177.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,178.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,177.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,168.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,201.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,211.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,184.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,183.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,176.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,181.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,91.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,163.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,169.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,125.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,99.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Total,176.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Total,190.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Total,182.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Total,177.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Total,170.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,198.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,189.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,184.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,179.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,183.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,175.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,176.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,170.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,191.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,106.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,183.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,134.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,133.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,92.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Total,175.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Total,178.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Total,169.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Total,170.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Total,168.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,179.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,184.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,170.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,171.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,182.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,183.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,177.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,155.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,183.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,176.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,132.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,131.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,166.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,72.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,101.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Total,135.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Total,144.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Total,137.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Total,136.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Total,130.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,141.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,155.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,154.0
2017/2018,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,144.0
2018/2019,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,141.0
2014/2015,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,139.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,128.0
2016/2017,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,106.0
