Year,data.Geography,data.Type of case,data.Elapsed time,GeoCode,Value
2015/2016,data.Yukon,data.Total cases,data.Greater than 3 months to 6 months,60,15.78
2015/2016,data.Yukon,data.Total cases,data.Greater than 6 months to 12 months,60,12.26
2015/2016,data.Yukon,data.Total cases,data.Greater than 12 months to 24 months,60,8.53
2015/2016,data.Yukon,data.Total cases,data.Greater than 24 months,60,3.41
2015/2016,data.Yukon,data.Total cases,data.Unknown,60,0.0
2015/2016,data.Yukon,data.General civil cases,data.Less than or equal to 3 months,60,60.16
2015/2016,data.Yukon,data.General civil cases,data.Greater than 3 months to 6 months,60,14.35
2015/2016,data.Yukon,data.General civil cases,data.Greater than 6 months to 12 months,60,12.9
2015/2016,data.Yukon,data.General civil cases,data.Greater than 12 months to 24 months,60,9.19
2015/2016,data.Yukon,data.General civil cases,data.Greater than 24 months,60,3.39
2015/2016,data.Yukon,data.General civil cases,data.Unknown,60,0.0
2015/2016,data.Yukon,data.Family cases,data.Less than or equal to 3 months,60,59.75
2015/2016,data.Yukon,data.Family cases,data.Greater than 3 months to 6 months,60,18.55
2015/2016,data.Yukon,data.Family cases,data.Greater than 6 months to 12 months,60,11.01
2015/2016,data.Yukon,data.Family cases,data.Greater than 12 months to 24 months,60,7.23
2015/2016,data.Yukon,data.Family cases,data.Greater than 24 months,60,3.46
2015/2016,data.Yukon,data.Family cases,data.Unknown,60,0.0
2015/2016,data.Northwest Territories,data.Total cases,data.Less than or equal to 3 months,61,80.8
2015/2016,data.Northwest Territories,data.Total cases,data.Greater than 3 months to 6 months,61,4.99
2015/2016,data.Northwest Territories,data.Total cases,data.Greater than 6 months to 12 months,61,3.74
2015/2016,data.Northwest Territories,data.Total cases,data.Greater than 12 months to 24 months,61,5.49
2015/2016,data.Northwest Territories,data.Total cases,data.Greater than 24 months,61,4.99
2015/2016,data.Northwest Territories,data.Total cases,data.Unknown,61,0.0
2015/2016,data.Northwest Territories,data.General civil cases,data.Less than or equal to 3 months,61,80.37
2015/2016,data.Northwest Territories,data.General civil cases,data.Greater than 3 months to 6 months,61,5.19
2015/2016,data.Northwest Territories,data.General civil cases,data.Greater than 6 months to 12 months,61,3.7
2015/2016,data.Northwest Territories,data.General civil cases,data.Greater than 12 months to 24 months,61,5.19
2015/2016,data.Northwest Territories,data.General civil cases,data.Greater than 24 months,61,5.56
2015/2016,data.Northwest Territories,data.General civil cases,data.Unknown,61,0.0
2015/2016,data.Northwest Territories,data.Family cases,data.Less than or equal to 3 months,61,81.68
2015/2016,data.Northwest Territories,data.Family cases,data.Greater than 3 months to 6 months,61,4.58
2015/2016,data.Northwest Territories,data.Family cases,data.Greater than 6 months to 12 months,61,3.82
2015/2016,data.Northwest Territories,data.Family cases,data.Greater than 12 months to 24 months,61,6.11
2015/2016,data.Northwest Territories,data.Family cases,data.Greater than 24 months,61,3.82
2015/2016,data.Northwest Territories,data.Family cases,data.Unknown,61,0.0
2015/2016,data.Nunavut,data.Total cases,data.Less than or equal to 3 months,62,63.1
2015/2016,data.Nunavut,data.Total cases,data.Greater than 3 months to 6 months,62,13.19
2015/2016,data.Nunavut,data.Total cases,data.Greater than 6 months to 12 months,62,9.63
2015/2016,data.Nunavut,data.Total cases,data.Greater than 12 months to 24 months,62,7.66
2015/2016,data.Nunavut,data.Total cases,data.Greater than 24 months,62,6.42
2015/2016,data.Nunavut,data.Total cases,data.Unknown,62,0.0
2015/2016,data.Nunavut,data.General civil cases,data.Less than or equal to 3 months,62,17.78
2015/2016,data.Nunavut,data.General civil cases,data.Greater than 3 months to 6 months,62,19.44
2015/2016,data.Nunavut,data.General civil cases,data.Greater than 6 months to 12 months,62,25.0
2015/2016,data.Nunavut,data.General civil cases,data.Greater than 12 months to 24 months,62,20.0
2015/2016,data.Nunavut,data.General civil cases,data.Greater than 24 months,62,17.78
2015/2016,data.Nunavut,data.General civil cases,data.Unknown,62,0.0
2015/2016,data.Nunavut,data.Family cases,data.Less than or equal to 3 months,62,84.51
2015/2016,data.Nunavut,data.Family cases,data.Greater than 3 months to 6 months,62,10.24
2015/2016,data.Nunavut,data.Family cases,data.Greater than 6 months to 12 months,62,2.36
2015/2016,data.Nunavut,data.Family cases,data.Greater than 12 months to 24 months,62,1.84
2015/2016,data.Nunavut,data.Family cases,data.Greater than 24 months,62,1.05
2015/2016,data.Nunavut,data.Family cases,data.Unknown,62,0.0
2016/2017,data.Canada,data.Total cases,data.Less than or equal to 3 months,,54.1
2016/2017,data.Canada,data.Total cases,data.Greater than 3 months to 6 months,,17.55
2016/2017,data.Canada,data.Total cases,data.Greater than 6 months to 12 months,,12.57
2016/2017,data.Canada,data.Total cases,data.Greater than 12 months to 24 months,,8.47
2016/2017,data.Canada,data.Total cases,data.Greater than 24 months,,7.23
2016/2017,data.Canada,data.Total cases,data.Unknown,,0.08
2016/2017,data.Canada,data.General civil cases,data.Less than or equal to 3 months,,48.67
2016/2017,data.Canada,data.General civil cases,data.Greater than 3 months to 6 months,,16.79
2016/2017,data.Canada,data.General civil cases,data.Greater than 6 months to 12 months,,14.16
2016/2017,data.Canada,data.General civil cases,data.Greater than 12 months to 24 months,,10.61
2016/2017,data.Canada,data.General civil cases,data.Greater than 24 months,,9.74
2016/2017,data.Canada,data.General civil cases,data.Unknown,,0.04
2016/2017,data.Canada,data.Family cases,data.Less than or equal to 3 months,,63.03
2016/2017,data.Canada,data.Family cases,data.Greater than 3 months to 6 months,,18.81
2016/2017,data.Canada,data.Family cases,data.Greater than 6 months to 12 months,,9.95
2016/2017,data.Canada,data.Family cases,data.Greater than 12 months to 24 months,,4.95
2016/2017,data.Canada,data.Family cases,data.Greater than 24 months,,3.1
2016/2017,data.Canada,data.Family cases,data.Unknown,,0.16
2016/2017,data.Prince Edward Island,data.Total cases,data.Less than or equal to 3 months,11,63.15
2016/2017,data.Prince Edward Island,data.Total cases,data.Greater than 3 months to 6 months,11,17.84
2016/2017,data.Prince Edward Island,data.Total cases,data.Greater than 6 months to 12 months,11,12.12
2016/2017,data.Prince Edward Island,data.Total cases,data.Greater than 12 months to 24 months,11,5.68
2016/2017,data.Prince Edward Island,data.Total cases,data.Greater than 24 months,11,1.09
2016/2017,data.Prince Edward Island,data.Total cases,data.Unknown,11,0.13
2016/2017,data.Prince Edward Island,data.General civil cases,data.Less than or equal to 3 months,11,63.96
2016/2017,data.Prince Edward Island,data.General civil cases,data.Greater than 3 months to 6 months,11,16.38
2016/2017,data.Prince Edward Island,data.General civil cases,data.Greater than 6 months to 12 months,11,12.11
2016/2017,data.Prince Edward Island,data.General civil cases,data.Greater than 12 months to 24 months,11,6.29
2016/2017,data.Prince Edward Island,data.General civil cases,data.Greater than 24 months,11,1.15
2016/2017,data.Prince Edward Island,data.General civil cases,data.Unknown,11,0.12
2016/2017,data.Prince Edward Island,data.Family cases,data.Less than or equal to 3 months,11,60.96
2016/2017,data.Prince Edward Island,data.Family cases,data.Greater than 3 months to 6 months,11,21.77
2016/2017,data.Prince Edward Island,data.Family cases,data.Greater than 6 months to 12 months,11,12.13
2016/2017,data.Prince Edward Island,data.Family cases,data.Greater than 12 months to 24 months,11,4.04
2016/2017,data.Prince Edward Island,data.Family cases,data.Greater than 24 months,11,0.93
2016/2017,data.Prince Edward Island,data.Family cases,data.Unknown,11,0.16
2016/2017,data.Nova Scotia,data.Total cases,data.Less than or equal to 3 months,12,42.89
2016/2017,data.Nova Scotia,data.Total cases,data.Greater than 3 months to 6 months,12,17.73
2016/2017,data.Nova Scotia,data.Total cases,data.Greater than 6 months to 12 months,12,15.3
2016/2017,data.Nova Scotia,data.Total cases,data.Greater than 12 months to 24 months,12,12.5
2016/2017,data.Nova Scotia,data.Total cases,data.Greater than 24 months,12,10.94
2016/2017,data.Nova Scotia,data.Total cases,data.Unknown,12,0.64
2016/2017,data.Nova Scotia,data.General civil cases,data.Less than or equal to 3 months,12,35.36
2016/2017,data.Nova Scotia,data.General civil cases,data.Greater than 3 months to 6 months,12,15.6
2016/2017,data.Nova Scotia,data.General civil cases,data.Greater than 6 months to 12 months,12,15.52
2016/2017,data.Nova Scotia,data.General civil cases,data.Greater than 12 months to 24 months,12,17.04
2016/2017,data.Nova Scotia,data.General civil cases,data.Greater than 24 months,12,16.41
2016/2017,data.Nova Scotia,data.General civil cases,data.Unknown,12,0.08
2016/2017,data.Nova Scotia,data.Family cases,data.Less than or equal to 3 months,12,47.06
2016/2017,data.Nova Scotia,data.Family cases,data.Greater than 3 months to 6 months,12,18.92
2016/2017,data.Nova Scotia,data.Family cases,data.Greater than 6 months to 12 months,12,15.17
2016/2017,data.Nova Scotia,data.Family cases,data.Greater than 12 months to 24 months,12,9.98
2016/2017,data.Nova Scotia,data.Family cases,data.Greater than 24 months,12,7.91
2016/2017,data.Nova Scotia,data.Family cases,data.Unknown,12,0.95
2016/2017,data.New Brunswick,data.Total cases,data.Less than or equal to 3 months,13,56.26
2016/2017,data.New Brunswick,data.Total cases,data.Greater than 3 months to 6 months,13,14.04
2016/2017,data.New Brunswick,data.Total cases,data.Greater than 6 months to 12 months,13,13.43
2016/2017,data.New Brunswick,data.Total cases,data.Greater than 12 months to 24 months,13,9.07
2016/2017,data.New Brunswick,data.Total cases,data.Greater than 24 months,13,6.99
2016/2017,data.New Brunswick,data.Total cases,data.Unknown,13,0.21
2016/2017,data.New Brunswick,data.General civil cases,data.Less than or equal to 3 months,13,51.16
2016/2017,data.New Brunswick,data.General civil cases,data.Greater than 3 months to 6 months,13,15.23
2016/2017,data.New Brunswick,data.General civil cases,data.Greater than 6 months to 12 months,13,15.97
2016/2017,data.New Brunswick,data.General civil cases,data.Greater than 12 months to 24 months,13,10.28
2016/2017,data.New Brunswick,data.General civil cases,data.Greater than 24 months,13,7.04
2016/2017,data.New Brunswick,data.General civil cases,data.Unknown,13,0.32
2016/2017,data.New Brunswick,data.Family cases,data.Less than or equal to 3 months,13,62.13
2016/2017,data.New Brunswick,data.Family cases,data.Greater than 3 months to 6 months,13,12.67
2016/2017,data.New Brunswick,data.Family cases,data.Greater than 6 months to 12 months,13,10.51
2016/2017,data.New Brunswick,data.Family cases,data.Greater than 12 months to 24 months,13,7.68
2016/2017,data.New Brunswick,data.Family cases,data.Greater than 24 months,13,6.92
2016/2017,data.New Brunswick,data.Family cases,data.Unknown,13,0.08
2016/2017,data.Ontario,data.Total cases,data.Less than or equal to 3 months,35,51.91
2016/2017,data.Ontario,data.Total cases,data.Greater than 3 months to 6 months,35,18.46
2016/2017,data.Ontario,data.Total cases,data.Greater than 6 months to 12 months,35,12.13
2016/2017,data.Ontario,data.Total cases,data.Greater than 12 months to 24 months,35,9.02
2016/2017,data.Ontario,data.Total cases,data.Greater than 24 months,35,8.46
2016/2017,data.Ontario,data.Total cases,data.Unknown,35,0.01
2016/2017,data.Ontario,data.General civil cases,data.Less than or equal to 3 months,35,40.71
2016/2017,data.Ontario,data.General civil cases,data.Greater than 3 months to 6 months,35,18.43
2016/2017,data.Ontario,data.General civil cases,data.Greater than 6 months to 12 months,35,15.05
2016/2017,data.Ontario,data.General civil cases,data.Greater than 12 months to 24 months,35,12.65
2016/2017,data.Ontario,data.General civil cases,data.Greater than 24 months,35,13.15
2016/2017,data.Ontario,data.General civil cases,data.Unknown,35,0.01
2016/2017,data.Ontario,data.Family cases,data.Less than or equal to 3 months,35,69.87
2016/2017,data.Ontario,data.Family cases,data.Greater than 3 months to 6 months,35,18.51
2016/2017,data.Ontario,data.Family cases,data.Greater than 6 months to 12 months,35,7.45
2016/2017,data.Ontario,data.Family cases,data.Greater than 12 months to 24 months,35,3.21
2016/2017,data.Ontario,data.Family cases,data.Greater than 24 months,35,0.95
2016/2017,data.Ontario,data.Family cases,data.Unknown,35,0.01
2016/2017,data.Saskatchewan,data.Total cases,data.Less than or equal to 3 months,47,62.54
2016/2017,data.Saskatchewan,data.Total cases,data.Greater than 3 months to 6 months,47,14.73
2016/2017,data.Saskatchewan,data.Total cases,data.Greater than 6 months to 12 months,47,12.16
2016/2017,data.Saskatchewan,data.Total cases,data.Greater than 12 months to 24 months,47,6.87
2016/2017,data.Saskatchewan,data.Total cases,data.Greater than 24 months,47,3.16
2016/2017,data.Saskatchewan,data.Total cases,data.Unknown,47,0.55
2016/2017,data.Saskatchewan,data.General civil cases,data.Less than or equal to 3 months,47,69.74
2016/2017,data.Saskatchewan,data.General civil cases,data.Greater than 3 months to 6 months,47,11.22
2016/2017,data.Saskatchewan,data.General civil cases,data.Greater than 6 months to 12 months,47,9.9
2016/2017,data.Saskatchewan,data.General civil cases,data.Greater than 12 months to 24 months,47,5.84
2016/2017,data.Saskatchewan,data.General civil cases,data.Greater than 24 months,47,2.91
2016/2017,data.Saskatchewan,data.General civil cases,data.Unknown,47,0.4
2016/2017,data.Saskatchewan,data.Family cases,data.Less than or equal to 3 months,47,49.83
2016/2017,data.Saskatchewan,data.Family cases,data.Greater than 3 months to 6 months,47,20.92
2016/2017,data.Saskatchewan,data.Family cases,data.Greater than 6 months to 12 months,47,16.14
2016/2017,data.Saskatchewan,data.Family cases,data.Greater than 12 months to 24 months,47,8.68
2016/2017,data.Saskatchewan,data.Family cases,data.Greater than 24 months,47,3.61
2016/2017,data.Saskatchewan,data.Family cases,data.Unknown,47,0.82
2016/2017,data.Alberta,data.Total cases,data.Less than or equal to 3 months,48,63.73
2016/2017,data.Alberta,data.Total cases,data.Greater than 3 months to 6 months,48,12.9
2016/2017,data.Alberta,data.Total cases,data.Greater than 6 months to 12 months,48,10.86
2016/2017,data.Alberta,data.Total cases,data.Greater than 12 months to 24 months,48,7.02
2016/2017,data.Alberta,data.Total cases,data.Greater than 24 months,48,5.42
2016/2017,data.Alberta,data.Total cases,data.Unknown,48,0.06
2016/2017,data.Alberta,data.General civil cases,data.Less than or equal to 3 months,48,63.23
2016/2017,data.Alberta,data.General civil cases,data.Greater than 3 months to 6 months,48,11.75
2016/2017,data.Alberta,data.General civil cases,data.Greater than 6 months to 12 months,48,11.05
2016/2017,data.Alberta,data.General civil cases,data.Greater than 12 months to 24 months,48,7.57
2016/2017,data.Alberta,data.General civil cases,data.Greater than 24 months,48,6.39
2016/2017,data.Alberta,data.General civil cases,data.Unknown,48,0.02
2016/2017,data.Alberta,data.Family cases,data.Less than or equal to 3 months,48,64.7
2016/2017,data.Alberta,data.Family cases,data.Greater than 3 months to 6 months,48,15.12
2016/2017,data.Alberta,data.Family cases,data.Greater than 6 months to 12 months,48,10.51
2016/2017,data.Alberta,data.Family cases,data.Greater than 12 months to 24 months,48,5.98
2016/2017,data.Alberta,data.Family cases,data.Greater than 24 months,48,3.55
2016/2017,data.Alberta,data.Family cases,data.Unknown,48,0.14
2016/2017,data.British Columbia,data.Total cases,data.Less than or equal to 3 months,59,46.74
2016/2017,data.British Columbia,data.Total cases,data.Greater than 3 months to 6 months,59,22.11
2016/2017,data.British Columbia,data.Total cases,data.Greater than 6 months to 12 months,59,15.52
2016/2017,data.British Columbia,data.Total cases,data.Greater than 12 months to 24 months,59,8.71
2016/2017,data.British Columbia,data.Total cases,data.Greater than 24 months,59,6.77
2016/2017,data.British Columbia,data.Total cases,data.Unknown,59,0.15
2016/2017,data.British Columbia,data.General civil cases,data.Less than or equal to 3 months,59,45.48
2016/2017,data.British Columbia,data.General civil cases,data.Greater than 3 months to 6 months,59,20.75
2016/2017,data.British Columbia,data.General civil cases,data.Greater than 6 months to 12 months,59,16.65
2016/2017,data.British Columbia,data.General civil cases,data.Greater than 12 months to 24 months,59,10.13
2016/2017,data.British Columbia,data.General civil cases,data.Greater than 24 months,59,6.93
2016/2017,data.British Columbia,data.General civil cases,data.Unknown,59,0.06
2016/2017,data.British Columbia,data.Family cases,data.Less than or equal to 3 months,59,48.87
2016/2017,data.British Columbia,data.Family cases,data.Greater than 3 months to 6 months,59,24.42
2016/2017,data.British Columbia,data.Family cases,data.Greater than 6 months to 12 months,59,13.61
2016/2017,data.British Columbia,data.Family cases,data.Greater than 12 months to 24 months,59,6.3
2016/2017,data.British Columbia,data.Family cases,data.Greater than 24 months,59,6.5
2016/2017,data.British Columbia,data.Family cases,data.Unknown,59,0.3
2016/2017,data.Yukon,data.Total cases,data.Less than or equal to 3 months,60,61.69
2016/2017,data.Yukon,data.Total cases,data.Greater than 3 months to 6 months,60,12.38
2016/2017,data.Yukon,data.Total cases,data.Greater than 6 months to 12 months,60,13.23
2016/2017,data.Yukon,data.Total cases,data.Greater than 12 months to 24 months,60,8.54
2016/2017,data.Yukon,data.Total cases,data.Greater than 24 months,60,4.16
2016/2017,data.Yukon,data.Total cases,data.Unknown,60,0.0
2016/2017,data.Yukon,data.General civil cases,data.Less than or equal to 3 months,60,57.68
2016/2017,data.Yukon,data.General civil cases,data.Greater than 3 months to 6 months,60,12.25
2016/2017,data.Yukon,data.General civil cases,data.Greater than 6 months to 12 months,60,15.2
2016/2017,data.Yukon,data.General civil cases,data.Greater than 12 months to 24 months,60,9.97
2016/2017,data.Yukon,data.General civil cases,data.Greater than 24 months,60,4.9
2016/2017,data.Yukon,data.General civil cases,data.Unknown,60,0.0
2016/2017,data.Yukon,data.Family cases,data.Less than or equal to 3 months,60,69.23
2016/2017,data.Yukon,data.Family cases,data.Greater than 3 months to 6 months,60,12.62
2016/2017,data.Yukon,data.Family cases,data.Greater than 6 months to 12 months,60,9.54
2016/2017,data.Yukon,data.Family cases,data.Greater than 12 months to 24 months,60,5.85
2016/2017,data.Yukon,data.Family cases,data.Greater than 24 months,60,2.77
2016/2017,data.Yukon,data.Family cases,data.Unknown,60,0.0
2016/2017,data.Northwest Territories,data.Total cases,data.Less than or equal to 3 months,61,86.88
2016/2017,data.Northwest Territories,data.Total cases,data.Greater than 3 months to 6 months,61,4.29
2016/2017,data.Northwest Territories,data.Total cases,data.Greater than 6 months to 12 months,61,3.64
2016/2017,data.Northwest Territories,data.Total cases,data.Greater than 12 months to 24 months,61,2.47
2016/2017,data.Northwest Territories,data.Total cases,data.Greater than 24 months,61,2.73
2016/2017,data.Northwest Territories,data.Total cases,data.Unknown,61,0.0
2016/2017,data.Northwest Territories,data.General civil cases,data.Less than or equal to 3 months,61,90.95
2016/2017,data.Northwest Territories,data.General civil cases,data.Greater than 3 months to 6 months,61,2.58
2016/2017,data.Northwest Territories,data.General civil cases,data.Greater than 6 months to 12 months,61,2.26
2016/2017,data.Northwest Territories,data.General civil cases,data.Greater than 12 months to 24 months,61,1.94
2016/2017,data.Northwest Territories,data.General civil cases,data.Greater than 24 months,61,2.26
2016/2017,data.Northwest Territories,data.General civil cases,data.Unknown,61,0.0
2016/2017,data.Northwest Territories,data.Family cases,data.Less than or equal to 3 months,61,70.2
2016/2017,data.Northwest Territories,data.Family cases,data.Greater than 3 months to 6 months,61,11.26
2016/2017,data.Northwest Territories,data.Family cases,data.Greater than 6 months to 12 months,61,9.27
2016/2017,data.Northwest Territories,data.Family cases,data.Greater than 12 months to 24 months,61,4.64
2016/2017,data.Northwest Territories,data.Family cases,data.Greater than 24 months,61,4.64
2016/2017,data.Northwest Territories,data.Family cases,data.Unknown,61,0.0
2016/2017,data.Nunavut,data.Total cases,data.Less than or equal to 3 months,62,62.77
2016/2017,data.Nunavut,data.Total cases,data.Greater than 3 months to 6 months,62,10.44
2016/2017,data.Nunavut,data.Total cases,data.Greater than 6 months to 12 months,62,13.08
2016/2017,data.Nunavut,data.Total cases,data.Greater than 12 months to 24 months,62,9.19
2016/2017,data.Nunavut,data.Total cases,data.Greater than 24 months,62,4.52
2016/2017,data.Nunavut,data.Total cases,data.Unknown,62,0.0
2016/2017,data.Nunavut,data.General civil cases,data.Less than or equal to 3 months,62,21.57
2016/2017,data.Nunavut,data.General civil cases,data.Greater than 3 months to 6 months,62,15.2
2016/2017,data.Nunavut,data.General civil cases,data.Greater than 6 months to 12 months,62,26.96
2016/2017,data.Nunavut,data.General civil cases,data.Greater than 12 months to 24 months,62,25.98
2016/2017,data.Nunavut,data.General civil cases,data.Greater than 24 months,62,10.29
2016/2017,data.Nunavut,data.General civil cases,data.Unknown,62,0.0
2016/2017,data.Nunavut,data.Family cases,data.Less than or equal to 3 months,62,81.96
2016/2017,data.Nunavut,data.Family cases,data.Greater than 3 months to 6 months,62,8.22
2016/2017,data.Nunavut,data.Family cases,data.Greater than 6 months to 12 months,62,6.62
2016/2017,data.Nunavut,data.Family cases,data.Greater than 12 months to 24 months,62,1.37
2016/2017,data.Nunavut,data.Family cases,data.Greater than 24 months,62,1.83
2016/2017,data.Nunavut,data.Family cases,data.Unknown,62,0.0
2017/2018,data.Canada,data.Total cases,data.Less than or equal to 3 months,,52.24
2017/2018,data.Canada,data.Total cases,data.Greater than 3 months to 6 months,,16.78
2017/2018,data.Canada,data.Total cases,data.Greater than 6 months to 12 months,,12.09
2017/2018,data.Canada,data.Total cases,data.Greater than 12 months to 24 months,,8.44
2017/2018,data.Canada,data.Total cases,data.Greater than 24 months,,10.38
2017/2018,data.Canada,data.Total cases,data.Unknown,,0.09
2017/2018,data.Canada,data.General civil cases,data.Less than or equal to 3 months,,46.18
2017/2018,data.Canada,data.General civil cases,data.Greater than 3 months to 6 months,,15.73
2017/2018,data.Canada,data.General civil cases,data.Greater than 6 months to 12 months,,13.31
2017/2018,data.Canada,data.General civil cases,data.Greater than 12 months to 24 months,,10.29
2017/2018,data.Canada,data.General civil cases,data.Greater than 24 months,,14.46
2017/2018,data.Canada,data.General civil cases,data.Unknown,,0.03
2017/2018,data.Canada,data.Family cases,data.Less than or equal to 3 months,,62.79
2017/2018,data.Canada,data.Family cases,data.Greater than 3 months to 6 months,,18.6
2017/2018,data.Canada,data.Family cases,data.Greater than 6 months to 12 months,,9.95
2017/2018,data.Canada,data.Family cases,data.Greater than 12 months to 24 months,,5.21
2017/2018,data.Canada,data.Family cases,data.Greater than 24 months,,3.27
2017/2018,data.Canada,data.Family cases,data.Unknown,,0.18
2017/2018,data.Prince Edward Island,data.Total cases,data.Less than or equal to 3 months,11,67.25
2017/2018,data.Prince Edward Island,data.Total cases,data.Greater than 3 months to 6 months,11,14.07
2017/2018,data.Prince Edward Island,data.Total cases,data.Greater than 6 months to 12 months,11,10.24
2017/2018,data.Prince Edward Island,data.Total cases,data.Greater than 12 months to 24 months,11,5.53
2017/2018,data.Prince Edward Island,data.Total cases,data.Greater than 24 months,11,2.87
2017/2018,data.Prince Edward Island,data.Total cases,data.Unknown,11,0.04
2017/2018,data.Prince Edward Island,data.General civil cases,data.Less than or equal to 3 months,11,68.41
2017/2018,data.Prince Edward Island,data.General civil cases,data.Greater than 3 months to 6 months,11,13.0
2017/2018,data.Prince Edward Island,data.General civil cases,data.Greater than 6 months to 12 months,11,9.76
2017/2018,data.Prince Edward Island,data.General civil cases,data.Greater than 12 months to 24 months,11,5.65
2017/2018,data.Prince Edward Island,data.General civil cases,data.Greater than 24 months,11,3.12
2017/2018,data.Prince Edward Island,data.General civil cases,data.Unknown,11,0.06
2017/2018,data.Prince Edward Island,data.Family cases,data.Less than or equal to 3 months,11,64.44
2017/2018,data.Prince Edward Island,data.Family cases,data.Greater than 3 months to 6 months,11,16.64
2017/2018,data.Prince Edward Island,data.Family cases,data.Greater than 6 months to 12 months,11,11.38
2017/2018,data.Prince Edward Island,data.Family cases,data.Greater than 12 months to 24 months,11,5.26
2017/2018,data.Prince Edward Island,data.Family cases,data.Greater than 24 months,11,2.28
2017/2018,data.Prince Edward Island,data.Family cases,data.Unknown,11,0.0
2017/2018,data.Nova Scotia,data.Total cases,data.Less than or equal to 3 months,12,42.9
2017/2018,data.Nova Scotia,data.Total cases,data.Greater than 3 months to 6 months,12,17.23
2017/2018,data.Nova Scotia,data.Total cases,data.Greater than 6 months to 12 months,12,15.09
2017/2018,data.Nova Scotia,data.Total cases,data.Greater than 12 months to 24 months,12,12.71
2017/2018,data.Nova Scotia,data.Total cases,data.Greater than 24 months,12,11.38
2017/2018,data.Nova Scotia,data.Total cases,data.Unknown,12,0.68
2017/2018,data.Nova Scotia,data.General civil cases,data.Less than or equal to 3 months,12,35.69
2017/2018,data.Nova Scotia,data.General civil cases,data.Greater than 3 months to 6 months,12,15.25
2017/2018,data.Nova Scotia,data.General civil cases,data.Greater than 6 months to 12 months,12,15.27
2017/2018,data.Nova Scotia,data.General civil cases,data.Greater than 12 months to 24 months,12,17.22
2017/2018,data.Nova Scotia,data.General civil cases,data.Greater than 24 months,12,16.49
2017/2018,data.Nova Scotia,data.General civil cases,data.Unknown,12,0.07
2017/2018,data.Nova Scotia,data.Family cases,data.Less than or equal to 3 months,12,47.07
2017/2018,data.Nova Scotia,data.Family cases,data.Greater than 3 months to 6 months,12,18.38
2017/2018,data.Nova Scotia,data.Family cases,data.Greater than 6 months to 12 months,12,14.99
2017/2018,data.Nova Scotia,data.Family cases,data.Greater than 12 months to 24 months,12,10.1
2017/2018,data.Nova Scotia,data.Family cases,data.Greater than 24 months,12,8.43
2017/2018,data.Nova Scotia,data.Family cases,data.Unknown,12,1.04
2017/2018,data.New Brunswick,data.Total cases,data.Less than or equal to 3 months,13,56.46
2017/2018,data.New Brunswick,data.Total cases,data.Greater than 3 months to 6 months,13,14.38
2017/2018,data.New Brunswick,data.Total cases,data.Greater than 6 months to 12 months,13,12.7
2017/2018,data.New Brunswick,data.Total cases,data.Greater than 12 months to 24 months,13,8.64
2017/2018,data.New Brunswick,data.Total cases,data.Greater than 24 months,13,7.68
2017/2018,data.New Brunswick,data.Total cases,data.Unknown,13,0.13
2017/2018,data.New Brunswick,data.General civil cases,data.Less than or equal to 3 months,13,50.96
2017/2018,data.New Brunswick,data.General civil cases,data.Greater than 3 months to 6 months,13,16.08
2017/2018,data.New Brunswick,data.General civil cases,data.Greater than 6 months to 12 months,13,14.64
2017/2018,data.New Brunswick,data.General civil cases,data.Greater than 12 months to 24 months,13,10.16
2017/2018,data.New Brunswick,data.General civil cases,data.Greater than 24 months,13,7.98
2017/2018,data.New Brunswick,data.General civil cases,data.Unknown,13,0.17
2017/2018,data.New Brunswick,data.Family cases,data.Less than or equal to 3 months,13,62.91
2017/2018,data.New Brunswick,data.Family cases,data.Greater than 3 months to 6 months,13,12.38
2017/2018,data.New Brunswick,data.Family cases,data.Greater than 6 months to 12 months,13,10.44
2017/2018,data.New Brunswick,data.Family cases,data.Greater than 12 months to 24 months,13,6.86
2017/2018,data.New Brunswick,data.Family cases,data.Greater than 24 months,13,7.34
2017/2018,data.New Brunswick,data.Family cases,data.Unknown,13,0.08
2017/2018,data.Ontario,data.Total cases,data.Less than or equal to 3 months,35,47.71
2017/2018,data.Ontario,data.Total cases,data.Greater than 3 months to 6 months,35,18.06
2017/2018,data.Ontario,data.Total cases,data.Greater than 6 months to 12 months,35,11.38
2017/2018,data.Ontario,data.Total cases,data.Greater than 12 months to 24 months,35,8.4
2017/2018,data.Ontario,data.Total cases,data.Greater than 24 months,35,14.43
2017/2018,data.Ontario,data.Total cases,data.Unknown,35,0.02
2017/2018,data.Ontario,data.General civil cases,data.Less than or equal to 3 months,35,35.81
2017/2018,data.Ontario,data.General civil cases,data.Greater than 3 months to 6 months,35,17.56
2017/2018,data.Ontario,data.General civil cases,data.Greater than 6 months to 12 months,35,13.4
2017/2018,data.Ontario,data.General civil cases,data.Greater than 12 months to 24 months,35,11.26
2017/2018,data.Ontario,data.General civil cases,data.Greater than 24 months,35,21.95
2017/2018,data.Ontario,data.General civil cases,data.Unknown,35,0.01
2017/2018,data.Ontario,data.Family cases,data.Less than or equal to 3 months,35,68.93
2017/2018,data.Ontario,data.Family cases,data.Greater than 3 months to 6 months,35,18.95
2017/2018,data.Ontario,data.Family cases,data.Greater than 6 months to 12 months,35,7.78
2017/2018,data.Ontario,data.Family cases,data.Greater than 12 months to 24 months,35,3.29
2017/2018,data.Ontario,data.Family cases,data.Greater than 24 months,35,1.03
