Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,32.2
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,13.2
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,26.1
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,5.6
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,5.4
2017/2019,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with other environmental benefits,,5.2
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with any environmental benefits,,43.3
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,35.9
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,11.9
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,23.7
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,17.6
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,20.8
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,1.5
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,20.5
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,16.4
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,8.7
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,29.5
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,22.6
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,19.0
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,15.2
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,5.7
2017/2019,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with other environmental benefits,,5.3
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,40.2
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,33.0
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,9.2
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,21.1
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,16.0
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,18.1
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.7
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,18.8
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,14.9
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,6.4
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,26.2
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,20.0
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,16.3
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,13.7
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,3.6
2017/2019,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,3.6
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,53.7
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,44.4
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,20.4
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,30.4
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.0
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,30.5
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,2.1
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,21.3
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,15.7
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,15.2
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,40.7
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,27.7
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,27.7
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,13.1
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,10.2
2017/2019,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,10.0
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with any environmental benefits,,81.5
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,73.1
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,45.3
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,58.7
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,42.5
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,52.8
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,13.4
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,49.9
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,45.3
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,39.3
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,68.9
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,61.5
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,52.3
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,47.1
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,35.6
2017/2019,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with other environmental benefits,,27.3
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with any environmental benefits,,43.1
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,36.1
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,18.8
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,13.7
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.5
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,23.4
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.0
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,15.8
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,13.9
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions,,10.1
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,28.1
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,17.3
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,20.7
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,11.5
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,9.4
2017/2019,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with other environmental benefits,,10.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,43.5
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,37.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,19.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,13.7
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.5
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,23.6
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,2.9
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,15.6
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,13.9
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,9.6
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,28.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,17.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,21.1
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,11.3
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,9.0
2017/2019,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,10.0
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,37.8
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,28.2
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,15.6
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,11.9
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,6.9
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,20.0
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,2.1
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,12.9
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,9.8
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,9.0
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,26.6
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,17.5
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,15.7
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,9.4
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,10.0
2017/2019,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,7.9
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with any environmental benefits,,47.8
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,37.2
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,20.3
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,18.3
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,13.2
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,27.5
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,6.9
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,26.9
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,22.6
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,22.0
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,33.8
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,24.8
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,22.6
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,18.8
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,17.1
2017/2019,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with other environmental benefits,,15.7
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with any environmental benefits,,49.9
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,44.3
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,19.9
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,22.3
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,10.4
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,32.7
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,6.0
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,21.4
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,18.1
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,13.5
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,28.6
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,19.7
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,20.7
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,12.5
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,9.2
2017/2019,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with other environmental benefits,,8.0
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,49.6
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,44.0
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,18.8
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,20.6
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.0
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,32.3
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,6.6
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,20.7
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,18.3
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,11.1
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,26.8
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,19.8
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,19.2
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,12.3
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,8.9
2017/2019,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,7.5
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,57.7
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,52.9
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,23.9
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,40.2
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,22.8
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,39.1
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.5
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,24.3
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,19.7
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,20.9
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,44.1
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,24.4
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,31.2
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,21.0
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,12.9
2017/2019,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,9.3
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with any environmental benefits,,43.4
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,37.0
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,23.6
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,14.3
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,14.3
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,27.6
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.9
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,23.6
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,14.3
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,23.6
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,25.1
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,13.3
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,19.7
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,3.9
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,7.8
2017/2019,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with other environmental benefits,,10.4
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with any environmental benefits,,46.2
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,37.7
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,21.1
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,13.7
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,10.3
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,24.0
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.6
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,16.9
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,15.7
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions,,7.5
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,29.1
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,11.4
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,20.2
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,9.0
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,5.7
2017/2019,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with other environmental benefits,,11.4
2017/2019,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,45.3
