Year,Series,Geography,Offences,Age of accused,Sex of accused,GeoCode,Value
2015/2016,Adult criminal courts,Prince Edward Island,Crimes against property,Other ages,Males,11,
2015/2016,Adult criminal courts,Prince Edward Island,Crimes against property,Other ages,Females,11,
2015/2016,Adult criminal courts,Prince Edward Island,Crimes against property,Other ages,Sex unknown,11,
2015/2016,Adult criminal courts,Prince Edward Island,Crimes against property,Age not applicable,"Total, sex of accused",11,
2015/2016,Adult criminal courts,Prince Edward Island,Crimes against property,Age not applicable,Company,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,"Total, age of accused","Total, sex of accused",11,42.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,"Total, age of accused",Males,11,38.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,"Total, age of accused",Females,11,56.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,"Total, age of accused",Company,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,"Total, age of accused",Sex unknown,11,43.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,18 to 24 years,"Total, sex of accused",11,43.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,18 to 24 years,Males,11,36.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,18 to 24 years,Females,11,103.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,18 to 24 years,Sex unknown,11,40.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,25 to 34 years,"Total, sex of accused",11,42.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,25 to 34 years,Males,11,43.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,25 to 34 years,Females,11,34.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,25 to 34 years,Sex unknown,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,35 to 44 years,"Total, sex of accused",11,43.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,35 to 44 years,Males,11,50.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,35 to 44 years,Females,11,33.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,35 to 44 years,Sex unknown,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,45 to 54 years,"Total, sex of accused",11,36.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,45 to 54 years,Males,11,17.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,45 to 54 years,Females,11,85.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,45 to 54 years,Sex unknown,11,54.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,55 years and over,"Total, sex of accused",11,29.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,55 years and over,Males,11,19.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,55 years and over,Females,11,188.0
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,55 years and over,Sex unknown,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Other ages,"Total, sex of accused",11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Other ages,Males,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Other ages,Females,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Other ages,Sex unknown,11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Age not applicable,"Total, sex of accused",11,
2015/2016,Adult criminal courts,Prince Edward Island,Administration of justice,Age not applicable,Company,11,
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,"Total, age of accused","Total, sex of accused",11,15.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,"Total, age of accused",Males,11,19.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,"Total, age of accused",Females,11,5.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,"Total, age of accused",Company,11,
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,"Total, age of accused",Sex unknown,11,2.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,18 to 24 years,"Total, sex of accused",11,15.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,18 to 24 years,Males,11,22.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,18 to 24 years,Females,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,18 to 24 years,Sex unknown,11,22.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,"Total, sex of accused",11,15.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Males,11,22.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Females,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,25 to 34 years,Sex unknown,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,"Total, sex of accused",11,22.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Males,11,24.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Females,11,10.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,35 to 44 years,Sex unknown,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,"Total, sex of accused",11,14.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Males,11,14.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Females,11,12.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,45 to 54 years,Sex unknown,11,16.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,"Total, sex of accused",11,8.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Males,11,9.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Females,11,15.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,55 years and over,Sex unknown,11,1.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Other ages,"Total, sex of accused",11,239.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Other ages,Males,11,
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Other ages,Females,11,
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Other ages,Sex unknown,11,239.0
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Age not applicable,"Total, sex of accused",11,
2015/2016,Adult criminal courts,Prince Edward Island,Criminal Code traffic,Age not applicable,Company,11,
2015/2016,Adult criminal courts,Nova Scotia,Total offences,"Total, age of accused","Total, sex of accused",12,170.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,"Total, age of accused",Males,12,169.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,"Total, age of accused",Females,12,176.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,"Total, age of accused",Company,12,330.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,"Total, age of accused",Sex unknown,12,168.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,"Total, sex of accused",12,188.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Males,12,181.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Females,12,199.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,18 to 24 years,Sex unknown,12,193.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,"Total, sex of accused",12,168.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Males,12,164.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Females,12,176.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,25 to 34 years,Sex unknown,12,156.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,"Total, sex of accused",12,175.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Males,12,176.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Females,12,168.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,35 to 44 years,Sex unknown,12,190.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,"Total, sex of accused",12,167.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Males,12,169.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Females,12,169.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,45 to 54 years,Sex unknown,12,115.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,"Total, sex of accused",12,140.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Males,12,142.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Females,12,125.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,55 years and over,Sex unknown,12,114.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Other ages,"Total, sex of accused",12,71.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Other ages,Males,12,166.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Other ages,Females,12,33.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Other ages,Sex unknown,12,3.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Age not applicable,"Total, sex of accused",12,330.0
2015/2016,Adult criminal courts,Nova Scotia,Total offences,Age not applicable,Company,12,330.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,"Total, age of accused","Total, sex of accused",12,183.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,"Total, age of accused",Males,12,184.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,"Total, age of accused",Females,12,184.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,"Total, age of accused",Company,12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,"Total, age of accused",Sex unknown,12,167.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,"Total, sex of accused",12,196.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Males,12,192.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Females,12,210.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,18 to 24 years,Sex unknown,12,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,"Total, sex of accused",12,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Males,12,177.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Females,12,184.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,25 to 34 years,Sex unknown,12,173.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,"Total, sex of accused",12,190.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Males,12,197.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Females,12,175.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,35 to 44 years,Sex unknown,12,190.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,"Total, sex of accused",12,178.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Males,12,184.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Females,12,175.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,45 to 54 years,Sex unknown,12,131.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,"Total, sex of accused",12,144.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Males,12,153.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Females,12,128.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,55 years and over,Sex unknown,12,113.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Other ages,"Total, sex of accused",12,224.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Other ages,Males,12,284.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Other ages,Females,12,216.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Other ages,Sex unknown,12,80.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Age not applicable,"Total, sex of accused",12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Total Criminal Code,Age not applicable,Company,12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,"Total, age of accused","Total, sex of accused",12,227.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,"Total, age of accused",Males,12,237.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,"Total, age of accused",Females,12,199.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,"Total, age of accused",Company,12,
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,"Total, age of accused",Sex unknown,12,191.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,"Total, sex of accused",12,249.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Males,12,256.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Females,12,241.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,18 to 24 years,Sex unknown,12,263.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,"Total, sex of accused",12,232.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Males,12,244.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Females,12,197.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,25 to 34 years,Sex unknown,12,212.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,"Total, sex of accused",12,223.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Males,12,239.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Females,12,183.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,35 to 44 years,Sex unknown,12,190.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,"Total, sex of accused",12,211.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Males,12,222.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Females,12,193.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,45 to 54 years,Sex unknown,12,177.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,"Total, sex of accused",12,198.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Males,12,204.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Females,12,147.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,55 years and over,Sex unknown,12,141.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Other ages,"Total, sex of accused",12,389.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Other ages,Males,12,389.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Other ages,Females,12,534.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Other ages,Sex unknown,12,
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Age not applicable,"Total, sex of accused",12,
2015/2016,Adult criminal courts,Nova Scotia,Crimes against the person,Age not applicable,Company,12,
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,"Total, age of accused","Total, sex of accused",12,204.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,"Total, age of accused",Males,12,207.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,"Total, age of accused",Females,12,202.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,"Total, age of accused",Company,12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,"Total, age of accused",Sex unknown,12,201.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,"Total, sex of accused",12,220.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Males,12,224.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Females,12,218.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,18 to 24 years,Sex unknown,12,219.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,25 to 34 years,"Total, sex of accused",12,183.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,25 to 34 years,Males,12,181.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,25 to 34 years,Females,12,202.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,25 to 34 years,Sex unknown,12,148.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,"Total, sex of accused",12,225.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Males,12,229.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Females,12,207.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,35 to 44 years,Sex unknown,12,213.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,"Total, sex of accused",12,193.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Males,12,188.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Females,12,178.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,45 to 54 years,Sex unknown,12,218.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,"Total, sex of accused",12,172.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Males,12,186.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Females,12,161.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,55 years and over,Sex unknown,12,115.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Other ages,"Total, sex of accused",12,201.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Other ages,Males,12,488.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Other ages,Females,12,201.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Other ages,Sex unknown,12,80.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Age not applicable,"Total, sex of accused",12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Crimes against property,Age not applicable,Company,12,60.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused","Total, sex of accused",12,130.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Males,12,126.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Females,12,150.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Company,12,
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,"Total, age of accused",Sex unknown,12,90.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,"Total, sex of accused",12,127.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Males,12,131.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Females,12,135.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,18 to 24 years,Sex unknown,12,91.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,"Total, sex of accused",12,134.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Males,12,126.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Females,12,176.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,25 to 34 years,Sex unknown,12,97.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,"Total, sex of accused",12,123.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Males,12,113.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Females,12,135.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,35 to 44 years,Sex unknown,12,217.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,"Total, sex of accused",12,131.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Males,12,130.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Females,12,182.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,45 to 54 years,Sex unknown,12,33.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,"Total, sex of accused",12,120.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Males,12,140.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Females,12,73.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,55 years and over,Sex unknown,12,70.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Other ages,"Total, sex of accused",12,235.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Other ages,Males,12,235.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Other ages,Females,12,383.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Other ages,Sex unknown,12,3.0
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Age not applicable,"Total, sex of accused",12,
2015/2016,Adult criminal courts,Nova Scotia,Administration of justice,Age not applicable,Company,12,
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused","Total, sex of accused",12,91.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Males,12,96.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Females,12,79.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Company,12,
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,"Total, age of accused",Sex unknown,12,78.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,"Total, sex of accused",12,71.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Males,12,69.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Females,12,149.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,18 to 24 years,Sex unknown,12,34.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,"Total, sex of accused",12,105.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Males,12,107.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Females,12,71.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,25 to 34 years,Sex unknown,12,169.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,"Total, sex of accused",12,114.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Males,12,111.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Females,12,119.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,35 to 44 years,Sex unknown,12,138.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,"Total, sex of accused",12,109.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Males,12,115.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Females,12,70.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,45 to 54 years,Sex unknown,12,96.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,"Total, sex of accused",12,61.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Males,12,71.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Females,12,29.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,55 years and over,Sex unknown,12,32.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Other ages,"Total, sex of accused",12,216.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Other ages,Males,12,244.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Other ages,Females,12,
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Other ages,Sex unknown,12,188.0
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Age not applicable,"Total, sex of accused",12,
2015/2016,Adult criminal courts,Nova Scotia,Criminal Code traffic,Age not applicable,Company,12,
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused","Total, sex of accused",13,106.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Males,13,104.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Females,13,108.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Company,13,289.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,"Total, age of accused",Sex unknown,13,192.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,"Total, sex of accused",13,102.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Males,13,99.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Females,13,107.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,18 to 24 years,Sex unknown,13,
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,"Total, sex of accused",13,105.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Males,13,105.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Females,13,106.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,25 to 34 years,Sex unknown,13,
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,"Total, sex of accused",13,114.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Males,13,112.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Females,13,124.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,35 to 44 years,Sex unknown,13,192.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,"Total, sex of accused",13,108.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Males,13,108.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Females,13,108.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,45 to 54 years,Sex unknown,13,223.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,"Total, sex of accused",13,94.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Males,13,98.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Females,13,86.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,55 years and over,Sex unknown,13,
2015/2016,Adult criminal courts,New Brunswick,Total offences,Other ages,"Total, sex of accused",13,11.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,Other ages,Males,13,9.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,Other ages,Females,13,60.0
2015/2016,Adult criminal courts,New Brunswick,Total offences,Other ages,Sex unknown,13,
