Year,Geography,Sex,Grade,Type of e-cigarettes,GeoCode,Value
2014-2015,Nova Scotia,Male,All grades,Both type,12,10.1
2014-2015,Nova Scotia,Female,All grades,Both type,12,6.1
2014-2015,Nova Scotia,Both sexes,Grades 6-9,Both type,12,4.0
2014-2015,Nova Scotia,Both sexes,Grades 10-12,Both type,12,13.0
2014-2015,Quebec,Both sexes,All grades,Both type,24,6.8
2014-2015,Quebec,Male,All grades,Both type,24,7.5
2014-2015,Quebec,Female,All grades,Both type,24,6.1
2014-2015,Quebec,Both sexes,Grades 6-9,Both type,24,5.3
2014-2015,Quebec,Both sexes,Grades 10-12,Both type,24,10.0
2014-2015,Ontario,Both sexes,All grades,Both type,35,4.3
2014-2015,Ontario,Male,All grades,Both type,35,5.9
2014-2015,Ontario,Female,All grades,Both type,35,2.5
2014-2015,Ontario,Both sexes,Grades 6-9,Both type,35,1.8
2014-2015,Ontario,Both sexes,Grades 10-12,Both type,35,6.8
2014-2015,Manitoba,Both sexes,All grades,Both type,46,9.2
2014-2015,Manitoba,Male,All grades,Both type,46,9.6
2014-2015,Manitoba,Female,All grades,Both type,46,8.9
2014-2015,Manitoba,Both sexes,Grades 6-9,Both type,46,4.8
2014-2015,Manitoba,Both sexes,Grades 10-12,Both type,46,14.3
2014-2015,Saskatchewan,Both sexes,All grades,Both type,47,8.2
2014-2015,Saskatchewan,Male,All grades,Both type,47,10.7
2014-2015,Saskatchewan,Female,All grades,Both type,47,5.5
2014-2015,Saskatchewan,Both sexes,Grades 6-9,Both type,47,3.9
2014-2015,Saskatchewan,Both sexes,Grades 10-12,Both type,47,13.0
2014-2015,Alberta,Both sexes,All grades,Both type,48,4.8
2014-2015,Alberta,Male,All grades,Both type,48,5.6
2014-2015,Alberta,Female,All grades,Both type,48,3.9
2014-2015,Alberta,Both sexes,Grades 6-9,Both type,48,2.5
2014-2015,Alberta,Both sexes,Grades 10-12,Both type,48,7.8
2014-2015,British Columbia,Both sexes,All grades,Both type,59,7.1
2014-2015,British Columbia,Male,All grades,Both type,59,7.3
2014-2015,British Columbia,Female,All grades,Both type,59,6.9
2014-2015,British Columbia,Both sexes,Grades 6-9,Both type,59,3.6
2014-2015,British Columbia,Both sexes,Grades 10-12,Both type,59,11.0
