Year,Geography,Education attainment level,Gender,Age group,Population characteristics,GeoCode,Value
2014,Prince Edward Island,Bachelor's level,Men+,25 to 34 years,Total population,11,17.0
2014,Prince Edward Island,Bachelor's level,Women+,25 to 34 years,Total population,11,30.0
2014,Prince Edward Island,Bachelor's level,Total - Gender,30 to 34 years,Total population,11,23.0
2014,Prince Edward Island,Bachelor's level,Men+,30 to 34 years,Total population,11,16.0
2014,Prince Edward Island,Bachelor's level,Women+,30 to 34 years,Total population,11,29.0
2014,Prince Edward Island,Bachelor's level,Total - Gender,35 to 44 years,Total population,11,18.0
2014,Prince Edward Island,Bachelor's level,Men+,35 to 44 years,Total population,11,13.0
2014,Prince Edward Island,Bachelor's level,Women+,35 to 44 years,Total population,11,23.0
2014,Prince Edward Island,Bachelor's level,Total - Gender,45 to 54 years,Total population,11,13.0
2014,Prince Edward Island,Bachelor's level,Men+,45 to 54 years,Total population,11,12.0
2014,Prince Edward Island,Bachelor's level,Women+,45 to 54 years,Total population,11,13.0
2014,Prince Edward Island,Bachelor's level,Total - Gender,55 to 64 years,Total population,11,11.0
2014,Prince Edward Island,Bachelor's level,Men+,55 to 64 years,Total population,11,11.0
2014,Prince Edward Island,Bachelor's level,Women+,55 to 64 years,Total population,11,11.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,11,8.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,25 to 34 years,Total population,11,6.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,25 to 34 years,Total population,11,8.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,11,8.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,30 to 34 years,Total population,11,6.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,30 to 34 years,Total population,11,10.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,11,8.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,35 to 44 years,Total population,11,6.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,35 to 44 years,Total population,11,10.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,45 to 54 years,Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,45 to 54 years,Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,11,7.0
2014,Prince Edward Island,Master's or Doctoral level,Men+,55 to 64 years,Total population,11,8.0
2014,Prince Edward Island,Master's or Doctoral level,Women+,55 to 64 years,Total population,11,7.0
2014,Nova Scotia,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,12,52.0
2014,Nova Scotia,Tertiary education,Men+,"Total, 25 to 64 years",Total population,12,45.0
2014,Nova Scotia,Tertiary education,Women+,"Total, 25 to 64 years",Total population,12,59.0
2014,Nova Scotia,Tertiary education,Total - Gender,25 to 34 years,Total population,12,63.0
2014,Nova Scotia,Tertiary education,Men+,25 to 34 years,Total population,12,55.0
2014,Nova Scotia,Tertiary education,Women+,25 to 34 years,Total population,12,70.0
2014,Nova Scotia,Tertiary education,Total - Gender,30 to 34 years,Total population,12,63.0
2014,Nova Scotia,Tertiary education,Men+,30 to 34 years,Total population,12,54.0
2014,Nova Scotia,Tertiary education,Women+,30 to 34 years,Total population,12,71.0
2014,Nova Scotia,Tertiary education,Total - Gender,35 to 44 years,Total population,12,59.0
2014,Nova Scotia,Tertiary education,Men+,35 to 44 years,Total population,12,49.0
2014,Nova Scotia,Tertiary education,Women+,35 to 44 years,Total population,12,67.0
2014,Nova Scotia,Tertiary education,Total - Gender,45 to 54 years,Total population,12,48.0
2014,Nova Scotia,Tertiary education,Men+,45 to 54 years,Total population,12,41.0
2014,Nova Scotia,Tertiary education,Women+,45 to 54 years,Total population,12,55.0
2014,Nova Scotia,Tertiary education,Total - Gender,55 to 64 years,Total population,12,44.0
2014,Nova Scotia,Tertiary education,Men+,55 to 64 years,Total population,12,37.0
2014,Nova Scotia,Tertiary education,Women+,55 to 64 years,Total population,12,49.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,12,26.0
2014,Nova Scotia,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,12,21.0
2014,Nova Scotia,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,12,31.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,12,27.0
2014,Nova Scotia,Short-cycle tertiary,Men+,25 to 34 years,Total population,12,23.0
2014,Nova Scotia,Short-cycle tertiary,Women+,25 to 34 years,Total population,12,31.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,12,28.0
2014,Nova Scotia,Short-cycle tertiary,Men+,30 to 34 years,Total population,12,25.0
2014,Nova Scotia,Short-cycle tertiary,Women+,30 to 34 years,Total population,12,30.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,12,30.0
2014,Nova Scotia,Short-cycle tertiary,Men+,35 to 44 years,Total population,12,26.0
2014,Nova Scotia,Short-cycle tertiary,Women+,35 to 44 years,Total population,12,33.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,12,26.0
2014,Nova Scotia,Short-cycle tertiary,Men+,45 to 54 years,Total population,12,20.0
2014,Nova Scotia,Short-cycle tertiary,Women+,45 to 54 years,Total population,12,33.0
2014,Nova Scotia,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,12,21.0
2014,Nova Scotia,Short-cycle tertiary,Men+,55 to 64 years,Total population,12,15.0
2014,Nova Scotia,Short-cycle tertiary,Women+,55 to 64 years,Total population,12,27.0
2014,Nova Scotia,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,12,16.0
2014,Nova Scotia,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,12,15.0
2014,Nova Scotia,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,12,18.0
2014,Nova Scotia,Bachelor's level,Total - Gender,25 to 34 years,Total population,12,25.0
2014,Nova Scotia,Bachelor's level,Men+,25 to 34 years,Total population,12,22.0
2014,Nova Scotia,Bachelor's level,Women+,25 to 34 years,Total population,12,28.0
2014,Nova Scotia,Bachelor's level,Total - Gender,30 to 34 years,Total population,12,24.0
2014,Nova Scotia,Bachelor's level,Men+,30 to 34 years,Total population,12,20.0
2014,Nova Scotia,Bachelor's level,Women+,30 to 34 years,Total population,12,28.0
2014,Nova Scotia,Bachelor's level,Total - Gender,35 to 44 years,Total population,12,18.0
2014,Nova Scotia,Bachelor's level,Men+,35 to 44 years,Total population,12,14.0
2014,Nova Scotia,Bachelor's level,Women+,35 to 44 years,Total population,12,21.0
2014,Nova Scotia,Bachelor's level,Total - Gender,45 to 54 years,Total population,12,13.0
2014,Nova Scotia,Bachelor's level,Men+,45 to 54 years,Total population,12,12.0
2014,Nova Scotia,Bachelor's level,Women+,45 to 54 years,Total population,12,13.0
2014,Nova Scotia,Bachelor's level,Total - Gender,55 to 64 years,Total population,12,12.0
2014,Nova Scotia,Bachelor's level,Men+,55 to 64 years,Total population,12,12.0
2014,Nova Scotia,Bachelor's level,Women+,55 to 64 years,Total population,12,13.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,12,10.0
2014,Nova Scotia,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,12,10.0
2014,Nova Scotia,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,12,11.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,12,11.0
2014,Nova Scotia,Master's or Doctoral level,Men+,25 to 34 years,Total population,12,10.0
2014,Nova Scotia,Master's or Doctoral level,Women+,25 to 34 years,Total population,12,11.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,12,11.0
2014,Nova Scotia,Master's or Doctoral level,Men+,30 to 34 years,Total population,12,9.0
2014,Nova Scotia,Master's or Doctoral level,Women+,30 to 34 years,Total population,12,13.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,12,11.0
2014,Nova Scotia,Master's or Doctoral level,Men+,35 to 44 years,Total population,12,9.0
2014,Nova Scotia,Master's or Doctoral level,Women+,35 to 44 years,Total population,12,14.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,12,9.0
2014,Nova Scotia,Master's or Doctoral level,Men+,45 to 54 years,Total population,12,9.0
2014,Nova Scotia,Master's or Doctoral level,Women+,45 to 54 years,Total population,12,9.0
2014,Nova Scotia,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,12,10.0
2014,Nova Scotia,Master's or Doctoral level,Men+,55 to 64 years,Total population,12,10.0
2014,Nova Scotia,Master's or Doctoral level,Women+,55 to 64 years,Total population,12,10.0
2014,New Brunswick,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,13,50.0
2014,New Brunswick,Tertiary education,Men+,"Total, 25 to 64 years",Total population,13,43.0
2014,New Brunswick,Tertiary education,Women+,"Total, 25 to 64 years",Total population,13,55.0
2014,New Brunswick,Tertiary education,Total - Gender,25 to 34 years,Total population,13,58.0
2014,New Brunswick,Tertiary education,Men+,25 to 34 years,Total population,13,49.0
2014,New Brunswick,Tertiary education,Women+,25 to 34 years,Total population,13,66.0
2014,New Brunswick,Tertiary education,Total - Gender,30 to 34 years,Total population,13,60.0
2014,New Brunswick,Tertiary education,Men+,30 to 34 years,Total population,13,52.0
2014,New Brunswick,Tertiary education,Women+,30 to 34 years,Total population,13,67.0
2014,New Brunswick,Tertiary education,Total - Gender,35 to 44 years,Total population,13,60.0
2014,New Brunswick,Tertiary education,Men+,35 to 44 years,Total population,13,52.0
2014,New Brunswick,Tertiary education,Women+,35 to 44 years,Total population,13,67.0
2014,New Brunswick,Tertiary education,Total - Gender,45 to 54 years,Total population,13,45.0
2014,New Brunswick,Tertiary education,Men+,45 to 54 years,Total population,13,39.0
2014,New Brunswick,Tertiary education,Women+,45 to 54 years,Total population,13,51.0
2014,New Brunswick,Tertiary education,Total - Gender,55 to 64 years,Total population,13,40.0
2014,New Brunswick,Tertiary education,Men+,55 to 64 years,Total population,13,36.0
2014,New Brunswick,Tertiary education,Women+,55 to 64 years,Total population,13,43.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,13,29.0
2014,New Brunswick,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,13,26.0
2014,New Brunswick,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,13,32.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,13,30.0
2014,New Brunswick,Short-cycle tertiary,Men+,25 to 34 years,Total population,13,29.0
2014,New Brunswick,Short-cycle tertiary,Women+,25 to 34 years,Total population,13,32.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,13,33.0
2014,New Brunswick,Short-cycle tertiary,Men+,30 to 34 years,Total population,13,33.0
2014,New Brunswick,Short-cycle tertiary,Women+,30 to 34 years,Total population,13,33.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,13,35.0
2014,New Brunswick,Short-cycle tertiary,Men+,35 to 44 years,Total population,13,32.0
2014,New Brunswick,Short-cycle tertiary,Women+,35 to 44 years,Total population,13,38.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,13,28.0
2014,New Brunswick,Short-cycle tertiary,Men+,45 to 54 years,Total population,13,24.0
2014,New Brunswick,Short-cycle tertiary,Women+,45 to 54 years,Total population,13,33.0
2014,New Brunswick,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,13,25.0
2014,New Brunswick,Short-cycle tertiary,Men+,55 to 64 years,Total population,13,21.0
2014,New Brunswick,Short-cycle tertiary,Women+,55 to 64 years,Total population,13,28.0
2014,New Brunswick,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,13,15.0
2014,New Brunswick,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,13,12.0
2014,New Brunswick,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,13,18.0
2014,New Brunswick,Bachelor's level,Total - Gender,25 to 34 years,Total population,13,21.0
2014,New Brunswick,Bachelor's level,Men+,25 to 34 years,Total population,13,15.0
2014,New Brunswick,Bachelor's level,Women+,25 to 34 years,Total population,13,27.0
2014,New Brunswick,Bachelor's level,Total - Gender,30 to 34 years,Total population,13,20.0
2014,New Brunswick,Bachelor's level,Men+,30 to 34 years,Total population,13,14.0
2014,New Brunswick,Bachelor's level,Women+,30 to 34 years,Total population,13,27.0
2014,New Brunswick,Bachelor's level,Total - Gender,35 to 44 years,Total population,13,19.0
2014,New Brunswick,Bachelor's level,Men+,35 to 44 years,Total population,13,15.0
2014,New Brunswick,Bachelor's level,Women+,35 to 44 years,Total population,13,24.0
2014,New Brunswick,Bachelor's level,Total - Gender,45 to 54 years,Total population,13,12.0
2014,New Brunswick,Bachelor's level,Men+,45 to 54 years,Total population,13,11.0
2014,New Brunswick,Bachelor's level,Women+,45 to 54 years,Total population,13,13.0
2014,New Brunswick,Bachelor's level,Total - Gender,55 to 64 years,Total population,13,10.0
2014,New Brunswick,Bachelor's level,Men+,55 to 64 years,Total population,13,10.0
2014,New Brunswick,Bachelor's level,Women+,55 to 64 years,Total population,13,10.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,13,6.0
2014,New Brunswick,Master's or Doctoral level,Men+,25 to 34 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,25 to 34 years,Total population,13,7.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,13,7.0
2014,New Brunswick,Master's or Doctoral level,Men+,30 to 34 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,30 to 34 years,Total population,13,8.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Men+,35 to 44 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,35 to 44 years,Total population,13,6.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Men+,45 to 54 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,45 to 54 years,Total population,13,4.0
2014,New Brunswick,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Men+,55 to 64 years,Total population,13,5.0
2014,New Brunswick,Master's or Doctoral level,Women+,55 to 64 years,Total population,13,5.0
2014,Quebec,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,24,50.0
2014,Quebec,Tertiary education,Men+,"Total, 25 to 64 years",Total population,24,45.0
2014,Quebec,Tertiary education,Women+,"Total, 25 to 64 years",Total population,24,54.0
2014,Quebec,Tertiary education,Total - Gender,25 to 34 years,Total population,24,55.0
2014,Quebec,Tertiary education,Men+,25 to 34 years,Total population,24,46.0
2014,Quebec,Tertiary education,Women+,25 to 34 years,Total population,24,65.0
2014,Quebec,Tertiary education,Total - Gender,30 to 34 years,Total population,24,57.0
2014,Quebec,Tertiary education,Men+,30 to 34 years,Total population,24,47.0
2014,Quebec,Tertiary education,Women+,30 to 34 years,Total population,24,66.0
2014,Quebec,Tertiary education,Total - Gender,35 to 44 years,Total population,24,58.0
2014,Quebec,Tertiary education,Men+,35 to 44 years,Total population,24,51.0
2014,Quebec,Tertiary education,Women+,35 to 44 years,Total population,24,65.0
2014,Quebec,Tertiary education,Total - Gender,45 to 54 years,Total population,24,47.0
2014,Quebec,Tertiary education,Men+,45 to 54 years,Total population,24,45.0
2014,Quebec,Tertiary education,Women+,45 to 54 years,Total population,24,50.0
2014,Quebec,Tertiary education,Total - Gender,55 to 64 years,Total population,24,40.0
2014,Quebec,Tertiary education,Men+,55 to 64 years,Total population,24,40.0
2014,Quebec,Tertiary education,Women+,55 to 64 years,Total population,24,40.0
2014,Quebec,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,24,24.0
2014,Quebec,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,24,21.0
2014,Quebec,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,24,26.0
2014,Quebec,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,24,23.0
2014,Quebec,Short-cycle tertiary,Men+,25 to 34 years,Total population,24,20.0
2014,Quebec,Short-cycle tertiary,Women+,25 to 34 years,Total population,24,27.0
2014,Quebec,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,24,24.0
2014,Quebec,Short-cycle tertiary,Men+,30 to 34 years,Total population,24,21.0
2014,Quebec,Short-cycle tertiary,Women+,30 to 34 years,Total population,24,28.0
2014,Quebec,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,24,25.0
2014,Quebec,Short-cycle tertiary,Men+,35 to 44 years,Total population,24,23.0
2014,Quebec,Short-cycle tertiary,Women+,35 to 44 years,Total population,24,28.0
2014,Quebec,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,24,25.0
2014,Quebec,Short-cycle tertiary,Men+,45 to 54 years,Total population,24,22.0
2014,Quebec,Short-cycle tertiary,Women+,45 to 54 years,Total population,24,28.0
2014,Quebec,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,24,21.0
2014,Quebec,Short-cycle tertiary,Men+,55 to 64 years,Total population,24,19.0
2014,Quebec,Short-cycle tertiary,Women+,55 to 64 years,Total population,24,22.0
2014,Quebec,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,24,18.0
2014,Quebec,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,24,16.0
2014,Quebec,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,24,20.0
2014,Quebec,Bachelor's level,Total - Gender,25 to 34 years,Total population,24,23.0
2014,Quebec,Bachelor's level,Men+,25 to 34 years,Total population,24,18.0
2014,Quebec,Bachelor's level,Women+,25 to 34 years,Total population,24,28.0
2014,Quebec,Bachelor's level,Total - Gender,30 to 34 years,Total population,24,23.0
2014,Quebec,Bachelor's level,Men+,30 to 34 years,Total population,24,18.0
2014,Quebec,Bachelor's level,Women+,30 to 34 years,Total population,24,27.0
2014,Quebec,Bachelor's level,Total - Gender,35 to 44 years,Total population,24,23.0
2014,Quebec,Bachelor's level,Men+,35 to 44 years,Total population,24,20.0
2014,Quebec,Bachelor's level,Women+,35 to 44 years,Total population,24,26.0
2014,Quebec,Bachelor's level,Total - Gender,45 to 54 years,Total population,24,16.0
2014,Quebec,Bachelor's level,Men+,45 to 54 years,Total population,24,16.0
2014,Quebec,Bachelor's level,Women+,45 to 54 years,Total population,24,16.0
2014,Quebec,Bachelor's level,Total - Gender,55 to 64 years,Total population,24,12.0
2014,Quebec,Bachelor's level,Men+,55 to 64 years,Total population,24,13.0
2014,Quebec,Bachelor's level,Women+,55 to 64 years,Total population,24,12.0
2014,Quebec,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,24,8.0
2014,Quebec,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,24,8.0
2014,Quebec,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,24,8.0
2014,Quebec,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,24,9.0
2014,Quebec,Master's or Doctoral level,Men+,25 to 34 years,Total population,24,8.0
2014,Quebec,Master's or Doctoral level,Women+,25 to 34 years,Total population,24,10.0
2014,Quebec,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,24,10.0
2014,Quebec,Master's or Doctoral level,Men+,30 to 34 years,Total population,24,9.0
2014,Quebec,Master's or Doctoral level,Women+,30 to 34 years,Total population,24,11.0
2014,Quebec,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,24,10.0
2014,Quebec,Master's or Doctoral level,Men+,35 to 44 years,Total population,24,9.0
2014,Quebec,Master's or Doctoral level,Women+,35 to 44 years,Total population,24,11.0
2014,Quebec,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,24,7.0
2014,Quebec,Master's or Doctoral level,Men+,45 to 54 years,Total population,24,7.0
2014,Quebec,Master's or Doctoral level,Women+,45 to 54 years,Total population,24,6.0
2014,Quebec,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,24,7.0
2014,Quebec,Master's or Doctoral level,Men+,55 to 64 years,Total population,24,8.0
2014,Quebec,Master's or Doctoral level,Women+,55 to 64 years,Total population,24,6.0
2014,Ontario,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,35,60.0
2014,Ontario,Tertiary education,Men+,"Total, 25 to 64 years",Total population,35,56.0
2014,Ontario,Tertiary education,Women+,"Total, 25 to 64 years",Total population,35,64.0
2014,Ontario,Tertiary education,Total - Gender,25 to 34 years,Total population,35,65.0
2014,Ontario,Tertiary education,Men+,25 to 34 years,Total population,35,59.0
2014,Ontario,Tertiary education,Women+,25 to 34 years,Total population,35,71.0
2014,Ontario,Tertiary education,Total - Gender,30 to 34 years,Total population,35,65.0
2014,Ontario,Tertiary education,Men+,30 to 34 years,Total population,35,60.0
2014,Ontario,Tertiary education,Women+,30 to 34 years,Total population,35,70.0
2014,Ontario,Tertiary education,Total - Gender,35 to 44 years,Total population,35,67.0
2014,Ontario,Tertiary education,Men+,35 to 44 years,Total population,35,62.0
2014,Ontario,Tertiary education,Women+,35 to 44 years,Total population,35,72.0
2014,Ontario,Tertiary education,Total - Gender,45 to 54 years,Total population,35,56.0
2014,Ontario,Tertiary education,Men+,45 to 54 years,Total population,35,53.0
2014,Ontario,Tertiary education,Women+,45 to 54 years,Total population,35,60.0
2014,Ontario,Tertiary education,Total - Gender,55 to 64 years,Total population,35,51.0
2014,Ontario,Tertiary education,Men+,55 to 64 years,Total population,35,49.0
2014,Ontario,Tertiary education,Women+,55 to 64 years,Total population,35,53.0
2014,Ontario,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,35,28.0
2014,Ontario,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,35,26.0
2014,Ontario,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,35,31.0
2014,Ontario,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,35,29.0
2014,Ontario,Short-cycle tertiary,Men+,25 to 34 years,Total population,35,27.0
2014,Ontario,Short-cycle tertiary,Women+,25 to 34 years,Total population,35,31.0
2014,Ontario,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,35,29.0
2014,Ontario,Short-cycle tertiary,Men+,30 to 34 years,Total population,35,28.0
2014,Ontario,Short-cycle tertiary,Women+,30 to 34 years,Total population,35,30.0
2014,Ontario,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,35,30.0
2014,Ontario,Short-cycle tertiary,Men+,35 to 44 years,Total population,35,29.0
2014,Ontario,Short-cycle tertiary,Women+,35 to 44 years,Total population,35,32.0
2014,Ontario,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,35,29.0
2014,Ontario,Short-cycle tertiary,Men+,45 to 54 years,Total population,35,25.0
2014,Ontario,Short-cycle tertiary,Women+,45 to 54 years,Total population,35,32.0
2014,Ontario,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,35,26.0
2014,Ontario,Short-cycle tertiary,Men+,55 to 64 years,Total population,35,23.0
2014,Ontario,Short-cycle tertiary,Women+,55 to 64 years,Total population,35,29.0
2014,Ontario,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,35,20.0
2014,Ontario,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,35,19.0
2014,Ontario,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,35,22.0
2014,Ontario,Bachelor's level,Total - Gender,25 to 34 years,Total population,35,25.0
2014,Ontario,Bachelor's level,Men+,25 to 34 years,Total population,35,22.0
2014,Ontario,Bachelor's level,Women+,25 to 34 years,Total population,35,29.0
2014,Ontario,Bachelor's level,Total - Gender,30 to 34 years,Total population,35,24.0
2014,Ontario,Bachelor's level,Men+,30 to 34 years,Total population,35,21.0
2014,Ontario,Bachelor's level,Women+,30 to 34 years,Total population,35,27.0
2014,Ontario,Bachelor's level,Total - Gender,35 to 44 years,Total population,35,23.0
2014,Ontario,Bachelor's level,Men+,35 to 44 years,Total population,35,20.0
2014,Ontario,Bachelor's level,Women+,35 to 44 years,Total population,35,26.0
2014,Ontario,Bachelor's level,Total - Gender,45 to 54 years,Total population,35,18.0
2014,Ontario,Bachelor's level,Men+,45 to 54 years,Total population,35,17.0
2014,Ontario,Bachelor's level,Women+,45 to 54 years,Total population,35,19.0
2014,Ontario,Bachelor's level,Total - Gender,55 to 64 years,Total population,35,15.0
2014,Ontario,Bachelor's level,Men+,55 to 64 years,Total population,35,15.0
2014,Ontario,Bachelor's level,Women+,55 to 64 years,Total population,35,16.0
2014,Ontario,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Men+,25 to 34 years,Total population,35,10.0
2014,Ontario,Master's or Doctoral level,Women+,25 to 34 years,Total population,35,12.0
2014,Ontario,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,35,13.0
2014,Ontario,Master's or Doctoral level,Men+,30 to 34 years,Total population,35,12.0
2014,Ontario,Master's or Doctoral level,Women+,30 to 34 years,Total population,35,14.0
2014,Ontario,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,35,13.0
2014,Ontario,Master's or Doctoral level,Men+,35 to 44 years,Total population,35,13.0
2014,Ontario,Master's or Doctoral level,Women+,35 to 44 years,Total population,35,14.0
2014,Ontario,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,35,10.0
2014,Ontario,Master's or Doctoral level,Men+,45 to 54 years,Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Women+,45 to 54 years,Total population,35,9.0
2014,Ontario,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,35,10.0
2014,Ontario,Master's or Doctoral level,Men+,55 to 64 years,Total population,35,11.0
2014,Ontario,Master's or Doctoral level,Women+,55 to 64 years,Total population,35,8.0
2014,Manitoba,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,46,47.0
2014,Manitoba,Tertiary education,Men+,"Total, 25 to 64 years",Total population,46,41.0
2014,Manitoba,Tertiary education,Women+,"Total, 25 to 64 years",Total population,46,54.0
2014,Manitoba,Tertiary education,Total - Gender,25 to 34 years,Total population,46,50.0
2014,Manitoba,Tertiary education,Men+,25 to 34 years,Total population,46,40.0
2014,Manitoba,Tertiary education,Women+,25 to 34 years,Total population,46,60.0
2014,Manitoba,Tertiary education,Total - Gender,30 to 34 years,Total population,46,52.0
