Year,Géographie,Population,Genre,Groupe d'âge,GeoCode,Value
2020,Saskatchewan,Population totale,Total - Genre,65 à 69 ans,47,6.3
2020,Saskatchewan,Population totale,Total - Genre,70 ans et plus,47,4.5
2020,Saskatchewan,Population totale,Hommes+,15 ans et plus,47,8.7
2020,Saskatchewan,Population totale,Hommes+,15 à 24 ans,47,19.0
2020,Saskatchewan,Population totale,Hommes+,25 ans et plus,47,7.2
2020,Saskatchewan,Population totale,Hommes+,25 à 44 ans,47,8.2
2020,Saskatchewan,Population totale,Hommes+,45 à 64 ans,47,6.4
2020,Saskatchewan,Population totale,Hommes+,45 ans et plus,47,6.1
2020,Saskatchewan,Population totale,Hommes+,25 à 54 ans,47,7.5
2020,Saskatchewan,Population totale,Hommes+,55 ans et plus,47,6.1
2020,Saskatchewan,Population totale,Hommes+,15 à 64 ans,47,9.0
2020,Saskatchewan,Population totale,Hommes+,15 à 19 ans,47,24.7
2020,Saskatchewan,Population totale,Hommes+,20 à 24 ans,47,15.5
2020,Saskatchewan,Population totale,Hommes+,25 à 29 ans,47,10.5
2020,Saskatchewan,Population totale,Hommes+,30 à 34 ans,47,8.2
2020,Saskatchewan,Population totale,Hommes+,35 à 39 ans,47,7.6
2020,Saskatchewan,Population totale,Hommes+,40 à 44 ans,47,6.4
2020,Saskatchewan,Population totale,Hommes+,45 à 49 ans,47,6.0
2020,Saskatchewan,Population totale,Hommes+,50 à 54 ans,47,6.0
2020,Saskatchewan,Population totale,Hommes+,55 à 59 ans,47,5.3
2020,Saskatchewan,Population totale,Hommes+,60 à 64 ans,47,8.4
2020,Saskatchewan,Population totale,Hommes+,65 ans et plus,47,4.8
2020,Saskatchewan,Population totale,Hommes+,65 à 69 ans,47,
2020,Saskatchewan,Population totale,Hommes+,70 ans et plus,47,
2020,Saskatchewan,Population totale,Femmes+,15 ans et plus,47,7.8
2020,Saskatchewan,Population totale,Femmes+,15 à 24 ans,47,16.0
2020,Saskatchewan,Population totale,Femmes+,25 ans et plus,47,6.4
2020,Saskatchewan,Population totale,Femmes+,25 à 44 ans,47,6.9
2020,Saskatchewan,Population totale,Femmes+,45 à 64 ans,47,5.8
2020,Saskatchewan,Population totale,Femmes+,45 ans et plus,47,5.8
2020,Saskatchewan,Population totale,Femmes+,25 à 54 ans,47,6.5
2020,Saskatchewan,Population totale,Femmes+,55 ans et plus,47,6.3
2020,Saskatchewan,Population totale,Femmes+,15 à 64 ans,47,7.9
2020,Saskatchewan,Population totale,Femmes+,15 à 19 ans,47,21.4
2020,Saskatchewan,Population totale,Femmes+,20 à 24 ans,47,12.6
2020,Saskatchewan,Population totale,Femmes+,25 à 29 ans,47,8.4
2020,Saskatchewan,Population totale,Femmes+,30 à 34 ans,47,9.1
2020,Saskatchewan,Population totale,Femmes+,35 à 39 ans,47,5.6
2020,Saskatchewan,Population totale,Femmes+,40 à 44 ans,47,5.2
2020,Saskatchewan,Population totale,Femmes+,45 à 49 ans,47,5.2
2020,Saskatchewan,Population totale,Femmes+,50 à 54 ans,47,5.3
2020,Saskatchewan,Population totale,Femmes+,55 à 59 ans,47,6.0
2020,Saskatchewan,Population totale,Femmes+,60 à 64 ans,47,6.6
2020,Saskatchewan,Population totale,Femmes+,65 ans et plus,47,6.8
2020,Saskatchewan,Population totale,Femmes+,65 à 69 ans,47,
2020,Saskatchewan,Population totale,Femmes+,70 ans et plus,47,
2020,Alberta,Population totale,Total - Genre,15 ans et plus,48,11.4
2020,Alberta,Population totale,Total - Genre,15 à 24 ans,48,24.4
2020,Alberta,Population totale,Total - Genre,25 ans et plus,48,9.4
2020,Alberta,Population totale,Total - Genre,25 à 44 ans,48,9.5
2020,Alberta,Population totale,Total - Genre,45 à 64 ans,48,9.4
2020,Alberta,Population totale,Total - Genre,45 ans et plus,48,9.2
2020,Alberta,Population totale,Total - Genre,25 à 54 ans,48,9.1
2020,Alberta,Population totale,Total - Genre,55 ans et plus,48,10.3
2020,Alberta,Population totale,Total - Genre,15 à 64 ans,48,11.6
2020,Alberta,Population totale,Total - Genre,15 à 19 ans,48,29.8
2020,Alberta,Population totale,Total - Genre,20 à 24 ans,48,21.3
2020,Alberta,Population totale,Total - Genre,25 à 29 ans,48,12.1
2020,Alberta,Population totale,Total - Genre,30 à 34 ans,48,9.1
2020,Alberta,Population totale,Total - Genre,35 à 39 ans,48,9.2
2020,Alberta,Population totale,Total - Genre,40 à 44 ans,48,7.9
2020,Alberta,Population totale,Total - Genre,45 à 49 ans,48,7.5
2020,Alberta,Population totale,Total - Genre,50 à 54 ans,48,8.7
2020,Alberta,Population totale,Total - Genre,55 à 59 ans,48,11.1
2020,Alberta,Population totale,Total - Genre,60 à 64 ans,48,11.1
2020,Alberta,Population totale,Total - Genre,65 ans et plus,48,7.4
2020,Alberta,Population totale,Total - Genre,65 à 69 ans,48,9.8
2020,Alberta,Population totale,Total - Genre,70 ans et plus,48,3.8
2020,Alberta,Population totale,Hommes+,15 ans et plus,48,11.6
2020,Alberta,Population totale,Hommes+,15 à 24 ans,48,24.0
2020,Alberta,Population totale,Hommes+,25 ans et plus,48,9.8
2020,Alberta,Population totale,Hommes+,25 à 44 ans,48,10.1
2020,Alberta,Population totale,Hommes+,45 à 64 ans,48,9.6
2020,Alberta,Population totale,Hommes+,45 ans et plus,48,9.5
2020,Alberta,Population totale,Hommes+,25 à 54 ans,48,9.5
2020,Alberta,Population totale,Hommes+,55 ans et plus,48,10.7
2020,Alberta,Population totale,Hommes+,15 à 64 ans,48,11.8
2020,Alberta,Population totale,Hommes+,15 à 19 ans,48,30.1
2020,Alberta,Population totale,Hommes+,20 à 24 ans,48,20.8
2020,Alberta,Population totale,Hommes+,25 à 29 ans,48,14.0
2020,Alberta,Population totale,Hommes+,30 à 34 ans,48,9.2
2020,Alberta,Population totale,Hommes+,35 à 39 ans,48,9.0
2020,Alberta,Population totale,Hommes+,40 à 44 ans,48,8.7
2020,Alberta,Population totale,Hommes+,45 à 49 ans,48,7.0
2020,Alberta,Population totale,Hommes+,50 à 54 ans,48,9.2
2020,Alberta,Population totale,Hommes+,55 à 59 ans,48,11.9
2020,Alberta,Population totale,Hommes+,60 à 64 ans,48,10.8
2020,Alberta,Population totale,Hommes+,65 ans et plus,48,8.4
2020,Alberta,Population totale,Hommes+,65 à 69 ans,48,10.8
2020,Alberta,Population totale,Hommes+,70 ans et plus,48,
2020,Alberta,Population totale,Femmes+,15 ans et plus,48,11.1
2020,Alberta,Population totale,Femmes+,15 à 24 ans,48,24.9
2020,Alberta,Population totale,Femmes+,25 ans et plus,48,8.9
2020,Alberta,Population totale,Femmes+,25 à 44 ans,48,8.9
2020,Alberta,Population totale,Femmes+,45 à 64 ans,48,9.2
2020,Alberta,Population totale,Femmes+,45 ans et plus,48,8.9
2020,Alberta,Population totale,Femmes+,25 à 54 ans,48,8.7
2020,Alberta,Population totale,Femmes+,55 ans et plus,48,9.8
2020,Alberta,Population totale,Femmes+,15 à 64 ans,48,11.3
2020,Alberta,Population totale,Femmes+,15 à 19 ans,48,29.6
2020,Alberta,Population totale,Femmes+,20 à 24 ans,48,21.8
2020,Alberta,Population totale,Femmes+,25 à 29 ans,48,10.1
2020,Alberta,Population totale,Femmes+,30 à 34 ans,48,8.9
2020,Alberta,Population totale,Femmes+,35 à 39 ans,48,9.6
2020,Alberta,Population totale,Femmes+,40 à 44 ans,48,7.2
2020,Alberta,Population totale,Femmes+,45 à 49 ans,48,8.1
2020,Alberta,Population totale,Femmes+,50 à 54 ans,48,8.0
2020,Alberta,Population totale,Femmes+,55 à 59 ans,48,10.1
2020,Alberta,Population totale,Femmes+,60 à 64 ans,48,11.4
2020,Alberta,Population totale,Femmes+,65 ans et plus,48,5.7
2020,Alberta,Population totale,Femmes+,65 à 69 ans,48,7.9
2020,Alberta,Population totale,Femmes+,70 ans et plus,48,
2020,Colombie-Britannique,Population totale,Total - Genre,15 ans et plus,59,9.1
2020,Colombie-Britannique,Population totale,Total - Genre,15 à 24 ans,59,18.9
2020,Colombie-Britannique,Population totale,Total - Genre,25 ans et plus,59,7.6
2020,Colombie-Britannique,Population totale,Total - Genre,25 à 44 ans,59,8.1
2020,Colombie-Britannique,Population totale,Total - Genre,45 à 64 ans,59,7.1
2020,Colombie-Britannique,Population totale,Total - Genre,45 ans et plus,59,7.1
2020,Colombie-Britannique,Population totale,Total - Genre,25 à 54 ans,59,7.6
2020,Colombie-Britannique,Population totale,Total - Genre,55 ans et plus,59,7.6
2020,Colombie-Britannique,Population totale,Total - Genre,15 à 64 ans,59,9.2
2020,Colombie-Britannique,Population totale,Total - Genre,15 à 19 ans,59,21.9
2020,Colombie-Britannique,Population totale,Total - Genre,20 à 24 ans,59,17.3
2020,Colombie-Britannique,Population totale,Total - Genre,25 à 29 ans,59,10.9
2020,Colombie-Britannique,Population totale,Total - Genre,30 à 34 ans,59,7.5
2020,Colombie-Britannique,Population totale,Total - Genre,35 à 39 ans,59,7.5
2020,Colombie-Britannique,Population totale,Total - Genre,40 à 44 ans,59,6.1
2020,Colombie-Britannique,Population totale,Total - Genre,45 à 49 ans,59,6.6
2020,Colombie-Britannique,Population totale,Total - Genre,50 à 54 ans,59,6.7
2020,Colombie-Britannique,Population totale,Total - Genre,55 à 59 ans,59,7.3
2020,Colombie-Britannique,Population totale,Total - Genre,60 à 64 ans,59,8.0
2020,Colombie-Britannique,Population totale,Total - Genre,65 ans et plus,59,7.5
2020,Colombie-Britannique,Population totale,Total - Genre,65 à 69 ans,59,8.9
2020,Colombie-Britannique,Population totale,Total - Genre,70 ans et plus,59,5.2
2020,Colombie-Britannique,Population totale,Hommes+,15 ans et plus,59,9.2
2020,Colombie-Britannique,Population totale,Hommes+,15 à 24 ans,59,19.4
2020,Colombie-Britannique,Population totale,Hommes+,25 ans et plus,59,7.6
2020,Colombie-Britannique,Population totale,Hommes+,25 à 44 ans,59,8.1
2020,Colombie-Britannique,Population totale,Hommes+,45 à 64 ans,59,7.0
2020,Colombie-Britannique,Population totale,Hommes+,45 ans et plus,59,7.1
2020,Colombie-Britannique,Population totale,Hommes+,25 à 54 ans,59,7.6
2020,Colombie-Britannique,Population totale,Hommes+,55 ans et plus,59,7.7
2020,Colombie-Britannique,Population totale,Hommes+,15 à 64 ans,59,9.3
2020,Colombie-Britannique,Population totale,Hommes+,15 à 19 ans,59,23.0
2020,Colombie-Britannique,Population totale,Hommes+,20 à 24 ans,59,17.6
2020,Colombie-Britannique,Population totale,Hommes+,25 à 29 ans,59,12.7
2020,Colombie-Britannique,Population totale,Hommes+,30 à 34 ans,59,6.7
2020,Colombie-Britannique,Population totale,Hommes+,35 à 39 ans,59,6.9
2020,Colombie-Britannique,Population totale,Hommes+,40 à 44 ans,59,5.9
2020,Colombie-Britannique,Population totale,Hommes+,45 à 49 ans,59,5.8
2020,Colombie-Britannique,Population totale,Hommes+,50 à 54 ans,59,7.0
2020,Colombie-Britannique,Population totale,Hommes+,55 à 59 ans,59,6.9
2020,Colombie-Britannique,Population totale,Hommes+,60 à 64 ans,59,8.9
2020,Colombie-Britannique,Population totale,Hommes+,65 ans et plus,59,7.8
2020,Colombie-Britannique,Population totale,Hommes+,65 à 69 ans,59,9.8
2020,Colombie-Britannique,Population totale,Hommes+,70 ans et plus,59,
2020,Colombie-Britannique,Population totale,Femmes+,15 ans et plus,59,9.1
2020,Colombie-Britannique,Population totale,Femmes+,15 à 24 ans,59,18.3
2020,Colombie-Britannique,Population totale,Femmes+,25 ans et plus,59,7.6
2020,Colombie-Britannique,Population totale,Femmes+,25 à 44 ans,59,8.0
2020,Colombie-Britannique,Population totale,Femmes+,45 à 64 ans,59,7.1
2020,Colombie-Britannique,Population totale,Femmes+,45 ans et plus,59,7.1
2020,Colombie-Britannique,Population totale,Femmes+,25 à 54 ans,59,7.7
2020,Colombie-Britannique,Population totale,Femmes+,55 ans et plus,59,7.4
2020,Colombie-Britannique,Population totale,Femmes+,15 à 64 ans,59,9.2
2020,Colombie-Britannique,Population totale,Femmes+,15 à 19 ans,59,20.7
2020,Colombie-Britannique,Population totale,Femmes+,20 à 24 ans,59,17.0
2020,Colombie-Britannique,Population totale,Femmes+,25 à 29 ans,59,8.9
2020,Colombie-Britannique,Population totale,Femmes+,30 à 34 ans,59,8.5
2020,Colombie-Britannique,Population totale,Femmes+,35 à 39 ans,59,8.2
2020,Colombie-Britannique,Population totale,Femmes+,40 à 44 ans,59,6.4
2020,Colombie-Britannique,Population totale,Femmes+,45 à 49 ans,59,7.3
2020,Colombie-Britannique,Population totale,Femmes+,50 à 54 ans,59,6.4
2020,Colombie-Britannique,Population totale,Femmes+,55 à 59 ans,59,7.8
2020,Colombie-Britannique,Population totale,Femmes+,60 à 64 ans,59,7.0
2020,Colombie-Britannique,Population totale,Femmes+,65 ans et plus,59,7.2
2020,Colombie-Britannique,Population totale,Femmes+,65 à 69 ans,59,7.7
2020,Colombie-Britannique,Population totale,Femmes+,70 ans et plus,59,
2021,Canada,Population totale,Total - Genre,15 à 24 ans,,13.5
2021,Canada,Population totale,Total - Genre,25 ans et plus,,6.6
2021,Canada,Population totale,Total - Genre,25 à 44 ans,,6.5
2021,Canada,Population totale,Total - Genre,45 à 64 ans,,6.5
2021,Canada,Population totale,Total - Genre,45 ans et plus,,6.7
2021,Canada,Population totale,Total - Genre,25 à 54 ans,,6.2
2021,Canada,Population totale,Total - Genre,55 ans et plus,,7.6
2021,Canada,Population totale,Total - Genre,15 à 64 ans,,7.5
2021,Canada,Population totale,Total - Genre,15 à 19 ans,,16.0
2021,Canada,Population totale,Total - Genre,20 à 24 ans,,12.1
2021,Canada,Population totale,Total - Genre,25 à 29 ans,,8.1
2021,Canada,Population totale,Total - Genre,30 à 34 ans,,6.1
2021,Canada,Population totale,Total - Genre,35 à 39 ans,,6.2
2021,Canada,Population totale,Total - Genre,40 à 44 ans,,5.5
2021,Canada,Population totale,Total - Genre,45 à 49 ans,,5.6
2021,Canada,Population totale,Total - Genre,50 à 54 ans,,5.8
2021,Canada,Population totale,Total - Genre,55 à 59 ans,,6.8
2021,Canada,Population totale,Total - Genre,60 à 64 ans,,8.4
2021,Canada,Population totale,Total - Genre,65 ans et plus,,8.1
2021,Canada,Population totale,Total - Genre,65 à 69 ans,,9.0
2021,Canada,Population totale,Total - Genre,70 ans et plus,,6.3
2021,Canada,Population totale,Hommes+,15 ans et plus,,7.7
2021,Canada,Population totale,Hommes+,15 à 24 ans,,14.5
2021,Canada,Population totale,Hommes+,25 ans et plus,,6.6
2021,Canada,Population totale,Hommes+,25 à 44 ans,,6.7
2021,Canada,Population totale,Hommes+,45 à 64 ans,,6.4
2021,Canada,Population totale,Hommes+,45 ans et plus,,6.6
2021,Canada,Population totale,Hommes+,25 à 54 ans,,6.3
2021,Canada,Population totale,Hommes+,55 ans et plus,,7.4
2021,Canada,Population totale,Hommes+,15 à 64 ans,,7.7
2021,Canada,Population totale,Hommes+,15 à 19 ans,,16.6
2021,Canada,Population totale,Hommes+,20 à 24 ans,,13.4
2021,Canada,Population totale,Hommes+,25 à 29 ans,,8.6
2021,Canada,Population totale,Hommes+,30 à 34 ans,,6.4
2021,Canada,Population totale,Hommes+,35 à 39 ans,,5.9
2021,Canada,Population totale,Hommes+,40 à 44 ans,,5.6
2021,Canada,Population totale,Hommes+,45 à 49 ans,,5.5
2021,Canada,Population totale,Hommes+,50 à 54 ans,,5.8
2021,Canada,Population totale,Hommes+,55 à 59 ans,,6.6
2021,Canada,Population totale,Hommes+,60 à 64 ans,,8.1
2021,Canada,Population totale,Hommes+,65 ans et plus,,8.1
2021,Canada,Population totale,Hommes+,65 à 69 ans,,9.2
2021,Canada,Population totale,Hommes+,70 ans et plus,,6.5
2021,Canada,Population totale,Femmes+,15 ans et plus,,7.3
2021,Canada,Population totale,Femmes+,15 à 24 ans,,12.4
2021,Canada,Population totale,Femmes+,25 ans et plus,,6.5
2021,Canada,Population totale,Femmes+,25 à 44 ans,,6.2
2021,Canada,Population totale,Femmes+,45 à 64 ans,,6.6
2021,Canada,Population totale,Femmes+,45 ans et plus,,6.8
2021,Canada,Population totale,Femmes+,25 à 54 ans,,6.1
2021,Canada,Population totale,Femmes+,55 ans et plus,,7.8
2021,Canada,Population totale,Femmes+,15 à 64 ans,,7.3
2021,Canada,Population totale,Femmes+,15 à 19 ans,,15.4
2021,Canada,Population totale,Femmes+,20 à 24 ans,,10.7
2021,Canada,Population totale,Femmes+,25 à 29 ans,,7.4
2021,Canada,Population totale,Femmes+,30 à 34 ans,,5.7
2021,Canada,Population totale,Femmes+,35 à 39 ans,,6.4
2021,Canada,Population totale,Femmes+,40 à 44 ans,,5.3
2021,Canada,Population totale,Femmes+,45 à 49 ans,,5.8
2021,Canada,Population totale,Femmes+,50 à 54 ans,,5.7
2021,Canada,Population totale,Femmes+,55 à 59 ans,,7.0
2021,Canada,Population totale,Femmes+,60 à 64 ans,,8.9
2021,Canada,Population totale,Femmes+,65 ans et plus,,8.0
2021,Canada,Population totale,Femmes+,65 à 69 ans,,8.8
2021,Canada,Population totale,Femmes+,70 ans et plus,,6.1
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 ans et plus,10,13.0
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 24 ans,10,18.3
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 ans et plus,10,12.2
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 44 ans,10,10.5
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 à 64 ans,10,13.5
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 ans et plus,10,13.6
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 54 ans,10,10.5
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,55 ans et plus,10,16.7
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 64 ans,10,12.9
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 19 ans,10,19.4
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,20 à 24 ans,10,17.7
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 29 ans,10,12.1
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,30 à 34 ans,10,11.6
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,35 à 39 ans,10,8.9
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,40 à 44 ans,10,9.8
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 à 49 ans,10,9.8
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,50 à 54 ans,10,10.9
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,55 à 59 ans,10,14.5
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,60 à 64 ans,10,20.8
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,65 ans et plus,10,14.8
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,65 à 69 ans,10,18.6
2021,Terre-Neuve-et-Labrador,Population totale,Total - Genre,70 ans et plus,10,
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 ans et plus,10,16.1
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 24 ans,10,21.6
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 ans et plus,10,15.2
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 44 ans,10,13.7
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 à 64 ans,10,16.2
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 ans et plus,10,16.4
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 54 ans,10,13.4
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,55 ans et plus,10,19.5
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 64 ans,10,15.9
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 19 ans,10,23.0
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,20 à 24 ans,10,20.0
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 29 ans,10,16.0
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,30 à 34 ans,10,16.4
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,35 à 39 ans,10,10.8
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,40 à 44 ans,10,12.5
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 à 49 ans,10,13.8
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,50 à 54 ans,10,12.3
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,55 à 59 ans,10,17.6
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,60 à 64 ans,10,23.2
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,65 ans et plus,10,
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,65 à 69 ans,10,
2021,Terre-Neuve-et-Labrador,Population totale,Hommes+,70 ans et plus,10,
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 ans et plus,10,9.7
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 24 ans,10,14.7
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 ans et plus,10,8.9
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 44 ans,10,7.3
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 à 64 ans,10,10.5
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 ans et plus,10,10.5
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 54 ans,10,7.5
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,55 ans et plus,10,13.1
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 64 ans,10,9.6
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 19 ans,10,14.3
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,20 à 24 ans,10,14.0
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 29 ans,10,7.6
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,30 à 34 ans,10,6.6
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,35 à 39 ans,10,7.1
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,40 à 44 ans,10,7.0
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 à 49 ans,10,6.6
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,50 à 54 ans,10,9.4
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,55 à 59 ans,10,10.8
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,60 à 64 ans,10,17.8
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,65 ans et plus,10,
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,65 à 69 ans,10,
2021,Terre-Neuve-et-Labrador,Population totale,Femmes+,70 ans et plus,10,
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,15 ans et plus,11,9.8
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 24 ans,11,14.1
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,25 ans et plus,11,9.1
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 44 ans,11,8.3
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,45 à 64 ans,11,9.4
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,45 ans et plus,11,9.8
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 54 ans,11,8.4
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,55 ans et plus,11,10.5
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 64 ans,11,9.6
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 19 ans,11,16.7
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,20 à 24 ans,11,12.8
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 29 ans,11,8.9
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,30 à 34 ans,11,7.9
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,35 à 39 ans,11,8.2
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,40 à 44 ans,11,8.2
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,45 à 49 ans,11,8.1
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,50 à 54 ans,11,9.9
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,55 à 59 ans,11,8.7
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,60 à 64 ans,11,11.3
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,65 ans et plus,11,12.3
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,65 à 69 ans,11,14.7
2021,Île-du-Prince-Édouard,Population totale,Total - Genre,70 ans et plus,11,8.7
2021,Île-du-Prince-Édouard,Population totale,Hommes+,15 ans et plus,11,11.0
2021,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 24 ans,11,16.2
2021,Île-du-Prince-Édouard,Population totale,Hommes+,25 ans et plus,11,10.0
2021,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 44 ans,11,9.1
2021,Île-du-Prince-Édouard,Population totale,Hommes+,45 à 64 ans,11,10.8
2021,Île-du-Prince-Édouard,Population totale,Hommes+,45 ans et plus,11,11.2
2021,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 54 ans,11,9.8
2021,Île-du-Prince-Édouard,Population totale,Hommes+,55 ans et plus,11,10.4
2021,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 64 ans,11,11.1
2021,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 19 ans,11,16.7
2021,Île-du-Prince-Édouard,Population totale,Hommes+,20 à 24 ans,11,16.0
2021,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 29 ans,11,10.6
2021,Île-du-Prince-Édouard,Population totale,Hommes+,30 à 34 ans,11,6.8
2021,Île-du-Prince-Édouard,Population totale,Hommes+,35 à 39 ans,11,9.3
2021,Île-du-Prince-Édouard,Population totale,Hommes+,40 à 44 ans,11,9.8
2021,Île-du-Prince-Édouard,Population totale,Hommes+,45 à 49 ans,11,11.6
2021,Île-du-Prince-Édouard,Population totale,Hommes+,50 à 54 ans,11,12.8
2021,Île-du-Prince-Édouard,Population totale,Hommes+,55 à 59 ans,11,10.6
2021,Île-du-Prince-Édouard,Population totale,Hommes+,60 à 64 ans,11,10.3
2021,Île-du-Prince-Édouard,Population totale,Hommes+,65 ans et plus,11,10.3
2021,Île-du-Prince-Édouard,Population totale,Hommes+,65 à 69 ans,11,
2021,Île-du-Prince-Édouard,Population totale,Hommes+,70 ans et plus,11,
2021,Île-du-Prince-Édouard,Population totale,Femmes+,15 ans et plus,11,8.5
2021,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 24 ans,11,11.8
2021,Île-du-Prince-Édouard,Population totale,Femmes+,25 ans et plus,11,7.9
2021,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 44 ans,11,7.5
2021,Île-du-Prince-Édouard,Population totale,Femmes+,45 à 64 ans,11,7.3
2021,Île-du-Prince-Édouard,Population totale,Femmes+,45 ans et plus,11,8.2
2021,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 54 ans,11,6.9
2021,Île-du-Prince-Édouard,Population totale,Femmes+,55 ans et plus,11,10.5
2021,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 64 ans,11,8.1
2021,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 19 ans,11,16.7
2021,Île-du-Prince-Édouard,Population totale,Femmes+,20 à 24 ans,11,9.1
2021,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 29 ans,11,7.0
