Year,Geography,Gender,Main mode of commuting,GeoCode,Value
2021,"Ottawa - Gatineau (Ontario part) (CMA), Ont.",Total,Active transportation,35505,8.1
2021,"Ottawa - Gatineau (Ontario part) (CMA), Ont.",Women+,Sustainable transportation,35505,20.6
2021,"Ottawa - Gatineau (Ontario part) (CMA), Ont.",Women+,Public transit,35505,11.8
2021,"Ottawa - Gatineau (Ontario part) (CMA), Ont.",Women+,Active transportation,35505,8.8
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Men+,Sustainable transportation,24505,12.0
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Men+,Public transit,24505,7.4
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Men+,Active transportation,24505,4.6
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Sustainable transportation,24505,14.1
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Public transit,24505,9.1
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Active transportation,24505,5.1
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Women+,Sustainable transportation,24505,16.7
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Women+,Public transit,24505,11.1
2021,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Women+,Active transportation,24505,5.6
2021,"Peterborough (CMA), Ont.",Men+,Sustainable transportation,529,8.5
2021,"Peterborough (CMA), Ont.",Men+,Public transit,529,1.7
2021,"Peterborough (CMA), Ont.",Men+,Active transportation,529,6.8
2021,"Peterborough (CMA), Ont.",Total,Sustainable transportation,529,9.4
2021,"Peterborough (CMA), Ont.",Total,Public transit,529,2.5
2021,"Peterborough (CMA), Ont.",Total,Active transportation,529,6.9
2021,"Peterborough (CMA), Ont.",Women+,Sustainable transportation,529,10.4
2021,"Peterborough (CMA), Ont.",Women+,Public transit,529,3.3
2021,"Peterborough (CMA), Ont.",Women+,Active transportation,529,7.2
2021,"St. Catharines - Niagara (CMA), Ont.",Men+,Sustainable transportation,539,5.2
2021,"St. Catharines - Niagara (CMA), Ont.",Men+,Public transit,539,1.3
2021,"St. Catharines - Niagara (CMA), Ont.",Men+,Active transportation,539,3.9
2021,"St. Catharines - Niagara (CMA), Ont.",Total,Sustainable transportation,539,6.0
2021,"St. Catharines - Niagara (CMA), Ont.",Total,Public transit,539,1.9
2021,"St. Catharines - Niagara (CMA), Ont.",Total,Active transportation,539,4.1
2021,"St. Catharines - Niagara (CMA), Ont.",Women+,Sustainable transportation,539,6.8
2021,"St. Catharines - Niagara (CMA), Ont.",Women+,Public transit,539,2.5
2021,"St. Catharines - Niagara (CMA), Ont.",Women+,Active transportation,539,4.3
2021,"Thunder Bay (CMA), Ont.",Men+,Sustainable transportation,595,8.6
2021,"Thunder Bay (CMA), Ont.",Men+,Public transit,595,3.4
2021,"Thunder Bay (CMA), Ont.",Men+,Active transportation,595,5.2
2021,"Thunder Bay (CMA), Ont.",Total,Sustainable transportation,595,8.8
2021,"Thunder Bay (CMA), Ont.",Total,Public transit,595,3.4
2021,"Thunder Bay (CMA), Ont.",Total,Active transportation,595,5.4
2021,"Thunder Bay (CMA), Ont.",Women+,Sustainable transportation,595,8.9
2021,"Thunder Bay (CMA), Ont.",Women+,Public transit,595,3.4
2021,"Thunder Bay (CMA), Ont.",Women+,Active transportation,595,5.6
2021,"Toronto (CMA), Ont.",Men+,Sustainable transportation,535,16.5
2021,"Toronto (CMA), Ont.",Men+,Public transit,535,11.6
2021,"Toronto (CMA), Ont.",Men+,Active transportation,535,4.9
2021,"Toronto (CMA), Ont.",Total,Sustainable transportation,535,21.3
2021,"Toronto (CMA), Ont.",Total,Public transit,535,15.6
2021,"Toronto (CMA), Ont.",Total,Active transportation,535,5.7
2021,"Toronto (CMA), Ont.",Women+,Sustainable transportation,535,27.1
2021,"Toronto (CMA), Ont.",Women+,Public transit,535,20.5
2021,"Toronto (CMA), Ont.",Women+,Active transportation,535,6.6
2021,"Windsor (CMA), Ont.",Men+,Sustainable transportation,559,5.4
2021,"Windsor (CMA), Ont.",Men+,Public transit,559,2.0
2021,"Windsor (CMA), Ont.",Men+,Active transportation,559,3.4
2021,"Windsor (CMA), Ont.",Total,Sustainable transportation,559,5.3
2021,"Windsor (CMA), Ont.",Total,Public transit,559,2.0
2021,"Windsor (CMA), Ont.",Total,Active transportation,559,3.3
2021,"Windsor (CMA), Ont.",Women+,Sustainable transportation,559,5.2
2021,"Windsor (CMA), Ont.",Women+,Public transit,559,2.0
2021,"Windsor (CMA), Ont.",Women+,Active transportation,559,3.2
2021,Manitoba,Men+,Sustainable transportation,46,10.1
2021,Manitoba,Men+,Public transit,46,4.4
2021,Manitoba,Men+,Active transportation,46,5.8
2021,Manitoba,Total,Sustainable transportation,46,12.0
2021,Manitoba,Total,Public transit,46,5.7
2021,Manitoba,Total,Active transportation,46,6.3
2021,Manitoba,Women+,Sustainable transportation,46,14.2
2021,Manitoba,Women+,Public transit,46,7.2
2021,Manitoba,Women+,Active transportation,46,7.0
2021,"Winnipeg (CMA), Man.",Men+,Sustainable transportation,602,11.7
2021,"Winnipeg (CMA), Man.",Men+,Public transit,602,6.4
2021,"Winnipeg (CMA), Man.",Men+,Active transportation,602,5.2
2021,"Winnipeg (CMA), Man.",Total,Sustainable transportation,602,14.1
2021,"Winnipeg (CMA), Man.",Total,Public transit,602,8.4
2021,"Winnipeg (CMA), Man.",Total,Active transportation,602,5.7
2021,"Winnipeg (CMA), Man.",Women+,Sustainable transportation,602,16.9
2021,"Winnipeg (CMA), Man.",Women+,Public transit,602,10.7
2021,"Winnipeg (CMA), Man.",Women+,Active transportation,602,6.2
2021,Saskatchewan,Men+,Sustainable transportation,47,6.3
2021,Saskatchewan,Men+,Public transit,47,1.3
2021,Saskatchewan,Men+,Active transportation,47,5.0
2021,Saskatchewan,Total,Sustainable transportation,47,7.7
2021,Saskatchewan,Total,Public transit,47,1.8
2021,Saskatchewan,Total,Active transportation,47,5.8
2021,Saskatchewan,Women+,Sustainable transportation,47,9.2
2021,Saskatchewan,Women+,Public transit,47,2.4
2021,Saskatchewan,Women+,Active transportation,47,6.8
2021,"Regina (CMA), Sask.",Men+,Sustainable transportation,705,5.9
2021,"Regina (CMA), Sask.",Men+,Public transit,705,2.4
2021,"Regina (CMA), Sask.",Men+,Active transportation,705,3.5
2021,"Regina (CMA), Sask.",Total,Sustainable transportation,705,7.4
2021,"Regina (CMA), Sask.",Total,Public transit,705,3.3
2021,"Regina (CMA), Sask.",Total,Active transportation,705,4.1
2021,"Regina (CMA), Sask.",Women+,Sustainable transportation,705,9.1
2021,"Regina (CMA), Sask.",Women+,Public transit,705,4.3
2021,"Regina (CMA), Sask.",Women+,Active transportation,705,4.8
2021,"Saskatoon (CMA), Sask.",Men+,Sustainable transportation,725,6.5
2021,"Saskatoon (CMA), Sask.",Men+,Public transit,725,1.9
2021,"Saskatoon (CMA), Sask.",Men+,Active transportation,725,4.6
2021,"Saskatoon (CMA), Sask.",Total,Sustainable transportation,725,7.8
2021,"Saskatoon (CMA), Sask.",Total,Public transit,725,2.9
2021,"Saskatoon (CMA), Sask.",Total,Active transportation,725,5.0
2021,"Saskatoon (CMA), Sask.",Women+,Sustainable transportation,725,9.3
2021,"Saskatoon (CMA), Sask.",Women+,Public transit,725,3.9
2021,"Saskatoon (CMA), Sask.",Women+,Active transportation,725,5.4
2021,Alberta,Men+,Sustainable transportation,48,8.7
2021,Alberta,Men+,Public transit,48,4.6
2021,Alberta,Men+,Active transportation,48,4.1
2021,Alberta,Total,Sustainable transportation,48,10.3
2021,Alberta,Total,Public transit,48,5.6
2021,Alberta,Total,Active transportation,48,4.7
2021,Alberta,Women+,Sustainable transportation,48,12.1
2021,Alberta,Women+,Public transit,48,6.7
2021,Alberta,Women+,Active transportation,48,5.4
2021,"Calgary (CMA), Alta.",Men+,Sustainable transportation,825,10.9
2021,"Calgary (CMA), Alta.",Men+,Public transit,825,6.3
2021,"Calgary (CMA), Alta.",Men+,Active transportation,825,4.5
2021,"Calgary (CMA), Alta.",Total,Sustainable transportation,825,12.7
2021,"Calgary (CMA), Alta.",Total,Public transit,825,7.9
2021,"Calgary (CMA), Alta.",Total,Active transportation,825,4.9
2021,"Calgary (CMA), Alta.",Women+,Sustainable transportation,825,14.9
2021,"Calgary (CMA), Alta.",Women+,Public transit,825,9.7
2021,"Calgary (CMA), Alta.",Women+,Active transportation,825,5.2
2021,"Edmonton (CMA), Alta.",Men+,Sustainable transportation,835,7.9
2021,"Edmonton (CMA), Alta.",Men+,Public transit,835,4.4
2021,"Edmonton (CMA), Alta.",Men+,Active transportation,835,3.5
2021,"Edmonton (CMA), Alta.",Total,Sustainable transportation,835,10.2
2021,"Edmonton (CMA), Alta.",Total,Public transit,835,6.1
2021,"Edmonton (CMA), Alta.",Total,Active transportation,835,4.0
2021,"Edmonton (CMA), Alta.",Women+,Sustainable transportation,835,12.9
2021,"Edmonton (CMA), Alta.",Women+,Public transit,835,8.3
2021,"Edmonton (CMA), Alta.",Women+,Active transportation,835,4.7
2021,"Lethbridge (CMA), Alta.",Men+,Sustainable transportation,810,5.5
2021,"Lethbridge (CMA), Alta.",Men+,Public transit,810,1.3
2021,"Lethbridge (CMA), Alta.",Men+,Active transportation,810,4.2
2021,"Lethbridge (CMA), Alta.",Total,Sustainable transportation,810,6.3
2021,"Lethbridge (CMA), Alta.",Total,Public transit,810,1.9
2021,"Lethbridge (CMA), Alta.",Total,Active transportation,810,4.4
2021,"Lethbridge (CMA), Alta.",Women+,Sustainable transportation,810,7.2
2021,"Lethbridge (CMA), Alta.",Women+,Public transit,810,2.6
2021,"Lethbridge (CMA), Alta.",Women+,Active transportation,810,4.6
2021,"Red Deer (CMA), Alta.",Men+,Sustainable transportation,830,5.8
2021,"Red Deer (CMA), Alta.",Men+,Public transit,830,1.9
2021,"Red Deer (CMA), Alta.",Men+,Active transportation,830,3.9
2021,"Red Deer (CMA), Alta.",Total,Sustainable transportation,830,6.4
2021,"Red Deer (CMA), Alta.",Total,Public transit,830,2.5
2021,"Red Deer (CMA), Alta.",Total,Active transportation,830,3.9
2021,"Red Deer (CMA), Alta.",Women+,Sustainable transportation,830,7.2
2021,"Red Deer (CMA), Alta.",Women+,Public transit,830,3.3
2021,"Red Deer (CMA), Alta.",Women+,Active transportation,830,3.9
2021,British Columbia,Men+,Sustainable transportation,59,14.7
2021,British Columbia,Men+,Public transit,59,7.3
2021,British Columbia,Men+,Active transportation,59,7.5
2021,British Columbia,Total,Sustainable transportation,59,17.7
2021,British Columbia,Total,Public transit,59,9.3
2021,British Columbia,Total,Active transportation,59,8.5
2021,British Columbia,Women+,Sustainable transportation,59,21.2
2021,British Columbia,Women+,Public transit,59,11.6
2021,British Columbia,Women+,Active transportation,59,9.6
2021,"Abbotsford - Mission (CMA), B.C.",Men+,Sustainable transportation,932,4.9
2021,"Abbotsford - Mission (CMA), B.C.",Men+,Public transit,932,1.7
2021,"Abbotsford - Mission (CMA), B.C.",Men+,Active transportation,932,3.2
2021,"Abbotsford - Mission (CMA), B.C.",Total,Sustainable transportation,932,6.2
2021,"Abbotsford - Mission (CMA), B.C.",Total,Public transit,932,2.4
2021,"Abbotsford - Mission (CMA), B.C.",Total,Active transportation,932,3.8
2021,"Abbotsford - Mission (CMA), B.C.",Women+,Sustainable transportation,932,7.8
2021,"Abbotsford - Mission (CMA), B.C.",Women+,Public transit,932,3.2
2021,"Abbotsford - Mission (CMA), B.C.",Women+,Active transportation,932,4.5
2021,"Chilliwack (CMA), B.C.",Men+,Sustainable transportation,930,5.8
2021,"Chilliwack (CMA), B.C.",Men+,Public transit,930,1.1
2021,"Chilliwack (CMA), B.C.",Men+,Active transportation,930,4.7
2021,"Chilliwack (CMA), B.C.",Total,Sustainable transportation,930,6.9
2021,"Chilliwack (CMA), B.C.",Total,Public transit,930,1.5
2021,"Chilliwack (CMA), B.C.",Total,Active transportation,930,5.4
2021,"Chilliwack (CMA), B.C.",Women+,Sustainable transportation,930,8.2
2021,"Chilliwack (CMA), B.C.",Women+,Public transit,930,2.0
2021,"Chilliwack (CMA), B.C.",Women+,Active transportation,930,6.2
2021,"Kamloops (CMA), B.C.",Men+,Sustainable transportation,925,8.4
2021,"Kamloops (CMA), B.C.",Men+,Public transit,925,3.2
2021,"Kamloops (CMA), B.C.",Men+,Active transportation,925,5.3
2021,"Kamloops (CMA), B.C.",Total,Sustainable transportation,925,10.1
2021,"Kamloops (CMA), B.C.",Total,Public transit,925,4.0
2021,"Kamloops (CMA), B.C.",Total,Active transportation,925,6.1
2021,"Kamloops (CMA), B.C.",Women+,Sustainable transportation,925,12.1
2021,"Kamloops (CMA), B.C.",Women+,Public transit,925,5.0
2021,"Kamloops (CMA), B.C.",Women+,Active transportation,925,7.1
2021,"Kelowna (CMA), B.C.",Men+,Sustainable transportation,915,9.0
2021,"Kelowna (CMA), B.C.",Men+,Public transit,915,2.4
2021,"Kelowna (CMA), B.C.",Men+,Active transportation,915,6.6
2021,"Kelowna (CMA), B.C.",Total,Sustainable transportation,915,10.6
2021,"Kelowna (CMA), B.C.",Total,Public transit,915,3.2
2021,"Kelowna (CMA), B.C.",Total,Active transportation,915,7.4
2021,"Kelowna (CMA), B.C.",Women+,Sustainable transportation,915,12.3
2021,"Kelowna (CMA), B.C.",Women+,Public transit,915,4.1
2021,"Kelowna (CMA), B.C.",Women+,Active transportation,915,8.3
2021,"Nanaimo (CMA), B.C.",Men+,Sustainable transportation,938,9.4
2021,"Nanaimo (CMA), B.C.",Men+,Public transit,938,3.1
2021,"Nanaimo (CMA), B.C.",Men+,Active transportation,938,6.2
2021,"Nanaimo (CMA), B.C.",Total,Sustainable transportation,938,9.9
2021,"Nanaimo (CMA), B.C.",Total,Public transit,938,3.6
2021,"Nanaimo (CMA), B.C.",Total,Active transportation,938,6.3
2021,"Nanaimo (CMA), B.C.",Women+,Sustainable transportation,938,10.5
2021,"Nanaimo (CMA), B.C.",Women+,Public transit,938,4.1
2021,"Nanaimo (CMA), B.C.",Women+,Active transportation,938,6.4
2021,"Vancouver (CMA), B.C.",Men+,Sustainable transportation,933,18.7
2021,"Vancouver (CMA), B.C.",Men+,Public transit,933,11.5
2021,"Vancouver (CMA), B.C.",Men+,Active transportation,933,7.1
2021,"Vancouver (CMA), B.C.",Total,Sustainable transportation,933,23.2
2021,"Vancouver (CMA), B.C.",Total,Public transit,933,14.9
2021,"Vancouver (CMA), B.C.",Total,Active transportation,933,8.2
2021,"Vancouver (CMA), B.C.",Women+,Sustainable transportation,933,28.2
2021,"Vancouver (CMA), B.C.",Women+,Public transit,933,18.7
2021,"Vancouver (CMA), B.C.",Women+,Active transportation,933,9.5
2021,"Victoria (CMA), B.C.",Men+,Sustainable transportation,935,21.4
2021,"Victoria (CMA), B.C.",Men+,Public transit,935,6.3
2021,"Victoria (CMA), B.C.",Men+,Active transportation,935,15.2
2021,"Victoria (CMA), B.C.",Total,Sustainable transportation,935,23.0
2021,"Victoria (CMA), B.C.",Total,Public transit,935,7.7
2021,"Victoria (CMA), B.C.",Total,Active transportation,935,15.3
2021,"Victoria (CMA), B.C.",Women+,Sustainable transportation,935,24.8
2021,"Victoria (CMA), B.C.",Women+,Public transit,935,9.3
2021,"Victoria (CMA), B.C.",Women+,Active transportation,935,15.5
2021,Yukon,Men+,Sustainable transportation,60,12.1
2021,Yukon,Men+,Public transit,60,2.1
2021,Yukon,Men+,Active transportation,60,9.9
2021,Yukon,Total,Sustainable transportation,60,13.6
2021,Yukon,Total,Public transit,60,2.5
2021,Yukon,Total,Active transportation,60,11.1
2021,Yukon,Women+,Sustainable transportation,60,15.0
2021,Yukon,Women+,Public transit,60,2.9
2021,Yukon,Women+,Active transportation,60,12.1
2021,Northwest Territories,Men+,Sustainable transportation,61,19.4
2021,Northwest Territories,Men+,Public transit,61,0.8
2021,Northwest Territories,Men+,Active transportation,61,18.6
2021,Northwest Territories,Total,Sustainable transportation,61,21.7
2021,Northwest Territories,Total,Public transit,61,0.8
2021,Northwest Territories,Total,Active transportation,61,20.9
2021,Northwest Territories,Women+,Sustainable transportation,61,24.2
2021,Northwest Territories,Women+,Public transit,61,0.7
2021,Northwest Territories,Women+,Active transportation,61,23.5
2021,Nunavut,Men+,Sustainable transportation,62,33.5
2021,Nunavut,Men+,Public transit,62,1.0
2021,Nunavut,Men+,Active transportation,62,32.5
2021,Nunavut,Total,Sustainable transportation,62,37.0
2021,Nunavut,Total,Public transit,62,0.9
2021,Nunavut,Total,Active transportation,62,36.1
2021,Nunavut,Women+,Sustainable transportation,62,40.4
2021,Nunavut,Women+,Public transit,62,0.8
2021,Nunavut,Women+,Active transportation,62,39.7
