Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,GeoCode,Value
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,18 à 24 ans,Femmes,59,71.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,18 à 24 ans,Sexe inconnu,59,100.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,25 à 34 ans,"Total, le sexe de l'accusé",59,53.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,25 à 34 ans,Hommes,59,52.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,25 à 34 ans,Femmes,59,59.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,25 à 34 ans,Sexe inconnu,59,40.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,35 à 44 ans,"Total, le sexe de l'accusé",59,55.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,35 à 44 ans,Hommes,59,51.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,35 à 44 ans,Femmes,59,67.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,35 à 44 ans,Sexe inconnu,59,15.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,45 à 54 ans,"Total, le sexe de l'accusé",59,65.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,45 à 54 ans,Hommes,59,65.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,45 à 54 ans,Femmes,59,64.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,45 à 54 ans,Sexe inconnu,59,107.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,55 ans et plus,"Total, le sexe de l'accusé",59,72.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,55 ans et plus,Hommes,59,71.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,55 ans et plus,Femmes,59,94.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,55 ans et plus,Sexe inconnu,59,228.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Autres âges,"Total, le sexe de l'accusé",59,46.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Autres âges,Hommes,59,43.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Autres âges,Femmes,59,78.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Autres âges,Sexe inconnu,59,40.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,Sociétés,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",59,201.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Hommes,59,202.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Femmes,59,196.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sociétés,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",59,202.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,18 à 24 ans,Hommes,59,197.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,18 à 24 ans,Femmes,59,268.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,18 à 24 ans,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",59,199.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,59,201.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,59,184.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",59,199.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,59,199.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,59,198.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",59,204.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,59,213.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,59,191.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",59,197.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,59,199.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,59,192.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Autres âges,"Total, le sexe de l'accusé",59,132.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Autres âges,Hommes,59,132.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Autres âges,Femmes,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Autres âges,Sexe inconnu,59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",59,0.0
2017/2018,Tribunaux pour adultes,Colombie-Britannique,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,59,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,149.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,"Total, l'âge de l'accusé",Hommes,60,157.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,"Total, l'âge de l'accusé",Femmes,60,120.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,"Total, l'âge de l'accusé",Sociétés,60,1.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,18 à 24 ans,Hommes,60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,18 à 24 ans,Femmes,60,162.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,25 à 34 ans,Hommes,60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,25 à 34 ans,Femmes,60,169.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",60,154.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,35 à 44 ans,Hommes,60,165.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,35 à 44 ans,Femmes,60,110.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,35 à 44 ans,Sexe inconnu,60,46.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",60,157.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,45 à 54 ans,Hommes,60,168.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,45 à 54 ans,Femmes,60,114.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,45 à 54 ans,Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",60,158.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,55 ans et plus,Hommes,60,162.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,55 ans et plus,Femmes,60,71.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,55 ans et plus,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Autres âges,"Total, le sexe de l'accusé",60,98.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Autres âges,Hommes,60,80.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Autres âges,Femmes,60,101.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Autres âges,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",60,1.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions,Âge n'ayant pas lieu de figurer,Sociétés,60,1.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,149.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,60,156.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,60,124.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",60,179.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,18 à 24 ans,Hommes,60,190.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,18 à 24 ans,Femmes,60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",60,172.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,25 à 34 ans,Hommes,60,174.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,25 à 34 ans,Femmes,60,160.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",60,152.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,35 à 44 ans,Hommes,60,162.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,35 à 44 ans,Femmes,60,110.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,60,46.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",60,159.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,45 à 54 ans,Hommes,60,168.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,45 à 54 ans,Femmes,60,114.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",60,157.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,55 ans et plus,Hommes,60,158.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,55 ans et plus,Femmes,60,71.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Autres âges,"Total, le sexe de l'accusé",60,94.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Autres âges,Hommes,60,80.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Autres âges,Femmes,60,101.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Autres âges,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,182.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,60,190.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,60,177.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",60,222.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,18 à 24 ans,Hommes,60,224.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,18 à 24 ans,Femmes,60,216.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,25 à 34 ans,"Total, le sexe de l'accusé",60,192.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,25 à 34 ans,Hommes,60,193.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,25 à 34 ans,Femmes,60,189.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,35 à 44 ans,"Total, le sexe de l'accusé",60,141.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,35 à 44 ans,Hommes,60,149.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,35 à 44 ans,Femmes,60,138.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,35 à 44 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,45 à 54 ans,"Total, le sexe de l'accusé",60,197.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,45 à 54 ans,Hommes,60,225.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,45 à 54 ans,Femmes,60,197.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,45 à 54 ans,Sexe inconnu,60,2.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,55 ans et plus,"Total, le sexe de l'accusé",60,165.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,55 ans et plus,Hommes,60,165.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,55 ans et plus,Femmes,60,124.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,55 ans et plus,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Autres âges,"Total, le sexe de l'accusé",60,100.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Autres âges,Hommes,60,147.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Autres âges,Femmes,60,30.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Autres âges,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre la personne,Âge n'ayant pas lieu de figurer,Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,176.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,"Total, l'âge de l'accusé",Hommes,60,126.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,"Total, l'âge de l'accusé",Femmes,60,205.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,"Total, l'âge de l'accusé",Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,"Total, l'âge de l'accusé",Sexe inconnu,60,90.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,18 à 24 ans,"Total, le sexe de l'accusé",60,184.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,18 à 24 ans,Hommes,60,123.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,18 à 24 ans,Femmes,60,187.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,25 à 34 ans,"Total, le sexe de l'accusé",60,190.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,25 à 34 ans,Hommes,60,162.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,25 à 34 ans,Femmes,60,199.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,35 à 44 ans,"Total, le sexe de l'accusé",60,235.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,35 à 44 ans,Hommes,60,209.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,35 à 44 ans,Femmes,60,237.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,35 à 44 ans,Sexe inconnu,60,90.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,45 à 54 ans,"Total, le sexe de l'accusé",60,99.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,45 à 54 ans,Hommes,60,92.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,45 à 54 ans,Femmes,60,145.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,45 à 54 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,55 ans et plus,"Total, le sexe de l'accusé",60,141.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,55 ans et plus,Hommes,60,141.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,55 ans et plus,Femmes,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,55 ans et plus,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Autres âges,"Total, le sexe de l'accusé",60,64.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Autres âges,Hommes,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Autres âges,Femmes,60,64.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Autres âges,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre les biens,Âge n'ayant pas lieu de figurer,Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,151.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Hommes,60,143.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Femmes,60,169.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sexe inconnu,60,1.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,18 à 24 ans,"Total, le sexe de l'accusé",60,207.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,18 à 24 ans,Hommes,60,260.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,18 à 24 ans,Femmes,60,175.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,25 à 34 ans,"Total, le sexe de l'accusé",60,205.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,25 à 34 ans,Hommes,60,205.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,25 à 34 ans,Femmes,60,233.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,35 à 44 ans,"Total, le sexe de l'accusé",60,251.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,35 à 44 ans,Hommes,60,222.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,35 à 44 ans,Femmes,60,686.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,35 à 44 ans,Sexe inconnu,60,1.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,45 à 54 ans,"Total, le sexe de l'accusé",60,126.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,45 à 54 ans,Hommes,60,126.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,45 à 54 ans,Femmes,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,45 à 54 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,55 ans et plus,"Total, le sexe de l'accusé",60,217.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,55 ans et plus,Hommes,60,217.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,55 ans et plus,Femmes,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,55 ans et plus,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Autres âges,"Total, le sexe de l'accusé",60,107.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Autres âges,Hommes,60,79.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Autres âges,Femmes,60,149.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Autres âges,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",60,71.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Hommes,60,92.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Femmes,60,36.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sociétés,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",60,43.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,18 à 24 ans,Hommes,60,71.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,18 à 24 ans,Femmes,60,25.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,18 à 24 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",60,59.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,60,71.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,60,15.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,60,0.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",60,72.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,60,135.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,60,61.0
2017/2018,Tribunaux pour adultes,Yukon,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,60,0.0
