Year,Géographie,Genre,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,Nouveau-Brunswick,Total,Total,Identité non autochtone,13,75.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Total,13,63.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Non-immigrants,13,63.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Immigrants,13,56.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Résidents non permanents,13,79.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Total de la population des minorités visibles,13,63.1
2016,Nouveau-Brunswick,Total,15 à 24 ans,Pas une minorité visible,13,63.6
2016,Nouveau-Brunswick,Total,15 à 24 ans,Identité autochtone,13,57.9
2016,Nouveau-Brunswick,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),13,57.2
2016,Nouveau-Brunswick,Total,15 à 24 ans,Métis,13,56.7
2016,Nouveau-Brunswick,Total,15 à 24 ans,Inuk (Inuit),13,65.0
2016,Nouveau-Brunswick,Total,15 à 24 ans,Identité non autochtone,13,63.9
2016,Nouveau-Brunswick,Total,25 à 64 ans,Total,13,84.2
2016,Nouveau-Brunswick,Total,25 à 64 ans,Non-immigrants,13,83.8
2016,Nouveau-Brunswick,Total,25 à 64 ans,Immigrants,13,90.5
2016,Nouveau-Brunswick,Total,25 à 64 ans,Résidents non permanents,13,91.1
2016,Nouveau-Brunswick,Total,25 à 64 ans,Total de la population des minorités visibles,13,90.4
2016,Nouveau-Brunswick,Total,25 à 64 ans,Pas une minorité visible,13,84.0
2016,Nouveau-Brunswick,Total,25 à 64 ans,Identité autochtone,13,73.7
2016,Nouveau-Brunswick,Total,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),13,72.8
2016,Nouveau-Brunswick,Total,25 à 64 ans,Métis,13,74.3
2016,Nouveau-Brunswick,Total,25 à 64 ans,Inuk (Inuit),13,70.6
2016,Nouveau-Brunswick,Total,25 à 64 ans,Identité non autochtone,13,84.6
2016,Nouveau-Brunswick,Total,65 à 74 ans,Total,13,62.7
2016,Nouveau-Brunswick,Total,65 à 74 ans,Non-immigrants,13,61.5
2016,Nouveau-Brunswick,Total,65 à 74 ans,Immigrants,13,85.1
2016,Nouveau-Brunswick,Total,65 à 74 ans,Résidents non permanents,13,81.8
2016,Nouveau-Brunswick,Total,65 à 74 ans,Total de la population des minorités visibles,13,76.1
2016,Nouveau-Brunswick,Total,65 à 74 ans,Pas une minorité visible,13,62.6
2016,Nouveau-Brunswick,Total,65 à 74 ans,Identité autochtone,13,48.2
2016,Nouveau-Brunswick,Total,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),13,49.1
2016,Nouveau-Brunswick,Total,65 à 74 ans,Métis,13,46.7
2016,Nouveau-Brunswick,Total,65 à 74 ans,Inuk (Inuit),13,80.0
2016,Nouveau-Brunswick,Total,65 à 74 ans,Identité non autochtone,13,63.1
2016,Nouveau-Brunswick,Total,75 ans et plus,Total,13,45.8
2016,Nouveau-Brunswick,Total,75 ans et plus,Non-immigrants,13,44.2
2016,Nouveau-Brunswick,Total,75 ans et plus,Immigrants,13,72.1
2016,Nouveau-Brunswick,Total,75 ans et plus,Résidents non permanents,13,50.0
2016,Nouveau-Brunswick,Total,75 ans et plus,Total de la population des minorités visibles,13,56.3
2016,Nouveau-Brunswick,Total,75 ans et plus,Pas une minorité visible,13,45.7
2016,Nouveau-Brunswick,Total,75 ans et plus,Identité autochtone,13,29.0
2016,Nouveau-Brunswick,Total,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),13,34.4
2016,Nouveau-Brunswick,Total,75 ans et plus,Métis,13,22.2
2016,Nouveau-Brunswick,Total,75 ans et plus,Inuk (Inuit),13,0.0
2016,Nouveau-Brunswick,Total,75 ans et plus,Identité non autochtone,13,46.1
2016,Nouveau-Brunswick,Hommes,Total,Total,13,72.3
2016,Nouveau-Brunswick,Hommes,Total,Non-immigrants,13,71.6
2016,Nouveau-Brunswick,Hommes,Total,Immigrants,13,84.1
2016,Nouveau-Brunswick,Hommes,Total,Résidents non permanents,13,87.3
2016,Nouveau-Brunswick,Hommes,Total,Total de la population des minorités visibles,13,82.5
2016,Nouveau-Brunswick,Hommes,Total,Pas une minorité visible,13,72.0
2016,Nouveau-Brunswick,Hommes,Total,Identité autochtone,13,62.4
2016,Nouveau-Brunswick,Hommes,Total,Premières Nations (Indien de l'Amérique du Nord),13,62.2
2016,Nouveau-Brunswick,Hommes,Total,Métis,13,61.7
2016,Nouveau-Brunswick,Hommes,Total,Inuk (Inuit),13,76.9
2016,Nouveau-Brunswick,Hommes,Total,Identité non autochtone,13,72.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Total,13,62.4
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Non-immigrants,13,62.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Immigrants,13,54.0
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Résidents non permanents,13,82.1
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Total de la population des minorités visibles,13,64.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Pas une minorité visible,13,62.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Identité autochtone,13,55.5
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),13,54.8
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Métis,13,55.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Inuk (Inuit),13,66.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Identité non autochtone,13,62.8
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Total,13,80.6
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Non-immigrants,13,80.0
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Immigrants,13,89.6
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Résidents non permanents,13,90.4
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Total de la population des minorités visibles,13,90.9
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Pas une minorité visible,13,80.2
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Identité autochtone,13,69.4
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),13,68.0
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Métis,13,70.2
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Inuk (Inuit),13,81.3
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Identité non autochtone,13,81.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Total,13,60.4
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Non-immigrants,13,59.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Immigrants,13,86.4
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Résidents non permanents,13,60.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Total de la population des minorités visibles,13,71.6
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Pas une minorité visible,13,60.3
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Identité autochtone,13,42.2
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),13,45.1
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Métis,13,39.3
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Inuk (Inuit),13,100.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Identité non autochtone,13,60.9
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Total,13,42.5
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Non-immigrants,13,40.3
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Immigrants,13,75.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Résidents non permanents,13,0.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Total de la population des minorités visibles,13,62.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Pas une minorité visible,13,42.2
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Identité autochtone,13,27.4
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),13,37.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Métis,13,17.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Inuk (Inuit),13,0.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Identité non autochtone,13,42.8
2016,Nouveau-Brunswick,Femmes,Total,Total,13,78.1
2016,Nouveau-Brunswick,Femmes,Total,Non-immigrants,13,77.6
2016,Nouveau-Brunswick,Femmes,Total,Immigrants,13,85.3
2016,Nouveau-Brunswick,Femmes,Total,Résidents non permanents,13,87.4
2016,Nouveau-Brunswick,Femmes,Total,Total de la population des minorités visibles,13,82.1
2016,Nouveau-Brunswick,Femmes,Total,Pas une minorité visible,13,78.0
2016,Nouveau-Brunswick,Femmes,Total,Identité autochtone,13,70.5
2016,Nouveau-Brunswick,Femmes,Total,Premières Nations (Indien de l'Amérique du Nord),13,69.8
2016,Nouveau-Brunswick,Femmes,Total,Métis,13,71.3
2016,Nouveau-Brunswick,Femmes,Total,Inuk (Inuit),13,62.5
2016,Nouveau-Brunswick,Femmes,Total,Identité non autochtone,13,78.4
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Total,13,64.8
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Non-immigrants,13,64.9
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Immigrants,13,59.6
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Résidents non permanents,13,76.9
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Total de la population des minorités visibles,13,61.0
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Pas une minorité visible,13,65.0
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Identité autochtone,13,60.1
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),13,59.3
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Métis,13,59.8
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Inuk (Inuit),13,72.7
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Identité non autochtone,13,65.1
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Total,13,87.6
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Non-immigrants,13,87.4
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Immigrants,13,91.3
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Résidents non permanents,13,92.6
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Total de la population des minorités visibles,13,89.8
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Pas une minorité visible,13,87.5
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Identité autochtone,13,77.9
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),13,77.4
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Métis,13,78.8
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Inuk (Inuit),13,61.1
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Identité non autochtone,13,88.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Total,13,65.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Non-immigrants,13,63.9
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Immigrants,13,84.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Résidents non permanents,13,100.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Total de la population des minorités visibles,13,81.8
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Pas une minorité visible,13,64.8
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Identité autochtone,13,54.1
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),13,51.6
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Métis,13,54.3
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Inuk (Inuit),13,75.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Identité non autochtone,13,65.2
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Total,13,48.4
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Non-immigrants,13,47.2
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Immigrants,13,68.8
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Résidents non permanents,13,66.7
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Total de la population des minorités visibles,13,45.9
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Pas une minorité visible,13,48.5
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Identité autochtone,13,31.0
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),13,33.3
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Métis,13,29.4
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Inuk (Inuit),13,0.0
2016,Nouveau-Brunswick,Femmes,75 ans et plus,Identité non autochtone,13,48.7
2016,Québec,Total,Total,Total,24,77.2
2016,Québec,Total,Total,Non-immigrants,24,76.8
2016,Québec,Total,Total,Immigrants,24,78.8
2016,Québec,Total,Total,Résidents non permanents,24,88.6
2016,Québec,Total,Total,Total de la population des minorités visibles,24,79.4
2016,Québec,Total,Total,Pas une minorité visible,24,77.0
2016,Québec,Total,Total,Identité autochtone,24,60.0
2016,Québec,Total,Total,Premières Nations (Indien de l'Amérique du Nord),24,54.8
2016,Québec,Total,Total,Métis,24,70.0
2016,Québec,Total,Total,Inuk (Inuit),24,30.9
2016,Québec,Total,Total,Identité non autochtone,24,77.6
2016,Québec,Total,15 à 24 ans,Total,24,65.2
2016,Québec,Total,15 à 24 ans,Non-immigrants,24,64.6
2016,Québec,Total,15 à 24 ans,Immigrants,24,65.7
2016,Québec,Total,15 à 24 ans,Résidents non permanents,24,87.5
2016,Québec,Total,15 à 24 ans,Total de la population des minorités visibles,24,67.5
2016,Québec,Total,15 à 24 ans,Pas une minorité visible,24,64.8
2016,Québec,Total,15 à 24 ans,Identité autochtone,24,43.7
2016,Québec,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),24,39.0
2016,Québec,Total,15 à 24 ans,Métis,24,56.7
2016,Québec,Total,15 à 24 ans,Inuk (Inuit),24,23.0
2016,Québec,Total,15 à 24 ans,Identité non autochtone,24,65.9
2016,Québec,Total,25 à 64 ans,Total,24,83.8
2016,Québec,Total,25 à 64 ans,Non-immigrants,24,83.4
2016,Québec,Total,25 à 64 ans,Immigrants,24,85.6
2016,Québec,Total,25 à 64 ans,Résidents non permanents,24,90.3
2016,Québec,Total,25 à 64 ans,Total de la population des minorités visibles,24,84.7
2016,Québec,Total,25 à 64 ans,Pas une minorité visible,24,83.7
2016,Québec,Total,25 à 64 ans,Identité autochtone,24,66.0
2016,Québec,Total,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),24,61.0
2016,Québec,Total,25 à 64 ans,Métis,24,75.3
2016,Québec,Total,25 à 64 ans,Inuk (Inuit),24,35.3
2016,Québec,Total,25 à 64 ans,Identité non autochtone,24,84.2
2016,Québec,Total,65 à 74 ans,Total,24,72.2
2016,Québec,Total,65 à 74 ans,Non-immigrants,24,72.8
2016,Québec,Total,65 à 74 ans,Immigrants,24,68.7
2016,Québec,Total,65 à 74 ans,Résidents non permanents,24,55.0
2016,Québec,Total,65 à 74 ans,Total de la population des minorités visibles,24,67.9
2016,Québec,Total,65 à 74 ans,Pas une minorité visible,24,72.5
2016,Québec,Total,65 à 74 ans,Identité autochtone,24,58.9
2016,Québec,Total,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),24,54.3
2016,Québec,Total,65 à 74 ans,Métis,24,64.5
2016,Québec,Total,65 à 74 ans,Inuk (Inuit),24,27.8
2016,Québec,Total,65 à 74 ans,Identité non autochtone,24,72.5
2016,Québec,Total,75 ans et plus,Total,24,50.4
2016,Québec,Total,75 ans et plus,Non-immigrants,24,51.0
2016,Québec,Total,75 ans et plus,Immigrants,24,47.7
2016,Québec,Total,75 ans et plus,Résidents non permanents,24,48.6
2016,Québec,Total,75 ans et plus,Total de la population des minorités visibles,24,52.3
2016,Québec,Total,75 ans et plus,Pas une minorité visible,24,50.3
2016,Québec,Total,75 ans et plus,Identité autochtone,24,36.1
2016,Québec,Total,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),24,33.2
2016,Québec,Total,75 ans et plus,Métis,24,38.7
2016,Québec,Total,75 ans et plus,Inuk (Inuit),24,16.7
2016,Québec,Total,75 ans et plus,Identité non autochtone,24,50.6
2016,Québec,Hommes,Total,Total,24,75.3
2016,Québec,Hommes,Total,Non-immigrants,24,74.2
2016,Québec,Hommes,Total,Immigrants,24,80.0
2016,Québec,Hommes,Total,Résidents non permanents,24,88.1
2016,Québec,Hommes,Total,Total de la population des minorités visibles,24,79.7
2016,Québec,Hommes,Total,Pas une minorité visible,24,74.7
2016,Québec,Hommes,Total,Identité autochtone,24,56.4
2016,Québec,Hommes,Total,Premières Nations (Indien de l'Amérique du Nord),24,50.1
2016,Québec,Hommes,Total,Métis,24,67.0
2016,Québec,Hommes,Total,Inuk (Inuit),24,27.8
2016,Québec,Hommes,Total,Identité non autochtone,24,75.7
2016,Québec,Hommes,15 à 24 ans,Total,24,61.6
2016,Québec,Hommes,15 à 24 ans,Non-immigrants,24,60.7
2016,Québec,Hommes,15 à 24 ans,Immigrants,24,63.0
2016,Québec,Hommes,15 à 24 ans,Résidents non permanents,24,87.0
2016,Québec,Hommes,15 à 24 ans,Total de la population des minorités visibles,24,64.7
2016,Québec,Hommes,15 à 24 ans,Pas une minorité visible,24,61.0
2016,Québec,Hommes,15 à 24 ans,Identité autochtone,24,39.5
2016,Québec,Hommes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),24,34.3
2016,Québec,Hommes,15 à 24 ans,Métis,24,52.2
2016,Québec,Hommes,15 à 24 ans,Inuk (Inuit),24,19.6
2016,Québec,Hommes,15 à 24 ans,Identité non autochtone,24,62.2
2016,Québec,Hommes,25 à 64 ans,Total,24,81.1
2016,Québec,Hommes,25 à 64 ans,Non-immigrants,24,79.9
2016,Québec,Hommes,25 à 64 ans,Immigrants,24,86.0
2016,Québec,Hommes,25 à 64 ans,Résidents non permanents,24,89.3
2016,Québec,Hommes,25 à 64 ans,Total de la population des minorités visibles,24,85.0
2016,Québec,Hommes,25 à 64 ans,Pas une minorité visible,24,80.5
2016,Québec,Hommes,25 à 64 ans,Identité autochtone,24,62.1
2016,Québec,Hommes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),24,55.8
2016,Québec,Hommes,25 à 64 ans,Métis,24,72.1
2016,Québec,Hommes,25 à 64 ans,Inuk (Inuit),24,32.5
2016,Québec,Hommes,25 à 64 ans,Identité non autochtone,24,81.5
2016,Québec,Hommes,65 à 74 ans,Total,24,72.3
2016,Québec,Hommes,65 à 74 ans,Non-immigrants,24,72.3
2016,Québec,Hommes,65 à 74 ans,Immigrants,24,72.5
2016,Québec,Hommes,65 à 74 ans,Résidents non permanents,24,57.3
2016,Québec,Hommes,65 à 74 ans,Total de la population des minorités visibles,24,73.2
2016,Québec,Hommes,65 à 74 ans,Pas une minorité visible,24,72.3
2016,Québec,Hommes,65 à 74 ans,Identité autochtone,24,58.0
2016,Québec,Hommes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),24,51.8
2016,Québec,Hommes,65 à 74 ans,Métis,24,64.6
2016,Québec,Hommes,65 à 74 ans,Inuk (Inuit),24,25.6
2016,Québec,Hommes,65 à 74 ans,Identité non autochtone,24,72.6
2016,Québec,Hommes,75 ans et plus,Total,24,52.9
2016,Québec,Hommes,75 ans et plus,Non-immigrants,24,52.6
2016,Québec,Hommes,75 ans et plus,Immigrants,24,54.4
2016,Québec,Hommes,75 ans et plus,Résidents non permanents,24,66.7
2016,Québec,Hommes,75 ans et plus,Total de la population des minorités visibles,24,63.7
2016,Québec,Hommes,75 ans et plus,Pas une minorité visible,24,52.4
2016,Québec,Hommes,75 ans et plus,Identité autochtone,24,36.0
2016,Québec,Hommes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),24,33.3
2016,Québec,Hommes,75 ans et plus,Métis,24,38.6
2016,Québec,Hommes,75 ans et plus,Inuk (Inuit),24,13.3
2016,Québec,Hommes,75 ans et plus,Identité non autochtone,24,53.2
2016,Québec,Femmes,Total,Total,24,79.1
2016,Québec,Femmes,Total,Non-immigrants,24,79.3
2016,Québec,Femmes,Total,Immigrants,24,77.7
2016,Québec,Femmes,Total,Résidents non permanents,24,89.2
2016,Québec,Femmes,Total,Total de la population des minorités visibles,24,79.1
2016,Québec,Femmes,Total,Pas une minorité visible,24,79.2
2016,Québec,Femmes,Total,Identité autochtone,24,63.5
2016,Québec,Femmes,Total,Premières Nations (Indien de l'Amérique du Nord),24,59.2
2016,Québec,Femmes,Total,Métis,24,73.3
2016,Québec,Femmes,Total,Inuk (Inuit),24,33.9
2016,Québec,Femmes,Total,Identité non autochtone,24,79.5
2016,Québec,Femmes,15 à 24 ans,Total,24,69.1
2016,Québec,Femmes,15 à 24 ans,Non-immigrants,24,68.6
2016,Québec,Femmes,15 à 24 ans,Immigrants,24,68.2
2016,Québec,Femmes,15 à 24 ans,Résidents non permanents,24,88.0
2016,Québec,Femmes,15 à 24 ans,Total de la population des minorités visibles,24,70.2
2016,Québec,Femmes,15 à 24 ans,Pas une minorité visible,24,68.8
2016,Québec,Femmes,15 à 24 ans,Identité autochtone,24,48.0
2016,Québec,Femmes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),24,43.7
2016,Québec,Femmes,15 à 24 ans,Métis,24,61.9
2016,Québec,Femmes,15 à 24 ans,Inuk (Inuit),24,26.4
2016,Québec,Femmes,15 à 24 ans,Identité non autochtone,24,69.7
2016,Québec,Femmes,25 à 64 ans,Total,24,86.5
2016,Québec,Femmes,25 à 64 ans,Non-immigrants,24,86.7
2016,Québec,Femmes,25 à 64 ans,Immigrants,24,85.3
2016,Québec,Femmes,25 à 64 ans,Résidents non permanents,24,91.5
2016,Québec,Femmes,25 à 64 ans,Total de la population des minorités visibles,24,84.4
2016,Québec,Femmes,25 à 64 ans,Pas une minorité visible,24,86.9
2016,Québec,Femmes,25 à 64 ans,Identité autochtone,24,69.8
2016,Québec,Femmes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),24,65.8
2016,Québec,Femmes,25 à 64 ans,Métis,24,78.9
2016,Québec,Femmes,25 à 64 ans,Inuk (Inuit),24,37.9
2016,Québec,Femmes,25 à 64 ans,Identité non autochtone,24,86.9
2016,Québec,Femmes,65 à 74 ans,Total,24,72.1
2016,Québec,Femmes,65 à 74 ans,Non-immigrants,24,73.3
2016,Québec,Femmes,65 à 74 ans,Immigrants,24,65.0
2016,Québec,Femmes,65 à 74 ans,Résidents non permanents,24,52.5
2016,Québec,Femmes,65 à 74 ans,Total de la population des minorités visibles,24,63.0
2016,Québec,Femmes,65 à 74 ans,Pas une minorité visible,24,72.7
2016,Québec,Femmes,65 à 74 ans,Identité autochtone,24,59.8
2016,Québec,Femmes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),24,56.5
2016,Québec,Femmes,65 à 74 ans,Métis,24,64.4
2016,Québec,Femmes,65 à 74 ans,Inuk (Inuit),24,29.6
2016,Québec,Femmes,65 à 74 ans,Identité non autochtone,24,72.3
2016,Québec,Femmes,75 ans et plus,Total,24,48.4
2016,Québec,Femmes,75 ans et plus,Non-immigrants,24,49.7
2016,Québec,Femmes,75 ans et plus,Immigrants,24,42.1
2016,Québec,Femmes,75 ans et plus,Résidents non permanents,24,35.8
2016,Québec,Femmes,75 ans et plus,Total de la population des minorités visibles,24,43.7
2016,Québec,Femmes,75 ans et plus,Pas une minorité visible,24,48.7
2016,Québec,Femmes,75 ans et plus,Identité autochtone,24,36.4
2016,Québec,Femmes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),24,33.0
2016,Québec,Femmes,75 ans et plus,Métis,24,39.3
2016,Québec,Femmes,75 ans et plus,Inuk (Inuit),24,28.6
2016,Québec,Femmes,75 ans et plus,Identité non autochtone,24,48.6
2016,Ontario,Total,Total,Total,35,80.5
2016,Ontario,Total,Total,Non-immigrants,35,80.5
2016,Ontario,Total,Total,Immigrants,35,80.2
2016,Ontario,Total,Total,Résidents non permanents,35,88.1
2016,Ontario,Total,Total,Total de la population des minorités visibles,35,82.4
2016,Ontario,Total,Total,Pas une minorité visible,35,79.8
2016,Ontario,Total,Total,Identité autochtone,35,67.0
2016,Ontario,Total,Total,Premières Nations (Indien de l'Amérique du Nord),35,62.6
2016,Ontario,Total,Total,Métis,35,74.4
2016,Ontario,Total,Total,Inuk (Inuit),35,66.0
2016,Ontario,Total,Total,Identité non autochtone,35,80.9
2016,Ontario,Total,15 à 24 ans,Total,35,66.5
2016,Ontario,Total,15 à 24 ans,Non-immigrants,35,64.5
2016,Ontario,Total,15 à 24 ans,Immigrants,35,71.5
2016,Ontario,Total,15 à 24 ans,Résidents non permanents,35,85.6
2016,Ontario,Total,15 à 24 ans,Total de la population des minorités visibles,35,70.0
2016,Ontario,Total,15 à 24 ans,Pas une minorité visible,35,64.5
2016,Ontario,Total,15 à 24 ans,Identité autochtone,35,51.5
2016,Ontario,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),35,47.1
2016,Ontario,Total,15 à 24 ans,Métis,35,60.0
2016,Ontario,Total,15 à 24 ans,Inuk (Inuit),35,51.1
2016,Ontario,Total,15 à 24 ans,Identité non autochtone,35,67.0
2016,Ontario,Total,25 à 64 ans,Total,35,87.9
2016,Ontario,Total,25 à 64 ans,Non-immigrants,35,88.4
2016,Ontario,Total,25 à 64 ans,Immigrants,35,87.0
2016,Ontario,Total,25 à 64 ans,Résidents non permanents,35,90.8
2016,Ontario,Total,25 à 64 ans,Total de la population des minorités visibles,35,88.4
2016,Ontario,Total,25 à 64 ans,Pas une minorité visible,35,87.8
2016,Ontario,Total,25 à 64 ans,Identité autochtone,35,74.8
2016,Ontario,Total,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),35,70.3
2016,Ontario,Total,25 à 64 ans,Métis,35,82.3
2016,Ontario,Total,25 à 64 ans,Inuk (Inuit),35,71.9
2016,Ontario,Total,25 à 64 ans,Identité non autochtone,35,88.3
2016,Ontario,Total,65 à 74 ans,Total,35,73.7
2016,Ontario,Total,65 à 74 ans,Non-immigrants,35,74.6
2016,Ontario,Total,65 à 74 ans,Immigrants,35,72.6
2016,Ontario,Total,65 à 74 ans,Résidents non permanents,35,66.1
2016,Ontario,Total,65 à 74 ans,Total de la population des minorités visibles,35,74.4
2016,Ontario,Total,65 à 74 ans,Pas une minorité visible,35,73.6
2016,Ontario,Total,65 à 74 ans,Identité autochtone,35,55.1
2016,Ontario,Total,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),35,51.8
2016,Ontario,Total,65 à 74 ans,Métis,35,58.7
2016,Ontario,Total,65 à 74 ans,Inuk (Inuit),35,74.1
2016,Ontario,Total,65 à 74 ans,Identité non autochtone,35,74.0
2016,Ontario,Total,75 ans et plus,Total,35,56.1
2016,Ontario,Total,75 ans et plus,Non-immigrants,35,57.9
2016,Ontario,Total,75 ans et plus,Immigrants,35,54.0
2016,Ontario,Total,75 ans et plus,Résidents non permanents,35,50.8
2016,Ontario,Total,75 ans et plus,Total de la population des minorités visibles,35,58.8
2016,Ontario,Total,75 ans et plus,Pas une minorité visible,35,55.5
