Year,Geography,Type of work,National Occupational Classification (NOC),Age,GeoCode,Value
2015,Quebec,Both full- and part-time employees,Management occupations,55 years and over,24,0.84
2015,Quebec,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,24,0.91
2015,Quebec,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,24,1.0
2015,Quebec,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,24,0.9
2015,Quebec,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,24,0.85
2015,Quebec,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,24,0.87
2015,Quebec,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,24,0.9
2015,Quebec,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,24,0.88
2015,Quebec,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,24,0.85
2015,Quebec,Both full- and part-time employees,Health occupations,15 years and over,24,0.96
2015,Quebec,Both full- and part-time employees,Health occupations,15 to 24 years,24,1.12
2015,Quebec,Both full- and part-time employees,Health occupations,25 to 54 years,24,1.06
2015,Quebec,Both full- and part-time employees,Health occupations,55 years and over,24,0.78
2015,Quebec,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,24,0.79
2015,Quebec,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,24,0.96
2015,Quebec,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,24,0.82
2015,Quebec,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,24,0.59
2015,Quebec,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,24,0.9
2015,Quebec,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,24,1.06
2015,Quebec,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,24,0.83
2015,Quebec,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,24,0.88
2015,Quebec,Both full- and part-time employees,Sales and service occupations,15 years and over,24,0.87
2015,Quebec,Both full- and part-time employees,Sales and service occupations,15 to 24 years,24,1.0
2015,Quebec,Both full- and part-time employees,Sales and service occupations,25 to 54 years,24,0.85
2015,Quebec,Both full- and part-time employees,Sales and service occupations,55 years and over,24,0.82
2015,Quebec,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,24,0.86
2015,Quebec,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,24,0.77
2015,Quebec,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,24,0.89
2015,Quebec,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,24,0.85
2015,Quebec,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,24,0.68
2015,Quebec,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,24,0.92
2015,Quebec,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,24,0.69
2015,Quebec,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,24,
2015,Quebec,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,24,0.75
2015,Quebec,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,24,0.83
2015,Quebec,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,24,0.75
2015,Quebec,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,24,0.71
2015,Quebec,Full-time employees,"Total employees, all occupations",15 years and over,24,0.92
2015,Quebec,Full-time employees,"Total employees, all occupations",15 to 24 years,24,0.93
2015,Quebec,Full-time employees,"Total employees, all occupations",25 to 54 years,24,0.92
2015,Quebec,Full-time employees,"Total employees, all occupations",55 years and over,24,0.84
2015,Quebec,Full-time employees,Management occupations,15 years and over,24,0.89
2015,Quebec,Full-time employees,Management occupations,15 to 24 years,24,0.86
2015,Quebec,Full-time employees,Management occupations,25 to 54 years,24,0.92
2015,Quebec,Full-time employees,Management occupations,55 years and over,24,0.83
2015,Quebec,Full-time employees,"Business, finance and administration occupations",15 years and over,24,0.9
2015,Quebec,Full-time employees,"Business, finance and administration occupations",15 to 24 years,24,1.15
2015,Quebec,Full-time employees,"Business, finance and administration occupations",25 to 54 years,24,0.92
2015,Quebec,Full-time employees,"Business, finance and administration occupations",55 years and over,24,0.85
2015,Quebec,Full-time employees,Natural and applied sciences and related occupations,15 years and over,24,0.86
2015,Quebec,Full-time employees,Natural and applied sciences and related occupations,15 to 24 years,24,0.9
2015,Quebec,Full-time employees,Natural and applied sciences and related occupations,25 to 54 years,24,0.9
2015,Quebec,Full-time employees,Natural and applied sciences and related occupations,55 years and over,24,0.85
2015,Quebec,Full-time employees,Health occupations,15 years and over,24,0.96
2015,Quebec,Full-time employees,Health occupations,15 to 24 years,24,1.05
2015,Quebec,Full-time employees,Health occupations,25 to 54 years,24,0.98
2015,Quebec,Full-time employees,Health occupations,55 years and over,24,0.8
2015,Quebec,Full-time employees,"Occupations in education, law and social, community and government services",15 years and over,24,0.8
2015,Quebec,Full-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,24,0.8
2015,Quebec,Full-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,24,0.83
2015,Quebec,Full-time employees,"Occupations in education, law and social, community and government services",55 years and over,24,0.67
2015,Quebec,Full-time employees,"Occupations in art, culture, recreation and sport",15 years and over,24,0.82
2015,Quebec,Full-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,24,0.96
2015,Quebec,Full-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,24,0.85
2015,Quebec,Full-time employees,"Occupations in art, culture, recreation and sport",55 years and over,24,0.89
2015,Quebec,Full-time employees,Sales and service occupations,15 years and over,24,0.88
2015,Quebec,Full-time employees,Sales and service occupations,15 to 24 years,24,0.99
2015,Quebec,Full-time employees,Sales and service occupations,25 to 54 years,24,0.89
2015,Quebec,Full-time employees,Sales and service occupations,55 years and over,24,0.86
2015,Quebec,Full-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,24,0.91
2015,Quebec,Full-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,24,0.72
2015,Quebec,Full-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,24,0.9
2015,Quebec,Full-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,24,0.79
2015,Quebec,Full-time employees,"Natural resources, agriculture and related production occupations",15 years and over,24,0.63
2015,Quebec,Full-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,24,
2015,Quebec,Full-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,24,0.69
2015,Quebec,Full-time employees,"Natural resources, agriculture and related production occupations",55 years and over,24,
2015,Quebec,Full-time employees,Occupations in manufacturing and utilities,15 years and over,24,0.75
2015,Quebec,Full-time employees,Occupations in manufacturing and utilities,15 to 24 years,24,0.85
2015,Quebec,Full-time employees,Occupations in manufacturing and utilities,25 to 54 years,24,0.75
2015,Quebec,Full-time employees,Occupations in manufacturing and utilities,55 years and over,24,0.69
2015,Quebec,Part-time employees,"Total employees, all occupations",15 years and over,24,1.12
2015,Quebec,Part-time employees,"Total employees, all occupations",15 to 24 years,24,1.0
2015,Quebec,Part-time employees,"Total employees, all occupations",25 to 54 years,24,1.06
2015,Quebec,Part-time employees,"Total employees, all occupations",55 years and over,24,0.98
2015,Quebec,Part-time employees,Management occupations,15 years and over,24,0.8
2015,Quebec,Part-time employees,Management occupations,15 to 24 years,24,
2015,Quebec,Part-time employees,Management occupations,25 to 54 years,24,
2015,Quebec,Part-time employees,Management occupations,55 years and over,24,
2015,Quebec,Part-time employees,"Business, finance and administration occupations",15 years and over,24,1.0
2015,Quebec,Part-time employees,"Business, finance and administration occupations",15 to 24 years,24,0.85
2015,Quebec,Part-time employees,"Business, finance and administration occupations",25 to 54 years,24,1.0
2015,Quebec,Part-time employees,"Business, finance and administration occupations",55 years and over,24,1.05
2015,Quebec,Part-time employees,Natural and applied sciences and related occupations,15 years and over,24,1.07
2015,Quebec,Part-time employees,Natural and applied sciences and related occupations,15 to 24 years,24,
2015,Quebec,Part-time employees,Natural and applied sciences and related occupations,25 to 54 years,24,1.25
2015,Quebec,Part-time employees,Natural and applied sciences and related occupations,55 years and over,24,
2015,Quebec,Part-time employees,Health occupations,15 years and over,24,1.13
2015,Quebec,Part-time employees,Health occupations,15 to 24 years,24,1.46
2015,Quebec,Part-time employees,Health occupations,25 to 54 years,24,1.17
2015,Quebec,Part-time employees,Health occupations,55 years and over,24,0.91
2015,Quebec,Part-time employees,"Occupations in education, law and social, community and government services",15 years and over,24,1.0
2015,Quebec,Part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,24,0.98
2015,Quebec,Part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,24,1.0
2015,Quebec,Part-time employees,"Occupations in education, law and social, community and government services",55 years and over,24,0.97
2015,Quebec,Part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,24,1.08
2015,Quebec,Part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,24,1.08
2015,Quebec,Part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,24,0.77
2015,Quebec,Part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,24,
2015,Quebec,Part-time employees,Sales and service occupations,15 years and over,24,1.0
2015,Quebec,Part-time employees,Sales and service occupations,15 to 24 years,24,1.0
2015,Quebec,Part-time employees,Sales and service occupations,25 to 54 years,24,0.89
2015,Quebec,Part-time employees,Sales and service occupations,55 years and over,24,0.86
2015,Quebec,Part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,24,1.07
2015,Quebec,Part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,24,
2015,Quebec,Part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,24,0.89
2015,Quebec,Part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,24,
2015,Quebec,Part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,24,1.0
2015,Quebec,Part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,24,
2015,Quebec,Part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,24,
2015,Quebec,Part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,24,
2015,Quebec,Part-time employees,Occupations in manufacturing and utilities,15 years and over,24,0.92
2015,Quebec,Part-time employees,Occupations in manufacturing and utilities,15 to 24 years,24,
2015,Quebec,Part-time employees,Occupations in manufacturing and utilities,25 to 54 years,24,
2015,Quebec,Part-time employees,Occupations in manufacturing and utilities,55 years and over,24,
2015,Ontario,Both full- and part-time employees,"Total employees, all occupations",15 years and over,35,0.84
2015,Ontario,Both full- and part-time employees,"Total employees, all occupations",15 to 24 years,35,0.96
2015,Ontario,Both full- and part-time employees,"Total employees, all occupations",25 to 54 years,35,0.85
2015,Ontario,Both full- and part-time employees,"Total employees, all occupations",55 years and over,35,0.84
2015,Ontario,Both full- and part-time employees,Management occupations,15 years and over,35,0.87
2015,Ontario,Both full- and part-time employees,Management occupations,15 to 24 years,35,1.17
2015,Ontario,Both full- and part-time employees,Management occupations,25 to 54 years,35,0.87
2015,Ontario,Both full- and part-time employees,Management occupations,55 years and over,35,0.94
2015,Ontario,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,35,0.89
2015,Ontario,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,35,0.96
2015,Ontario,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,35,0.88
2015,Ontario,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,35,0.83
2015,Ontario,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,35,0.88
2015,Ontario,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,35,0.85
2015,Ontario,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,35,0.89
2015,Ontario,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,35,0.92
2015,Ontario,Both full- and part-time employees,Health occupations,15 years and over,35,0.93
2015,Ontario,Both full- and part-time employees,Health occupations,15 to 24 years,35,0.92
2015,Ontario,Both full- and part-time employees,Health occupations,25 to 54 years,35,0.85
2015,Ontario,Both full- and part-time employees,Health occupations,55 years and over,35,1.17
2015,Ontario,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,35,0.72
2015,Ontario,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,35,1.02
2015,Ontario,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,35,0.78
2015,Ontario,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,35,0.67
2015,Ontario,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,35,0.98
2015,Ontario,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,35,0.99
2015,Ontario,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,35,0.98
2015,Ontario,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,35,0.99
2015,Ontario,Both full- and part-time employees,Sales and service occupations,15 years and over,35,0.87
2015,Ontario,Both full- and part-time employees,Sales and service occupations,15 to 24 years,35,1.0
2015,Ontario,Both full- and part-time employees,Sales and service occupations,25 to 54 years,35,0.78
2015,Ontario,Both full- and part-time employees,Sales and service occupations,55 years and over,35,0.8
2015,Ontario,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,35,0.68
2015,Ontario,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,35,0.83
2015,Ontario,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,35,0.67
2015,Ontario,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,35,0.65
2015,Ontario,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,35,0.71
2015,Ontario,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,35,0.82
2015,Ontario,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,35,0.68
2015,Ontario,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,35,0.65
2015,Ontario,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,35,0.78
2015,Ontario,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,35,1.07
2015,Ontario,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,35,0.76
2015,Ontario,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,35,0.7
2015,Ontario,Full-time employees,"Total employees, all occupations",15 years and over,35,0.89
2015,Ontario,Full-time employees,"Total employees, all occupations",15 to 24 years,35,0.93
2015,Ontario,Full-time employees,"Total employees, all occupations",25 to 54 years,35,0.87
2015,Ontario,Full-time employees,"Total employees, all occupations",55 years and over,35,0.85
2015,Ontario,Full-time employees,Management occupations,15 years and over,35,0.87
2015,Ontario,Full-time employees,Management occupations,15 to 24 years,35,1.15
2015,Ontario,Full-time employees,Management occupations,25 to 54 years,35,0.87
2015,Ontario,Full-time employees,Management occupations,55 years and over,35,0.94
2015,Ontario,Full-time employees,"Business, finance and administration occupations",15 years and over,35,0.9
2015,Ontario,Full-time employees,"Business, finance and administration occupations",15 to 24 years,35,0.99
2015,Ontario,Full-time employees,"Business, finance and administration occupations",25 to 54 years,35,0.87
2015,Ontario,Full-time employees,"Business, finance and administration occupations",55 years and over,35,0.87
2015,Ontario,Full-time employees,Natural and applied sciences and related occupations,15 years and over,35,0.89
2015,Ontario,Full-time employees,Natural and applied sciences and related occupations,15 to 24 years,35,0.89
2015,Ontario,Full-time employees,Natural and applied sciences and related occupations,25 to 54 years,35,0.9
2015,Ontario,Full-time employees,Natural and applied sciences and related occupations,55 years and over,35,0.92
2015,Ontario,Full-time employees,Health occupations,15 years and over,35,0.91
2015,Ontario,Full-time employees,Health occupations,15 to 24 years,35,1.01
2015,Ontario,Full-time employees,Health occupations,25 to 54 years,35,0.85
2015,Ontario,Full-time employees,Health occupations,55 years and over,35,1.2
2015,Ontario,Full-time employees,"Occupations in education, law and social, community and government services",15 years and over,35,0.77
2015,Ontario,Full-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,35,0.89
2015,Ontario,Full-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,35,0.81
2015,Ontario,Full-time employees,"Occupations in education, law and social, community and government services",55 years and over,35,0.72
2015,Ontario,Full-time employees,"Occupations in art, culture, recreation and sport",15 years and over,35,1.0
2015,Ontario,Full-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,35,1.04
2015,Ontario,Full-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,35,0.96
2015,Ontario,Full-time employees,"Occupations in art, culture, recreation and sport",55 years and over,35,1.05
2015,Ontario,Full-time employees,Sales and service occupations,15 years and over,35,0.83
2015,Ontario,Full-time employees,Sales and service occupations,15 to 24 years,35,1.0
2015,Ontario,Full-time employees,Sales and service occupations,25 to 54 years,35,0.81
2015,Ontario,Full-time employees,Sales and service occupations,55 years and over,35,0.8
2015,Ontario,Full-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,35,0.7
2015,Ontario,Full-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,35,0.84
2015,Ontario,Full-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,35,0.72
2015,Ontario,Full-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,35,0.65
2015,Ontario,Full-time employees,"Natural resources, agriculture and related production occupations",15 years and over,35,0.71
2015,Ontario,Full-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,35,0.8
2015,Ontario,Full-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,35,0.67
2015,Ontario,Full-time employees,"Natural resources, agriculture and related production occupations",55 years and over,35,0.63
2015,Ontario,Full-time employees,Occupations in manufacturing and utilities,15 years and over,35,0.76
2015,Ontario,Full-time employees,Occupations in manufacturing and utilities,15 to 24 years,35,1.0
2015,Ontario,Full-time employees,Occupations in manufacturing and utilities,25 to 54 years,35,0.76
2015,Ontario,Full-time employees,Occupations in manufacturing and utilities,55 years and over,35,0.7
2015,Ontario,Part-time employees,"Total employees, all occupations",15 years and over,35,1.08
2015,Ontario,Part-time employees,"Total employees, all occupations",15 to 24 years,35,1.0
2015,Ontario,Part-time employees,"Total employees, all occupations",25 to 54 years,35,1.05
2015,Ontario,Part-time employees,"Total employees, all occupations",55 years and over,35,1.03
2015,Ontario,Part-time employees,Management occupations,15 years and over,35,0.89
2015,Ontario,Part-time employees,Management occupations,15 to 24 years,35,
2015,Ontario,Part-time employees,Management occupations,25 to 54 years,35,1.19
2015,Ontario,Part-time employees,Management occupations,55 years and over,35,1.69
2015,Ontario,Part-time employees,"Business, finance and administration occupations",15 years and over,35,1.13
2015,Ontario,Part-time employees,"Business, finance and administration occupations",15 to 24 years,35,1.01
2015,Ontario,Part-time employees,"Business, finance and administration occupations",25 to 54 years,35,1.25
2015,Ontario,Part-time employees,"Business, finance and administration occupations",55 years and over,35,0.78
2015,Ontario,Part-time employees,Natural and applied sciences and related occupations,15 years and over,35,0.7
2015,Ontario,Part-time employees,Natural and applied sciences and related occupations,15 to 24 years,35,
2015,Ontario,Part-time employees,Natural and applied sciences and related occupations,25 to 54 years,35,0.66
2015,Ontario,Part-time employees,Natural and applied sciences and related occupations,55 years and over,35,
2015,Ontario,Part-time employees,Health occupations,15 years and over,35,1.14
2015,Ontario,Part-time employees,Health occupations,15 to 24 years,35,0.94
2015,Ontario,Part-time employees,Health occupations,25 to 54 years,35,1.09
2015,Ontario,Part-time employees,Health occupations,55 years and over,35,0.82
2015,Ontario,Part-time employees,"Occupations in education, law and social, community and government services",15 years and over,35,0.77
2015,Ontario,Part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,35,1.08
2015,Ontario,Part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,35,0.73
2015,Ontario,Part-time employees,"Occupations in education, law and social, community and government services",55 years and over,35,0.52
2015,Ontario,Part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,35,1.0
2015,Ontario,Part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,35,0.96
2015,Ontario,Part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,35,0.88
2015,Ontario,Part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,35,
2015,Ontario,Part-time employees,Sales and service occupations,15 years and over,35,1.0
2015,Ontario,Part-time employees,Sales and service occupations,15 to 24 years,35,1.0
2015,Ontario,Part-time employees,Sales and service occupations,25 to 54 years,35,1.0
2015,Ontario,Part-time employees,Sales and service occupations,55 years and over,35,1.02
2015,Ontario,Part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,35,0.93
2015,Ontario,Part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,35,0.94
2015,Ontario,Part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,35,0.78
2015,Ontario,Part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,35,0.96
2015,Ontario,Part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,35,1.0
2015,Ontario,Part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,35,
2015,Ontario,Part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,35,
2015,Ontario,Part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,35,
2015,Ontario,Part-time employees,Occupations in manufacturing and utilities,15 years and over,35,1.0
2015,Ontario,Part-time employees,Occupations in manufacturing and utilities,15 to 24 years,35,1.29
2015,Ontario,Part-time employees,Occupations in manufacturing and utilities,25 to 54 years,35,0.89
2015,Ontario,Part-time employees,Occupations in manufacturing and utilities,55 years and over,35,
2015,Manitoba,Both full- and part-time employees,"Total employees, all occupations",15 years and over,46,0.88
2015,Manitoba,Both full- and part-time employees,"Total employees, all occupations",15 to 24 years,46,0.92
2015,Manitoba,Both full- and part-time employees,"Total employees, all occupations",25 to 54 years,46,0.83
2015,Manitoba,Both full- and part-time employees,"Total employees, all occupations",55 years and over,46,0.84
2015,Manitoba,Both full- and part-time employees,Management occupations,15 years and over,46,0.77
2015,Manitoba,Both full- and part-time employees,Management occupations,15 to 24 years,46,
2015,Manitoba,Both full- and part-time employees,Management occupations,25 to 54 years,46,0.77
2015,Manitoba,Both full- and part-time employees,Management occupations,55 years and over,46,0.85
2015,Manitoba,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,46,0.84
2015,Manitoba,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,46,0.96
2015,Manitoba,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,46,0.85
2015,Manitoba,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,46,0.78
2015,Manitoba,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,46,0.93
2015,Manitoba,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,46,
2015,Manitoba,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,46,0.94
2015,Manitoba,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,46,1.07
2015,Manitoba,Both full- and part-time employees,Health occupations,15 years and over,46,0.86
2015,Manitoba,Both full- and part-time employees,Health occupations,15 to 24 years,46,0.77
2015,Manitoba,Both full- and part-time employees,Health occupations,25 to 54 years,46,0.91
2015,Manitoba,Both full- and part-time employees,Health occupations,55 years and over,46,0.97
2015,Manitoba,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,46,0.75
2015,Manitoba,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,46,0.9
2015,Manitoba,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,46,0.75
2015,Manitoba,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,46,0.8
2015,Manitoba,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,46,0.83
2015,Manitoba,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,46,0.98
2015,Manitoba,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,46,0.83
2015,Manitoba,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,46,0.75
2015,Manitoba,Both full- and part-time employees,Sales and service occupations,15 years and over,46,0.9
2015,Manitoba,Both full- and part-time employees,Sales and service occupations,15 to 24 years,46,1.03
2015,Manitoba,Both full- and part-time employees,Sales and service occupations,25 to 54 years,46,0.82
2015,Manitoba,Both full- and part-time employees,Sales and service occupations,55 years and over,46,0.86
2015,Manitoba,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,46,0.86
2015,Manitoba,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,46,0.88
2015,Manitoba,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,46,0.82
2015,Manitoba,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,46,0.88
2015,Manitoba,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,46,0.81
2015,Manitoba,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,46,0.88
2015,Manitoba,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,46,0.75
2015,Manitoba,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,46,
2015,Manitoba,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,46,0.79
2015,Manitoba,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,46,
2015,Manitoba,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,46,0.79
2015,Manitoba,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,46,0.7
2015,Manitoba,Full-time employees,"Total employees, all occupations",15 years and over,46,0.87
2015,Manitoba,Full-time employees,"Total employees, all occupations",15 to 24 years,46,0.9
2015,Manitoba,Full-time employees,"Total employees, all occupations",25 to 54 years,46,0.86
2015,Manitoba,Full-time employees,"Total employees, all occupations",55 years and over,46,0.85
2015,Manitoba,Full-time employees,Management occupations,15 years and over,46,0.77
2015,Manitoba,Full-time employees,Management occupations,15 to 24 years,46,
2015,Manitoba,Full-time employees,Management occupations,25 to 54 years,46,0.77
2015,Manitoba,Full-time employees,Management occupations,55 years and over,46,0.84
2015,Manitoba,Full-time employees,"Business, finance and administration occupations",15 years and over,46,0.86
2015,Manitoba,Full-time employees,"Business, finance and administration occupations",15 to 24 years,46,0.91
2015,Manitoba,Full-time employees,"Business, finance and administration occupations",25 to 54 years,46,0.84
2015,Manitoba,Full-time employees,"Business, finance and administration occupations",55 years and over,46,0.81
2015,Manitoba,Full-time employees,Natural and applied sciences and related occupations,15 years and over,46,0.93
2015,Manitoba,Full-time employees,Natural and applied sciences and related occupations,15 to 24 years,46,
2015,Manitoba,Full-time employees,Natural and applied sciences and related occupations,25 to 54 years,46,0.93
2015,Manitoba,Full-time employees,Natural and applied sciences and related occupations,55 years and over,46,1.1
2015,Manitoba,Full-time employees,Health occupations,15 years and over,46,0.88
2015,Manitoba,Full-time employees,Health occupations,15 to 24 years,46,
2015,Manitoba,Full-time employees,Health occupations,25 to 54 years,46,0.9
2015,Manitoba,Full-time employees,Health occupations,55 years and over,46,1.06
2015,Manitoba,Full-time employees,"Occupations in education, law and social, community and government services",15 years and over,46,0.77
2015,Manitoba,Full-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,46,0.8
2015,Manitoba,Full-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,46,0.78
2015,Manitoba,Full-time employees,"Occupations in education, law and social, community and government services",55 years and over,46,0.81
2015,Manitoba,Full-time employees,"Occupations in art, culture, recreation and sport",15 years and over,46,0.79
