Year,Géographie,Centres de population,GeoCode,Value
2018,Terre-Neuve-et-Labrador,Régions urbaines,10,94.1
2019,Terre-Neuve-et-Labrador,Régions urbaines,10,96.16
2020,Terre-Neuve-et-Labrador,Régions urbaines,10,97.92
2021,Terre-Neuve-et-Labrador,Régions urbaines,10,98.24
2022,Terre-Neuve-et-Labrador,Régions urbaines,10,99.49
2016,Territoires du Nord-Ouest,Régions urbaines,61,
2017,Territoires du Nord-Ouest,Régions urbaines,61,
2018,Territoires du Nord-Ouest,Régions urbaines,61,
2019,Territoires du Nord-Ouest,Régions urbaines,61,
2020,Territoires du Nord-Ouest,Régions urbaines,61,84.84
2021,Territoires du Nord-Ouest,Régions urbaines,61,97.87
2022,Territoires du Nord-Ouest,Régions urbaines,61,99.47
2016,Yukon,Régions urbaines,60,
2017,Yukon,Régions urbaines,60,
2018,Yukon,Régions urbaines,60,
2019,Yukon,Régions urbaines,60,
2020,Yukon,Régions urbaines,60,99.2
2021,Yukon,Régions urbaines,60,99.2
2022,Yukon,Régions urbaines,60,98.66
2016,Nunavut,Régions urbaines,62,
2017,Nunavut,Régions urbaines,62,
2018,Nunavut,Régions urbaines,62,
2019,Nunavut,Régions urbaines,62,
2020,Nunavut,Régions urbaines,62,
2021,Nunavut,Régions urbaines,62,0.0
2022,Nunavut,Régions urbaines,62,0.0
2016,Colombie-Britannique,Total centre de population,59,91.07
2017,Colombie-Britannique,Total centre de population,59,90.97
2018,Colombie-Britannique,Total centre de population,59,92.56
2019,Colombie-Britannique,Total centre de population,59,93.51
2020,Colombie-Britannique,Total centre de population,59,93.76
2021,Colombie-Britannique,Total centre de population,59,94.14
2022,Colombie-Britannique,Total centre de population,59,94.65
2016,Alberta,Total centre de population,48,82.58
2017,Alberta,Total centre de population,48,80.34
2018,Alberta,Total centre de population,48,84.91
2019,Alberta,Total centre de population,48,87.82
2020,Alberta,Total centre de population,48,87.75
2021,Alberta,Total centre de population,48,89.03
2022,Alberta,Total centre de population,48,90.47
2016,Saskatchewan,Total centre de population,47,42.73
2017,Saskatchewan,Total centre de population,47,45.36
2018,Saskatchewan,Total centre de population,47,49.12
2019,Saskatchewan,Total centre de population,47,71.13
2020,Saskatchewan,Total centre de population,47,77.3
2021,Saskatchewan,Total centre de population,47,80.99
2022,Saskatchewan,Total centre de population,47,79.76
2016,Manitoba,Total centre de population,46,63.74
2017,Manitoba,Total centre de population,46,69.75
2018,Manitoba,Total centre de population,46,71.99
2019,Manitoba,Total centre de population,46,73.0
2020,Manitoba,Total centre de population,46,78.98
2021,Manitoba,Total centre de population,46,81.12
2022,Manitoba,Total centre de population,46,84.11
2016,Ontario,Total centre de population,35,87.88
2017,Ontario,Total centre de population,35,86.86
2018,Ontario,Total centre de population,35,87.18
2019,Ontario,Total centre de population,35,87.73
2020,Ontario,Total centre de population,35,89.83
2021,Ontario,Total centre de population,35,92.41
2022,Ontario,Total centre de population,35,93.99
2016,Québec,Total centre de population,24,87.27
2017,Québec,Total centre de population,24,88.47
2018,Québec,Total centre de population,24,89.98
2019,Québec,Total centre de population,24,91.78
2020,Québec,Total centre de population,24,93.99
2021,Québec,Total centre de population,24,94.8
2022,Québec,Total centre de population,24,96.58
2016,Nouveau-Brunswick,Total centre de population,13,83.4
2017,Nouveau-Brunswick,Total centre de population,13,81.16
2018,Nouveau-Brunswick,Total centre de population,13,81.11
2019,Nouveau-Brunswick,Total centre de population,13,81.22
2020,Nouveau-Brunswick,Total centre de population,13,92.66
2021,Nouveau-Brunswick,Total centre de population,13,89.12
2022,Nouveau-Brunswick,Total centre de population,13,91.34
2016,Île-du-Prince-Édouard,Total centre de population,11,66.88
2017,Île-du-Prince-Édouard,Total centre de population,11,59.79
2018,Île-du-Prince-Édouard,Total centre de population,11,60.19
2019,Île-du-Prince-Édouard,Total centre de population,11,61.27
2020,Île-du-Prince-Édouard,Total centre de population,11,79.2
2021,Île-du-Prince-Édouard,Total centre de population,11,87.89
2022,Île-du-Prince-Édouard,Total centre de population,11,91.05
2016,Nouvelle-Écosse,Total centre de population,12,80.68
2017,Nouvelle-Écosse,Total centre de population,12,77.8
2018,Nouvelle-Écosse,Total centre de population,12,77.96
2019,Nouvelle-Écosse,Total centre de population,12,78.37
2020,Nouvelle-Écosse,Total centre de population,12,81.05
2021,Nouvelle-Écosse,Total centre de population,12,84.19
2022,Nouvelle-Écosse,Total centre de population,12,90.71
2016,Terre-Neuve-et-Labrador,Total centre de population,10,72.35
2017,Terre-Neuve-et-Labrador,Total centre de population,10,70.91
2018,Terre-Neuve-et-Labrador,Total centre de population,10,71.17
2019,Terre-Neuve-et-Labrador,Total centre de population,10,73.9
2020,Terre-Neuve-et-Labrador,Total centre de population,10,74.41
2021,Terre-Neuve-et-Labrador,Total centre de population,10,77.07
2022,Terre-Neuve-et-Labrador,Total centre de population,10,82.83
2016,Territoires du Nord-Ouest,Total centre de population,61,
2017,Territoires du Nord-Ouest,Total centre de population,61,
2018,Territoires du Nord-Ouest,Total centre de population,61,
2019,Territoires du Nord-Ouest,Total centre de population,61,
2020,Territoires du Nord-Ouest,Total centre de population,61,58.92
2021,Territoires du Nord-Ouest,Total centre de population,61,67.28
2022,Territoires du Nord-Ouest,Total centre de population,61,81.35
2016,Yukon,Total centre de population,60,
2017,Yukon,Total centre de population,60,
2018,Yukon,Total centre de population,60,
2019,Yukon,Total centre de population,60,
2020,Yukon,Total centre de population,60,57.55
2021,Yukon,Total centre de population,60,63.07
2022,Yukon,Total centre de population,60,70.42
2016,Nunavut,Total centre de population,62,
2017,Nunavut,Total centre de population,62,
2018,Nunavut,Total centre de population,62,
2019,Nunavut,Total centre de population,62,
2020,Nunavut,Total centre de population,62,
2021,Nunavut,Total centre de population,62,0.0
2022,Nunavut,Total centre de population,62,0.0
