Year,Units,data.Geography,data.Type of event,Value
2020,data.Number,data.Nova Scotia,data.Apparent stimulant toxicity deaths,36.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent stimulant toxicity deaths,3.8
2020,data.Number,data.Newfoundland and Labrador,data.Apparent stimulant toxicity deaths,10.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent stimulant toxicity deaths,2.2
2020,data.Number,data.Northwest Territories,data.Apparent stimulant toxicity deaths,1.0
2020,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent stimulant toxicity deaths,1.9
2016,data.Number,data.Canada,data.Stimulant-related poisoning hospitalizations,1885.0
2016,"data.Rate per 100,000 population",data.Canada,data.Stimulant-related poisoning hospitalizations,6.8
2017,data.Number,data.Canada,data.Stimulant-related poisoning hospitalizations,2235.0
2017,"data.Rate per 100,000 population",data.Canada,data.Stimulant-related poisoning hospitalizations,7.9
2018,data.Number,data.Canada,data.Stimulant-related poisoning hospitalizations,2373.0
2018,"data.Rate per 100,000 population",data.Canada,data.Stimulant-related poisoning hospitalizations,8.3
2019,data.Number,data.Canada,data.Stimulant-related poisoning hospitalizations,2179.0
2019,"data.Rate per 100,000 population",data.Canada,data.Stimulant-related poisoning hospitalizations,7.5
2020,data.Number,data.Canada,data.Stimulant-related poisoning hospitalizations,2504.0
2020,"data.Rate per 100,000 population",data.Canada,data.Stimulant-related poisoning hospitalizations,8.6
2016,data.Number,data.British Columbia,data.Stimulant-related poisoning hospitalizations,480.0
2016,"data.Rate per 100,000 population",data.British Columbia,data.Stimulant-related poisoning hospitalizations,9.9
2017,data.Number,data.British Columbia,data.Stimulant-related poisoning hospitalizations,583.0
2017,"data.Rate per 100,000 population",data.British Columbia,data.Stimulant-related poisoning hospitalizations,11.9
2018,data.Number,data.British Columbia,data.Stimulant-related poisoning hospitalizations,548.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Stimulant-related poisoning hospitalizations,11.0
2019,data.Number,data.British Columbia,data.Stimulant-related poisoning hospitalizations,524.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Stimulant-related poisoning hospitalizations,10.4
2020,data.Number,data.British Columbia,data.Stimulant-related poisoning hospitalizations,600.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Stimulant-related poisoning hospitalizations,11.8
2016,data.Number,data.Alberta,data.Stimulant-related poisoning hospitalizations,370.0
2016,"data.Rate per 100,000 population",data.Alberta,data.Stimulant-related poisoning hospitalizations,8.5
2017,data.Number,data.Alberta,data.Stimulant-related poisoning hospitalizations,401.0
2017,"data.Rate per 100,000 population",data.Alberta,data.Stimulant-related poisoning hospitalizations,9.1
2018,data.Number,data.Alberta,data.Stimulant-related poisoning hospitalizations,399.0
2018,"data.Rate per 100,000 population",data.Alberta,data.Stimulant-related poisoning hospitalizations,9.0
2019,data.Number,data.Alberta,data.Stimulant-related poisoning hospitalizations,321.0
2019,"data.Rate per 100,000 population",data.Alberta,data.Stimulant-related poisoning hospitalizations,7.2
2020,data.Number,data.Alberta,data.Stimulant-related poisoning hospitalizations,425.0
2020,"data.Rate per 100,000 population",data.Alberta,data.Stimulant-related poisoning hospitalizations,9.3
2016,data.Number,data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,120.0
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,10.5
2017,data.Number,data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,108.0
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,9.4
2018,data.Number,data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,126.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,11.0
2019,data.Number,data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,159.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,13.5
2020,data.Number,data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,140.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Stimulant-related poisoning hospitalizations,12.0
2016,data.Number,data.Manitoba,data.Stimulant-related poisoning hospitalizations,66.0
2016,"data.Rate per 100,000 population",data.Manitoba,data.Stimulant-related poisoning hospitalizations,5.1
2017,data.Number,data.Manitoba,data.Stimulant-related poisoning hospitalizations,82.0
2017,"data.Rate per 100,000 population",data.Manitoba,data.Stimulant-related poisoning hospitalizations,6.2
2018,data.Number,data.Manitoba,data.Stimulant-related poisoning hospitalizations,64.0
2018,"data.Rate per 100,000 population",data.Manitoba,data.Stimulant-related poisoning hospitalizations,4.7
2019,data.Number,data.Manitoba,data.Stimulant-related poisoning hospitalizations,58.0
2019,"data.Rate per 100,000 population",data.Manitoba,data.Stimulant-related poisoning hospitalizations,4.2
2020,data.Number,data.Manitoba,data.Stimulant-related poisoning hospitalizations,56.0
2020,"data.Rate per 100,000 population",data.Manitoba,data.Stimulant-related poisoning hospitalizations,4.1
2016,data.Number,data.Ontario,data.Stimulant-related poisoning hospitalizations,722.0
2016,"data.Rate per 100,000 population",data.Ontario,data.Stimulant-related poisoning hospitalizations,5.2
2017,data.Number,data.Ontario,data.Stimulant-related poisoning hospitalizations,916.0
2017,"data.Rate per 100,000 population",data.Ontario,data.Stimulant-related poisoning hospitalizations,6.5
2018,data.Number,data.Ontario,data.Stimulant-related poisoning hospitalizations,1107.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Stimulant-related poisoning hospitalizations,7.8
2019,data.Number,data.Ontario,data.Stimulant-related poisoning hospitalizations,975.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Stimulant-related poisoning hospitalizations,6.7
2020,data.Number,data.Ontario,data.Stimulant-related poisoning hospitalizations,1110.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Stimulant-related poisoning hospitalizations,7.6
2016,data.Number,data.Quebec,data.Stimulant-related poisoning hospitalizations,
2016,"data.Rate per 100,000 population",data.Quebec,data.Stimulant-related poisoning hospitalizations,
2017,data.Number,data.Quebec,data.Stimulant-related poisoning hospitalizations,
2017,"data.Rate per 100,000 population",data.Quebec,data.Stimulant-related poisoning hospitalizations,
2018,data.Number,data.Quebec,data.Stimulant-related poisoning hospitalizations,
2018,"data.Rate per 100,000 population",data.Quebec,data.Stimulant-related poisoning hospitalizations,
2019,data.Number,data.Quebec,data.Stimulant-related poisoning hospitalizations,
2019,"data.Rate per 100,000 population",data.Quebec,data.Stimulant-related poisoning hospitalizations,
2020,data.Number,data.Quebec,data.Stimulant-related poisoning hospitalizations,
2020,"data.Rate per 100,000 population",data.Quebec,data.Stimulant-related poisoning hospitalizations,
2016,data.Number,data.New Brunswick,data.Stimulant-related poisoning hospitalizations,51.0
2016,"data.Rate per 100,000 population",data.New Brunswick,data.Stimulant-related poisoning hospitalizations,7.2
2017,data.Number,data.New Brunswick,data.Stimulant-related poisoning hospitalizations,54.0
2017,"data.Rate per 100,000 population",data.New Brunswick,data.Stimulant-related poisoning hospitalizations,7.9
2018,data.Number,data.New Brunswick,data.Stimulant-related poisoning hospitalizations,53.0
2018,"data.Rate per 100,000 population",data.New Brunswick,data.Stimulant-related poisoning hospitalizations,7.7
2019,data.Number,data.New Brunswick,data.Stimulant-related poisoning hospitalizations,56.0
2019,"data.Rate per 100,000 population",data.New Brunswick,data.Stimulant-related poisoning hospitalizations,8.0
2020,data.Number,data.New Brunswick,data.Stimulant-related poisoning hospitalizations,59.0
2020,"data.Rate per 100,000 population",data.New Brunswick,data.Stimulant-related poisoning hospitalizations,8.3
2016,data.Number,data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,32.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,3.7
2017,data.Number,data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,37.0
2017,"data.Rate per 100,000 population",data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,4.2
2018,data.Number,data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,27.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,3.0
2019,data.Number,data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,32.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,3.5
2020,data.Number,data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,46.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Stimulant-related poisoning hospitalizations,5.1
2016,data.Number,data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,5.0
2016,"data.Rate per 100,000 population",data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,3.8
2017,data.Number,data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,9.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,6.6
2018,data.Number,data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,6.0
2018,"data.Rate per 100,000 population",data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,4.3
2019,data.Number,data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,6.0
2019,"data.Rate per 100,000 population",data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,4.1
2020,data.Number,data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,7.0
2020,"data.Rate per 100,000 population",data.Prince Edward Island,data.Stimulant-related poisoning hospitalizations,4.6
2016,data.Number,data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,28.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,6.0
2017,data.Number,data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,33.0
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,7.0
2018,data.Number,data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,31.0
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,6.9
2019,data.Number,data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,36.0
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,7.8
2020,data.Number,data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,42.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Stimulant-related poisoning hospitalizations,9.0
2016,data.Number,data.Territories,data.Stimulant-related poisoning hospitalizations,11.0
2016,"data.Rate per 100,000 population",data.Territories,data.Stimulant-related poisoning hospitalizations,9.5
2017,data.Number,data.Territories,data.Stimulant-related poisoning hospitalizations,12.0
2017,"data.Rate per 100,000 population",data.Territories,data.Stimulant-related poisoning hospitalizations,8.9
2018,data.Number,data.Territories,data.Stimulant-related poisoning hospitalizations,12.0
2018,"data.Rate per 100,000 population",data.Territories,data.Stimulant-related poisoning hospitalizations,8.9
2019,data.Number,data.Territories,data.Stimulant-related poisoning hospitalizations,12.0
2019,"data.Rate per 100,000 population",data.Territories,data.Stimulant-related poisoning hospitalizations,8.7
2020,data.Number,data.Territories,data.Stimulant-related poisoning hospitalizations,19.0
2020,"data.Rate per 100,000 population",data.Territories,data.Stimulant-related poisoning hospitalizations,14.2
