Year,Géographie,Type de boissons,GeoCode,Value
2020/2021,Ontario,Spiritueux,35,2.2
2020/2021,Ontario,Vins,35,1.9
2020/2021,Ontario,Bière,35,3.1
2020/2021,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.6
2020/2021,Manitoba,Total des boissons alcoolisées,46,8.0
2020/2021,Manitoba,Spiritueux,46,2.8
2020/2021,Manitoba,Vins,46,1.4
2020/2021,Manitoba,Bière,46,3.2
2020/2021,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.6
2020/2021,Saskatchewan,Total des boissons alcoolisées,47,7.9
2020/2021,Saskatchewan,Spiritueux,47,2.9
2020/2021,Saskatchewan,Vins,47,1.2
2020/2021,Saskatchewan,Bière,47,3.0
2020/2021,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.8
2020/2021,Alberta,Total des boissons alcoolisées,48,9.0
2020/2021,Alberta,Spiritueux,48,3.2
2020/2021,Alberta,Vins,48,1.6
2020/2021,Alberta,Bière,48,3.2
2020/2021,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.9
2020/2021,Colombie-Britannique,Total des boissons alcoolisées,59,9.0
2020/2021,Colombie-Britannique,Spiritueux,59,2.5
2020/2021,Colombie-Britannique,Vins,59,2.3
2020/2021,Colombie-Britannique,Bière,59,3.1
2020/2021,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,1.1
2020/2021,Yukon,Total des boissons alcoolisées,60,13.3
2020/2021,Yukon,Spiritueux,60,4.5
2020/2021,Yukon,Vins,60,2.1
2020/2021,Yukon,Bière,60,5.1
2020/2021,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.6
2020/2021,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,13.4
2020/2021,Territoires du Nord-Ouest,Spiritueux,61,6.6
2020/2021,Territoires du Nord-Ouest,Vins,61,1.6
2020/2021,Territoires du Nord-Ouest,Bière,61,4.3
2020/2021,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.9
2020/2021,Nunavut,Total des boissons alcoolisées,62,4.2
2020/2021,Nunavut,Spiritueux,62,0.5
2020/2021,Nunavut,Vins,62,0.7
2020/2021,Nunavut,Bière,62,2.7
2020/2021,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.2
2021/2022,Canada,Spiritueux,,2.2
2021/2022,Canada,Vins,,2.0
2021/2022,Canada,Bière,,3.2
2021/2022,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.7
2021/2022,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.0
2021/2022,Terre-Neuve-et-Labrador,Spiritueux,10,3.1
2021/2022,Terre-Neuve-et-Labrador,Vins,10,1.2
2021/2022,Terre-Neuve-et-Labrador,Bière,10,4.2
2021/2022,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.6
2021/2022,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.0
2021/2022,Île-du-Prince-Édouard,Spiritueux,11,2.3
2021/2022,Île-du-Prince-Édouard,Vins,11,1.4
2021/2022,Île-du-Prince-Édouard,Bière,11,3.3
2021/2022,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,1.0
2021/2022,Nouvelle-Écosse,Total des boissons alcoolisées,12,8.1
2021/2022,Nouvelle-Écosse,Spiritueux,12,2.4
2021/2022,Nouvelle-Écosse,Vins,12,1.5
2021/2022,Nouvelle-Écosse,Bière,12,3.2
2021/2022,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.9
2021/2022,Nouveau-Brunswick,Total des boissons alcoolisées,13,7.6
2021/2022,Nouveau-Brunswick,Spiritueux,13,2.0
2021/2022,Nouveau-Brunswick,Vins,13,1.4
2021/2022,Nouveau-Brunswick,Bière,13,3.4
2021/2022,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.8
2021/2022,Québec,Total des boissons alcoolisées,24,8.4
2021/2022,Québec,Spiritueux,24,1.5
2021/2022,Québec,Vins,24,3.0
2021/2022,Québec,Bière,24,3.7
2021/2022,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.2
2021/2022,Ontario,Total des boissons alcoolisées,35,7.6
2021/2022,Ontario,Spiritueux,35,2.2
2021/2022,Ontario,Vins,35,1.8
2021/2022,Ontario,Bière,35,2.9
2021/2022,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.7
2021/2022,Manitoba,Total des boissons alcoolisées,46,7.7
2021/2022,Manitoba,Spiritueux,46,2.7
2021/2022,Manitoba,Vins,46,1.3
2021/2022,Manitoba,Bière,46,2.9
2021/2022,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.8
2021/2022,Saskatchewan,Total des boissons alcoolisées,47,7.8
2021/2022,Saskatchewan,Spiritueux,47,2.9
2021/2022,Saskatchewan,Vins,47,1.0
2021/2022,Saskatchewan,Bière,47,2.9
2021/2022,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.9
2021/2022,Alberta,Total des boissons alcoolisées,48,8.6
2021/2022,Alberta,Spiritueux,48,3.1
2021/2022,Alberta,Vins,48,1.5
2021/2022,Alberta,Bière,48,3.0
2021/2022,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.9
2021/2022,Colombie-Britannique,Total des boissons alcoolisées,59,8.9
2021/2022,Colombie-Britannique,Spiritueux,59,2.5
2021/2022,Colombie-Britannique,Vins,59,2.2
2021/2022,Colombie-Britannique,Bière,59,3.0
2021/2022,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,1.2
2021/2022,Yukon,Total des boissons alcoolisées,60,12.3
2021/2022,Yukon,Spiritueux,60,4.0
2021/2022,Yukon,Vins,60,1.9
2021/2022,Yukon,Bière,60,4.7
2021/2022,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.7
2021/2022,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,12.0
2021/2022,Territoires du Nord-Ouest,Spiritueux,61,5.8
2021/2022,Territoires du Nord-Ouest,Vins,61,1.4
2021/2022,Territoires du Nord-Ouest,Bière,61,3.9
2021/2022,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,1.0
2021/2022,Nunavut,Total des boissons alcoolisées,62,3.9
2021/2022,Nunavut,Spiritueux,62,0.4
2021/2022,Nunavut,Vins,62,0.7
2021/2022,Nunavut,Bière,62,2.4
2021/2022,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.4
2022/2023,Canada,Spiritueux,,2.2
2022/2023,Canada,Vins,,1.9
2022/2023,Canada,Bière,,3.1
2022/2023,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.7
2022/2023,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,8.7
2022/2023,Terre-Neuve-et-Labrador,Spiritueux,10,3.0
2022/2023,Terre-Neuve-et-Labrador,Vins,10,1.1
2022/2023,Terre-Neuve-et-Labrador,Bière,10,4.1
2022/2023,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.6
2022/2023,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.0
2022/2023,Île-du-Prince-Édouard,Spiritueux,11,2.3
2022/2023,Île-du-Prince-Édouard,Vins,11,1.4
2022/2023,Île-du-Prince-Édouard,Bière,11,3.3
2022/2023,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,1.1
2022/2023,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.8
2022/2023,Nouvelle-Écosse,Spiritueux,12,2.3
2022/2023,Nouvelle-Écosse,Vins,12,1.4
2022/2023,Nouvelle-Écosse,Bière,12,3.1
2022/2023,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.9
2022/2023,Nouveau-Brunswick,Total des boissons alcoolisées,13,7.2
2022/2023,Nouveau-Brunswick,Spiritueux,13,1.9
2022/2023,Nouveau-Brunswick,Vins,13,1.3
2022/2023,Nouveau-Brunswick,Bière,13,3.2
2022/2023,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.8
2022/2023,Québec,Total des boissons alcoolisées,24,8.3
2022/2023,Québec,Spiritueux,24,1.6
2022/2023,Québec,Vins,24,2.9
2022/2023,Québec,Bière,24,3.6
2022/2023,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.2
2022/2023,Ontario,Total des boissons alcoolisées,35,7.3
2022/2023,Ontario,Spiritueux,35,2.0
2022/2023,Ontario,Vins,35,1.7
2022/2023,Ontario,Bière,35,2.9
2022/2023,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.7
2022/2023,Manitoba,Total des boissons alcoolisées,46,7.5
2022/2023,Manitoba,Spiritueux,46,2.7
2022/2023,Manitoba,Vins,46,1.2
2022/2023,Manitoba,Bière,46,2.7
2022/2023,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.9
2022/2023,Saskatchewan,Total des boissons alcoolisées,47,7.9
2022/2023,Saskatchewan,Spiritueux,47,3.0
2022/2023,Saskatchewan,Vins,47,1.1
2022/2023,Saskatchewan,Bière,47,2.9
2022/2023,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.9
2022/2023,Alberta,Total des boissons alcoolisées,48,8.2
2022/2023,Alberta,Spiritueux,48,3.0
2022/2023,Alberta,Vins,48,1.4
2022/2023,Alberta,Bière,48,2.9
2022/2023,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.9
2022/2023,Colombie-Britannique,Total des boissons alcoolisées,59,8.5
2022/2023,Colombie-Britannique,Spiritueux,59,2.5
2022/2023,Colombie-Britannique,Vins,59,2.0
2022/2023,Colombie-Britannique,Bière,59,2.9
2022/2023,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,1.1
2022/2023,Yukon,Total des boissons alcoolisées,60,12.0
2022/2023,Yukon,Spiritueux,60,3.9
2022/2023,Yukon,Vins,60,1.8
2022/2023,Yukon,Bière,60,4.7
2022/2023,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.6
2022/2023,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.5
2022/2023,Territoires du Nord-Ouest,Spiritueux,61,5.5
2022/2023,Territoires du Nord-Ouest,Vins,61,1.3
2022/2023,Territoires du Nord-Ouest,Bière,61,3.7
2022/2023,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,1.0
2022/2023,Nunavut,Total des boissons alcoolisées,62,4.7
2022/2023,Nunavut,Spiritueux,62,0.5
2022/2023,Nunavut,Vins,62,0.6
2022/2023,Nunavut,Bière,62,3.0
2022/2023,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.7
