Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2016,Térajoules,Nouveau-Brunswick,Total charbon,Consommation énergétique finale,
2017,Térajoules,Nouveau-Brunswick,Total charbon,Consommation énergétique finale,
2018,Térajoules,Nouveau-Brunswick,Total charbon,Consommation énergétique finale,0.0
2019,Térajoules,Nouveau-Brunswick,Total charbon,Consommation énergétique finale,0.0
2015,Térajoules,Nouveau-Brunswick,Total charbon,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Total charbon,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Total charbon,Total industriel,
2018,Térajoules,Nouveau-Brunswick,Total charbon,Total industriel,0.0
2019,Térajoules,Nouveau-Brunswick,Total charbon,Total industriel,0.0
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Consommation énergétique finale,17074.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Consommation énergétique finale,16866.0
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Consommation énergétique finale,17051.0
2018,Térajoules,Nouveau-Brunswick,Gaz naturel,Consommation énergétique finale,20012.0
2019,Térajoules,Nouveau-Brunswick,Gaz naturel,Consommation énergétique finale,22386.0
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Total industriel,13568.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Total industriel,
2018,Térajoules,Nouveau-Brunswick,Gaz naturel,Total industriel,16304.0
2019,Térajoules,Nouveau-Brunswick,Gaz naturel,Total industriel,18523.0
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Total transport,2.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Total transport,
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Total transport,
2018,Térajoules,Nouveau-Brunswick,Gaz naturel,Total transport,213.0
2019,Térajoules,Nouveau-Brunswick,Gaz naturel,Total transport,298.0
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Agriculture,0.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Agriculture,0.0
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Agriculture,
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Résidentiel,630.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Résidentiel,611.0
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Résidentiel,593.0
2018,Térajoules,Nouveau-Brunswick,Gaz naturel,Résidentiel,616.0
2019,Térajoules,Nouveau-Brunswick,Gaz naturel,Résidentiel,612.0
2015,Térajoules,Nouveau-Brunswick,Gaz naturel,Commerces et autres institutions,2874.0
2016,Térajoules,Nouveau-Brunswick,Gaz naturel,Commerces et autres institutions,2733.0
2017,Térajoules,Nouveau-Brunswick,Gaz naturel,Commerces et autres institutions,2544.0
2018,Térajoules,Nouveau-Brunswick,Gaz naturel,Commerces et autres institutions,2878.0
2019,Térajoules,Nouveau-Brunswick,Gaz naturel,Commerces et autres institutions,2952.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,2576.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,2568.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1359.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1872.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,2605.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,965.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,1080.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,1109.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,999.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,972.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total transport,18.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total transport,15.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total transport,13.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total transport,10.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Total transport,18.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,38.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,30.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,28.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,20.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,37.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,364.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,301.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,261.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,177.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,330.0
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1377.0
2016,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1134.0
2017,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,979.0
2018,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,949.0
2019,Térajoules,Nouveau-Brunswick,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1247.0
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Consommation énergétique finale,18356.65364
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Consommation énergétique finale,19939.56243
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Consommation énergétique finale,16540.46599
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Consommation énergétique finale,16993.1493
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Consommation énergétique finale,18450.12234
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Total industriel,6004.312
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Total industriel,5724.591546
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Total industriel,6430.126105
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Agriculture,97.89405813
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Agriculture,113.2359895
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Agriculture,92.55525784
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Agriculture,94.75988157
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Agriculture,106.5271139
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Résidentiel,8032.245413
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Résidentiel,8438.379364
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Résidentiel,6793.219361
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Résidentiel,7207.908681
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Résidentiel,7700.602105
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Administrations publiques,
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Administrations publiques,
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Administrations publiques,457.391256
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Administrations publiques,368.0925363
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Administrations publiques,401.8127979
2015,Térajoules,Nouveau-Brunswick,Hydroélectricité,Commerces et autres institutions,3648.26112
2016,Térajoules,Nouveau-Brunswick,Hydroélectricité,Commerces et autres institutions,3876.347876
2017,Térajoules,Nouveau-Brunswick,Hydroélectricité,Commerces et autres institutions,3192.988113
2018,Térajoules,Nouveau-Brunswick,Hydroélectricité,Commerces et autres institutions,3597.796659
2019,Térajoules,Nouveau-Brunswick,Hydroélectricité,Commerces et autres institutions,3810.306663
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Consommation énergétique finale,30022.34636
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Consommation énergétique finale,27780.43757
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Consommation énergétique finale,32604.53401
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Consommation énergétique finale,32680.8507
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Consommation énergétique finale,30910.87766
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Total industriel,11835.688
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Total industriel,11009.40845
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Total industriel,10772.87389
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Agriculture,160.1059419
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Agriculture,157.7640105
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Agriculture,182.4447422
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Agriculture,182.2401184
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Agriculture,178.4728861
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Résidentiel,13136.75459
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Résidentiel,11756.62064
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Résidentiel,13390.78064
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Résidentiel,13862.09132
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Résidentiel,12901.39789
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Administrations publiques,
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Administrations publiques,
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Administrations publiques,901.608744
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Administrations publiques,707.9074637
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Administrations publiques,673.1872021
2015,Térajoules,Nouveau-Brunswick,Nucléaire,Commerces et autres institutions,5966.73888
2016,Térajoules,Nouveau-Brunswick,Nucléaire,Commerces et autres institutions,5400.652124
2017,Térajoules,Nouveau-Brunswick,Nucléaire,Commerces et autres institutions,6294.011887
2018,Térajoules,Nouveau-Brunswick,Nucléaire,Commerces et autres institutions,6919.203341
2019,Térajoules,Nouveau-Brunswick,Nucléaire,Commerces et autres institutions,6383.693337
2015,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2016,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2017,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2018,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,3275.0
2019,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,3275.0
2015,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2018,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,3275.0
2019,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,3275.0
2015,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2016,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2017,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2018,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,0.0
2019,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,0.0
2015,Térajoules,Nouveau-Brunswick,Coke,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0.0
2017,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0.0
2018,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0.0
2019,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,75388.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,78550.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,70024.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,69740.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,66150.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,6233.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4783.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4709.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4969.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4497.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,54322.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,60225.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,53409.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,52571.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,51022.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1586.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1888.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1633.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1490.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1402.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,7829.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,7058.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,6917.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,6805.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,5720.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,3488.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2810.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2365.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2629.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2442.0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1929.0
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1786.0
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,992.0
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1277.0
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1066.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1587985.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1576431.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1650053.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1694695.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,518685.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,507834.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,512528.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,537481.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,559294.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,501906.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,513111.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,522690.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,522397.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,531879.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33192.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33650.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33915.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,35642.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,36092.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,286782.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,281691.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,280833.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,293628.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,300377.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,38068.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,37791.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,38387.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,40909.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,39850.0
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,209736.0
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,202353.0
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,217791.0
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,219996.0
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,227204.0
2015,Térajoules,Québec,Total charbon,Consommation énergétique finale,
2016,Térajoules,Québec,Total charbon,Consommation énergétique finale,14855.0
2017,Térajoules,Québec,Total charbon,Consommation énergétique finale,
2018,Térajoules,Québec,Total charbon,Consommation énergétique finale,9520.0
2019,Térajoules,Québec,Total charbon,Consommation énergétique finale,10551.0
2015,Térajoules,Québec,Total charbon,Total industriel,
2016,Térajoules,Québec,Total charbon,Total industriel,14855.0
2017,Térajoules,Québec,Total charbon,Total industriel,
2018,Térajoules,Québec,Total charbon,Total industriel,9520.0
2019,Térajoules,Québec,Total charbon,Total industriel,10551.0
2015,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,255233.0
2016,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,237491.0
2017,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,249788.0
2018,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,252003.0
2019,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,252869.0
2015,Térajoules,Québec,Gaz naturel,Total industriel,151932.0
2016,Térajoules,Québec,Gaz naturel,Total industriel,135897.0
2017,Térajoules,Québec,Gaz naturel,Total industriel,142970.0
2018,Térajoules,Québec,Gaz naturel,Total industriel,149758.0
2019,Térajoules,Québec,Gaz naturel,Total industriel,146600.0
2015,Térajoules,Québec,Gaz naturel,Total transport,7961.0
2016,Térajoules,Québec,Gaz naturel,Total transport,5191.0
2017,Térajoules,Québec,Gaz naturel,Total transport,3044.0
2018,Térajoules,Québec,Gaz naturel,Total transport,3058.0
2019,Térajoules,Québec,Gaz naturel,Total transport,3343.0
2015,Térajoules,Québec,Gaz naturel,Agriculture,1123.0
2016,Térajoules,Québec,Gaz naturel,Agriculture,1149.0
2017,Térajoules,Québec,Gaz naturel,Agriculture,1213.0
2018,Térajoules,Québec,Gaz naturel,Agriculture,1350.0
2019,Térajoules,Québec,Gaz naturel,Agriculture,1347.0
2015,Térajoules,Québec,Gaz naturel,Résidentiel,22681.0
2016,Térajoules,Québec,Gaz naturel,Résidentiel,22325.0
2017,Térajoules,Québec,Gaz naturel,Résidentiel,23028.0
2018,Térajoules,Québec,Gaz naturel,Résidentiel,24079.0
2019,Térajoules,Québec,Gaz naturel,Résidentiel,28538.0
2015,Térajoules,Québec,Gaz naturel,Administrations publiques,4906.0
2016,Térajoules,Québec,Gaz naturel,Administrations publiques,4821.0
2017,Térajoules,Québec,Gaz naturel,Administrations publiques,4919.0
2018,Térajoules,Québec,Gaz naturel,Administrations publiques,3880.0
2019,Térajoules,Québec,Gaz naturel,Administrations publiques,4551.0
2015,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,66630.0
2016,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,68107.0
2017,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,74615.0
2018,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,69879.0
2019,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,68491.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,16370.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,17263.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,16490.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,17579.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,18295.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2064.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,1909.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2125.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2338.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2174.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,765.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,800.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,732.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,778.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,822.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4853.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,5072.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4684.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4977.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,5264.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1589.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1660.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1610.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1711.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1809.0
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7484.0
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7821.0
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7319.0
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7776.0
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,8225.0
2015,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,678602.0
2016,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,676125.0
2017,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,675350.0
2018,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,708715.0
2019,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,733602.0
2015,Térajoules,Québec,Hydroélectricité,Total industriel,294630.0
2016,Térajoules,Québec,Hydroélectricité,Total industriel,299543.0
2017,Térajoules,Québec,Hydroélectricité,Total industriel,294473.0
2018,Térajoules,Québec,Hydroélectricité,Total industriel,306613.0
2019,Térajoules,Québec,Hydroélectricité,Total industriel,326436.0
2015,Térajoules,Québec,Hydroélectricité,Total transport,1741.0
2016,Térajoules,Québec,Hydroélectricité,Total transport,1724.0
2017,Térajoules,Québec,Hydroélectricité,Total transport,1713.0
2018,Térajoules,Québec,Hydroélectricité,Total transport,1721.0
2019,Térajoules,Québec,Hydroélectricité,Total transport,1726.0
2015,Térajoules,Québec,Hydroélectricité,Agriculture,6449.0
2016,Térajoules,Québec,Hydroélectricité,Agriculture,6524.0
2017,Térajoules,Québec,Hydroélectricité,Agriculture,6584.0
2018,Térajoules,Québec,Hydroélectricité,Agriculture,7671.0
2019,Térajoules,Québec,Hydroélectricité,Agriculture,7714.0
2015,Térajoules,Québec,Hydroélectricité,Résidentiel,242876.0
2016,Térajoules,Québec,Hydroélectricité,Résidentiel,236055.0
2017,Térajoules,Québec,Hydroélectricité,Résidentiel,239778.0
2018,Térajoules,Québec,Hydroélectricité,Résidentiel,251704.0
2019,Térajoules,Québec,Hydroélectricité,Résidentiel,254689.0
2015,Térajoules,Québec,Hydroélectricité,Administrations publiques,27346.0
2016,Térajoules,Québec,Hydroélectricité,Administrations publiques,27403.0
2017,Térajoules,Québec,Hydroélectricité,Administrations publiques,26540.0
2018,Térajoules,Québec,Hydroélectricité,Administrations publiques,28652.0
2019,Térajoules,Québec,Hydroélectricité,Administrations publiques,28279.0
2015,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,105560.0
2016,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,104876.0
2017,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,106263.0
2018,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,112352.0
2019,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,114758.0
2015,Térajoules,Québec,Vapeur,Consommation énergétique finale,
