Year,Géographie,Genre de travail,Classification nationale des professions (CNP),Âge,GeoCode,Value
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",55 ans et plus,47,0.83
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,47,0.91
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,47,0.86
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,47,0.94
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,47,0.84
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 ans et plus,47,0.92
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 à 24 ans,47,
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,25 à 54 ans,47,0.93
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,55 ans et plus,47,0.75
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,47,0.75
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,47,0.92
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,47,0.77
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,47,0.75
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,47,0.82
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,47,0.87
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,47,0.73
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,47,
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 ans et plus,47,0.88
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 à 24 ans,47,0.97
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Vente et services,25 à 54 ans,47,0.82
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Vente et services,55 ans et plus,47,0.76
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,47,0.74
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,47,0.84
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,47,0.78
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,47,0.67
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,47,0.62
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,47,0.83
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,47,0.65
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,47,
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,47,0.69
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,47,
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,47,0.69
2016,Saskatchewan,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,47,0.66
2016,Saskatchewan,Employés à temps plein,"Total des employés, toutes les professions",15 ans et plus,47,0.83
2016,Saskatchewan,Employés à temps plein,"Total des employés, toutes les professions",15 à 24 ans,47,0.89
2016,Saskatchewan,Employés à temps plein,"Total des employés, toutes les professions",25 à 54 ans,47,0.83
2016,Saskatchewan,Employés à temps plein,"Total des employés, toutes les professions",55 ans et plus,47,0.8
2016,Saskatchewan,Employés à temps plein,Gestion,15 ans et plus,47,0.83
2016,Saskatchewan,Employés à temps plein,Gestion,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,Gestion,25 à 54 ans,47,0.86
2016,Saskatchewan,Employés à temps plein,Gestion,55 ans et plus,47,0.95
2016,Saskatchewan,Employés à temps plein,"Affaires, finance et administration",15 ans et plus,47,0.88
2016,Saskatchewan,Employés à temps plein,"Affaires, finance et administration",15 à 24 ans,47,0.95
2016,Saskatchewan,Employés à temps plein,"Affaires, finance et administration",25 à 54 ans,47,0.88
2016,Saskatchewan,Employés à temps plein,"Affaires, finance et administration",55 ans et plus,47,0.89
2016,Saskatchewan,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,47,0.91
2016,Saskatchewan,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,47,0.94
2016,Saskatchewan,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,47,0.82
2016,Saskatchewan,Employés à temps plein,Secteur de la santé,15 ans et plus,47,0.93
2016,Saskatchewan,Employés à temps plein,Secteur de la santé,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,Secteur de la santé,25 à 54 ans,47,0.92
2016,Saskatchewan,Employés à temps plein,Secteur de la santé,55 ans et plus,47,0.75
2016,Saskatchewan,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,47,0.76
2016,Saskatchewan,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,47,0.95
2016,Saskatchewan,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,47,0.79
2016,Saskatchewan,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,47,0.79
2016,Saskatchewan,Employés à temps plein,"Arts, culture, sports et loisirs",15 ans et plus,47,0.75
2016,Saskatchewan,Employés à temps plein,"Arts, culture, sports et loisirs",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,"Arts, culture, sports et loisirs",25 à 54 ans,47,0.65
2016,Saskatchewan,Employés à temps plein,"Arts, culture, sports et loisirs",55 ans et plus,47,
2016,Saskatchewan,Employés à temps plein,Vente et services,15 ans et plus,47,0.86
2016,Saskatchewan,Employés à temps plein,Vente et services,15 à 24 ans,47,0.93
2016,Saskatchewan,Employés à temps plein,Vente et services,25 à 54 ans,47,0.84
2016,Saskatchewan,Employés à temps plein,Vente et services,55 ans et plus,47,0.79
2016,Saskatchewan,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,47,0.82
2016,Saskatchewan,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,47,0.84
2016,Saskatchewan,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,47,0.85
2016,Saskatchewan,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,47,0.66
2016,Saskatchewan,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 ans et plus,47,0.62
2016,Saskatchewan,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,47,0.63
2016,Saskatchewan,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",55 ans et plus,47,
2016,Saskatchewan,Employés à temps plein,Fabrication et services d'utilité publique,15 ans et plus,47,0.74
2016,Saskatchewan,Employés à temps plein,Fabrication et services d'utilité publique,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps plein,Fabrication et services d'utilité publique,25 à 54 ans,47,0.69
2016,Saskatchewan,Employés à temps plein,Fabrication et services d'utilité publique,55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,"Total des employés, toutes les professions",15 ans et plus,47,1.15
2016,Saskatchewan,Employés à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,47,1.0
2016,Saskatchewan,Employés à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,47,1.06
2016,Saskatchewan,Employés à temps partiel,"Total des employés, toutes les professions",55 ans et plus,47,0.97
2016,Saskatchewan,Employés à temps partiel,Gestion,15 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Gestion,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,Gestion,25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,Gestion,55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,"Affaires, finance et administration",15 ans et plus,47,1.25
2016,Saskatchewan,Employés à temps partiel,"Affaires, finance et administration",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Affaires, finance et administration",25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Affaires, finance et administration",55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Secteur de la santé,15 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Secteur de la santé,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,Secteur de la santé,25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,Secteur de la santé,55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,47,1.0
2016,Saskatchewan,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,47,1.05
2016,Saskatchewan,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,47,1.2
2016,Saskatchewan,Employés à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,47,0.98
2016,Saskatchewan,Employés à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,47,0.93
2016,Saskatchewan,Employés à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Vente et services,15 ans et plus,47,1.04
2016,Saskatchewan,Employés à temps partiel,Vente et services,15 à 24 ans,47,1.0
2016,Saskatchewan,Employés à temps partiel,Vente et services,25 à 54 ans,47,1.04
2016,Saskatchewan,Employés à temps partiel,Vente et services,55 ans et plus,47,0.92
2016,Saskatchewan,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,47,0.97
2016,Saskatchewan,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,47,0.97
2016,Saskatchewan,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,47,0.91
2016,Saskatchewan,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,47,0.94
2016,Saskatchewan,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,47,
2016,Saskatchewan,Employés à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,47,
2016,Saskatchewan,Employés à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,47,
2016,Saskatchewan,Employés à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,47,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 ans et plus,48,0.77
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,48,0.88
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,48,0.76
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",55 ans et plus,48,0.79
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Gestion,15 ans et plus,48,0.73
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Gestion,15 à 24 ans,48,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Gestion,25 à 54 ans,48,0.76
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Gestion,55 ans et plus,48,0.74
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 ans et plus,48,0.84
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 à 24 ans,48,1.11
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",25 à 54 ans,48,0.83
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",55 ans et plus,48,0.79
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,48,0.89
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,48,0.92
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,48,0.88
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,48,1.16
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 ans et plus,48,0.94
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 à 24 ans,48,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,25 à 54 ans,48,0.96
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,55 ans et plus,48,0.7
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,48,0.78
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,48,0.94
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,48,0.76
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,48,0.85
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,48,0.91
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,48,0.95
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,48,0.86
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,48,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 ans et plus,48,0.94
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 à 24 ans,48,1.0
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Vente et services,25 à 54 ans,48,0.78
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Vente et services,55 ans et plus,48,0.83
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,48,0.77
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,48,0.95
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,48,0.77
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,48,0.64
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,48,0.68
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,48,0.85
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,48,0.68
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,48,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,48,0.65
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,48,
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,48,0.63
2016,Alberta,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,48,0.52
2016,Alberta,Employés à temps plein,"Total des employés, toutes les professions",15 ans et plus,48,0.79
2016,Alberta,Employés à temps plein,"Total des employés, toutes les professions",15 à 24 ans,48,0.9
2016,Alberta,Employés à temps plein,"Total des employés, toutes les professions",25 à 54 ans,48,0.79
2016,Alberta,Employés à temps plein,"Total des employés, toutes les professions",55 ans et plus,48,0.77
2016,Alberta,Employés à temps plein,Gestion,15 ans et plus,48,0.73
2016,Alberta,Employés à temps plein,Gestion,15 à 24 ans,48,
2016,Alberta,Employés à temps plein,Gestion,25 à 54 ans,48,0.76
2016,Alberta,Employés à temps plein,Gestion,55 ans et plus,48,0.75
2016,Alberta,Employés à temps plein,"Affaires, finance et administration",15 ans et plus,48,0.84
2016,Alberta,Employés à temps plein,"Affaires, finance et administration",15 à 24 ans,48,1.12
2016,Alberta,Employés à temps plein,"Affaires, finance et administration",25 à 54 ans,48,0.82
2016,Alberta,Employés à temps plein,"Affaires, finance et administration",55 ans et plus,48,0.81
2016,Alberta,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,48,0.9
2016,Alberta,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,48,0.86
2016,Alberta,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,48,0.9
2016,Alberta,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,48,1.15
2016,Alberta,Employés à temps plein,Secteur de la santé,15 ans et plus,48,0.92
2016,Alberta,Employés à temps plein,Secteur de la santé,15 à 24 ans,48,
2016,Alberta,Employés à temps plein,Secteur de la santé,25 à 54 ans,48,0.95
2016,Alberta,Employés à temps plein,Secteur de la santé,55 ans et plus,48,0.69
2016,Alberta,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,48,0.78
2016,Alberta,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,48,0.84
2016,Alberta,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,48,0.78
2016,Alberta,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,48,0.9
2016,Alberta,Employés à temps plein,"Arts, culture, sports et loisirs",15 ans et plus,48,0.94
2016,Alberta,Employés à temps plein,"Arts, culture, sports et loisirs",15 à 24 ans,48,0.89
2016,Alberta,Employés à temps plein,"Arts, culture, sports et loisirs",25 à 54 ans,48,0.94
2016,Alberta,Employés à temps plein,"Arts, culture, sports et loisirs",55 ans et plus,48,
2016,Alberta,Employés à temps plein,Vente et services,15 ans et plus,48,0.83
2016,Alberta,Employés à temps plein,Vente et services,15 à 24 ans,48,1.0
2016,Alberta,Employés à temps plein,Vente et services,25 à 54 ans,48,0.8
2016,Alberta,Employés à temps plein,Vente et services,55 ans et plus,48,0.82
2016,Alberta,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,48,0.8
2016,Alberta,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,48,0.95
2016,Alberta,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,48,0.79
2016,Alberta,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,48,0.67
2016,Alberta,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 ans et plus,48,0.75
2016,Alberta,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,48,
2016,Alberta,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,48,0.68
2016,Alberta,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",55 ans et plus,48,
2016,Alberta,Employés à temps plein,Fabrication et services d'utilité publique,15 ans et plus,48,0.65
2016,Alberta,Employés à temps plein,Fabrication et services d'utilité publique,15 à 24 ans,48,
2016,Alberta,Employés à temps plein,Fabrication et services d'utilité publique,25 à 54 ans,48,0.65
2016,Alberta,Employés à temps plein,Fabrication et services d'utilité publique,55 ans et plus,48,0.52
2016,Alberta,Employés à temps partiel,"Total des employés, toutes les professions",15 ans et plus,48,1.21
2016,Alberta,Employés à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,48,1.0
2016,Alberta,Employés à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,48,1.11
2016,Alberta,Employés à temps partiel,"Total des employés, toutes les professions",55 ans et plus,48,1.05
2016,Alberta,Employés à temps partiel,Gestion,15 ans et plus,48,
2016,Alberta,Employés à temps partiel,Gestion,15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,Gestion,25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,Gestion,55 ans et plus,48,
2016,Alberta,Employés à temps partiel,"Affaires, finance et administration",15 ans et plus,48,1.26
2016,Alberta,Employés à temps partiel,"Affaires, finance et administration",15 à 24 ans,48,1.15
2016,Alberta,Employés à temps partiel,"Affaires, finance et administration",25 à 54 ans,48,1.41
2016,Alberta,Employés à temps partiel,"Affaires, finance et administration",55 ans et plus,48,
2016,Alberta,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,48,1.01
2016,Alberta,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,48,
2016,Alberta,Employés à temps partiel,Secteur de la santé,15 ans et plus,48,1.71
2016,Alberta,Employés à temps partiel,Secteur de la santé,15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,Secteur de la santé,25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,Secteur de la santé,55 ans et plus,48,
2016,Alberta,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,48,1.24
2016,Alberta,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,48,1.31
2016,Alberta,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,48,1.02
2016,Alberta,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,48,1.14
2016,Alberta,Employés à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,48,1.07
2016,Alberta,Employés à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,48,1.0
2016,Alberta,Employés à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,48,
2016,Alberta,Employés à temps partiel,Vente et services,15 ans et plus,48,1.06
2016,Alberta,Employés à temps partiel,Vente et services,15 à 24 ans,48,1.0
2016,Alberta,Employés à temps partiel,Vente et services,25 à 54 ans,48,1.04
2016,Alberta,Employés à temps partiel,Vente et services,55 ans et plus,48,1.0
2016,Alberta,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,48,1.04
2016,Alberta,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,48,0.85
2016,Alberta,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,48,
2016,Alberta,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,48,
2016,Alberta,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,48,
2016,Alberta,Employés à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,48,
2016,Alberta,Employés à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,48,
2016,Alberta,Employés à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,48,
2016,Alberta,Employés à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,48,
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 ans et plus,59,0.8
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,59,0.89
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,59,0.79
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",55 ans et plus,59,0.77
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Gestion,15 ans et plus,59,0.89
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Gestion,15 à 24 ans,59,0.95
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Gestion,25 à 54 ans,59,0.94
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Gestion,55 ans et plus,59,0.81
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 ans et plus,59,0.93
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 à 24 ans,59,1.02
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",25 à 54 ans,59,0.84
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",55 ans et plus,59,1.04
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,59,0.91
2016,Colombie-Britannique,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,59,0.78
