Year,Géographie,Sexe,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,Nouvelle-Écosse,Les deux sexes,25 à 64 ans,Inuk (Inuit),12,85.5
2016,Nouvelle-Écosse,Les deux sexes,25 à 64 ans,data.Non-Aboriginal identity,12,85.2
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",12,67.9
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Non-immigrants,12,66.1
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Immigrants,12,87.3
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Résidents non permanents,12,80.0
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,12,64.6
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Pas une minorité visible,12,68.0
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,data.Total Aboriginal identity,12,55.1
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),12,58.7
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Métis,12,52.7
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,Inuk (Inuit),12,54.5
2016,Nouvelle-Écosse,Les deux sexes,65 à 74 ans,data.Non-Aboriginal identity,12,68.3
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,"Total, toutes les personnes",12,53.8
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Non-immigrants,12,51.6
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Immigrants,12,77.2
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Résidents non permanents,12,60.0
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,12,56.4
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Pas une minorité visible,12,53.8
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,data.Total Aboriginal identity,12,36.9
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),12,40.7
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Métis,12,33.1
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,Inuk (Inuit),12,75.0
2016,Nouvelle-Écosse,Les deux sexes,75 ans et plus,data.Non-Aboriginal identity,12,54.2
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",12,73.9
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,12,72.6
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,12,87.8
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,12,92.6
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,12,81.1
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,12,73.4
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,12,65.6
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),12,64.7
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Métis,12,66.1
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),12,79.2
2016,Nouvelle-Écosse,Hommes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,12,74.4
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,"Total, toutes les personnes",12,61.5
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Non-immigrants,12,59.8
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Immigrants,12,70.2
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Résidents non permanents,12,88.2
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Total de la population des minorités visibles,12,72.6
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Pas une minorité visible,12,60.1
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,data.Total Aboriginal identity,12,52.8
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),12,49.7
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Métis,12,57.6
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,Inuk (Inuit),12,61.5
2016,Nouvelle-Écosse,Hommes,15 à 24 ans,data.Non-Aboriginal identity,12,62.2
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,"Total, toutes les personnes",12,81.1
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Non-immigrants,12,80.1
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Immigrants,12,92.1
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Résidents non permanents,12,96.3
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Total de la population des minorités visibles,12,87.5
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Pas une minorité visible,12,80.7
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,data.Total Aboriginal identity,12,73.2
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),12,72.1
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Métis,12,73.5
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,Inuk (Inuit),12,87.9
2016,Nouvelle-Écosse,Hommes,25 à 64 ans,data.Non-Aboriginal identity,12,81.6
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,"Total, toutes les personnes",12,65.9
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Non-immigrants,12,63.9
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Immigrants,12,87.1
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Résidents non permanents,12,77.8
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Total de la population des minorités visibles,12,63.9
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Pas une minorité visible,12,66.0
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,data.Total Aboriginal identity,12,54.1
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),12,57.4
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Métis,12,51.6
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,Inuk (Inuit),12,66.7
2016,Nouvelle-Écosse,Hommes,65 à 74 ans,data.Non-Aboriginal identity,12,66.3
2016,Nouvelle-Écosse,Hommes,75 ans et plus,"Total, toutes les personnes",12,51.9
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Non-immigrants,12,48.9
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Immigrants,12,79.0
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Résidents non permanents,12,75.0
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Total de la population des minorités visibles,12,57.4
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Pas une minorité visible,12,51.7
2016,Nouvelle-Écosse,Hommes,75 ans et plus,data.Total Aboriginal identity,12,38.0
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),12,39.0
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Métis,12,34.6
2016,Nouvelle-Écosse,Hommes,75 ans et plus,Inuk (Inuit),12,66.7
2016,Nouvelle-Écosse,Hommes,75 ans et plus,data.Non-Aboriginal identity,12,52.2
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",12,79.6
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,12,78.9
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,12,87.3
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,12,92.6
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,12,82.3
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,12,79.4
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,12,75.3
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),12,74.0
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Métis,12,76.6
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),12,78.1
2016,Nouvelle-Écosse,Femmes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,12,79.8
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,"Total, toutes les personnes",12,64.6
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Non-immigrants,12,63.8
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Immigrants,12,65.6
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Résidents non permanents,12,86.9
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Total de la population des minorités visibles,12,70.5
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Pas une minorité visible,12,63.9
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,data.Total Aboriginal identity,12,60.2
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),12,56.7
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Métis,12,64.0
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,Inuk (Inuit),12,71.4
2016,Nouvelle-Écosse,Femmes,15 à 24 ans,data.Non-Aboriginal identity,12,65.0
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,"Total, toutes les personnes",12,88.3
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Non-immigrants,12,87.9
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Immigrants,12,92.3
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Résidents non permanents,12,97.3
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Total de la population des minorités visibles,12,89.8
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Pas une minorité visible,12,88.2
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,data.Total Aboriginal identity,12,84.6
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),12,82.9
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Métis,12,86.2
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,Inuk (Inuit),12,83.7
2016,Nouvelle-Écosse,Femmes,25 à 64 ans,data.Non-Aboriginal identity,12,88.5
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,"Total, toutes les personnes",12,69.7
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Non-immigrants,12,68.1
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Immigrants,12,87.3
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Résidents non permanents,12,83.3
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Total de la population des minorités visibles,12,65.2
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Pas une minorité visible,12,69.8
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,data.Total Aboriginal identity,12,55.8
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),12,59.0
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Métis,12,54.1
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,Inuk (Inuit),12,60.0
2016,Nouvelle-Écosse,Femmes,65 à 74 ans,data.Non-Aboriginal identity,12,70.1
2016,Nouvelle-Écosse,Femmes,75 ans et plus,"Total, toutes les personnes",12,55.3
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Non-immigrants,12,53.5
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Immigrants,12,75.7
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Résidents non permanents,12,50.0
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Total de la population des minorités visibles,12,55.4
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Pas une minorité visible,12,55.4
2016,Nouvelle-Écosse,Femmes,75 ans et plus,data.Total Aboriginal identity,12,36.1
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),12,41.2
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Métis,12,31.7
2016,Nouvelle-Écosse,Femmes,75 ans et plus,Inuk (Inuit),12,100.0
2016,Nouvelle-Écosse,Femmes,75 ans et plus,data.Non-Aboriginal identity,12,55.8
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",13,75.3
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,13,74.7
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Immigrants,13,84.7
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,13,87.6
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,13,82.3
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,13,75.1
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,13,66.4
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),13,66.1
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Métis,13,66.3
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),13,69.5
2016,Nouveau-Brunswick,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,13,75.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,"Total, toutes les personnes",13,63.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Non-immigrants,13,63.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Immigrants,13,56.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Résidents non permanents,13,79.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Total de la population des minorités visibles,13,63.1
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Pas une minorité visible,13,63.6
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,data.Total Aboriginal identity,13,57.9
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),13,57.2
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Métis,13,56.7
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,Inuk (Inuit),13,65.0
2016,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,data.Non-Aboriginal identity,13,63.9
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,"Total, toutes les personnes",13,84.2
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Non-immigrants,13,83.8
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Immigrants,13,90.5
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Résidents non permanents,13,91.1
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Total de la population des minorités visibles,13,90.4
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Pas une minorité visible,13,84.0
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,data.Total Aboriginal identity,13,73.7
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),13,72.8
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Métis,13,74.3
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,Inuk (Inuit),13,70.6
2016,Nouveau-Brunswick,Les deux sexes,25 à 64 ans,data.Non-Aboriginal identity,13,84.6
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",13,62.7
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Non-immigrants,13,61.5
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Immigrants,13,85.1
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Résidents non permanents,13,81.8
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,13,76.1
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Pas une minorité visible,13,62.6
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,data.Total Aboriginal identity,13,48.2
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),13,49.1
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Métis,13,46.7
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,Inuk (Inuit),13,80.0
2016,Nouveau-Brunswick,Les deux sexes,65 à 74 ans,data.Non-Aboriginal identity,13,63.1
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,"Total, toutes les personnes",13,45.8
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Non-immigrants,13,44.2
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Immigrants,13,72.1
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Résidents non permanents,13,50.0
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,13,56.3
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Pas une minorité visible,13,45.7
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,data.Total Aboriginal identity,13,29.0
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),13,34.4
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Métis,13,22.2
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,Inuk (Inuit),13,0.0
2016,Nouveau-Brunswick,Les deux sexes,75 ans et plus,data.Non-Aboriginal identity,13,46.1
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",13,72.3
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,13,71.6
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,13,84.1
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,13,87.3
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,13,82.5
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,13,72.0
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,13,62.4
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),13,62.2
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Métis,13,61.7
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),13,76.9
2016,Nouveau-Brunswick,Hommes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,13,72.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,"Total, toutes les personnes",13,62.4
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Non-immigrants,13,62.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Immigrants,13,54.0
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Résidents non permanents,13,82.1
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Total de la population des minorités visibles,13,64.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Pas une minorité visible,13,62.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,data.Total Aboriginal identity,13,55.5
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),13,54.8
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Métis,13,55.3
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,Inuk (Inuit),13,66.7
2016,Nouveau-Brunswick,Hommes,15 à 24 ans,data.Non-Aboriginal identity,13,62.8
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,"Total, toutes les personnes",13,80.6
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Non-immigrants,13,80.0
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Immigrants,13,89.6
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Résidents non permanents,13,90.4
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Total de la population des minorités visibles,13,90.9
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Pas une minorité visible,13,80.2
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,data.Total Aboriginal identity,13,69.4
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),13,68.0
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Métis,13,70.2
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,Inuk (Inuit),13,81.3
2016,Nouveau-Brunswick,Hommes,25 à 64 ans,data.Non-Aboriginal identity,13,81.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,"Total, toutes les personnes",13,60.4
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Non-immigrants,13,59.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Immigrants,13,86.4
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Résidents non permanents,13,60.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Total de la population des minorités visibles,13,71.6
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Pas une minorité visible,13,60.3
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,data.Total Aboriginal identity,13,42.2
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),13,45.1
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Métis,13,39.3
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,Inuk (Inuit),13,100.0
2016,Nouveau-Brunswick,Hommes,65 à 74 ans,data.Non-Aboriginal identity,13,60.9
2016,Nouveau-Brunswick,Hommes,75 ans et plus,"Total, toutes les personnes",13,42.5
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Non-immigrants,13,40.3
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Immigrants,13,75.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Résidents non permanents,13,0.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Total de la population des minorités visibles,13,62.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Pas une minorité visible,13,42.2
2016,Nouveau-Brunswick,Hommes,75 ans et plus,data.Total Aboriginal identity,13,27.4
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),13,37.8
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Métis,13,17.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,Inuk (Inuit),13,0.0
2016,Nouveau-Brunswick,Hommes,75 ans et plus,data.Non-Aboriginal identity,13,42.8
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",13,78.1
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,13,77.6
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,13,85.3
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,13,87.4
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,13,82.1
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,13,78.0
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,13,70.5
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),13,69.8
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Métis,13,71.3
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),13,62.5
2016,Nouveau-Brunswick,Femmes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,13,78.4
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,"Total, toutes les personnes",13,64.8
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Non-immigrants,13,64.9
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Immigrants,13,59.6
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Résidents non permanents,13,76.9
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Total de la population des minorités visibles,13,61.0
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Pas une minorité visible,13,65.0
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,data.Total Aboriginal identity,13,60.1
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),13,59.3
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Métis,13,59.8
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,Inuk (Inuit),13,72.7
2016,Nouveau-Brunswick,Femmes,15 à 24 ans,data.Non-Aboriginal identity,13,65.1
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,"Total, toutes les personnes",13,87.6
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Non-immigrants,13,87.4
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Immigrants,13,91.3
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Résidents non permanents,13,92.6
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Total de la population des minorités visibles,13,89.8
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Pas une minorité visible,13,87.5
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,data.Total Aboriginal identity,13,77.9
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),13,77.4
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Métis,13,78.8
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,Inuk (Inuit),13,61.1
2016,Nouveau-Brunswick,Femmes,25 à 64 ans,data.Non-Aboriginal identity,13,88.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,"Total, toutes les personnes",13,65.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Non-immigrants,13,63.9
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Immigrants,13,84.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Résidents non permanents,13,100.0
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Total de la population des minorités visibles,13,81.8
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Pas une minorité visible,13,64.8
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,data.Total Aboriginal identity,13,54.1
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),13,51.6
2016,Nouveau-Brunswick,Femmes,65 à 74 ans,Métis,13,54.3
