Year,Géographie,Âge,Sexe,Value
2018,Nouveau-Brunswick,35 à 49 ans,Femmes,9.7
2019,Nouveau-Brunswick,35 à 49 ans,Femmes,10.4
2015,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,22.2
2016,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,21.1
2017,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,21.1
2018,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,18.1
2019,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,22.5
2015,Nouveau-Brunswick,50 à 64 ans,Hommes,28.6
2016,Nouveau-Brunswick,50 à 64 ans,Hommes,33.5
2017,Nouveau-Brunswick,50 à 64 ans,Hommes,30.3
2018,Nouveau-Brunswick,50 à 64 ans,Hommes,22.0
2019,Nouveau-Brunswick,50 à 64 ans,Hommes,28.2
2015,Nouveau-Brunswick,50 à 64 ans,Femmes,15.9
2016,Nouveau-Brunswick,50 à 64 ans,Femmes,9.3
2017,Nouveau-Brunswick,50 à 64 ans,Femmes,12.4
2018,Nouveau-Brunswick,50 à 64 ans,Femmes,14.5
2019,Nouveau-Brunswick,50 à 64 ans,Femmes,17.2
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,6.2
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,5.1
2017,Nouveau-Brunswick,65 ans et plus,Les deux sexes,9.2
2018,Nouveau-Brunswick,65 ans et plus,Les deux sexes,7.0
2019,Nouveau-Brunswick,65 ans et plus,Les deux sexes,9.3
2015,Nouveau-Brunswick,65 ans et plus,Hommes,10.6
2016,Nouveau-Brunswick,65 ans et plus,Hommes,7.5
2017,Nouveau-Brunswick,65 ans et plus,Hommes,14.9
2018,Nouveau-Brunswick,65 ans et plus,Hommes,10.9
2019,Nouveau-Brunswick,65 ans et plus,Hommes,13.7
2015,Nouveau-Brunswick,65 ans et plus,Femmes,
2016,Nouveau-Brunswick,65 ans et plus,Femmes,
2017,Nouveau-Brunswick,65 ans et plus,Femmes,4.2
2018,Nouveau-Brunswick,65 ans et plus,Femmes,
2019,Nouveau-Brunswick,65 ans et plus,Femmes,5.5
2015,Québec,"Total, 12 ans et plus",Les deux sexes,20.2
2016,Québec,"Total, 12 ans et plus",Les deux sexes,22.2
2017,Québec,"Total, 12 ans et plus",Les deux sexes,22.8
2018,Québec,"Total, 12 ans et plus",Les deux sexes,21.2
2019,Québec,"Total, 12 ans et plus",Les deux sexes,19.9
2015,Québec,"Total, 12 ans et plus",Hommes,24.6
2016,Québec,"Total, 12 ans et plus",Hommes,25.5
2017,Québec,"Total, 12 ans et plus",Hommes,26.9
2018,Québec,"Total, 12 ans et plus",Hommes,24.7
2019,Québec,"Total, 12 ans et plus",Hommes,23.7
2015,Québec,"Total, 12 ans et plus",Femmes,15.9
2016,Québec,"Total, 12 ans et plus",Femmes,19.0
2017,Québec,"Total, 12 ans et plus",Femmes,18.7
2018,Québec,"Total, 12 ans et plus",Femmes,17.7
2019,Québec,"Total, 12 ans et plus",Femmes,16.2
2015,Québec,12 à 17 ans,Les deux sexes,5.4
2016,Québec,12 à 17 ans,Les deux sexes,6.8
2017,Québec,12 à 17 ans,Les deux sexes,8.0
2018,Québec,12 à 17 ans,Les deux sexes,6.6
2019,Québec,12 à 17 ans,Les deux sexes,3.5
2015,Québec,12 à 17 ans,Hommes,6.8
2016,Québec,12 à 17 ans,Hommes,5.8
2017,Québec,12 à 17 ans,Hommes,9.6
2018,Québec,12 à 17 ans,Hommes,7.0
2019,Québec,12 à 17 ans,Hommes,4.4
2015,Québec,12 à 17 ans,Femmes,3.9
2016,Québec,12 à 17 ans,Femmes,7.9
2017,Québec,12 à 17 ans,Femmes,6.3
2018,Québec,12 à 17 ans,Femmes,6.2
2019,Québec,12 à 17 ans,Femmes,2.6
2015,Québec,18 à 34 ans,Les deux sexes,32.9
2016,Québec,18 à 34 ans,Les deux sexes,32.7
2017,Québec,18 à 34 ans,Les deux sexes,35.1
2018,Québec,18 à 34 ans,Les deux sexes,32.8
2019,Québec,18 à 34 ans,Les deux sexes,28.2
2015,Québec,18 à 34 ans,Hommes,38.4
2016,Québec,18 à 34 ans,Hommes,36.6
2017,Québec,18 à 34 ans,Hommes,42.0
2018,Québec,18 à 34 ans,Hommes,37.0
2019,Québec,18 à 34 ans,Hommes,31.3
2015,Québec,18 à 34 ans,Femmes,27.3
2016,Québec,18 à 34 ans,Femmes,28.7
2017,Québec,18 à 34 ans,Femmes,28.1
2018,Québec,18 à 34 ans,Femmes,28.6
2019,Québec,18 à 34 ans,Femmes,25.0
2015,Québec,35 à 49 ans,Les deux sexes,22.0
2016,Québec,35 à 49 ans,Les deux sexes,27.0
2017,Québec,35 à 49 ans,Les deux sexes,26.6
2018,Québec,35 à 49 ans,Les deux sexes,25.7
2019,Québec,35 à 49 ans,Les deux sexes,27.6
2015,Québec,35 à 49 ans,Hommes,26.6
2016,Québec,35 à 49 ans,Hommes,28.7
2017,Québec,35 à 49 ans,Hommes,29.3
2018,Québec,35 à 49 ans,Hommes,30.4
2019,Québec,35 à 49 ans,Hommes,33.7
2015,Québec,35 à 49 ans,Femmes,17.4
2016,Québec,35 à 49 ans,Femmes,25.1
2017,Québec,35 à 49 ans,Femmes,23.8
2018,Québec,35 à 49 ans,Femmes,20.9
2019,Québec,35 à 49 ans,Femmes,21.3
2015,Québec,50 à 64 ans,Les deux sexes,19.4
2016,Québec,50 à 64 ans,Les deux sexes,22.2
2017,Québec,50 à 64 ans,Les deux sexes,22.1
2018,Québec,50 à 64 ans,Les deux sexes,19.9
2019,Québec,50 à 64 ans,Les deux sexes,19.5
2015,Québec,50 à 64 ans,Hommes,23.2
2016,Québec,50 à 64 ans,Hommes,26.8
2017,Québec,50 à 64 ans,Hommes,25.4
2018,Québec,50 à 64 ans,Hommes,22.1
2019,Québec,50 à 64 ans,Hommes,22.4
2015,Québec,50 à 64 ans,Femmes,15.5
2016,Québec,50 à 64 ans,Femmes,17.5
2017,Québec,50 à 64 ans,Femmes,18.8
2018,Québec,50 à 64 ans,Femmes,17.6
2019,Québec,50 à 64 ans,Femmes,16.5
2015,Québec,65 ans et plus,Les deux sexes,7.7
2016,Québec,65 ans et plus,Les deux sexes,8.9
2017,Québec,65 ans et plus,Les deux sexes,9.4
2018,Québec,65 ans et plus,Les deux sexes,9.0
2019,Québec,65 ans et plus,Les deux sexes,8.3
2015,Québec,65 ans et plus,Hommes,10.9
2016,Québec,65 ans et plus,Hommes,11.7
2017,Québec,65 ans et plus,Hommes,12.5
2018,Québec,65 ans et plus,Hommes,12.3
2019,Québec,65 ans et plus,Hommes,11.3
2015,Québec,65 ans et plus,Femmes,5.0
2016,Québec,65 ans et plus,Femmes,6.6
2017,Québec,65 ans et plus,Femmes,6.8
2018,Québec,65 ans et plus,Femmes,6.2
2019,Québec,65 ans et plus,Femmes,5.7
2015,Ontario,"Total, 12 ans et plus",Les deux sexes,18.9
2016,Ontario,"Total, 12 ans et plus",Les deux sexes,17.5
2017,Ontario,"Total, 12 ans et plus",Les deux sexes,17.9
2018,Ontario,"Total, 12 ans et plus",Les deux sexes,17.3
2019,Ontario,"Total, 12 ans et plus",Les deux sexes,16.2
2015,Ontario,"Total, 12 ans et plus",Hommes,23.8
2016,Ontario,"Total, 12 ans et plus",Hommes,22.8
2017,Ontario,"Total, 12 ans et plus",Hommes,21.5
2018,Ontario,"Total, 12 ans et plus",Hommes,21.6
2019,Ontario,"Total, 12 ans et plus",Hommes,20.6
2015,Ontario,"Total, 12 ans et plus",Femmes,14.2
2016,Ontario,"Total, 12 ans et plus",Femmes,12.4
2017,Ontario,"Total, 12 ans et plus",Femmes,14.4
2018,Ontario,"Total, 12 ans et plus",Femmes,13.3
2019,Ontario,"Total, 12 ans et plus",Femmes,12.0
2015,Ontario,12 à 17 ans,Les deux sexes,3.8
2016,Ontario,12 à 17 ans,Les deux sexes,3.2
2017,Ontario,12 à 17 ans,Les deux sexes,3.8
2018,Ontario,12 à 17 ans,Les deux sexes,2.7
2019,Ontario,12 à 17 ans,Les deux sexes,1.7
2015,Ontario,12 à 17 ans,Hommes,4.6
2016,Ontario,12 à 17 ans,Hommes,3.6
2017,Ontario,12 à 17 ans,Hommes,2.6
2018,Ontario,12 à 17 ans,Hommes,
2019,Ontario,12 à 17 ans,Hommes,
2015,Ontario,12 à 17 ans,Femmes,3.0
2016,Ontario,12 à 17 ans,Femmes,
2017,Ontario,12 à 17 ans,Femmes,5.1
2018,Ontario,12 à 17 ans,Femmes,3.2
2019,Ontario,12 à 17 ans,Femmes,
2015,Ontario,18 à 34 ans,Les deux sexes,30.3
2016,Ontario,18 à 34 ans,Les deux sexes,27.8
2017,Ontario,18 à 34 ans,Les deux sexes,26.9
2018,Ontario,18 à 34 ans,Les deux sexes,25.7
2019,Ontario,18 à 34 ans,Les deux sexes,22.8
2015,Ontario,18 à 34 ans,Hommes,35.9
2016,Ontario,18 à 34 ans,Hommes,32.8
2017,Ontario,18 à 34 ans,Hommes,30.8
2018,Ontario,18 à 34 ans,Hommes,30.5
2019,Ontario,18 à 34 ans,Hommes,27.2
2015,Ontario,18 à 34 ans,Femmes,24.8
2016,Ontario,18 à 34 ans,Femmes,22.8
2017,Ontario,18 à 34 ans,Femmes,23.0
2018,Ontario,18 à 34 ans,Femmes,20.9
2019,Ontario,18 à 34 ans,Femmes,18.3
2015,Ontario,35 à 49 ans,Les deux sexes,20.0
2016,Ontario,35 à 49 ans,Les deux sexes,18.0
2017,Ontario,35 à 49 ans,Les deux sexes,20.7
2018,Ontario,35 à 49 ans,Les deux sexes,21.1
2019,Ontario,35 à 49 ans,Les deux sexes,19.5
2015,Ontario,35 à 49 ans,Hommes,26.0
2016,Ontario,35 à 49 ans,Hommes,24.9
2017,Ontario,35 à 49 ans,Hommes,24.7
2018,Ontario,35 à 49 ans,Hommes,26.0
2019,Ontario,35 à 49 ans,Hommes,25.6
2015,Ontario,35 à 49 ans,Femmes,14.3
2016,Ontario,35 à 49 ans,Femmes,11.4
2017,Ontario,35 à 49 ans,Femmes,16.8
2018,Ontario,35 à 49 ans,Femmes,16.5
2019,Ontario,35 à 49 ans,Femmes,13.7
2015,Ontario,50 à 64 ans,Les deux sexes,19.7
2016,Ontario,50 à 64 ans,Les deux sexes,18.2
2017,Ontario,50 à 64 ans,Les deux sexes,18.0
2018,Ontario,50 à 64 ans,Les deux sexes,17.8
2019,Ontario,50 à 64 ans,Les deux sexes,17.6
2015,Ontario,50 à 64 ans,Hommes,24.7
2016,Ontario,50 à 64 ans,Hommes,24.2
2017,Ontario,50 à 64 ans,Hommes,22.4
2018,Ontario,50 à 64 ans,Hommes,23.3
2019,Ontario,50 à 64 ans,Hommes,22.0
2015,Ontario,50 à 64 ans,Femmes,14.7
2016,Ontario,50 à 64 ans,Femmes,12.3
2017,Ontario,50 à 64 ans,Femmes,13.7
2018,Ontario,50 à 64 ans,Femmes,12.4
2019,Ontario,50 à 64 ans,Femmes,13.3
2015,Ontario,65 ans et plus,Les deux sexes,5.7
2016,Ontario,65 ans et plus,Les deux sexes,6.7
2017,Ontario,65 ans et plus,Les deux sexes,7.0
2018,Ontario,65 ans et plus,Les deux sexes,6.2
2019,Ontario,65 ans et plus,Les deux sexes,7.0
2015,Ontario,65 ans et plus,Hommes,8.8
2016,Ontario,65 ans et plus,Hommes,10.6
2017,Ontario,65 ans et plus,Hommes,9.8
2018,Ontario,65 ans et plus,Hommes,8.2
2019,Ontario,65 ans et plus,Hommes,10.5
2015,Ontario,65 ans et plus,Femmes,3.2
2016,Ontario,65 ans et plus,Femmes,3.4
2017,Ontario,65 ans et plus,Femmes,4.6
2018,Ontario,65 ans et plus,Femmes,4.4
2019,Ontario,65 ans et plus,Femmes,4.2
2015,Manitoba,"Total, 12 ans et plus",Les deux sexes,19.6
2016,Manitoba,"Total, 12 ans et plus",Les deux sexes,16.8
2017,Manitoba,"Total, 12 ans et plus",Les deux sexes,16.7
2018,Manitoba,"Total, 12 ans et plus",Les deux sexes,16.0
2019,Manitoba,"Total, 12 ans et plus",Les deux sexes,20.2
2015,Manitoba,"Total, 12 ans et plus",Hommes,24.5
2016,Manitoba,"Total, 12 ans et plus",Hommes,20.5
2017,Manitoba,"Total, 12 ans et plus",Hommes,21.6
2018,Manitoba,"Total, 12 ans et plus",Hommes,19.6
2019,Manitoba,"Total, 12 ans et plus",Hommes,25.7
2015,Manitoba,"Total, 12 ans et plus",Femmes,14.9
2016,Manitoba,"Total, 12 ans et plus",Femmes,13.1
2017,Manitoba,"Total, 12 ans et plus",Femmes,11.8
2018,Manitoba,"Total, 12 ans et plus",Femmes,12.4
2019,Manitoba,"Total, 12 ans et plus",Femmes,14.8
2015,Manitoba,12 à 17 ans,Les deux sexes,
2016,Manitoba,12 à 17 ans,Les deux sexes,
2017,Manitoba,12 à 17 ans,Les deux sexes,
2018,Manitoba,12 à 17 ans,Les deux sexes,
2019,Manitoba,12 à 17 ans,Les deux sexes,
2015,Manitoba,12 à 17 ans,Hommes,
2016,Manitoba,12 à 17 ans,Hommes,
2017,Manitoba,12 à 17 ans,Hommes,
2018,Manitoba,12 à 17 ans,Hommes,
2019,Manitoba,12 à 17 ans,Hommes,
2015,Manitoba,12 à 17 ans,Femmes,
2016,Manitoba,12 à 17 ans,Femmes,
2017,Manitoba,12 à 17 ans,Femmes,
2018,Manitoba,12 à 17 ans,Femmes,
2019,Manitoba,12 à 17 ans,Femmes,
2015,Manitoba,18 à 34 ans,Les deux sexes,30.0
2016,Manitoba,18 à 34 ans,Les deux sexes,26.5
2017,Manitoba,18 à 34 ans,Les deux sexes,23.3
2018,Manitoba,18 à 34 ans,Les deux sexes,21.9
2019,Manitoba,18 à 34 ans,Les deux sexes,32.0
2015,Manitoba,18 à 34 ans,Hommes,32.8
2016,Manitoba,18 à 34 ans,Hommes,31.6
2017,Manitoba,18 à 34 ans,Hommes,26.9
2018,Manitoba,18 à 34 ans,Hommes,28.6
2019,Manitoba,18 à 34 ans,Hommes,39.7
2015,Manitoba,18 à 34 ans,Femmes,27.0
2016,Manitoba,18 à 34 ans,Femmes,21.4
2017,Manitoba,18 à 34 ans,Femmes,19.7
2018,Manitoba,18 à 34 ans,Femmes,14.9
2019,Manitoba,18 à 34 ans,Femmes,23.9
2015,Manitoba,35 à 49 ans,Les deux sexes,20.2
2016,Manitoba,35 à 49 ans,Les deux sexes,20.4
2017,Manitoba,35 à 49 ans,Les deux sexes,25.2
2018,Manitoba,35 à 49 ans,Les deux sexes,19.3
2019,Manitoba,35 à 49 ans,Les deux sexes,18.2
2015,Manitoba,35 à 49 ans,Hommes,24.9
2016,Manitoba,35 à 49 ans,Hommes,22.7
2017,Manitoba,35 à 49 ans,Hommes,36.2
2018,Manitoba,35 à 49 ans,Hommes,22.3
2019,Manitoba,35 à 49 ans,Hommes,21.4
2015,Manitoba,35 à 49 ans,Femmes,15.6
2016,Manitoba,35 à 49 ans,Femmes,18.2
2017,Manitoba,35 à 49 ans,Femmes,14.5
2018,Manitoba,35 à 49 ans,Femmes,16.3
2019,Manitoba,35 à 49 ans,Femmes,15.1
2015,Manitoba,50 à 64 ans,Les deux sexes,22.2
2016,Manitoba,50 à 64 ans,Les deux sexes,15.7
2017,Manitoba,50 à 64 ans,Les deux sexes,14.4
2018,Manitoba,50 à 64 ans,Les deux sexes,18.3
2019,Manitoba,50 à 64 ans,Les deux sexes,24.9
2015,Manitoba,50 à 64 ans,Hommes,33.2
2016,Manitoba,50 à 64 ans,Hommes,20.8
2017,Manitoba,50 à 64 ans,Hommes,18.9
2018,Manitoba,50 à 64 ans,Hommes,20.8
2019,Manitoba,50 à 64 ans,Hommes,33.3
2015,Manitoba,50 à 64 ans,Femmes,11.3
2016,Manitoba,50 à 64 ans,Femmes,10.3
2017,Manitoba,50 à 64 ans,Femmes,9.9
2018,Manitoba,50 à 64 ans,Femmes,15.8
2019,Manitoba,50 à 64 ans,Femmes,16.3
2015,Manitoba,65 ans et plus,Les deux sexes,6.5
2016,Manitoba,65 ans et plus,Les deux sexes,5.0
2017,Manitoba,65 ans et plus,Les deux sexes,5.5
2018,Manitoba,65 ans et plus,Les deux sexes,7.1
2019,Manitoba,65 ans et plus,Les deux sexes,6.4
2015,Manitoba,65 ans et plus,Hommes,8.8
2016,Manitoba,65 ans et plus,Hommes,7.6
2017,Manitoba,65 ans et plus,Hommes,7.1
2018,Manitoba,65 ans et plus,Hommes,9.0
2019,Manitoba,65 ans et plus,Hommes,9.2
2015,Manitoba,65 ans et plus,Femmes,4.6
2016,Manitoba,65 ans et plus,Femmes,2.8
2017,Manitoba,65 ans et plus,Femmes,4.1
2018,Manitoba,65 ans et plus,Femmes,5.4
2019,Manitoba,65 ans et plus,Femmes,4.0
2015,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,21.7
2016,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,18.8
2017,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,21.9
2018,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,20.4
2019,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,20.0
2015,Saskatchewan,"Total, 12 ans et plus",Hommes,28.5
2016,Saskatchewan,"Total, 12 ans et plus",Hommes,24.9
2017,Saskatchewan,"Total, 12 ans et plus",Hommes,27.8
2018,Saskatchewan,"Total, 12 ans et plus",Hommes,26.8
2019,Saskatchewan,"Total, 12 ans et plus",Hommes,28.0
2015,Saskatchewan,"Total, 12 ans et plus",Femmes,14.8
2016,Saskatchewan,"Total, 12 ans et plus",Femmes,12.7
2017,Saskatchewan,"Total, 12 ans et plus",Femmes,16.0
2018,Saskatchewan,"Total, 12 ans et plus",Femmes,13.8
2019,Saskatchewan,"Total, 12 ans et plus",Femmes,11.8
2015,Saskatchewan,12 à 17 ans,Les deux sexes,7.1
2016,Saskatchewan,12 à 17 ans,Les deux sexes,4.7
2017,Saskatchewan,12 à 17 ans,Les deux sexes,
2018,Saskatchewan,12 à 17 ans,Les deux sexes,
2019,Saskatchewan,12 à 17 ans,Les deux sexes,
2015,Saskatchewan,12 à 17 ans,Hommes,
2016,Saskatchewan,12 à 17 ans,Hommes,
2017,Saskatchewan,12 à 17 ans,Hommes,
2018,Saskatchewan,12 à 17 ans,Hommes,
2019,Saskatchewan,12 à 17 ans,Hommes,
2015,Saskatchewan,12 à 17 ans,Femmes,
2016,Saskatchewan,12 à 17 ans,Femmes,
2017,Saskatchewan,12 à 17 ans,Femmes,
2018,Saskatchewan,12 à 17 ans,Femmes,
2019,Saskatchewan,12 à 17 ans,Femmes,
2015,Saskatchewan,18 à 34 ans,Les deux sexes,33.0
2016,Saskatchewan,18 à 34 ans,Les deux sexes,33.5
2017,Saskatchewan,18 à 34 ans,Les deux sexes,33.6
2018,Saskatchewan,18 à 34 ans,Les deux sexes,30.4
2019,Saskatchewan,18 à 34 ans,Les deux sexes,31.5
2015,Saskatchewan,18 à 34 ans,Hommes,39.3
2016,Saskatchewan,18 à 34 ans,Hommes,43.6
2017,Saskatchewan,18 à 34 ans,Hommes,39.6
2018,Saskatchewan,18 à 34 ans,Hommes,36.4
2019,Saskatchewan,18 à 34 ans,Hommes,42.7
2015,Saskatchewan,18 à 34 ans,Femmes,26.3
2016,Saskatchewan,18 à 34 ans,Femmes,22.7
2017,Saskatchewan,18 à 34 ans,Femmes,27.1
2018,Saskatchewan,18 à 34 ans,Femmes,24.1
2019,Saskatchewan,18 à 34 ans,Femmes,19.6
2015,Saskatchewan,35 à 49 ans,Les deux sexes,24.2
2016,Saskatchewan,35 à 49 ans,Les deux sexes,19.5
2017,Saskatchewan,35 à 49 ans,Les deux sexes,27.8
2018,Saskatchewan,35 à 49 ans,Les deux sexes,26.8
2019,Saskatchewan,35 à 49 ans,Les deux sexes,23.8
2015,Saskatchewan,35 à 49 ans,Hommes,35.5
2016,Saskatchewan,35 à 49 ans,Hommes,27.1
2017,Saskatchewan,35 à 49 ans,Hommes,32.9
2018,Saskatchewan,35 à 49 ans,Hommes,35.1
2019,Saskatchewan,35 à 49 ans,Hommes,33.1
2015,Saskatchewan,35 à 49 ans,Femmes,12.3
2016,Saskatchewan,35 à 49 ans,Femmes,11.7
2017,Saskatchewan,35 à 49 ans,Femmes,22.6
2018,Saskatchewan,35 à 49 ans,Femmes,18.2
2019,Saskatchewan,35 à 49 ans,Femmes,14.2
2015,Saskatchewan,50 à 64 ans,Les deux sexes,20.6
2016,Saskatchewan,50 à 64 ans,Les deux sexes,16.0
2017,Saskatchewan,50 à 64 ans,Les deux sexes,19.1
2018,Saskatchewan,50 à 64 ans,Les deux sexes,17.4
2019,Saskatchewan,50 à 64 ans,Les deux sexes,18.5
2015,Saskatchewan,50 à 64 ans,Hommes,26.1
2016,Saskatchewan,50 à 64 ans,Hommes,19.4
2017,Saskatchewan,50 à 64 ans,Hommes,27.8
2018,Saskatchewan,50 à 64 ans,Hommes,24.6
2019,Saskatchewan,50 à 64 ans,Hommes,26.9
2015,Saskatchewan,50 à 64 ans,Femmes,14.9
2016,Saskatchewan,50 à 64 ans,Femmes,12.5
2017,Saskatchewan,50 à 64 ans,Femmes,10.1
2018,Saskatchewan,50 à 64 ans,Femmes,9.9
2019,Saskatchewan,50 à 64 ans,Femmes,9.9
2015,Saskatchewan,65 ans et plus,Les deux sexes,7.8
2016,Saskatchewan,65 ans et plus,Les deux sexes,4.0
2017,Saskatchewan,65 ans et plus,Les deux sexes,6.2
2018,Saskatchewan,65 ans et plus,Les deux sexes,8.6
2019,Saskatchewan,65 ans et plus,Les deux sexes,6.7
2015,Saskatchewan,65 ans et plus,Hommes,13.8
2016,Saskatchewan,65 ans et plus,Hommes,5.7
2017,Saskatchewan,65 ans et plus,Hommes,10.6
2018,Saskatchewan,65 ans et plus,Hommes,14.8
2019,Saskatchewan,65 ans et plus,Hommes,10.4
2015,Saskatchewan,65 ans et plus,Femmes,
2016,Saskatchewan,65 ans et plus,Femmes,
2017,Saskatchewan,65 ans et plus,Femmes,
2018,Saskatchewan,65 ans et plus,Femmes,
2019,Saskatchewan,65 ans et plus,Femmes,3.5
2015,Alberta,"Total, 12 ans et plus",Les deux sexes,18.8
2016,Alberta,"Total, 12 ans et plus",Les deux sexes,19.1
2017,Alberta,"Total, 12 ans et plus",Les deux sexes,19.4
2018,Alberta,"Total, 12 ans et plus",Les deux sexes,19.3
2019,Alberta,"Total, 12 ans et plus",Les deux sexes,19.9
2015,Alberta,"Total, 12 ans et plus",Hommes,23.1
2016,Alberta,"Total, 12 ans et plus",Hommes,24.6
2017,Alberta,"Total, 12 ans et plus",Hommes,23.9
2018,Alberta,"Total, 12 ans et plus",Hommes,24.2
2019,Alberta,"Total, 12 ans et plus",Hommes,25.3
2015,Alberta,"Total, 12 ans et plus",Femmes,14.2
2016,Alberta,"Total, 12 ans et plus",Femmes,13.4
2017,Alberta,"Total, 12 ans et plus",Femmes,14.9
2018,Alberta,"Total, 12 ans et plus",Femmes,14.3
2019,Alberta,"Total, 12 ans et plus",Femmes,14.5
2015,Alberta,12 à 17 ans,Les deux sexes,3.5
2016,Alberta,12 à 17 ans,Les deux sexes,
2017,Alberta,12 à 17 ans,Les deux sexes,2.9
2018,Alberta,12 à 17 ans,Les deux sexes,2.8
2019,Alberta,12 à 17 ans,Les deux sexes,
2015,Alberta,12 à 17 ans,Hommes,
2016,Alberta,12 à 17 ans,Hommes,
2017,Alberta,12 à 17 ans,Hommes,2.7
2018,Alberta,12 à 17 ans,Hommes,
2019,Alberta,12 à 17 ans,Hommes,
2015,Alberta,12 à 17 ans,Femmes,
2016,Alberta,12 à 17 ans,Femmes,
2017,Alberta,12 à 17 ans,Femmes,
2018,Alberta,12 à 17 ans,Femmes,
2019,Alberta,12 à 17 ans,Femmes,
2015,Alberta,18 à 34 ans,Les deux sexes,28.5
2016,Alberta,18 à 34 ans,Les deux sexes,28.6
2017,Alberta,18 à 34 ans,Les deux sexes,29.5
2018,Alberta,18 à 34 ans,Les deux sexes,28.0
2019,Alberta,18 à 34 ans,Les deux sexes,32.8
2015,Alberta,18 à 34 ans,Hommes,31.9
2016,Alberta,18 à 34 ans,Hommes,35.7
2017,Alberta,18 à 34 ans,Hommes,34.2
2018,Alberta,18 à 34 ans,Hommes,31.9
2019,Alberta,18 à 34 ans,Hommes,39.8
2015,Alberta,18 à 34 ans,Femmes,25.0
2016,Alberta,18 à 34 ans,Femmes,21.1
2017,Alberta,18 à 34 ans,Femmes,24.6
2018,Alberta,18 à 34 ans,Femmes,24.0
2019,Alberta,18 à 34 ans,Femmes,25.5
2015,Alberta,35 à 49 ans,Les deux sexes,19.8
2016,Alberta,35 à 49 ans,Les deux sexes,21.0
2017,Alberta,35 à 49 ans,Les deux sexes,23.1
2018,Alberta,35 à 49 ans,Les deux sexes,22.5
2019,Alberta,35 à 49 ans,Les deux sexes,22.4
2015,Alberta,35 à 49 ans,Hommes,26.2
2016,Alberta,35 à 49 ans,Hommes,28.1
2017,Alberta,35 à 49 ans,Hommes,28.0
2018,Alberta,35 à 49 ans,Hommes,28.8
2019,Alberta,35 à 49 ans,Hommes,29.4
2015,Alberta,35 à 49 ans,Femmes,13.0
2016,Alberta,35 à 49 ans,Femmes,13.4
2017,Alberta,35 à 49 ans,Femmes,17.9
2018,Alberta,35 à 49 ans,Femmes,15.9
2019,Alberta,35 à 49 ans,Femmes,15.1
2015,Alberta,50 à 64 ans,Les deux sexes,16.3
2016,Alberta,50 à 64 ans,Les deux sexes,18.0
2017,Alberta,50 à 64 ans,Les deux sexes,15.0
2018,Alberta,50 à 64 ans,Les deux sexes,17.7
2019,Alberta,50 à 64 ans,Les deux sexes,15.0
2015,Alberta,50 à 64 ans,Hommes,21.7
2016,Alberta,50 à 64 ans,Hommes,22.1
2017,Alberta,50 à 64 ans,Hommes,20.6
2018,Alberta,50 à 64 ans,Hommes,24.3
2019,Alberta,50 à 64 ans,Hommes,19.8
2015,Alberta,50 à 64 ans,Femmes,10.5
2016,Alberta,50 à 64 ans,Femmes,13.6
2017,Alberta,50 à 64 ans,Femmes,9.1
2018,Alberta,50 à 64 ans,Femmes,10.8
2019,Alberta,50 à 64 ans,Femmes,10.0
2015,Alberta,65 ans et plus,Les deux sexes,6.9
2016,Alberta,65 ans et plus,Les deux sexes,5.7
2017,Alberta,65 ans et plus,Les deux sexes,7.4
2018,Alberta,65 ans et plus,Les deux sexes,7.2
2019,Alberta,65 ans et plus,Les deux sexes,7.0
2015,Alberta,65 ans et plus,Hommes,10.1
2016,Alberta,65 ans et plus,Hommes,8.9
2017,Alberta,65 ans et plus,Hommes,10.0
2018,Alberta,65 ans et plus,Hommes,12.1
2019,Alberta,65 ans et plus,Hommes,8.7
2015,Alberta,65 ans et plus,Femmes,4.0
2016,Alberta,65 ans et plus,Femmes,2.9
2017,Alberta,65 ans et plus,Femmes,5.1
2018,Alberta,65 ans et plus,Femmes,2.8
2019,Alberta,65 ans et plus,Femmes,5.5
2015,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,17.3
2016,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,16.7
2017,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,17.6
2018,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,20.1
2019,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,18.2
2015,Colombie-Britannique,"Total, 12 ans et plus",Hommes,22.4
2016,Colombie-Britannique,"Total, 12 ans et plus",Hommes,21.5
2017,Colombie-Britannique,"Total, 12 ans et plus",Hommes,22.3
2018,Colombie-Britannique,"Total, 12 ans et plus",Hommes,24.6
2019,Colombie-Britannique,"Total, 12 ans et plus",Hommes,21.4
2015,Colombie-Britannique,"Total, 12 ans et plus",Femmes,12.3
