Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,Value
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,155.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,158.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,108.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,125.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,148.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,154.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,131.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,675.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,282.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,206.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,9566.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",141.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",131.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",162.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",155.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",146.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,148.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,141.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,166.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,162.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,148.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,93.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,92.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,146.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,127.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,126.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,0.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,43.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,311.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,177.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,43.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",116.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",120.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",148.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",157.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",147.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,126.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,130.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,158.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,165.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,162.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,78.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,72.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,94.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,121.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,98.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,29.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,271.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,29.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,351.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",75.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",78.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",88.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",92.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",83.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,78.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,85.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,94.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,102.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,92.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,50.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,64.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,64.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,57.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,57.0
2014/2015,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,144.0
2015/2016,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,15.0
2016/2017,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,15.0
2017/2018,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Ontario,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,26.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",154.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",149.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",145.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",140.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sociétés,620.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sociétés,806.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sociétés,372.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sociétés,92.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sociétés,410.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,154.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,149.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,145.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,140.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",156.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",147.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",157.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",155.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",154.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Sexe inconnu,156.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Sexe inconnu,147.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Sexe inconnu,157.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Sexe inconnu,155.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,18 à 24 ans,Sexe inconnu,154.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",148.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",142.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",138.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",138.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Sexe inconnu,148.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Sexe inconnu,142.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Sexe inconnu,138.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,25 à 34 ans,Sexe inconnu,138.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",150.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",149.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",135.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",136.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Sexe inconnu,150.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Sexe inconnu,149.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Sexe inconnu,134.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Sexe inconnu,135.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,35 à 44 ans,Sexe inconnu,136.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",147.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",140.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",152.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",136.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",136.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Sexe inconnu,147.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Sexe inconnu,140.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Sexe inconnu,152.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Sexe inconnu,136.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,45 à 54 ans,Sexe inconnu,136.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",135.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",157.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",155.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",157.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",126.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Sexe inconnu,135.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Sexe inconnu,157.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Sexe inconnu,155.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Sexe inconnu,157.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions,55 ans et plus,Sexe inconnu,126.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",150.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",147.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",147.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",143.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",137.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,873.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,239.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,150.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,147.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,147.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,143.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,137.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",157.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",156.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",155.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",153.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Hommes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Hommes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Hommes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Hommes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Femmes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Femmes,
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Femmes,
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Femmes,
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Femmes,
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,157.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,156.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,155.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,153.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",142.0
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",144.0
2016/2017,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",139.0
2017/2018,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",134.0
2018/2019,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",135.0
2014/2015,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,Hommes,
2015/2016,Tribunaux pour adultes,Manitoba,Total des infractions au Code criminel,25 à 34 ans,Hommes,
