Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Pourcentage,Océan Pacifique,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Océan Pacifique,Exploitation minière,Bonne,8
2016-2018,Pourcentage,Océan Pacifique,Exploitation minière,Satisfaisante,4
2016-2018,Pourcentage,Océan Pacifique,Exploitation minière,Douteuse,12
2016-2018,Pourcentage,Océan Pacifique,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Peuplé,Excellente,0
2016-2018,Pourcentage,Océan Pacifique,Peuplé,Bonne,0
2016-2018,Pourcentage,Océan Pacifique,Peuplé,Satisfaisante,0
2016-2018,Pourcentage,Océan Pacifique,Peuplé,Douteuse,0
2016-2018,Pourcentage,Océan Pacifique,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Pressions mixtes,Excellente,0
2016-2018,Pourcentage,Océan Pacifique,Pressions mixtes,Bonne,8
2016-2018,Pourcentage,Océan Pacifique,Pressions mixtes,Satisfaisante,36
2016-2018,Pourcentage,Océan Pacifique,Pressions mixtes,Douteuse,8
2016-2018,Pourcentage,Océan Pacifique,Pressions mixtes,Mauvaise,4
2016-2018,Pourcentage,Océan Pacifique,Non aménagés,Excellente,8
2016-2018,Pourcentage,Océan Pacifique,Non aménagés,Bonne,4
2016-2018,Pourcentage,Océan Pacifique,Non aménagés,Satisfaisante,0
2016-2018,Pourcentage,Océan Pacifique,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Océan Pacifique,Non aménagés,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Agriculture,Excellente,0
2016-2018,Nombre,Océan Pacifique,Agriculture,Bonne,0
2016-2018,Nombre,Océan Pacifique,Agriculture,Satisfaisante,0
2016-2018,Nombre,Océan Pacifique,Agriculture,Douteuse,0
2016-2018,Nombre,Océan Pacifique,Agriculture,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Foresterie,Excellente,0
2016-2018,Nombre,Océan Pacifique,Foresterie,Bonne,2
2016-2018,Nombre,Océan Pacifique,Foresterie,Satisfaisante,0
2016-2018,Nombre,Océan Pacifique,Foresterie,Douteuse,0
2016-2018,Nombre,Océan Pacifique,Foresterie,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Exploitation minière,Excellente,0
2016-2018,Nombre,Océan Pacifique,Exploitation minière,Bonne,2
2016-2018,Nombre,Océan Pacifique,Exploitation minière,Satisfaisante,1
2016-2018,Nombre,Océan Pacifique,Exploitation minière,Douteuse,3
2016-2018,Nombre,Océan Pacifique,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Peuplé,Excellente,0
2016-2018,Nombre,Océan Pacifique,Peuplé,Bonne,0
2016-2018,Nombre,Océan Pacifique,Peuplé,Satisfaisante,0
2016-2018,Nombre,Océan Pacifique,Peuplé,Douteuse,0
2016-2018,Nombre,Océan Pacifique,Peuplé,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Pressions mixtes,Excellente,0
2016-2018,Nombre,Océan Pacifique,Pressions mixtes,Bonne,2
2016-2018,Nombre,Océan Pacifique,Pressions mixtes,Satisfaisante,9
2016-2018,Nombre,Océan Pacifique,Pressions mixtes,Douteuse,2
2016-2018,Nombre,Océan Pacifique,Pressions mixtes,Mauvaise,1
2016-2018,Nombre,Océan Pacifique,Non aménagés,Excellente,2
2016-2018,Nombre,Océan Pacifique,Non aménagés,Bonne,1
2016-2018,Nombre,Océan Pacifique,Non aménagés,Satisfaisante,0
2016-2018,Nombre,Océan Pacifique,Non aménagés,Douteuse,0
2016-2018,Nombre,Océan Pacifique,Non aménagés,Mauvaise,0
