Year,Âge,Génération,Type de ménage,Statut de propriété,Quintile de revenu,Source principale de revenu du ménage,Value
2016 Q4,,,,,,Transferts courants reçus - prestations de retraite,74.8
2016 Q4,,,,,,Transferts courants reçus - autres,163.9
2017 Q4,,,,,,Salaires et traitements,213.9
2017 Q4,,,,,,Revenu de travail autonome,315.1
2017 Q4,,,,,,Revenu net de la propriété,112.5
2017 Q4,,,,,,Transferts courants reçus - prestations de retraite,78.0
2017 Q4,,,,,,Transferts courants reçus - autres,175.1
2018 Q4,,,,,,Salaires et traitements,216.0
2018 Q4,,,,,,Revenu de travail autonome,288.7
2018 Q4,,,,,,Revenu net de la propriété,118.7
2018 Q4,,,,,,Transferts courants reçus - prestations de retraite,77.7
2018 Q4,,,,,,Transferts courants reçus - autres,190.1
2019 Q4,,,,,,Salaires et traitements,215.5
2019 Q4,,,,,,Revenu de travail autonome,262.6
2019 Q4,,,,,,Revenu net de la propriété,109.0
2019 Q4,,,,,,Transferts courants reçus - prestations de retraite,77.2
2019 Q4,,,,,,Transferts courants reçus - autres,241.2
2020 Q4,,,,,,Salaires et traitements,196.0
2020 Q4,,,,,,Revenu de travail autonome,211.3
2020 Q4,,,,,,Revenu net de la propriété,120.3
2020 Q4,,,,,,Transferts courants reçus - prestations de retraite,75.9
2020 Q4,,,,,,Transferts courants reçus - autres,232.7
2021 Q4,,,,,,Salaires et traitements,201.7
2021 Q4,,,,,,Revenu de travail autonome,245.4
2021 Q4,,,,,,Revenu net de la propriété,133.0
2021 Q4,,,,,,Transferts courants reçus - prestations de retraite,82.7
2021 Q4,,,,,,Transferts courants reçus - autres,222.9
2022 Q4,,,,,,Salaires et traitements,204.3
2022 Q4,,,,,,Revenu de travail autonome,215.3
2022 Q4,,,,,,Revenu net de la propriété,110.8
2022 Q4,,,,,,Transferts courants reçus - prestations de retraite,79.6
2022 Q4,,,,,,Transferts courants reçus - autres,207.2
2023 Q4,,,,,,Salaires et traitements,204.3
2023 Q4,,,,,,Revenu de travail autonome,193.5
2023 Q4,,,,,,Revenu net de la propriété,99.8
2023 Q4,,,,,,Transferts courants reçus - prestations de retraite,76.9
2023 Q4,,,,,,Transferts courants reçus - autres,210.8
