Year,Geography,Population characteristics,Education attainment level,Age group,Gender,GeoCode,Value
2012,New Brunswick,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,13,6.0
2012,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,13,5.0
2012,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Men+,13,4.0
2012,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Women+,13,7.0
2012,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,13,6.0
2012,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Men+,13,4.0
2012,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Women+,13,8.0
2012,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,13,6.0
2012,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Men+,13,5.0
2012,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Women+,13,7.0
2012,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,13,4.0
2012,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Men+,13,4.0
2012,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Women+,13,4.0
2012,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,13,5.0
2012,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Men+,13,6.0
2012,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Women+,13,4.0
2012,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,24,49.0
2012,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Men+,24,44.0
2012,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Women+,24,54.0
2012,Quebec,Total population,Tertiary education,25 to 34 years,Total - Gender,24,57.0
2012,Quebec,Total population,Tertiary education,25 to 34 years,Men+,24,47.0
2012,Quebec,Total population,Tertiary education,25 to 34 years,Women+,24,66.0
2012,Quebec,Total population,Tertiary education,30 to 34 years,Total - Gender,24,57.0
2012,Quebec,Total population,Tertiary education,30 to 34 years,Men+,24,47.0
2012,Quebec,Total population,Tertiary education,30 to 34 years,Women+,24,67.0
2012,Quebec,Total population,Tertiary education,35 to 44 years,Total - Gender,24,55.0
2012,Quebec,Total population,Tertiary education,35 to 44 years,Men+,24,50.0
2012,Quebec,Total population,Tertiary education,35 to 44 years,Women+,24,61.0
2012,Quebec,Total population,Tertiary education,45 to 54 years,Total - Gender,24,45.0
2012,Quebec,Total population,Tertiary education,45 to 54 years,Men+,24,42.0
2012,Quebec,Total population,Tertiary education,45 to 54 years,Women+,24,49.0
2012,Quebec,Total population,Tertiary education,55 to 64 years,Total - Gender,24,40.0
2012,Quebec,Total population,Tertiary education,55 to 64 years,Men+,24,40.0
2012,Quebec,Total population,Tertiary education,55 to 64 years,Women+,24,40.0
2012,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,24,24.0
2012,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,24,21.0
2012,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,24,26.0
2012,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,24,25.0
2012,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Men+,24,22.0
2012,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Women+,24,29.0
2012,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,24,25.0
2012,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Men+,24,22.0
2012,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Women+,24,29.0
2012,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,24,25.0
2012,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Men+,24,22.0
2012,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Women+,24,27.0
2012,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,24,24.0
2012,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Men+,24,21.0
2012,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Women+,24,27.0
2012,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,24,21.0
2012,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Men+,24,19.0
2012,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Women+,24,22.0
2012,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,24,18.0
2012,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,24,16.0
2012,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,24,20.0
2012,Quebec,Total population,Bachelor's level,25 to 34 years,Total - Gender,24,22.0
2012,Quebec,Total population,Bachelor's level,25 to 34 years,Men+,24,18.0
2012,Quebec,Total population,Bachelor's level,25 to 34 years,Women+,24,27.0
2012,Quebec,Total population,Bachelor's level,30 to 34 years,Total - Gender,24,21.0
2012,Quebec,Total population,Bachelor's level,30 to 34 years,Men+,24,17.0
2012,Quebec,Total population,Bachelor's level,30 to 34 years,Women+,24,26.0
2012,Quebec,Total population,Bachelor's level,35 to 44 years,Total - Gender,24,21.0
2012,Quebec,Total population,Bachelor's level,35 to 44 years,Men+,24,18.0
2012,Quebec,Total population,Bachelor's level,35 to 44 years,Women+,24,24.0
2012,Quebec,Total population,Bachelor's level,45 to 54 years,Total - Gender,24,15.0
2012,Quebec,Total population,Bachelor's level,45 to 54 years,Men+,24,14.0
2012,Quebec,Total population,Bachelor's level,45 to 54 years,Women+,24,17.0
2012,Quebec,Total population,Bachelor's level,55 to 64 years,Total - Gender,24,13.0
2012,Quebec,Total population,Bachelor's level,55 to 64 years,Men+,24,13.0
2012,Quebec,Total population,Bachelor's level,55 to 64 years,Women+,24,13.0
2012,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,24,8.0
2012,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,24,8.0
2012,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,24,8.0
2012,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,24,9.0
2012,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Men+,24,7.0
2012,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Women+,24,11.0
2012,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,24,11.0
2012,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Men+,24,9.0
2012,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Women+,24,12.0
2012,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,24,10.0
2012,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Men+,24,9.0
2012,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Women+,24,10.0
2012,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,24,6.0
2012,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Men+,24,7.0
2012,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Women+,24,5.0
2012,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,24,6.0
2012,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Men+,24,8.0
2012,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Women+,24,5.0
2012,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,35,59.0
2012,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Men+,35,54.0
2012,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Women+,35,63.0
2012,Ontario,Total population,Tertiary education,25 to 34 years,Total - Gender,35,64.0
2012,Ontario,Total population,Tertiary education,25 to 34 years,Men+,35,56.0
2012,Ontario,Total population,Tertiary education,25 to 34 years,Women+,35,72.0
2012,Ontario,Total population,Tertiary education,30 to 34 years,Total - Gender,35,64.0
2012,Ontario,Total population,Tertiary education,30 to 34 years,Men+,35,56.0
2012,Ontario,Total population,Tertiary education,30 to 34 years,Women+,35,72.0
2012,Ontario,Total population,Tertiary education,35 to 44 years,Total - Gender,35,65.0
2012,Ontario,Total population,Tertiary education,35 to 44 years,Men+,35,60.0
2012,Ontario,Total population,Tertiary education,35 to 44 years,Women+,35,70.0
2012,Ontario,Total population,Tertiary education,45 to 54 years,Total - Gender,35,55.0
2012,Ontario,Total population,Tertiary education,45 to 54 years,Men+,35,52.0
2012,Ontario,Total population,Tertiary education,45 to 54 years,Women+,35,58.0
2012,Ontario,Total population,Tertiary education,55 to 64 years,Total - Gender,35,50.0
2012,Ontario,Total population,Tertiary education,55 to 64 years,Men+,35,49.0
2012,Ontario,Total population,Tertiary education,55 to 64 years,Women+,35,51.0
2012,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,35,28.0
2012,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,35,24.0
2012,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,35,31.0
2012,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,35,29.0
2012,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Men+,35,26.0
2012,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Women+,35,31.0
2012,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,35,29.0
2012,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Men+,35,26.0
2012,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Women+,35,32.0
2012,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,35,30.0
2012,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Men+,35,26.0
2012,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Women+,35,33.0
2012,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,35,28.0
2012,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Men+,35,24.0
2012,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Women+,35,32.0
2012,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,35,24.0
2012,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Men+,35,21.0
2012,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Women+,35,28.0
2012,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,35,20.0
2012,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,35,19.0
2012,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,35,21.0
2012,Ontario,Total population,Bachelor's level,25 to 34 years,Total - Gender,35,24.0
2012,Ontario,Total population,Bachelor's level,25 to 34 years,Men+,35,21.0
2012,Ontario,Total population,Bachelor's level,25 to 34 years,Women+,35,27.0
2012,Ontario,Total population,Bachelor's level,30 to 34 years,Total - Gender,35,22.0
2012,Ontario,Total population,Bachelor's level,30 to 34 years,Men+,35,20.0
2012,Ontario,Total population,Bachelor's level,30 to 34 years,Women+,35,24.0
2012,Ontario,Total population,Bachelor's level,35 to 44 years,Total - Gender,35,23.0
2012,Ontario,Total population,Bachelor's level,35 to 44 years,Men+,35,21.0
2012,Ontario,Total population,Bachelor's level,35 to 44 years,Women+,35,25.0
2012,Ontario,Total population,Bachelor's level,45 to 54 years,Total - Gender,35,18.0
2012,Ontario,Total population,Bachelor's level,45 to 54 years,Men+,35,18.0
2012,Ontario,Total population,Bachelor's level,45 to 54 years,Women+,35,18.0
2012,Ontario,Total population,Bachelor's level,55 to 64 years,Total - Gender,35,16.0
2012,Ontario,Total population,Bachelor's level,55 to 64 years,Men+,35,17.0
2012,Ontario,Total population,Bachelor's level,55 to 64 years,Women+,35,16.0
2012,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,35,10.0
2012,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,35,10.0
2012,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,35,10.0
2012,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,35,11.0
2012,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Men+,35,9.0
2012,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Women+,35,14.0
2012,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,35,13.0
2012,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Men+,35,9.0
2012,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Women+,35,16.0
2012,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,35,12.0
2012,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Men+,35,12.0
2012,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Women+,35,12.0
2012,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,35,9.0
2012,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Men+,35,10.0
2012,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Women+,35,9.0
2012,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,35,9.0
2012,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Men+,35,11.0
2012,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Women+,35,7.0
2012,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,46,46.0
2012,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Men+,46,41.0
2012,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Women+,46,52.0
2012,Manitoba,Total population,Tertiary education,25 to 34 years,Total - Gender,46,50.0
2012,Manitoba,Total population,Tertiary education,25 to 34 years,Men+,46,42.0
2012,Manitoba,Total population,Tertiary education,25 to 34 years,Women+,46,57.0
2012,Manitoba,Total population,Tertiary education,30 to 34 years,Total - Gender,46,51.0
2012,Manitoba,Total population,Tertiary education,30 to 34 years,Men+,46,44.0
2012,Manitoba,Total population,Tertiary education,30 to 34 years,Women+,46,59.0
2012,Manitoba,Total population,Tertiary education,35 to 44 years,Total - Gender,46,50.0
2012,Manitoba,Total population,Tertiary education,35 to 44 years,Men+,46,44.0
2012,Manitoba,Total population,Tertiary education,35 to 44 years,Women+,46,56.0
2012,Manitoba,Total population,Tertiary education,45 to 54 years,Total - Gender,46,45.0
2012,Manitoba,Total population,Tertiary education,45 to 54 years,Men+,46,40.0
2012,Manitoba,Total population,Tertiary education,45 to 54 years,Women+,46,49.0
2012,Manitoba,Total population,Tertiary education,55 to 64 years,Total - Gender,46,40.0
2012,Manitoba,Total population,Tertiary education,55 to 64 years,Men+,46,36.0
2012,Manitoba,Total population,Tertiary education,55 to 64 years,Women+,46,44.0
2012,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,46,23.0
2012,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,46,19.0
2012,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,46,26.0
2012,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,46,21.0
2012,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Men+,46,19.0
2012,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Women+,46,23.0
2012,Manitoba,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,46,23.0
2012,Manitoba,Total population,Short-cycle tertiary,30 to 34 years,Men+,46,20.0
2012,Manitoba,Total population,Short-cycle tertiary,30 to 34 years,Women+,46,25.0
2012,Manitoba,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,46,25.0
2012,Manitoba,Total population,Short-cycle tertiary,35 to 44 years,Men+,46,22.0
2012,Manitoba,Total population,Short-cycle tertiary,35 to 44 years,Women+,46,28.0
2012,Manitoba,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,46,24.0
2012,Manitoba,Total population,Short-cycle tertiary,45 to 54 years,Men+,46,19.0
2012,Manitoba,Total population,Short-cycle tertiary,45 to 54 years,Women+,46,28.0
2012,Manitoba,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,46,22.0
2012,Manitoba,Total population,Short-cycle tertiary,55 to 64 years,Men+,46,17.0
2012,Manitoba,Total population,Short-cycle tertiary,55 to 64 years,Women+,46,26.0
2012,Manitoba,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,46,18.0
2012,Manitoba,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,46,16.0
2012,Manitoba,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,46,20.0
2012,Manitoba,Total population,Bachelor's level,25 to 34 years,Total - Gender,46,23.0
2012,Manitoba,Total population,Bachelor's level,25 to 34 years,Men+,46,18.0
2012,Manitoba,Total population,Bachelor's level,25 to 34 years,Women+,46,29.0
2012,Manitoba,Total population,Bachelor's level,30 to 34 years,Total - Gender,46,23.0
2012,Manitoba,Total population,Bachelor's level,30 to 34 years,Men+,46,19.0
2012,Manitoba,Total population,Bachelor's level,30 to 34 years,Women+,46,26.0
2012,Manitoba,Total population,Bachelor's level,35 to 44 years,Total - Gender,46,19.0
2012,Manitoba,Total population,Bachelor's level,35 to 44 years,Men+,46,17.0
2012,Manitoba,Total population,Bachelor's level,35 to 44 years,Women+,46,21.0
2012,Manitoba,Total population,Bachelor's level,45 to 54 years,Total - Gender,46,16.0
2012,Manitoba,Total population,Bachelor's level,45 to 54 years,Men+,46,15.0
2012,Manitoba,Total population,Bachelor's level,45 to 54 years,Women+,46,16.0
2012,Manitoba,Total population,Bachelor's level,55 to 64 years,Total - Gender,46,12.0
2012,Manitoba,Total population,Bachelor's level,55 to 64 years,Men+,46,12.0
2012,Manitoba,Total population,Bachelor's level,55 to 64 years,Women+,46,13.0
2012,Manitoba,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,46,5.0
2012,Manitoba,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,46,5.0
2012,Manitoba,Total population,Master's or Doctoral level,25 to 34 years,Men+,46,4.0
2012,Manitoba,Total population,Master's or Doctoral level,25 to 34 years,Women+,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,30 to 34 years,Men+,46,4.0
2012,Manitoba,Total population,Master's or Doctoral level,30 to 34 years,Women+,46,8.0
2012,Manitoba,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,35 to 44 years,Men+,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,35 to 44 years,Women+,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,45 to 54 years,Men+,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,45 to 54 years,Women+,46,5.0
2012,Manitoba,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,46,6.0
2012,Manitoba,Total population,Master's or Doctoral level,55 to 64 years,Men+,46,7.0
2012,Manitoba,Total population,Master's or Doctoral level,55 to 64 years,Women+,46,4.0
2012,Saskatchewan,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,47,40.0
2012,Saskatchewan,Total population,Tertiary education,"Total, 25 to 64 years",Men+,47,32.0
2012,Saskatchewan,Total population,Tertiary education,"Total, 25 to 64 years",Women+,47,49.0
2012,Saskatchewan,Total population,Tertiary education,25 to 34 years,Total - Gender,47,45.0
2012,Saskatchewan,Total population,Tertiary education,25 to 34 years,Men+,47,34.0
2012,Saskatchewan,Total population,Tertiary education,25 to 34 years,Women+,47,56.0
2012,Saskatchewan,Total population,Tertiary education,30 to 34 years,Total - Gender,47,46.0
2012,Saskatchewan,Total population,Tertiary education,30 to 34 years,Men+,47,35.0
2012,Saskatchewan,Total population,Tertiary education,30 to 34 years,Women+,47,56.0
2012,Saskatchewan,Total population,Tertiary education,35 to 44 years,Total - Gender,47,46.0
2012,Saskatchewan,Total population,Tertiary education,35 to 44 years,Men+,47,37.0
2012,Saskatchewan,Total population,Tertiary education,35 to 44 years,Women+,47,55.0
2012,Saskatchewan,Total population,Tertiary education,45 to 54 years,Total - Gender,47,37.0
2012,Saskatchewan,Total population,Tertiary education,45 to 54 years,Men+,47,29.0
2012,Saskatchewan,Total population,Tertiary education,45 to 54 years,Women+,47,44.0
2012,Saskatchewan,Total population,Tertiary education,55 to 64 years,Total - Gender,47,34.0
2012,Saskatchewan,Total population,Tertiary education,55 to 64 years,Men+,47,28.0
2012,Saskatchewan,Total population,Tertiary education,55 to 64 years,Women+,47,41.0
2012,Saskatchewan,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,47,19.0
2012,Saskatchewan,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,47,12.0
2012,Saskatchewan,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,47,25.0
2012,Saskatchewan,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,47,16.0
2012,Saskatchewan,Total population,Short-cycle tertiary,25 to 34 years,Men+,47,12.0
2012,Saskatchewan,Total population,Short-cycle tertiary,25 to 34 years,Women+,47,21.0
2012,Saskatchewan,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,47,17.0
2012,Saskatchewan,Total population,Short-cycle tertiary,30 to 34 years,Men+,47,13.0
2012,Saskatchewan,Total population,Short-cycle tertiary,30 to 34 years,Women+,47,21.0
2012,Saskatchewan,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,47,21.0
2012,Saskatchewan,Total population,Short-cycle tertiary,35 to 44 years,Men+,47,15.0
2012,Saskatchewan,Total population,Short-cycle tertiary,35 to 44 years,Women+,47,28.0
2012,Saskatchewan,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,47,19.0
2012,Saskatchewan,Total population,Short-cycle tertiary,45 to 54 years,Men+,47,12.0
2012,Saskatchewan,Total population,Short-cycle tertiary,45 to 54 years,Women+,47,26.0
2012,Saskatchewan,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,47,18.0
2012,Saskatchewan,Total population,Short-cycle tertiary,55 to 64 years,Men+,47,10.0
2012,Saskatchewan,Total population,Short-cycle tertiary,55 to 64 years,Women+,47,26.0
2012,Saskatchewan,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,47,16.0
2012,Saskatchewan,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,47,14.0
2012,Saskatchewan,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,47,18.0
2012,Saskatchewan,Total population,Bachelor's level,25 to 34 years,Total - Gender,47,23.0
2012,Saskatchewan,Total population,Bachelor's level,25 to 34 years,Men+,47,17.0
2012,Saskatchewan,Total population,Bachelor's level,25 to 34 years,Women+,47,29.0
2012,Saskatchewan,Total population,Bachelor's level,30 to 34 years,Total - Gender,47,23.0
2012,Saskatchewan,Total population,Bachelor's level,30 to 34 years,Men+,47,17.0
2012,Saskatchewan,Total population,Bachelor's level,30 to 34 years,Women+,47,29.0
2012,Saskatchewan,Total population,Bachelor's level,35 to 44 years,Total - Gender,47,18.0
2012,Saskatchewan,Total population,Bachelor's level,35 to 44 years,Men+,47,16.0
2012,Saskatchewan,Total population,Bachelor's level,35 to 44 years,Women+,47,19.0
2012,Saskatchewan,Total population,Bachelor's level,45 to 54 years,Total - Gender,47,12.0
2012,Saskatchewan,Total population,Bachelor's level,45 to 54 years,Men+,47,10.0
2012,Saskatchewan,Total population,Bachelor's level,45 to 54 years,Women+,47,13.0
2012,Saskatchewan,Total population,Bachelor's level,55 to 64 years,Total - Gender,47,11.0
2012,Saskatchewan,Total population,Bachelor's level,55 to 64 years,Men+,47,11.0
2012,Saskatchewan,Total population,Bachelor's level,55 to 64 years,Women+,47,12.0
2012,Saskatchewan,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,25 to 34 years,Men+,47,5.0
2012,Saskatchewan,Total population,Master's or Doctoral level,25 to 34 years,Women+,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,30 to 34 years,Men+,47,5.0
2012,Saskatchewan,Total population,Master's or Doctoral level,30 to 34 years,Women+,47,7.0
2012,Saskatchewan,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,47,7.0
2012,Saskatchewan,Total population,Master's or Doctoral level,35 to 44 years,Men+,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,35 to 44 years,Women+,47,7.0
2012,Saskatchewan,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,45 to 54 years,Men+,47,7.0
2012,Saskatchewan,Total population,Master's or Doctoral level,45 to 54 years,Women+,47,5.0
2012,Saskatchewan,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,47,5.0
2012,Saskatchewan,Total population,Master's or Doctoral level,55 to 64 years,Men+,47,6.0
2012,Saskatchewan,Total population,Master's or Doctoral level,55 to 64 years,Women+,47,4.0
2012,Alberta,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,48,47.0
2012,Alberta,Total population,Tertiary education,"Total, 25 to 64 years",Men+,48,39.0
2012,Alberta,Total population,Tertiary education,"Total, 25 to 64 years",Women+,48,54.0
2012,Alberta,Total population,Tertiary education,25 to 34 years,Total - Gender,48,48.0
2012,Alberta,Total population,Tertiary education,25 to 34 years,Men+,48,38.0
2012,Alberta,Total population,Tertiary education,25 to 34 years,Women+,48,58.0
2012,Alberta,Total population,Tertiary education,30 to 34 years,Total - Gender,48,49.0
2012,Alberta,Total population,Tertiary education,30 to 34 years,Men+,48,39.0
2012,Alberta,Total population,Tertiary education,30 to 34 years,Women+,48,58.0
2012,Alberta,Total population,Tertiary education,35 to 44 years,Total - Gender,48,51.0
2012,Alberta,Total population,Tertiary education,35 to 44 years,Men+,48,43.0
2012,Alberta,Total population,Tertiary education,35 to 44 years,Women+,48,60.0
2012,Alberta,Total population,Tertiary education,45 to 54 years,Total - Gender,48,44.0
2012,Alberta,Total population,Tertiary education,45 to 54 years,Men+,48,38.0
2012,Alberta,Total population,Tertiary education,45 to 54 years,Women+,48,51.0
2012,Alberta,Total population,Tertiary education,55 to 64 years,Total - Gender,48,42.0
2012,Alberta,Total population,Tertiary education,55 to 64 years,Men+,48,37.0
2012,Alberta,Total population,Tertiary education,55 to 64 years,Women+,48,47.0
2012,Alberta,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,48,22.0
2012,Alberta,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,48,16.0
2012,Alberta,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,48,28.0
2012,Alberta,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,48,22.0
2012,Alberta,Total population,Short-cycle tertiary,25 to 34 years,Men+,48,17.0
2012,Alberta,Total population,Short-cycle tertiary,25 to 34 years,Women+,48,27.0
2012,Alberta,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,48,22.0
2012,Alberta,Total population,Short-cycle tertiary,30 to 34 years,Men+,48,17.0
2012,Alberta,Total population,Short-cycle tertiary,30 to 34 years,Women+,48,27.0
