Year,Géographie,Antigène ou vaccin,Population cible,Genre,GeoCode,Value
2021,Canada,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,,87.5
2021,Canada,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,,90.5
2021,Canada,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,,85.1
2021,Canada,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,,85.6
2021,Canada,Diphtérie,Recommended vaccines for 7-year-old children,Total - Genre,,71.9
2021,Canada,Coqueluche,Recommended vaccines for 7-year-old children,Total - Genre,,71.9
2021,Canada,Tétanos,Recommended vaccines for 7-year-old children,Total - Genre,,71.9
2021,Canada,Polio,Recommended vaccines for 7-year-old children,Total - Genre,,87.3
2021,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 7-year-old children,Total - Genre,,78.5
2021,Canada,Rougeole,Recommended vaccines for 7-year-old children,Total - Genre,,79.2
2021,Canada,Rubéole,Recommended vaccines for 7-year-old children,Total - Genre,,79.5
2021,Canada,Oreillons,Recommended vaccines for 7-year-old children,Total - Genre,,94.0
2021,Canada,Hépatite B,Recommended vaccines for 7-year-old children,Total - Genre,,78.4
2021,Canada,Varicelle,Recommended vaccines for 7-year-old children,Total - Genre,,90.7
2021,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Total - Genre,,89.0
2021,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Total - Genre,,84.0
2021,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Hommes+,,86.5
2021,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Hommes+,,81.5
2021,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Femmes+,,91.5
2021,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Femmes+,,86.4
2021,Canada,Méningite de type C,Recommended vaccines for 17-year-old children,Total - Genre,,89.0
2021,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",Recommended vaccines for 17-year-old children,Total - Genre,,92.8
2021,Terre-Neuve-et-Labrador,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,10,79.0
2021,Terre-Neuve-et-Labrador,Grippe,Recommended vaccines during pregnancy,Total - Genre,10,63.6
2021,Terre-Neuve-et-Labrador,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,10,80.0
2021,Terre-Neuve-et-Labrador,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,10,80.0
2021,Terre-Neuve-et-Labrador,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,10,80.0
2021,Terre-Neuve-et-Labrador,Polio,Recommended vaccines for 2-year-old children,Total - Genre,10,95.4
2021,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,10,76.8
2021,Terre-Neuve-et-Labrador,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,10,97.0
2021,Terre-Neuve-et-Labrador,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,10,97.0
2021,Terre-Neuve-et-Labrador,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,10,97.0
2021,Terre-Neuve-et-Labrador,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,10,96.4
2021,Terre-Neuve-et-Labrador,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,10,93.6
2021,Terre-Neuve-et-Labrador,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,10,87.8
2021,Terre-Neuve-et-Labrador,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,10,93.3
2021,Île-du-Prince-Édouard,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,11,80.4
2021,Île-du-Prince-Édouard,Grippe,Recommended vaccines during pregnancy,Total - Genre,11,77.3
2021,Île-du-Prince-Édouard,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,11,95.8
2021,Île-du-Prince-Édouard,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,11,95.8
2021,Île-du-Prince-Édouard,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,11,95.8
2021,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,11,95.8
2021,Île-du-Prince-Édouard,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,11,98.0
2021,Île-du-Prince-Édouard,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,11,98.0
2021,Île-du-Prince-Édouard,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,11,98.0
2021,Île-du-Prince-Édouard,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,11,97.7
2021,Île-du-Prince-Édouard,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,11,96.7
2021,Île-du-Prince-Édouard,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,11,97.4
2021,Île-du-Prince-Édouard,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,11,96.4
2021,Nouvelle-Écosse,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,12,80.4
2021,Nouvelle-Écosse,Grippe,Recommended vaccines during pregnancy,Total - Genre,12,82.5
2021,Nouvelle-Écosse,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,12,70.3
2021,Nouvelle-Écosse,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,12,70.3
2021,Nouvelle-Écosse,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,12,70.3
2021,Nouvelle-Écosse,Polio,Recommended vaccines for 2-year-old children,Total - Genre,12,87.9
2021,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,12,66.8
2021,Nouvelle-Écosse,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,12,93.6
2021,Nouvelle-Écosse,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,12,93.6
2021,Nouvelle-Écosse,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,12,93.6
2021,Nouvelle-Écosse,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,12,93.2
2021,Nouvelle-Écosse,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,12,89.4
2021,Nouvelle-Écosse,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,12,79.0
2021,Nouveau-Brunswick,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,13,79.5
2021,Nouveau-Brunswick,Grippe,Recommended vaccines during pregnancy,Total - Genre,13,59.1
2021,Nouveau-Brunswick,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,13,78.1
2021,Nouveau-Brunswick,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,13,78.1
2021,Nouveau-Brunswick,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,13,78.1
2021,Nouveau-Brunswick,Polio,Recommended vaccines for 2-year-old children,Total - Genre,13,89.6
2021,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,13,75.9
2021,Nouveau-Brunswick,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,13,94.3
2021,Nouveau-Brunswick,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,13,94.3
2021,Nouveau-Brunswick,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,13,94.3
2021,Nouveau-Brunswick,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,13,79.8
2021,Nouveau-Brunswick,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,13,91.2
2021,Nouveau-Brunswick,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,13,90.6
2021,Nouveau-Brunswick,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,13,86.7
2021,Nouveau-Brunswick,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,13,66.6
2021,Ontario,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,35,60.0
2021,Ontario,Grippe,Recommended vaccines during pregnancy,Total - Genre,35,48.9
2021,Ontario,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,35,76.7
2021,Ontario,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,35,76.7
2021,Ontario,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,35,76.7
2021,Ontario,Polio,Recommended vaccines for 2-year-old children,Total - Genre,35,94.4
2021,Ontario,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,35,73.8
2021,Ontario,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,35,92.0
2021,Ontario,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,35,91.7
2021,Ontario,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,35,91.7
2021,Ontario,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,35,85.9
2021,Ontario,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,35,90.1
2021,Ontario,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,35,86.1
2021,Ontario,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,35,84.7
2021,Québec,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,24,75.2
2021,Québec,Grippe,Recommended vaccines during pregnancy,Total - Genre,24,44.2
2021,Québec,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,24,76.2
2021,Québec,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,24,76.2
2021,Québec,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,24,76.2
2021,Québec,Polio,Recommended vaccines for 2-year-old children,Total - Genre,24,91.7
2021,Québec,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,24,75.8
2021,Québec,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,24,93.2
2021,Québec,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,24,93.2
2021,Québec,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,24,93.2
2021,Québec,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,24,80.6
2021,Québec,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,24,89.9
2021,Québec,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,24,90.2
2021,Québec,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,24,85.3
2021,Québec,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,24,86.0
2021,Manitoba,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,46,69.6
2021,Manitoba,Grippe,Recommended vaccines during pregnancy,Total - Genre,46,59.2
2021,Manitoba,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,46,75.5
2021,Manitoba,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,46,75.5
2021,Manitoba,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,46,75.5
2021,Manitoba,Polio,Recommended vaccines for 2-year-old children,Total - Genre,46,87.9
2021,Manitoba,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,46,75.3
2021,Manitoba,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,46,87.1
2021,Manitoba,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,46,86.6
2021,Manitoba,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,46,86.6
2021,Manitoba,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,46,86.9
2021,Manitoba,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,46,88.8
2021,Manitoba,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,46,81.7
2021,Manitoba,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,46,82.2
2021,Saskatchewan,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,47,78.0
2021,Saskatchewan,Grippe,Recommended vaccines during pregnancy,Total - Genre,47,64.8
2021,Saskatchewan,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,47,80.9
2021,Saskatchewan,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,47,80.9
2021,Saskatchewan,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,47,80.9
2021,Saskatchewan,Polio,Recommended vaccines for 2-year-old children,Total - Genre,47,91.0
2021,Saskatchewan,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,47,80.6
2021,Saskatchewan,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,47,91.4
2021,Saskatchewan,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,47,91.0
2021,Saskatchewan,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,47,91.0
2021,Saskatchewan,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,47,80.9
2021,Saskatchewan,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,47,89.1
2021,Saskatchewan,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,47,83.7
2021,Saskatchewan,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,47,88.2
2021,Alberta,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,48,60.1
2021,Alberta,Grippe,Recommended vaccines during pregnancy,Total - Genre,48,58.3
2021,Alberta,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,48,74.6
2021,Alberta,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,48,74.6
2021,Alberta,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,48,74.6
2021,Alberta,Polio,Recommended vaccines for 2-year-old children,Total - Genre,48,85.7
2021,Alberta,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,48,71.1
2021,Alberta,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,48,88.4
2021,Alberta,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,48,88.4
2021,Alberta,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,48,88.4
2021,Alberta,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,48,83.3
2021,Alberta,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,48,89.8
2021,Alberta,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,48,81.3
2021,Alberta,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,48,84.8
2021,Colombie-Britannique,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,59,52.4
2021,Colombie-Britannique,Grippe,Recommended vaccines during pregnancy,Total - Genre,59,61.0
2021,Colombie-Britannique,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,59,83.6
2021,Colombie-Britannique,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,59,83.6
2021,Colombie-Britannique,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,59,83.6
2021,Colombie-Britannique,Polio,Recommended vaccines for 2-year-old children,Total - Genre,59,92.6
2021,Colombie-Britannique,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,59,82.8
2021,Colombie-Britannique,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,59,91.3
2021,Colombie-Britannique,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,59,91.3
2021,Colombie-Britannique,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,59,91.3
2021,Colombie-Britannique,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,59,87.1
2021,Colombie-Britannique,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,59,91.0
2021,Colombie-Britannique,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,59,94.2
2021,Colombie-Britannique,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,59,88.2
2021,Colombie-Britannique,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,59,91.2
2021,Yukon,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,60,77.2
2021,Yukon,Grippe,Recommended vaccines during pregnancy,Total - Genre,60,66.8
2021,Yukon,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,60,66.6
2021,Yukon,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,60,66.6
2021,Yukon,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,60,66.6
2021,Yukon,Polio,Recommended vaccines for 2-year-old children,Total - Genre,60,86.3
2021,Yukon,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,60,64.0
2021,Yukon,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,60,85.3
2021,Yukon,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,60,85.3
2021,Yukon,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,60,85.3
2021,Yukon,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,60,71.3
2021,Yukon,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,60,81.8
2021,Yukon,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,60,90.0
2021,Yukon,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,60,73.2
2021,Yukon,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,60,86.7
2021,Territoires du Nord-Ouest,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,61,59.3
2021,Territoires du Nord-Ouest,Grippe,Recommended vaccines during pregnancy,Total - Genre,61,71.7
2021,Territoires du Nord-Ouest,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,61,66.0
2021,Territoires du Nord-Ouest,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,61,66.0
2021,Territoires du Nord-Ouest,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,61,66.0
2021,Territoires du Nord-Ouest,Polio,Recommended vaccines for 2-year-old children,Total - Genre,61,80.4
2021,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,61,60.0
2021,Territoires du Nord-Ouest,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,61,90.8
2021,Territoires du Nord-Ouest,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,61,89.5
2021,Territoires du Nord-Ouest,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,61,88.2
2021,Territoires du Nord-Ouest,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,61,81.0
2021,Territoires du Nord-Ouest,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,61,80.2
2021,Territoires du Nord-Ouest,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,61,88.8
2021,Territoires du Nord-Ouest,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,61,59.9
2021,Territoires du Nord-Ouest,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,61,75.6
2021,Nunavut,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,62,24.1
2021,Nunavut,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,62,24.1
2021,Nunavut,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,62,24.1
2021,Nunavut,Polio,Recommended vaccines for 2-year-old children,Total - Genre,62,33.5
2021,Nunavut,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,62,24.1
2021,Nunavut,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,62,34.6
2021,Nunavut,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,62,34.6
2021,Nunavut,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,62,34.6
2021,Nunavut,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,62,32.5
2021,Nunavut,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,62,21.2
2021,Nunavut,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,62,34.5
2021,Nunavut,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,62,21.0
